year,aucun_DET air_NOUN,aucun_DET cher_ADJ
1800,9.118076782499429e-08,0.0
1801,1.04772034603684e-07,0.0
1802,5.147032311469957e-08,0.0
1803,2.7304748684287006e-08,0.0
1804,6.179627121127851e-08,0.0
1805,2.55858996212055e-08,0.0
1806,2.881669125542885e-09,0.0
1807,3.9857372513552036e-08,0.0
1808,8.611080914988634e-08,2.2660739951163578e-09
1809,1.2876473931555665e-07,0.0
1810,8.658469141664682e-08,0.0
1811,4.512738271955641e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,2.8320094713762956e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,6.257530316133852e-08,2.3176038865813098e-09
1817,4.514932783195036e-08,0.0
1818,4.053200441944682e-08,0.0
1819,8.591371170041384e-08,0.0
1820,9.8491796052258e-08,0.0
1821,3.747365440176509e-08,0.0
1822,2.5064039732569654e-08,0.0
1823,5.237824041159911e-08,9.882686891060644e-10
1824,5.052667617633233e-08,0.0
1825,4.57883047033647e-08,0.0
1826,4.844391554570393e-08,8.807984341885344e-10
1827,3.96342727526644e-08,0.0
1828,9.355747465633613e-08,0.0
1829,8.230248838003718e-08,0.0
1830,4.0703660886265425e-08,0.0
1831,2.8064171431196883e-08,0.0
1832,2.3000948701223933e-08,0.0
1833,4.054269808762001e-08,0.0
1834,8.121041616959701e-08,0.0
1835,4.0084366048631637e-08,0.0
1836,4.771732520225669e-08,0.0
1837,2.7135774516295896e-08,1.3915781860163179e-09
1838,2.7773513266993177e-08,0.0
1839,4.824117727508792e-08,0.0
1840,6.11490094115652e-08,0.0
1841,4.044945489667384e-08,0.0
1842,4.695785449371215e-08,0.0
1843,2.8353174030826267e-08,5.906911071384968e-10
1844,1.8661107548112454e-08,0.0
1845,2.4553003186156275e-08,0.0
1846,4.2152407786488766e-08,5.854501328173001e-10
1847,4.530307862182781e-08,0.0
1848,2.735375304041554e-08,0.0
1849,2.0948537127196687e-08,0.0
1850,4.073397619208663e-08,0.0
1851,3.353708066811123e-08,0.0
1852,3.059956199535918e-08,0.0
1853,3.3442816516071616e-08,0.0
1854,4.468271425084325e-08,0.0
1855,8.384960636931282e-08,5.306937111981824e-10
1856,4.40061072026765e-08,0.0
1857,6.541222319356166e-08,0.0
1858,4.7468656561022726e-08,0.0
1859,4.1755821911237945e-08,0.0
1860,4.21100927461282e-08,0.0
1861,4.291527133659656e-08,1.4147891747029462e-09
1862,4.066187744844463e-08,0.0
1863,4.844782353075061e-08,0.0
1864,3.9796240969280916e-08,0.0
1865,3.153585836912498e-08,0.0
1866,5.93604774223877e-08,0.0
1867,3.105799351033056e-08,0.0
1868,4.1494942593089945e-08,0.0
1869,4.639343076373592e-08,0.0
1870,6.594156332084822e-08,0.0
1871,2.8677177965619194e-08,0.0
1872,3.2655632531408685e-08,0.0
1873,2.573981916498269e-08,0.0
1874,2.449589792119511e-08,0.0
1875,2.9751941965638906e-08,0.0
1876,2.6602464231473277e-08,6.04601479992084e-10
1877,4.020130428550317e-08,0.0
1878,3.32149880932775e-08,0.0
1879,2.9324762063076548e-08,0.0
1880,5.455169227452927e-08,0.0
1881,2.5101027034679646e-08,0.0
1882,4.059785041476971e-08,6.655385131892899e-10
1883,4.170763850952497e-08,0.0
1884,1.9805090900604227e-08,0.0
1885,4.060750324885731e-08,1.2891271383708158e-09
1886,3.7430090527035276e-08,6.453463874400711e-10
1887,3.0685946228459215e-08,1.9586774424595887e-09
1888,4.9456794215529953e-08,1.268122939990235e-09
1889,2.8819629349641218e-08,0.0
1890,1.5730527991308918e-08,0.0
1891,2.7409146396983886e-08,0.0
1892,2.6954603882245465e-08,0.0
1893,1.9091091429945806e-08,0.0
1894,2.457600345451283e-08,6.301539290376468e-10
1895,2.768562623600701e-08,6.018614495673091e-10
1896,2.063960063969361e-08,0.0
1897,3.3212266714599536e-08,0.0
1898,1.7540900287826844e-08,5.6583548957434e-10
1899,3.0954439012020885e-08,0.0
1900,3.166542394961169e-08,5.191053142894475e-10
1901,2.0119459875900247e-08,5.588738916095792e-10
1902,2.6024503885224703e-08,0.0
1903,4.266173991851474e-08,0.0
1904,1.4511488011237361e-08,0.0
1905,1.90948084011211e-08,1.5482277682110634e-09
1906,2.7264178470431943e-08,5.144184522798412e-10
1907,4.1142747875255736e-08,5.142843373384665e-10
1908,3.487086375209003e-08,9.822778146428846e-10
1909,4.510806483892793e-08,0.0
1910,2.7255168677520203e-08,0.0
1911,2.234557128222292e-08,0.0
1912,3.021464278774033e-08,0.0
1913,2.3333154297588976e-08,0.0
1914,3.750176436057018e-08,6.696743715117748e-10
1915,2.1205371236732162e-08,0.0
1916,2.307367052978293e-08,0.0
1917,3.180262986290927e-08,0.0
1918,1.8378202071289707e-08,0.0
1919,4.1435319175775476e-08,0.0
1920,2.3473917476479755e-08,0.0
1921,1.438822039290244e-08,0.0
1922,3.098732870299159e-08,7.377935484775833e-10
1923,3.503262746562541e-08,0.0
1924,3.738571141553848e-08,0.0
1925,3.739380360912037e-08,2.1996355847875293e-09
1926,3.1209186346359274e-08,1.1146138456652466e-09
1927,4.1252131488533905e-08,0.0
1928,2.51372912485337e-08,0.0
1929,4.4561623724348465e-08,0.0
1930,1.9956847396862543e-08,0.0
1931,2.3951248095954725e-08,0.0
1932,1.2055489939655217e-08,0.0
1933,5.5059177661576086e-08,0.0
1934,1.677421224144382e-08,1.1981580172459871e-09
1935,2.154291056655211e-08,0.0
1936,1.6974600836050513e-08,0.0
1937,1.8886676889096066e-08,1.2591118148108649e-09
1938,4.926781471681352e-08,0.0
1939,1.6823455517567254e-08,0.0
1940,2.282204625281281e-08,0.0
1941,4.132103814669108e-08,0.0
1942,4.8547388331598995e-08,0.0
1943,2.9032351633873077e-08,0.0
1944,2.5705489292704442e-08,0.0
1945,5.8819609183302646e-08,0.0
1946,4.315542412314244e-08,0.0
1947,2.9802176726434482e-08,0.0
1948,2.174377655705939e-08,0.0
1949,2.84693233432165e-08,0.0
1950,3.296962081122956e-08,0.0
1951,2.3455083209000804e-08,0.0
1952,1.4762725264461096e-08,0.0
1953,2.3702419582605216e-08,0.0
1954,5.570345562588841e-08,0.0
1955,2.5341141629553476e-08,0.0
1956,2.6163424537983815e-08,0.0
1957,2.297109880089465e-08,0.0
1958,3.887954358461343e-08,0.0
1959,2.325224335297804e-08,0.0
1960,2.6991249346686175e-08,0.0
1961,2.223410922042035e-08,0.0
1962,1.52206956482992e-08,0.0
1963,2.5864213659687607e-08,0.0
1964,3.528701553179303e-08,0.0
1965,2.8454626210816514e-08,0.0
1966,2.6033652122947615e-08,0.0
1967,3.056808051127291e-08,0.0
1968,3.323647657094142e-08,0.0
1969,3.042977803069391e-08,0.0
1970,4.8286611376013866e-08,4.5987250119061684e-10
1971,2.4664308040378558e-08,0.0
1972,2.8728821543921867e-08,0.0
1973,2.095017381797959e-08,0.0
1974,2.0252058918757143e-08,0.0
1975,1.770558810676448e-08,0.0
1976,2.171140245366132e-08,0.0
1977,1.3516598340590491e-08,0.0
1978,2.1386128867817433e-08,0.0
1979,2.808947208166046e-08,0.0
1980,1.9898027447950994e-08,0.0
1981,1.8976648807900176e-08,0.0
1982,1.551875572491923e-08,6.207502289967692e-10
1983,2.3998201648112172e-08,1.2630632095778083e-09
1984,1.8556828074167697e-08,0.0
1985,2.2257564680217e-08,0.0
1986,2.1580147446798037e-08,0.0
1987,1.588812426067676e-08,6.110816852533674e-10
1988,2.338656018840979e-08,0.0
1989,1.5915554429923873e-08,1.6464366536794728e-09
1990,2.3429199136337786e-08,0.0
1991,1.817054151587172e-08,0.0
1992,1.983579878128694e-08,0.0
1993,1.1078414630105726e-08,5.539207426075166e-10
1994,2.0572214098901753e-08,5.274926606624319e-10
1995,2.168980317573954e-08,0.0
1996,2.1886178869223727e-08,0.0
1997,1.678213046307775e-08,0.0
1998,2.0026142522056034e-08,4.768129224785866e-10
1999,1.7823784143056187e-08,0.0
2000,2.4740975823611677e-08,0.0
2001,1.1829271784336015e-08,0.0
2002,1.796300858059041e-08,8.76244299341522e-10
2003,2.20846910758965e-08,0.0
2004,1.6297727084557678e-08,0.0
2005,1.5312748624651817e-08,0.0
2006,2.2648394715218956e-08,0.0
2007,1.6776813938079727e-08,0.0
2008,2.1712941888907267e-08,0.0
2009,2.0980047699126203e-08,0.0
2010,2.2201827765133686e-08,0.0
2011,2.8297391874154698e-08,0.0
2012,2.8255296991019918e-08,6.808505426114664e-10
2013,3.821101235423896e-08,0.0
2014,3.29147678002073e-08,0.0
2015,4.233658934538198e-08,0.0
2016,3.417711114117594e-08,2.0713400439298368e-10
2017,2.943265298149811e-08,0.0
2018,4.3884933464966025e-08,2.5814667070633845e-10
2019,4.311169421455929e-08,5.1019755087367e-10
