year,en_ADP haleine_NOUN,en_ADP baleine_NOUN
1800,6.005354293847631e-07,9.432493897065797e-09
1801,5.643402687383059e-07,2.6193008650921e-08
1802,7.362493761320366e-07,8.951360541686881e-09
1803,6.163072043818829e-07,2.5354410126965377e-08
1804,4.6965166689005855e-07,2.4718509461507665e-09
1805,6.481761261056818e-07,2.55858996212055e-08
1806,3.7749865100522584e-07,8.645007376628655e-09
1807,6.007075512570736e-07,1.1387820464392462e-08
1808,7.183454613368667e-07,3.3991110370834576e-08
1809,6.935223950677027e-07,3.388545621874073e-08
1810,6.528953804263438e-07,4.680253518074551e-09
1811,6.693895215903467e-07,3.760615285841595e-08
1812,5.521121124729689e-07,1.3336041604361526e-08
1813,7.160596737776359e-07,5.751483289628823e-09
1814,6.104553449404193e-07,6.293354282149721e-09
1815,6.095725098020921e-07,2.697223555614414e-09
1816,5.817185524392698e-07,2.3176038865813098e-08
1817,9.076571814148338e-07,3.89218364205135e-08
1818,7.021573651400104e-07,1.7881765401739358e-08
1819,6.810990953454166e-07,1.1386155129855524e-08
1820,7.179220915531914e-07,7.238553223487543e-08
1821,7.494730880353018e-07,1.972297702934611e-08
1822,7.910210797490436e-07,3.408709403629473e-08
1823,6.394098477358057e-07,1.0673301886754416e-07
1824,7.486369213438593e-07,1.4821158345057484e-07
1825,8.594112159698852e-07,8.012953145453139e-08
1826,7.019963277343777e-07,7.927185663447744e-08
1827,8.046679340623086e-07,7.281645508783186e-08
1828,7.117705536074936e-07,1.476740436601176e-07
1829,6.635638101215591e-07,6.258418494553553e-08
1830,5.354096970222599e-07,9.497520636614354e-08
1831,6.579488740499073e-07,1.216114071667107e-07
1832,7.184413561844849e-07,9.470978312720035e-08
1833,8.618219453637721e-07,8.224376557564028e-08
1834,6.384819357663218e-07,3.9205030333278046e-08
1835,8.054688578340574e-07,7.33619529569296e-08
1836,7.943926334519347e-07,1.0013917517426307e-07
1837,7.326659101636324e-07,8.140732177253085e-08
1838,7.423102488246514e-07,5.5547026533986354e-08
1839,7.515835704907659e-07,1.4122780100933596e-07
1840,8.255116767941217e-07,5.5416290223320175e-08
1841,6.253614515117079e-07,7.961480008589206e-08
1842,6.72839007620496e-07,7.110760691375617e-08
1843,7.932981702651887e-07,6.792947715439368e-08
1844,8.507270194968442e-07,7.57421432240335e-08
1845,6.886001528982888e-07,1.4341185305966064e-07
1846,6.884893650749291e-07,7.845032001796426e-08
1847,7.097482352946827e-07,8.844887133818702e-08
1848,7.144157052607625e-07,4.585776380849893e-08
1849,5.052787059867114e-07,8.295620546050486e-08
1850,7.386427682831709e-07,9.844044512874461e-08
1851,6.346247687361029e-07,3.805168802273329e-08
1852,6.881646754663961e-07,7.747549091163819e-08
1853,6.819946065661497e-07,8.062107781370287e-08
1854,7.320691111090127e-07,9.040456205866576e-08
1855,6.79818640492158e-07,8.066544410212373e-08
1856,6.528435392283427e-07,4.970101485923806e-08
1857,6.49240689654107e-07,1.0299984154471531e-07
1858,5.652195795846637e-07,1.0129909355782729e-07
1859,8.055818057073338e-07,1.1406468303221118e-07
1860,7.520313261011324e-07,9.840945125461076e-08
1861,7.710600584687199e-07,7.121105483065548e-08
1862,7.436605642396898e-07,7.861296325017975e-08
1863,6.49800142582535e-07,1.0688488316645817e-07
1864,6.942765935491479e-07,6.520829742839851e-08
1865,7.356797482316324e-07,2.6829013677343028e-08
1866,5.663573574565817e-07,6.130672147719451e-08
1867,6.507620469164976e-07,6.648351558169452e-08
1868,6.708348792017205e-07,6.026646559575966e-08
1869,6.040913262950198e-07,5.1276952461876135e-08
1870,7.087284075169009e-07,6.192772872282148e-08
1871,7.424202976835659e-07,1.2108142755096196e-07
1872,7.359611799984123e-07,5.200711683528425e-08
1873,6.452912657550769e-07,1.1014248002538807e-07
1874,6.297237860053428e-07,6.094101223652615e-08
1875,6.562591465808509e-07,1.104254749861866e-07
1876,6.245533086257637e-07,9.55270351710169e-08
1877,5.405528895607858e-07,1.1565605717578364e-07
1878,5.797525091111311e-07,9.239805365268694e-08
1879,6.18874651081569e-07,7.086817532808709e-08
1880,7.066048510750988e-07,9.370055664703614e-08
1881,5.501308351085754e-07,9.064260098057275e-08
1882,7.939874535622948e-07,4.326000180299161e-08
1883,6.009691446706711e-07,6.066565561013704e-08
1884,6.040552875674621e-07,5.809493330843907e-08
1885,6.529429015245114e-07,5.220964993668531e-08
1886,6.621253874072863e-07,5.6145136539953455e-08
1887,6.927189133421052e-07,6.594213886046418e-08
1888,6.45474585780903e-07,6.340614788769017e-08
1889,7.386595939351537e-07,4.8868066926388565e-08
1890,6.207004048519593e-07,4.391439034634459e-08
1891,6.131999725766946e-07,4.5894385181100006e-08
1892,6.13060535670229e-07,4.387958796314706e-08
1893,5.832020519846992e-07,3.571881634911733e-08
1894,6.767853051314887e-07,3.843938856107343e-08
1895,6.096856282056251e-07,4.69451926221609e-08
1896,5.902925863665587e-07,3.597187614445829e-08
1897,5.716005944123026e-07,4.1952336715667116e-08
1898,6.167607011775544e-07,4.583267454449924e-08
1899,5.698933591702371e-07,5.417026827103655e-08
1900,6.732796009600861e-07,3.6856476981483866e-08
1901,6.035838282514305e-07,4.694540578498163e-08
1902,4.821898755835718e-07,7.807351209976332e-08
1903,6.372259804265923e-07,3.4021386596805314e-08
1904,5.648731189467071e-07,2.8485512615361586e-08
1905,6.791559030716598e-07,2.8900251081154238e-08
1906,6.841765411991219e-07,3.343719967574543e-08
1907,6.541696961903654e-07,3.291419758966185e-08
1908,5.780705123470398e-07,2.161011281032188e-08
1909,6.909235139573866e-07,2.53045246978445e-08
1910,5.707552759304235e-07,2.1911017000775246e-08
1911,6.953728757252975e-07,1.9685383989553884e-08
1912,7.532823360634211e-07,2.2400511667797218e-08
1913,7.29691407741484e-07,2.1742257771961704e-08
1914,6.716833809150557e-07,3.0135346662518714e-08
