year,en_ADP os_NOUN,en_ADP bosse_NOUN
1800,2.389564883742423e-07,4.5904801027063513e-07
1801,1.7620750725200196e-07,3.8098920640550205e-07
1802,4.184761053238617e-07,4.900870180790662e-07
1803,2.691468239390815e-07,3.1400460898112215e-07
1804,1.7055771195373381e-07,2.768473166270269e-07
1805,3.5820258403873595e-07,1.9615856672317022e-07
1806,3.976703339958476e-07,6.829556014054106e-07
1807,2.391442421867396e-07,2.9608332852149033e-07
1808,1.3369836437959748e-07,3.2404858529844205e-07
1809,1.9201759471343394e-07,2.9141494906070875e-07
1810,2.223120389999167e-07,2.6443433398526395e-07
1811,2.8329966994533606e-07,4.888799480795569e-07
1812,2.2137828636914492e-07,2.4004873466765275e-07
1813,3.134558426154399e-07,2.041776525629757e-07
1814,2.454408161156607e-07,2.674675556590955e-07
1815,1.6992508733437717e-07,2.3735567822313897e-07
1816,2.2248997311180574e-07,2.456660013194778e-07
1817,1.7748357095115352e-07,4.4215204297870514e-07
1818,2.527289666431898e-07,3.3140872801595833e-07
1819,3.105315045104362e-07,3.8195375395844167e-07
1820,2.408895625194418e-07,2.1003671690777992e-07
1821,2.692186171771027e-07,2.504818041870749e-07
1822,2.7871212182617455e-07,2.0051231786055723e-07
1823,3.024102284143737e-07,2.8462139312068757e-07
1824,2.6442293687978236e-07,1.9115925908863574e-07
1825,2.764909083907696e-07,3.3108466368503287e-07
1826,2.589547420939198e-07,3.576041649466788e-07
1827,3.4564774864520587e-07,3.0601347589254146e-07
1828,2.595761259271967e-07,2.632450559758581e-07
1829,3.0349042390298564e-07,2.666257614691858e-07
1830,3.1832348668103805e-07,2.7448876949165424e-07
1831,3.492430096230237e-07,1.886535869743966e-07
1832,3.9236911675288866e-07,3.6395618963069865e-07
1833,5.421138098427036e-07,4.3901951585212373e-07
1834,4.5085783995091333e-07,2.072265914421223e-07
1835,5.347102955965966e-07,4.326086298078735e-07
1836,4.4222534256732615e-07,2.8159942644379043e-07
1837,5.621976129077666e-07,2.0943251399785368e-07
1838,4.778306674779742e-07,2.2218810613594542e-07
1839,5.411401957644557e-07,2.873496214306215e-07
1840,4.955617782798072e-07,2.0510397291673144e-07
1841,6.670949801446113e-07,2.311397508947266e-07
1842,5.903273176954826e-07,2.3478928312670178e-07
1843,5.03268836382631e-07,2.6462961955076025e-07
1844,4.807979507859272e-07,2.3655698555558047e-07
1845,5.864819740963867e-07,1.662907891386567e-07
1846,5.632030024571577e-07,2.4413270693912636e-07
1847,6.358610562529066e-07,1.9577402099457686e-07
1848,4.738635652756784e-07,1.617089537830907e-07
1849,6.234284910533461e-07,1.8686095870634745e-07
1850,5.607710704680358e-07,1.9823868058210792e-07
1851,4.849977699450392e-07,2.373393499510712e-07
1852,5.240988798504986e-07,3.5742894510804035e-07
1853,5.840549306412868e-07,1.6422812620930927e-07
1854,5.756796213063353e-07,2.2289400192221365e-07
1855,7.169671789597487e-07,2.3456661324416928e-07
1856,5.896818606743182e-07,2.914757430971804e-07
1857,1.0446429996591178e-06,4.046771096000157e-07
1858,6.342203846543271e-07,1.6442751871181827e-07
1859,6.925355933162791e-07,2.133620569111372e-07
1860,1.3466075188262039e-06,2.1421220708361943e-07
1861,7.696452826166933e-07,1.5374041595350718e-07
1862,7.662504799554881e-07,2.457784660236939e-07
1863,9.100199349632021e-07,1.808052729757037e-07
1864,1.2792334018740803e-06,1.8699438442126848e-07
1865,1.4708888329550973e-06,1.8215487784800644e-07
1866,1.6144103938131593e-06,1.1580159053892203e-07
1867,1.7868052282210556e-06,2.8631586701521883e-07
1868,1.891477722892887e-06,1.9067914536208264e-07
1869,1.260924591406365e-06,1.4601722853058163e-07
1870,1.7953307178686373e-06,2.8956947062397376e-07
1871,1.2352429621387273e-06,2.2623108009156567e-07
1872,1.782755589374574e-06,2.4794090336399677e-07
1873,2.064572981907986e-06,5.064159722678596e-07
1874,1.7983574025492999e-06,1.7565351129178453e-07
1875,1.916711653393577e-06,2.24856023578468e-07
1876,2.0629001937777502e-06,3.0048693133721827e-07
1877,1.9092526599706616e-06,3.2841373354131065e-07
1878,1.9518333829182666e-06,2.1861501409148332e-07
1879,1.9195499589841347e-06,1.808360252653074e-07
1880,1.634625391488953e-06,1.7777433924948127e-07
1881,1.981586592592066e-06,2.0080821627743717e-07
1882,1.451539446861716e-06,2.4425264655292267e-07
1883,2.0809582110814517e-06,2.540374168802373e-07
1884,1.7375666629959596e-06,2.4690345412636816e-07
1885,1.6913347735680873e-06,2.114168466960109e-07
1886,1.7714758087095106e-06,2.4781300567155995e-07
1887,1.6929501498452737e-06,2.565867305293068e-07
1888,2.4303576537931804e-06,2.238237044593916e-07
1889,1.9603612599894404e-06,1.566284169030041e-07
1890,1.46162813052797e-06,2.5103301481976814e-07
1891,1.4412111113415449e-06,1.6190519147585292e-07
1892,1.853599087553448e-06,1.9557758434984862e-07
1893,1.7884041199067724e-06,1.6196635499454715e-07
