year,en_ADP août_NOUN,en_ADP doute_NOUN
1800,3.229057028875104e-06,5.841857728228206e-06
1801,1.5049074093553827e-06,5.793417130917078e-06
1802,1.996153372374465e-06,6.5792501118266955e-06
1803,1.7104474636653322e-06,6.757925348210847e-06
1804,1.3076091889274721e-06,5.4850370361236855e-06
1805,1.2736091719034448e-06,6.308345746219857e-06
1806,2.616555661916209e-06,6.299328560999129e-06
1807,1.3323749712412791e-06,5.41206145499018e-06
1808,1.8468503526491986e-06,5.87139766139444e-06
1809,1.1746958179514877e-06,6.115195446909638e-06
1810,1.2706887915214793e-06,6.816789209551644e-06
1811,4.424990692086794e-06,5.658472218783572e-06
1812,1.2749255873245602e-06,6.275940904743038e-06
1813,1.2538233491454776e-06,7.522939995396882e-06
1814,2.108273719159115e-06,6.954156560823321e-06
1815,1.6722786497780362e-06,9.10582639335189e-06
1816,1.610734670975944e-06,8.50328888191143e-06
1817,1.7250157569037583e-06,7.599099262733944e-06
1818,1.7464524759702726e-06,7.693927727814298e-06
1819,1.4108480659302813e-06,8.41540349938441e-06
1820,1.4109246251337026e-06,8.242457624874078e-06
1821,1.8588905845717818e-06,7.5400939749670215e-06
1822,2.080315269381572e-06,8.545835044060368e-06
1823,1.6444790915670637e-06,7.729249773547053e-06
1824,1.1781136777244683e-06,7.234577878989512e-06
1825,2.1414837760858063e-06,7.080456725816475e-06
1826,2.0584259203815236e-06,7.1054009822546504e-06
1827,2.2066152070010503e-06,7.267819910339313e-06
1828,1.4033620914233325e-06,8.101893399725668e-06
1829,1.4334350559863651e-06,7.308632575586671e-06
1830,1.4768122404973383e-06,7.612627996422816e-06
1831,2.106371908894289e-06,7.60071316108224e-06
1832,1.6073603603672382e-06,7.445541996276006e-06
1833,1.712060280212313e-06,7.163315785874147e-06
1834,1.9070446235502914e-06,6.952358489797916e-06
1835,1.572365945889942e-06,7.4405656960152555e-06
1836,1.6492720149585693e-06,8.138827979564667e-06
1837,1.7241653935684553e-06,8.326507668243721e-06
1838,1.4461162649581638e-06,7.929968887765426e-06
1839,1.8058980764124044e-06,7.963290045154281e-06
1840,1.6026136968605442e-06,7.5270609158906154e-06
1841,1.8253619415986577e-06,8.068061106314417e-06
1842,1.7783610477550837e-06,7.841961632948369e-06
1843,1.8606769316420468e-06,8.587467164034024e-06
1844,1.798052654322646e-06,7.836567419872154e-06
1845,2.0228325858795415e-06,7.808970622136258e-06
1846,1.7586922140822026e-06,8.151807378453668e-06
1847,1.936167237204245e-06,7.674557309655938e-06
1848,1.563991084196914e-06,6.988884251768468e-06
1849,2.0973675063373776e-06,7.336177986871917e-06
1850,1.806551837901793e-06,7.451601959473919e-06
1851,2.226346261124945e-06,7.810915121808648e-06
1852,2.215538575711662e-06,7.966954399307724e-06
1853,2.3159151538720835e-06,7.4822332862822805e-06
1854,2.0725506004737326e-06,7.749333235551603e-06
1855,2.072889685678092e-06,7.564507995994063e-06
1856,2.195645937064228e-06,6.886697065056069e-06
1857,3.4492743026248718e-06,7.709367309871595e-06
1858,2.9264183609711836e-06,7.784370609442703e-06
1859,2.294533398838894e-06,7.730428478680551e-06
1860,2.0958925297520636e-06,7.377504971373128e-06
1861,2.199997020113642e-06,7.600247045047581e-06
1862,2.305528397528178e-06,7.106792509148363e-06
1863,2.513293267725203e-06,7.205239853647072e-06
1864,2.557987336615497e-06,7.852326234569773e-06
1865,2.573231697056144e-06,7.265484782692511e-06
1866,2.9140156314610977e-06,7.2317602644034196e-06
1867,2.9267306160818407e-06,6.957475761737442e-06
1868,2.54304710267661e-06,7.431546691805124e-06
1869,2.6898424252408404e-06,7.79849142418243e-06
1870,3.3205875809017016e-06,7.447382358805044e-06
1871,3.312745256778271e-06,6.552204467880074e-06
1872,2.8144316388534207e-06,6.984072115301387e-06
1873,3.301880042272387e-06,7.133521648938768e-06
1874,3.1862589793263396e-06,6.754295554856071e-06
1875,3.066738543111569e-06,7.245741926453775e-06
1876,3.477063167167671e-06,6.717727046634536e-06
1877,3.0837492701607516e-06,7.135422038118122e-06
1878,3.4579821388547316e-06,6.397206561814528e-06
1879,4.13906781204787e-06,6.7281998781254515e-06
1880,3.513129129828485e-06,6.6225757109350525e-06
1881,3.663355354177611e-06,6.559735084010754e-06
1882,3.697731926877168e-06,6.144251528894529e-06
1883,3.993190361484267e-06,6.3736852098372765e-06
1884,3.805218184993464e-06,6.187110557220876e-06
1885,4.0381908519293574e-06,6.023446530889487e-06
1886,4.026961384795413e-06,5.913954282732448e-06
1887,4.155660612070733e-06,6.067329650250031e-06
1888,5.000208865624245e-06,5.777568276243983e-06
1889,4.2201961640842e-06,6.056507572793635e-06
1890,4.396682410146013e-06,5.717391104553826e-06
1891,4.512947668899869e-06,5.664132004312705e-06
1892,4.91263324420288e-06,5.4467104746436235e-06
1893,5.387382948640607e-06,5.777826572739286e-06
1894,5.328581551111711e-06,5.6480698731320444e-06
1895,4.900957755182844e-06,5.6851831686799414e-06
1896,5.321479022768472e-06,5.431163572211517e-06
1897,5.709596692327068e-06,5.5225591495400295e-06
1898,5.354501375620657e-06,5.556504675041651e-06
1899,5.948226984742178e-06,5.257280008663656e-06
1900,5.2190847554811626e-06,5.031168711866485e-06
1901,5.777079501001481e-06,5.3948097047396e-06
1902,5.086562829603736e-06,4.651020844903542e-06
1903,6.7281345863534625e-06,5.59516820430872e-06
1904,6.275949942846637e-06,5.492329364642501e-06
1905,6.249679103120798e-06,5.55865335627459e-06
1906,6.293395145462455e-06,5.365898687159643e-06
1907,5.95541267500721e-06,5.4894708227948286e-06
1908,6.469772976913646e-06,5.461955879582092e-06
1909,6.688645953545347e-06,5.474578756547999e-06
1910,6.271360632581491e-06,5.281623998598661e-06
1911,6.644615424988842e-06,5.198537564865546e-06
1912,6.410192909811485e-06,5.389667421695776e-06
1913,6.536464951523158e-06,5.064355264039477e-06
1914,7.119308023106896e-06,5.443782811198616e-06
1915,1.0643918088248938e-05,4.9384952944819815e-06
1916,1.0828143985008865e-05,5.159712145541562e-06
1917,1.1000420158779889e-05,4.499524038692471e-06
1918,1.0691518767202979e-05,4.848399385082303e-06
1919,1.0293453982512801e-05,4.711655947176041e-06
1920,9.165429133872749e-06,4.936337973049376e-06
1921,9.330382269467918e-06,4.947276011080248e-06
1922,9.12871962555073e-06,4.944692136632511e-06
1923,8.235852718030401e-06,4.934292519465089e-06
1924,8.059843366936548e-06,5.240445261733839e-06
1925,8.39270944652526e-06,5.32641752215568e-06
1926,8.03079284139585e-06,5.091555976832751e-06
1927,7.597081676635753e-06,5.0639778237382416e-06
1928,8.303304383616705e-06,5.0103190005756915e-06
1929,8.249471079579962e-06,5.026551207265584e-06
1930,8.330408093115693e-06,5.1100032578688115e-06
1931,7.898209503309772e-06,5.271555892250035e-06
1932,8.885992485829775e-06,5.496207450050861e-06
1933,1.0073535207766326e-05,5.348769718693802e-06
1934,9.049687577089571e-06,5.2024020078533795e-06
1935,8.975016228873756e-06,5.570039320446085e-06
1936,8.865591155426955e-06,5.639204573526513e-06
1937,9.33757320353834e-06,5.780582341685658e-06
1938,8.756705852874802e-06,5.669688107445836e-06
1939,8.488197806855169e-06,5.709268862119643e-06
1940,9.047673358963948e-06,5.122281436342746e-06
1941,7.85690005500328e-06,5.2300624702183995e-06
1942,8.608058720938061e-06,5.2795285228057764e-06
1943,7.934541912391069e-06,5.995180799800437e-06
1944,8.190411676878284e-06,6.760543783457251e-06
1945,1.0276003081344243e-05,5.722929927287623e-06
1946,8.857998636813136e-06,5.408348897617543e-06
1947,8.93230880194551e-06,5.748243893322069e-06
1948,8.442021083965301e-06,5.60445823793998e-06
1949,1.031178555876977e-05,5.207923095440492e-06
1950,9.343164890651678e-06,5.806907211081125e-06
1951,9.548351400212596e-06,5.558854809351033e-06
1952,8.855526345996623e-06,5.575037903327029e-06
1953,9.27195583244611e-06,5.781235813628882e-06
1954,9.28293216873044e-06,5.844953648193041e-06
1955,8.676994298184582e-06,6.316513918136479e-06
1956,8.814457657990715e-06,5.847525244462304e-06
1957,9.047961967212359e-06,5.92742662774981e-06
1958,8.857090904257348e-06,5.692957984138047e-06
1959,9.012569591959618e-06,5.861115369043546e-06
1960,8.702255854586838e-06,5.726989456888987e-06
1961,8.615022807134665e-06,5.776004854851635e-06
1962,9.422244644952116e-06,5.901190434087766e-06
1963,9.787018228735178e-06,5.790997420263011e-06
1964,1.0115205739680277e-05,6.093094270909205e-06
1965,9.060609244215811e-06,6.130330348241841e-06
1966,8.8830142885854e-06,5.879173841094598e-06
1967,9.13591190965235e-06,6.209757884789724e-06
1968,9.010229234718281e-06,5.956515906291315e-06
1969,9.076702724541974e-06,5.781203526566969e-06
1970,9.410370907403376e-06,5.8178470681014005e-06
1971,9.42690438421323e-06,5.7472975640848745e-06
1972,9.768825549372195e-06,5.486691861733561e-06
1973,1.0224787530432877e-05,5.514857548405416e-06
1974,9.70523602461526e-06,5.402799160947325e-06
1975,1.0618783875315785e-05,5.247136869002134e-06
1976,1.0095230578599512e-05,5.604969828709727e-06
1977,1.0583496603544518e-05,5.58940701012034e-06
1978,1.1098213008153834e-05,5.566334039031062e-06
1979,1.0123328834765744e-05,5.496758603840135e-06
1980,1.0450444449361385e-05,5.375310138333589e-06
1981,1.0721173808292406e-05,5.4026518228056375e-06
1982,1.1295791807697242e-05,5.526539098354988e-06
1983,1.1070117380995725e-05,5.5732662076479755e-06
1984,1.100013918176046e-05,5.364662683859933e-06
1985,1.1335717147176183e-05,5.208871698414441e-06
1986,1.141110271873913e-05,5.1996166803292e-06
1987,1.1556165986803535e-05,5.2491918722807895e-06
1988,1.198591138518168e-05,5.389103080233326e-06
1989,1.2290100386280756e-05,5.249388777883723e-06
1990,1.2240939469165824e-05,5.323332061379915e-06
1991,1.1778028309095134e-05,5.367930043576052e-06
1992,1.2264584725585337e-05,5.204693479754496e-06
1993,1.2058854835572674e-05,5.245629381533945e-06
1994,1.2270007047732179e-05,5.073424290458206e-06
1995,1.2234675381250781e-05,5.125300504005281e-06
1996,1.232672232731602e-05,5.274569048197009e-06
1997,1.2071146684888845e-05,5.249450623523444e-06
1998,1.178729259265765e-05,5.202505690249382e-06
1999,1.2292013451542516e-05,5.209572464082157e-06
2000,1.2173885821198382e-05,5.001211775379488e-06
2001,1.2181521242382587e-05,4.970046575181186e-06
2002,1.225602902366063e-05,5.108066034154035e-06
2003,1.1739471972305182e-05,5.133232207299443e-06
2004,1.2840847105621833e-05,4.769067345478106e-06
2005,1.207140005732299e-05,4.814057774638059e-06
2006,1.2379612769564119e-05,4.784576503880089e-06
2007,1.208170271382869e-05,4.697507847595261e-06
2008,1.2919625895335685e-05,4.433697540662251e-06
2009,1.1748826217683472e-05,4.1349767343490385e-06
2010,1.0671521003757789e-05,4.069547685503494e-06
2011,9.728949493137407e-06,3.5712073440663517e-06
2012,9.269439626535814e-06,3.4382951525913086e-06
2013,8.279517736298203e-06,3.6029916827828856e-06
2014,8.897164562426951e-06,3.868134626827668e-06
2015,7.331544814803692e-06,3.5737843973038252e-06
2016,6.5717406343424045e-06,3.5801040212390944e-06
2017,7.253010611663058e-06,3.109043973381631e-06
2018,7.0283010131788615e-06,3.241547801735578e-06
2019,7.519546358025764e-06,3.4410272746754345e-06
