year,mon_DET essai_NOUN,mon_DET décès_NOUN
1800,1.4463156716715275e-07,6.288328791015374e-08
1801,4.571870526604016e-07,7.143547975374531e-09
1802,1.9155911559209926e-06,3.8043282302169246e-08
1803,2.8084885439483287e-07,6.826187615160961e-08
1804,4.86954653267091e-07,2.0021992952479195e-07
1805,4.264316544322355e-07,1.2224374756897305e-07
1806,3.91906993968405e-07,3.169836020333605e-07
1807,3.0462420141930124e-07,2.8469551693888207e-07
1808,3.4897539791245435e-07,2.719288829666766e-07
1809,3.4789070468832506e-07,2.6656559271032165e-07
1810,2.0125090571809778e-07,2.0593115834799391e-07
1811,5.640922444705154e-07,4.763445815569867e-08
1812,1.5736528657939175e-07,2.2671270016871858e-07
1813,5.147577581965379e-07,1.00650957790549e-07
1814,6.073086851188236e-07,1.0069366851439554e-07
1815,2.3196122667101804e-07,1.4295284245235962e-07
1816,5.492720980271315e-07,4.774263970830361e-07
1817,3.3472777583032354e-07,6.694555310104988e-08
1818,2.9564519832270264e-07,6.318224166079744e-08
1819,3.146719227409278e-07,7.03871378959775e-08
1820,3.061552158456493e-07,9.611849804969097e-08
1821,4.003764324522763e-07,6.439551611947536e-07
1822,3.027735999694414e-07,2.7169420491190976e-07
1823,3.458940440737024e-07,1.0179167730939298e-07
1824,2.896862785206622e-07,1.6336959163254505e-07
1825,5.177600526096171e-07,1.0038205289220059e-07
1826,3.68173737275157e-07,2.166764119237996e-07
1827,2.4425773526015604e-07,1.585370910106576e-07
1828,1.4217066868216222e-07,2.1646630443683534e-07
1829,1.9718304661298092e-07,3.926514580143703e-07
1830,2.932750868822609e-07,1.8786305133744463e-07
1831,6.407985733147825e-07,2.2919073217053665e-07
1832,2.5301043526937406e-07,2.746583902535349e-07
1833,2.455729278816321e-07,2.7337364372215234e-07
1834,2.520323292287685e-07,2.0629313723929954e-07
1835,1.973966021751039e-07,1.7697625764867553e-07
1836,2.7756697740244363e-07,1.1492482343555821e-07
1837,2.1082409062955776e-07,1.1063046656545339e-07
1838,2.0703890513118495e-07,2.7836634330924426e-07
1839,4.460561024988152e-07,1.8946897739624546e-07
