year,en_ADP are_NOUN,en_ADP phare_NOUN
1800,5.65949598296811e-08,0.0
1801,5.9529563944948904e-08,2.3811825844433088e-09
1802,6.713520406265161e-09,0.0
1803,4.4857801695386e-08,0.0
1804,2.719036085174764e-08,0.0
1805,8.528633133053631e-09,0.0
1806,2.881669125542885e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,5.211970233176544e-08,0.0
1809,1.355418288717658e-08,0.0
1810,5.8503168531842675e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,3.467370746079723e-08,0.0
1813,1.150296680130225e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,2.9669458667669346e-08,0.0
1816,1.1819780176836048e-07,0.0
1817,2.8023721343473085e-08,0.0
1818,1.9073883805731384e-08,0.0
1819,5.175525008560555e-08,0.0
1820,1.542642635854463e-08,0.0
1821,3.94459531705138e-09,0.0
1822,1.303330066093622e-08,0.0
1823,3.162459771832715e-08,0.0
1824,1.0105335235266466e-08,1.6842225392110777e-09
1825,1.0566531427613768e-08,0.0
1826,1.0569580766173203e-08,0.0
1827,3.2260455640198415e-08,0.0
1828,1.1923991571904935e-08,0.0
1829,1.0287811491593857e-08,8.57317605795771e-10
1830,1.2524202563923836e-08,0.0
1831,1.4032085715598441e-08,0.0
1832,1.3529969256076413e-08,0.0
1833,9.266902800675325e-09,0.0
1834,1.773560875939495e-08,0.0
1835,1.5882484660778573e-08,3.025235173481633e-09
1836,7.392825018825988e-09,1.3441500135158435e-09
1837,1.3219993100221927e-08,0.0
1838,8.2058102535143e-09,2.5248647617104325e-09
1839,1.3982950020086093e-08,0.0
1840,2.611572358368619e-08,0.0
1841,2.3756030032018316e-08,4.494383976094696e-09
1842,1.341653010911159e-08,0.0
1843,1.1223130869097986e-08,2.953455480181333e-09
1844,1.152597856046711e-08,3.841992946007622e-09
1845,1.1718478631905782e-08,3.348136878855712e-09
1846,7.025401593807601e-09,5.854501328173001e-10
1847,9.707802561820245e-09,1.6179670936367074e-09
1848,2.735375304041554e-08,1.6090443422100975e-09
1849,1.3407064125559032e-08,0.0
1850,3.4623880651452055e-08,1.3577992064028876e-09
1851,1.3543821175687754e-08,2.579775504329973e-09
1852,2.7344290387532055e-08,0.0
1853,4.478948767427937e-08,0.0
1854,1.2989161413123895e-08,0.0
1855,2.4942604426314574e-08,5.306937111981824e-10
1856,1.6049286344355096e-08,0.0
1857,2.0990488902583593e-08,4.881508974818871e-09
1858,2.6425850618849722e-08,1.4681028059904122e-09
1859,1.680417205385254e-08,3.055304009791371e-09
1860,1.5562426014525954e-08,4.57718396518203e-09
1861,2.075024119196911e-08,9.431927461278633e-10
1862,2.25899317307654e-08,0.0
1863,1.498386242859695e-08,2.4973103585068657e-09
1864,2.1096803859421698e-08,2.3973640850272204e-09
1865,1.1767110841276462e-08,6.118897888374164e-09
1866,2.578774882522339e-08,1.4596839292835284e-09
1867,2.6690463172940326e-08,5.82337378318698e-09
1868,4.2482916740027576e-08,7.903798504571569e-09
1869,2.0510780074367574e-08,1.0743741896135361e-08
1870,3.2110673231500186e-08,4.587239033071455e-09
1871,3.611200227737754e-08,5.3105884134652115e-09
1872,3.9912439575573444e-08,6.047339518033823e-09
1873,3.890902905423488e-08,2.3944017879529156e-09
1874,6.870800672853505e-08,1.7923826867161097e-09
