year,en_ADP île_NOUN,en_ADP ile_NOUN,en_ADP fil_NOUN
1800,3.144164395507687e-08,1.2576657937302116e-08,4.936338200423052e-07
1801,1.0715321963061797e-07,3.095537381980762e-08,8.500821877532871e-07
1802,6.937304419807333e-08,2.2378401354217203e-08,4.6994642843856127e-07
1803,3.705644502360883e-08,1.1702035340732664e-08,1.2384654155539465e-06
1804,1.557266102736321e-07,4.943701892301533e-09,6.253782771636907e-07
1805,6.254330742194725e-08,1.9900143755080535e-08,8.102201718429569e-07
1806,5.187004603612877e-08,5.76333825108577e-09,8.673824254401552e-07
1807,6.832692633906845e-08,5.693910232196231e-09,7.145857239265752e-07
1808,7.47804418388398e-08,2.2660739951163578e-08,7.681990723540366e-07
1809,7.454800710071652e-08,6.7770917766551975e-09,1.2650571079575457e-06
1810,8.424456154898508e-08,4.680253518074551e-08,7.090583835633879e-07
1811,6.267691787797958e-08,1.0028307073639553e-08,7.49615935546899e-07
1812,9.868670503010435e-08,8.00162469616339e-09,8.64175490278285e-07
1813,9.777521370324394e-08,2.5881675469463516e-08,1.1387936638129759e-06
1814,9.125363931161701e-08,2.5173416684509675e-08,9.125363931161701e-07
1815,6.74305908887618e-08,5.394447111228828e-09,1.0869811148950248e-06
1816,6.025770460382773e-08,6.952811659743929e-09,1.0892738373513566e-06
1817,9.49692804397273e-08,1.0898113522728181e-08,1.0384345614511403e-06
1818,1.1801965627000754e-07,7.152706427149269e-09,1.002571025310317e-06
1819,4.5544620519422097e-08,7.24573512300708e-09,1.024753942147072e-06
1820,1.2222476186707354e-07,3.5599443393152796e-09,1.2281808494662982e-06
1821,3.550135829755163e-08,1.0847637010868993e-08,6.597335868718801e-07
1822,5.714601059025881e-08,7.017931125119503e-09,9.013028829940595e-07
1823,7.313188632451784e-08,6.917880934764753e-09,1.7828367617767071e-06
1824,4.6316120716483056e-08,1.0947446504872005e-08,1.4627472637585015e-06
1825,9.862096272961196e-08,1.4969253392393966e-08,1.2653421208597138e-06
1826,1.3476216054186807e-07,8.807984452907647e-09,1.1811506510639447e-06
1827,4.2399456390285195e-08,8.295545805836468e-09,1.577997181811952e-06
1828,9.630916508740484e-08,8.255071293206129e-09,1.4611475762649206e-06
1829,1.0287811136322489e-07,1.971830476676928e-08,1.351989908471296e-06
1830,6.575206867864836e-08,8.349468672008697e-09,1.406885417054582e-06
1831,5.456922025359745e-08,1.2472964883158966e-08,1.5949804037518334e-06
1832,6.22378593106987e-08,3.382492252956837e-08,1.2880531130576856e-06
1833,1.3321172898095313e-07,3.590924801954998e-08,1.2498735486587975e-06
1834,8.027696907220161e-08,2.5203233278148218e-08,1.5364637420134386e-06
1835,7.638718813041123e-08,1.5882484660778573e-08,1.3742130704486044e-06
1836,1.0148332307835517e-07,4.099657502365517e-08,1.3239878171589226e-06
1837,7.305785487687899e-08,9.74104708006962e-09,1.2099771993234754e-06
1838,5.996553653631054e-08,2.0830134062066463e-08,1.1633314898062963e-06
1839,9.088918062616358e-08,1.1186360615589308e-08,1.9072743953074678e-06
1840,8.853866972913238e-08,3.949207094677831e-08,1.2854031865572324e-06
1841,7.76886395215115e-08,3.4028906803484915e-08,1.7592302583580022e-06
1842,5.903273203600179e-08,2.2808100297311285e-08,1.1108886610600166e-06
1843,5.9069112268161916e-08,1.594865972620596e-08,1.1347176496201428e-06
1844,6.53138769735051e-08,1.2074834687680891e-08,1.5088054396983352e-06
1845,9.095771247302764e-08,2.4553003186156275e-08,1.3381386452238075e-06
1846,6.732676638421253e-08,1.8148954339380907e-08,1.3125792293067207e-06
1847,4.7460368080010085e-08,1.0247124926365814e-08,1.4507771766147926e-06
1848,7.803865287314693e-08,1.769948720919956e-08,1.2984987733943854e-06
1849,7.29009101974043e-08,1.7596771817451895e-08,1.10105509065761e-06
1850,7.128446100068686e-08,2.104588769924476e-08,1.5723314845672576e-06
1851,4.9660677348128957e-08,2.063820336850597e-08,1.5265821957655135e-06
1852,6.901178140061859e-08,1.8229527221080843e-08,1.268254209207953e-06
1853,9.614809926006274e-08,2.269334142823709e-08,1.562257352816232e-06
1854,7.58567040293201e-08,8.884585955826196e-08,1.4142598274702323e-06
1855,5.306937111981824e-08,1.1675261646360013e-08,1.4020928347235895e-06
1856,4.814786080942213e-08,9.836659264905734e-09,1.194377546198666e-06
1857,5.9554409403972386e-08,9.763018393726952e-09,1.3858604006600217e-06
1858,6.753272691062406e-08,1.3702293077955119e-08,1.2694196129814372e-06
1859,6.568903621051447e-08,1.018434669930457e-08,1.3275296169013018e-06
1860,5.6757080812985805e-08,2.1055046151019496e-08,1.7690815639070934e-06
1861,5.800635555219813e-08,1.650587311274876e-08,1.5633419252480962e-06
1862,6.957699127951855e-08,1.3102160689726361e-08,1.4687973362015327e-06
1863,9.589672345100553e-08,2.497310469529168e-08,1.3015982176511898e-06
1864,7.959248193856183e-08,2.2535221688713136e-08,1.167516302302829e-06
1865,5.836486849375433e-08,4.142023080078161e-08,1.1936557484659716e-06
1866,6.957826315101556e-08,2.9680238100571188e-08,1.113252210416249e-06
1867,5.386620927083641e-08,2.2808213984149006e-08,1.6717935977794696e-06
1868,4.050696877921922e-08,2.4699369660652337e-08,1.3362359823076986e-06
1869,8.106642057637004e-08,1.1720446391194628e-08,1.029934196594695e-06
1870,7.511604138699113e-08,7.454263428741115e-09,1.1766268244173261e-06
1871,7.009977154304181e-08,2.6552942955504477e-08,1.2203732921989285e-06
1872,5.6844989160254045e-08,1.6327815544059376e-08,1.026233462653181e-06
1873,8.08110627303904e-08,3.292302430679683e-08,1.7796390920921112e-06
1874,5.257655999457711e-08,2.2106054209380943e-08,1.3651981589646311e-06
1875,7.437985516389745e-08,3.490131444960909e-08,1.644939061407058e-06
1876,5.985554452081487e-08,1.3301233003915058e-08,1.3343554883249453e-06
1877,8.225805459005642e-08,1.669900340228736e-08,1.3111809948895825e-06
1878,8.152769481739597e-08,1.8117265909722846e-08,1.4838041124676238e-06
1879,5.5594860270957724e-08,1.0385853066452455e-08,1.3574921240433468e-06
1880,8.279021557200394e-08,4.235778594541273e-08,1.0660043017196585e-06
1881,5.717456247333885e-08,2.9284531744000475e-08,1.501878159615444e-06
1882,4.45910792734594e-08,6.655385131892899e-09,1.4608569927077042e-06
1883,7.140852886777793e-08,3.728410069570032e-08,1.4325941037895973e-06
1884,6.271612296160356e-08,2.1125431182156262e-08,1.4074818182052695e-06
1885,4.18966337178972e-08,1.0313017106966527e-08,1.552109097247012e-06
1886,4.194751518360462e-08,2.0651084398082276e-08,1.5333430383179802e-06
