year,mon_DET autographe_NOUN,mon_DET photographe_NOUN
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,2.2743021688143017e-08,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,6.720750067579218e-10,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,4.894032734625853e-09,0.0
1840,0.0,0.0
1841,0.0,1.2841097074556274e-09
1842,0.0,0.0
1843,5.906911071384968e-10,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,1.1709002656346001e-09,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,9.222697627819798e-08,0.0
1852,0.0,0.0
1853,5.971931837933653e-09,0.0
1854,1.4028294081924741e-08,0.0
1855,1.1675261646360013e-08,0.0
1856,0.0,0.0
1857,9.763018171682347e-10,0.0
1858,4.893676130990343e-09,0.0
1859,2.036869339860914e-09,0.0
1860,1.8308735638683515e-09,0.0
1861,6.6023493339173456e-09,9.431927461278633e-10
1862,1.8071945051545413e-09,3.162590467287174e-09
1863,1.9978483312144135e-09,4.994620828036034e-10
1864,2.8768367688059016e-09,1.4384183844029508e-09
1865,4.23615986733239e-09,3.294791106611683e-09
1866,5.838735717134114e-09,0.0
1867,4.367530337390235e-09,0.0
1868,9.87974813071446e-10,9.87974813071446e-10
1869,3.906815315701806e-09,9.767038289254515e-10
1870,5.734048791339319e-10,6.880858549607183e-09
1871,0.0,1.0621177271019633e-09
1872,1.2094678591978436e-09,0.0
1873,1.1972008939764578e-09,5.986004469882289e-10
1874,4.182226565063729e-09,0.0
1875,1.0870901512305409e-08,0.0
1876,2.418405919968336e-09,0.0
1877,1.2369631985365004e-09,6.184815992682502e-10
1878,5.435179861734696e-09,0.0
1879,4.887460214320072e-09,0.0
1880,6.417846254436199e-09,1.2835692508872398e-09
1881,6.2752569807145164e-09,4.8807553554297556e-09
1882,1.9966155395678697e-09,1.3310770263785798e-09
1883,6.319338941018771e-10,2.5277355764075082e-09
1884,0.0,0.0
1885,2.5782542767416317e-09,0.0
1886,3.872078213618124e-09,6.453463874400711e-10
1887,1.0446279397058333e-08,6.528924623161458e-10
1888,0.0,6.340614699951175e-10
1889,6.265136742733546e-09,1.2530273485467092e-09
1890,1.3108772956016423e-09,6.554386478008212e-10
1891,1.2748440081367107e-09,6.374220040683554e-10
1892,2.5074049503359674e-09,0.0
1893,1.2316833108982905e-09,6.158416554491453e-10
1894,1.260307880279754e-08,0.0
1895,3.611168697403855e-09,1.8055843487019274e-09
1896,1.179405795248556e-09,1.179405795248556e-09
1897,1.7480140668268973e-09,1.1653427112179315e-09
1898,6.224190496340043e-09,0.0
1899,0.0,1.1607914629507832e-08
1900,0.0,4.1528424032932776e-09
1901,2.235495621949468e-09,1.1177477832191585e-09
1902,3.928227132465878e-09,4.910283846193408e-10
1903,5.400220048912274e-09,1.0800440541913758e-09
1904,3.2247751136083025e-09,1.0749250378694342e-09
1905,2.580379465655369e-09,1.0321518084666081e-09
1906,3.0865106026567446e-09,5.144184633820714e-09
1907,5.142843373384665e-10,6.685696329888913e-09
1908,1.4734167219643268e-09,2.4556945366072114e-09
1909,5.500983557560346e-10,3.300590023513905e-09
1910,5.344150677544235e-10,1.068830135508847e-08
1911,2.128149656499545e-09,1.5961122423746588e-09
1912,5.209421227725386e-10,1.0418842455450772e-09
1913,2.6514948570088848e-09,6.363587878865928e-09
1914,0.0,6.696743715117748e-10
1915,1.5314990164938536e-08,1.0602685729388384e-08
1916,6.592477230782379e-09,3.2962386153911893e-09
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,7.572231730534895e-10,6.057785384427916e-09
1921,0.0,5.300923366924337e-09
1922,5.90234855435412e-09,1.4755870969551665e-09
1923,2.1231896241147297e-09,2.1231896241147297e-09
1924,0.0,0.0
1925,2.1996355847875293e-09,0.0
1926,4.458455382660986e-09,1.1146138456652466e-09
1927,1.1149224876660924e-09,1.1149224876660924e-09
1928,0.0,3.4278123672848437e-09
1929,3.342121912552898e-09,1.1140406375176326e-09
1930,1.0503603542488804e-09,9.453243299262226e-09
1931,2.2810713318222042e-09,4.5621426636444085e-09
1932,3.287861094491973e-09,0.0
1933,8.02946331646126e-09,0.0
1934,2.3963160344919743e-09,9.585264137967897e-09
1935,1.0771455727365264e-08,3.590485242455088e-09
1936,4.849885826274658e-09,3.6374143697059935e-09
1937,0.0,0.0
1938,1.2965214457594243e-09,7.779128452511941e-09
1939,0.0,7.647025235257843e-09
1940,1.2678914806940611e-08,2.5357829169792012e-09
1941,0.0,0.0
1942,0.0,9.102635090130207e-09
1943,2.9032352077962287e-09,0.0
1944,0.0,0.0
1945,6.535512131478072e-09,4.357008087652048e-09
1946,2.7842208538686464e-09,5.568441707737293e-09
1947,8.344609447874518e-09,8.344609447874518e-09
1948,2.174377566888097e-09,0.0
1949,0.0,0.0
1950,0.0,2.1270722960764488e-09
1951,6.396841278899501e-09,2.1322803522849654e-09
1952,2.1089607837865287e-09,8.435843135146115e-09
1953,0.0,7.541679392097933e-09
1954,1.172704333640695e-08,2.9317608341017376e-09
1955,2.815682353940474e-09,2.815682353940474e-09
1956,3.488456634670456e-09,3.488456634670456e-09
1957,5.3010225653515874e-09,5.301022620862739e-09
1958,3.3088973783179654e-09,6.617794867658233e-09
1959,6.9756733722670106e-09,3.100299128533379e-09
1960,4.844583401109048e-09,4.8445834566201995e-09
1961,6.948159270159238e-10,1.3896318540318475e-09
1962,2.536782617301725e-09,6.341956404476434e-09
1963,6.466053248388448e-10,3.2330267352165265e-09
1964,4.258777774879263e-09,5.4755713296827935e-09
1965,2.188817405102128e-09,3.2832261354087677e-09
1966,1.1078149508847446e-09,2.769537488234164e-09
1967,0.0,9.860671168482327e-10
1968,4.042274071025531e-09,1.2126823101255013e-08
1969,6.812636649256021e-09,7.266812429573832e-09
1970,5.978342487722443e-09,5.058597374318907e-09
1971,2.0553589941130213e-09,5.138397263237948e-09
1972,1.5390440033513642e-09,7.69522046084603e-09
1973,4.9618833486420044e-09,1.0475086797967492e-08
1974,1.1251143350321513e-09,3.937900228123681e-09
1975,3.998036124386317e-09,6.282628195464213e-09
1976,5.713526873840635e-10,1.142705374768127e-08
1977,1.7630346071939584e-09,1.7630346071939584e-09
1978,1.1881182704343018e-09,3.5643548113029055e-09
1979,2.925986564150662e-09,5.851973128301324e-09
1980,3.411090521154847e-09,7.390696110665118e-09
1981,6.325549528618524e-10,2.5302198114474095e-09
1982,3.7245013739806154e-09,8.069752976958e-09
1983,6.315316269933646e-09,2.526126308133314e-09
1984,5.799008495621649e-10,2.8995042478108246e-09
1985,3.0077789148208467e-09,7.2186697730458604e-09
1986,7.193382556280881e-09,8.392279871038966e-09
1987,2.4443267410134695e-09,4.277571630240118e-09
1988,1.798966087207532e-09,4.1975875553212916e-09
1989,3.841685636274406e-09,3.841685525252103e-09
1990,5.44865097484859e-10,8.717841171179685e-09
1991,1.1722930404189924e-09,1.1136783606424672e-08
1992,3.856960861803316e-09,6.060938528840154e-09
1993,2.2156829704300662e-09,9.416652790861235e-09
1994,4.219941174277153e-09,3.164955852952289e-09
1995,5.422450821690461e-10,7.049185846152994e-09
1996,3.736664533349199e-09,2.6690460952494277e-09
1997,1.917957792585412e-09,9.110299625803009e-09
1998,1.9072516899143466e-09,4.7681292247858664e-09
1999,1.3710603485872497e-09,1.0054442389773044e-08
2000,4.4180314962005696e-10,4.4180314962005696e-09
2001,4.3812117822561447e-10,6.133696439647451e-09
2002,0.0,7.886198805096e-09
2003,3.7502307925763034e-09,7.500461363108002e-09
2004,0.0,9.690541036277978e-09
2005,6.7556245042510454e-09,1.261049931144953e-08
2006,6.1768350434476815e-09,4.1178899179428186e-09
2007,1.997239706952314e-09,7.190063044948403e-09
2008,5.5346714711301814e-09,8.940623352771127e-09
2009,3.814554005998616e-09,9.53638501499654e-09
2010,2.8342759250676863e-09,2.1257068993918438e-08
2011,7.265546830836911e-09,1.9119860139582556e-08
2012,9.531907707582832e-09,2.4851045554719065e-08
2013,1.1156499724052082e-08,2.7054512408142273e-08
2014,7.795602746663022e-09,2.3170263707683603e-08
2015,7.979671257096754e-09,2.682056132741195e-08
2016,7.663958495607304e-09,1.9470596024362408e-08
2017,8.804639961557115e-09,1.8867084339291296e-08
2018,1.0842160336199669e-08,2.6589107360308617e-08
2019,9.438654358095988e-09,2.984655678162085e-08
