year,mon_DET or_NOUN,mon_DET fort_ADJ
1800,1.1633408414368773e-07,6.288329146286742e-08
1801,1.0715321963061797e-07,7.38166612279656e-08
1802,1.0070280609397742e-07,4.4756802708434407e-08
1803,9.361628405812894e-08,6.046051481689574e-08
1804,1.3842365897964726e-07,1.359518080334965e-07
1805,1.0518647619583987e-07,7.675769686521505e-08
1806,1.210301006082659e-07,1.729001475325731e-08
1807,1.1387820464392462e-07,1.8220512254529808e-07
1808,4.305540501903238e-08,2.039466595604722e-08
1809,1.0165637687187257e-07,2.4849335034105025e-08
1810,6.318342293809565e-08,1.1232608221334317e-07
1811,9.777599174753959e-08,1.8803075896300925e-07
1812,8.001624962616916e-08,5.601137331723294e-08
1813,3.7384642270765767e-08,3.738464116054274e-08
1814,7.866693074731756e-08,3.4613449884091096e-08
1815,1.4295284955778698e-07,1.1598061133710758e-07
1816,5.0987283728431976e-08,6.257530493769536e-08
1817,7.161617898709949e-08,7.317305072973568e-08
1818,8.225612324608278e-08,1.0729059329861457e-07
1819,9.212434293193184e-08,3.519357072434559e-08
1820,2.088500679064964e-07,9.01852530432734e-08
1821,1.8145138369618508e-07,7.987805694664729e-08
1822,8.120748873352568e-08,6.616906489398389e-08
1823,1.413224272051039e-07,1.037682140214713e-07
1824,1.381062544325573e-07,1.6168535754701452e-07
1825,6.427973353595462e-08,6.604082325445404e-08
1826,7.134467594482885e-08,8.896064063179665e-08
1827,5.806882030778837e-08,5.2538457140371975e-08
1828,1.1190207510614059e-07,9.080578422526742e-08
1829,9.77342076158294e-08,2.5719528284895432e-08
1830,1.0436835840010872e-07,1.106304623466059e-07
1831,8.263339257297275e-08,4.5214498811674275e-08
1832,1.637126312292736e-07,4.464889746813583e-08
1833,2.2356402618051163e-07,7.181849959181363e-08
1834,1.3255034403414356e-07,8.494423209270963e-08
1835,1.0890846624533879e-07,8.470658485748572e-08
1836,1.2298972573709932e-07,1.1358067375510927e-07
1837,1.6072728514782142e-07,6.818733044866576e-08
