year,bien_ADV gâtée_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,1.1702034896643454e-08
1804,0.0
1805,5.685755422035754e-09
1806,5.76333825108577e-09
1807,0.0
1808,2.2660739951163578e-09
1809,9.036122072814123e-09
1810,1.1700633351097167e-08
1811,2.5070767684098882e-09
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,1.1386155129855524e-08
1820,1.0679833017945839e-08
1821,9.861488514673056e-09
1822,3.0076847679083585e-09
1823,5.929612356680991e-09
1824,3.3684450784221553e-09
1825,6.163809906922779e-09
1826,1.6735169694470642e-08
1827,8.295545583791863e-09
1828,4.586150570418113e-09
1829,6.001223074036943e-09
1830,1.0436835840010872e-09
1831,2.8064171431196883e-08
1832,1.7588959622116818e-08
1833,0.0
1834,8.401078055442213e-09
1835,8.31939672707449e-09
1836,1.8818100855355624e-08
1837,4.87052354003481e-09
1838,3.787297142565649e-09
1839,6.9914751765765e-10
1840,5.732719632334238e-09
1841,6.420548537278137e-10
1842,0.0
1843,1.7720733769266417e-09
1844,0.0
1845,2.7901139176833567e-09
1846,2.3418005312692003e-09
1847,2.1572894581822766e-09
1848,2.413566457803995e-09
1849,8.379414939696517e-10
1850,2.0366988096043315e-09
1851,0.0
1852,1.3021090872200602e-09
1853,3.5831591027601917e-09
1854,1.0391328908454511e-09
1855,1.5920811335945473e-09
1856,3.1063134287023786e-09
1857,1.0739319655783675e-08
1858,1.0276719919488642e-08
1859,4.582956236731661e-09
1860,1.373155145145688e-09
1861,4.2443675241088386e-09
1862,3.6143890103090826e-09
1863,2.4973103585068657e-09
1864,1.4863656971897399e-08
1865,1.7415324293779122e-08
1866,6.3252967308358166e-09
1867,7.279217228983725e-09
1868,1.2349684830326169e-08
1869,6.348574999037737e-09
1870,1.7202146374017957e-09
1871,1.0621177271019633e-09
1872,1.2094678591978436e-09
1873,8.380406590902112e-09
1874,2.3898436563030145e-09
1875,5.721527140956084e-10
1876,1.813804439976252e-09
1877,4.9478527941460015e-09
1878,2.4156354694326865e-09
1879,6.109325489944695e-09
1880,2.5671385017744797e-09
1881,1.1853263259808955e-08
1882,2.6621540527571597e-09
1883,0.0
1884,0.0
1885,1.933690763067375e-09
1886,1.2906927748801422e-09
1887,0.0
1888,1.9021844099853524e-09
1889,8.14467782106476e-09
1890,5.243509182406569e-09
1891,2.5496880162734215e-09
1892,4.387958441043338e-09
1893,2.463366621796581e-09
1894,6.9316934414587195e-09
1895,1.2037228991346183e-09
1896,5.89702897624278e-10
1897,5.826713556089658e-10
1898,2.26334195829736e-09
1899,2.2110313580014918e-09
1900,5.191053142894475e-10
1901,5.588738916095792e-10
1902,9.820567692386817e-10
1903,1.0800440541913758e-09
1904,2.1498500757388683e-09
1905,1.2385822145688508e-08
1906,3.0865106026567446e-09
1907,1.5428529565042481e-09
1908,1.4734167219643268e-09
