year,en_ADP an_NOUN,en_ADP camp_NOUN
1800,4.904896533375336e-07,5.0306631749208464e-08
1801,5.643402785082685e-07,1.142967676059925e-07
1802,6.064546766992862e-07,6.489736392722989e-08
1803,5.265915992147541e-07,2.9255089017965474e-08
1804,3.6830580740776497e-07,1.2359254952798437e-08
1805,4.918178508894755e-07,5.685755422035754e-09
1806,4.3801370352980484e-07,8.645007376628655e-09
1807,4.526658616832435e-07,2.8469551160981155e-09
1808,5.483899125913183e-07,0.0
1809,5.421673359151669e-07,6.7770917766551975e-09
1810,5.943921879136838e-07,4.680253518074551e-09
1811,5.515568854974617e-07,1.0028307073639553e-08
1812,3.6807472891808857e-07,4.5342538612658245e-08
1813,4.658701489024253e-07,5.751483289628823e-09
1814,5.286417530392384e-07,2.2026739543434815e-08
1815,5.529308373386499e-07,5.394447111228828e-09
1816,5.400016984680178e-07,3.9399267848239106e-08
1817,5.433488123873786e-07,1.5568733857662664e-08
1818,6.115563999653517e-07,3.814776872168579e-08
1819,4.896046665869846e-07,8.177329746672513e-08
1820,5.517913699293331e-07,2.480094565271429e-07
1821,5.581602378068595e-07,2.110358559015424e-07
1822,5.323601897089247e-07,1.7945852448519872e-07
1823,5.33665093671587e-07,3.231638633360845e-07
1824,5.793725446068265e-07,5.5579342905787144e-08
1825,5.60906715518783e-07,4.138558296062911e-08
1826,4.6241916806799566e-07,1.1890778539580538e-07
1827,6.286180035952604e-07,8.479890983847937e-08
1828,5.851928263078676e-07,4.861319641280559e-08
1829,5.735454887134672e-07,1.5431716349212365e-08
1830,3.7781346229337487e-07,1.1480519646056564e-08
1831,3.80425425827724e-07,2.6505050598757407e-08
1832,3.368962461225422e-07,1.352996914505411e-08
1833,6.544750054127135e-07,1.853380560135065e-08
1834,4.424567656702294e-07,3.267085690872307e-08
1835,4.4092801942952065e-07,8.092504089063368e-08
1836,3.8913142974550397e-07,1.5457725055512128e-07
1837,4.167776712638016e-07,1.210672991858175e-07
1838,3.888291648657116e-07,2.6826688626080397e-07
1839,4.1669192585302994e-07,5.663094881924735e-08
1840,3.471480304884089e-07,4.076600673696973e-08
1841,3.7239181560622114e-07,3.852328944731198e-08
1842,5.138531156134718e-07,7.64742185133116e-08
1843,3.378753090643727e-07,6.674809327478215e-08
1844,3.485236398370617e-07,2.4698525891153622e-08
1845,3.5546052618018464e-07,9.263178668561522e-08
1846,3.2843752117983627e-07,9.952652391120864e-08
1847,4.0395245015645287e-07,5.015697901455951e-08
1848,3.1456817606301257e-07,1.351597295196072e-07
1849,4.725990050413742e-07,5.5304140156309245e-08
1850,3.91725066606341e-07,1.8398179690848337e-07
1851,4.456562066046388e-07,7.158877068924596e-08
1852,3.359441413941511e-07,2.9948509450150596e-08
1853,5.482233342846143e-07,6.867721680237082e-08
1854,3.3044426805961535e-07,1.6574170269567645e-07
1855,4.1022623520348134e-07,3.8209947206269135e-08
1856,3.748285001270446e-07,8.852993715890989e-08
1857,3.656250328054611e-07,8.200935042168567e-08
1858,3.0976968945495287e-07,6.900082899496951e-08
1859,3.5288760402707453e-07,5.906921174414492e-08
1860,3.748713676143822e-07,5.9045670797175376e-08
1861,3.2870266553075567e-07,6.743827896116272e-08
1862,3.6189069990699707e-07,5.692662741196841e-08
1863,3.995696622460798e-07,6.093437399101731e-08
1864,3.452204173637341e-07,7.911300770047092e-08
1865,3.8266645119300335e-07,4.4715022406993654e-08
1866,3.824371657135117e-07,7.97960524323571e-08
1867,3.663872796266787e-07,5.435149041943532e-08
1868,4.5249248004086695e-07,7.162817572403668e-08
1869,3.8775141508740063e-07,3.809144999422642e-08
1870,4.157185449216172e-07,1.003458547366165e-07
1871,3.887350770170883e-07,1.0196330091361006e-07
1872,5.049528292166983e-07,1.1187577753091205e-07
1873,5.453249966036466e-07,2.472219842175605e-07
1874,4.451083851497728e-07,7.587753714233259e-08
1875,3.804815484897972e-07,7.552416059208866e-08
1876,4.885179869518197e-07,4.957732002708326e-08
1877,3.525345166899285e-07,7.23623440057608e-08
1878,5.398945350232331e-07,9.481369456221245e-08
1879,4.1909971393305767e-07,4.7041805117942204e-08
1880,4.3577175246056754e-07,7.893950848547604e-08
1881,4.2741470163143447e-07,5.229380534155226e-08
1882,4.199548004901743e-07,5.856738893861291e-08
1883,4.069654357952146e-07,6.572112304370492e-08
1884,3.366865382048445e-07,5.8755103893304295e-08
1885,4.202554444443507e-07,6.510092021017044e-08
1886,4.491610913204269e-07,1.0519146087517584e-07
1887,3.3166937818407405e-07,7.704130983166024e-08
1888,4.7237579248182726e-07,6.911270133969083e-08
1889,3.2265454574798014e-07,5.388017498830777e-08
1890,3.454161583427151e-07,6.161123433656712e-08
1891,3.5823116739663874e-07,9.752556695552528e-08
1892,3.2658949455921515e-07,5.265550417909992e-08
1893,2.7528121826492224e-07,7.082179109829667e-08
1894,3.610781962315457e-07,3.402831372234516e-08
1895,2.8167116128408054e-07,7.52326836384043e-08
1896,2.954411550959435e-07,4.422771660017588e-08
1897,3.018237670904256e-07,7.283392022827684e-08
1898,2.8744442459593955e-07,5.488604415404552e-08
1899,2.802482299557596e-07,7.904437282491017e-08
1900,2.678583330695261e-07,7.007921409840634e-08
1901,2.732893396584224e-07,5.309301842615355e-08
1902,2.7595794294121845e-07,4.6647695484125506e-08
1903,2.9323195738228947e-07,6.9122817247802e-08
1904,2.7410588554488413e-07,4.6759240923677226e-08
1905,2.342984628533884e-07,3.612531429553201e-08
1906,2.453775985733486e-07,5.4528356385752375e-08
1907,2.7617068942831224e-07,5.4514140757078167e-08
1908,2.1462770916080842e-07,5.598983543464442e-08
1909,2.381925914285432e-07,3.4656196135074424e-08
