year,son_DET if_NOUN,son_DET kif_NOUN
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,1.5497530370112145e-08,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,1.0025615893027862e-09,0.0
1823,0.0,0.0
1824,2.5263338088166165e-09,0.0
1825,0.0,0.0
1826,8.807984341885344e-10,0.0
1827,1.8434546111834038e-09,0.0
1828,9.172301251858528e-10,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,8.401078055442213e-09,0.0
1835,1.5126175867408165e-09,0.0
1836,2.688300027031687e-09,0.0
1837,6.957890930081589e-10,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,1.2739377330817092e-09,0.0
1841,0.0,0.0
1842,1.341653010911159e-09,0.0
1843,4.134837805480629e-09,0.0
1844,5.488561272137815e-10,5.488561272137815e-10
1845,3.9061593959388574e-09,5.580227835366713e-09
1846,4.6836012845830055e-09,0.0
1847,1.0786447290911383e-09,0.0
1848,0.0,1.6090443422100975e-09
1849,1.6758829879393033e-09,0.0
1850,2.0366988096043315e-09,0.0
1851,6.449438760824933e-10,6.449438760824933e-10
1852,3.2552727180501506e-09,0.0
1853,0.0,0.0
1854,1.0391328908454511e-09,5.195664454227256e-10
1855,2.653468555990912e-09,0.0
1856,2.5885946164372342e-09,0.0
1857,0.0,0.0
1858,1.4681028059904122e-09,0.0
1859,0.0,0.0
1860,4.577183909670879e-10,0.0
1861,4.715963730639317e-10,5.659156698811785e-09
1862,0.0,0.0
1863,2.497310414018017e-09,6.493007020935693e-09
1864,3.835782358407869e-09,0.0
1865,4.706844358715045e-10,6.118897832863013e-09
1866,1.9462451650298362e-09,3.4059290943133647e-09
1867,4.85281148598915e-10,9.7056229719783e-10
1868,4.93987406535723e-10,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,2.1242354542039266e-09
1872,0.0,0.0
1873,0.0,5.387403856360606e-09
1874,5.974609140757536e-10,0.0
1875,1.716458086775674e-09,0.0
1876,1.209202959984168e-09,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,1.221865053580018e-09,0.0
1880,6.417846254436199e-10,0.0
1881,6.972507571312292e-10,0.0
1882,0.0,0.0
1883,6.319338941018771e-10,0.0
1884,1.9805090900604227e-09,0.0
1885,3.2228177904158883e-09,0.0
1886,0.0,0.0
1887,6.528924623161458e-10,0.0
1888,6.340614699951175e-10,6.340614699951175e-10
1889,2.506054641582267e-09,6.265136742733546e-10
1890,6.554386478008212e-10,0.0
1891,6.374220040683554e-10,0.0
1892,1.2537024751679837e-09,0.0
1893,6.158416554491453e-10,6.158416554491453e-10
1894,1.8904617871129403e-09,0.0
1895,2.4074457982692365e-09,0.0
1896,5.89702897624278e-10,0.0
1897,0.0,0.0
1898,5.6583548957434e-10,0.0
1899,0.0,0.0
1900,0.0,5.191053142894475e-10
1901,0.0,0.0
1902,0.0,0.0
1903,5.400220270956879e-10,0.0
1904,0.0,0.0
1905,1.5482277126999122e-09,0.0
1906,0.0,0.0
1907,5.142843373384665e-10,0.0
1908,6.3848057951787496e-09,0.0
1909,1.1001967115120692e-09,0.0
1910,1.6032452032632705e-09,5.344150677544235e-10
1911,4.25629931299909e-09,0.0
1912,2.0837684910901544e-09,0.0
1913,0.0,0.0
1914,1.3393487430235496e-09,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,1.0966424435210342e-09,0.0
1918,0.0,0.0
1919,0.0,1.8415696745321952e-09
1920,0.0,7.572231730534895e-10
1921,2.27182422873895e-09,0.0
1922,7.377935484775833e-10,0.0
1923,2.1231896241147297e-09,0.0
1924,1.289162443462999e-09,0.0
1925,1.0998177923937646e-09,0.0
1926,0.0,0.0
1927,0.0,0.0
1928,0.0,0.0
1929,1.1140406375176326e-09,0.0
1930,1.0503603542488804e-09,1.0503603542488804e-09
1931,0.0,0.0
1932,0.0,0.0
1933,1.1470662197865522e-09,0.0
1934,3.5944740517379614e-09,0.0
1935,0.0,0.0
1936,4.849885826274658e-09,0.0
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,3.034211770724937e-09
1943,2.9032352077962287e-09,0.0
1944,3.2131861615880553e-09,0.0
1945,0.0,0.0
1946,0.0,1.3921104269343232e-09
1947,0.0,0.0
1948,2.174377566888097e-09,1.0871887834440486e-09
1949,0.0,9.817008317369869e-10
1950,1.0635361480382244e-09,0.0
1951,0.0,0.0
1952,0.0,0.0
1953,0.0,0.0
1954,0.0,0.0
1955,0.0,2.815682353940474e-09
1956,0.0,0.0
1957,8.835037701437898e-10,0.0
1958,1.6544486891589827e-09,0.0
1959,0.0,0.0
1960,2.7683333403416555e-09,0.0
1961,6.948159270159238e-10,0.0
1962,2.5367825617905737e-09,0.0
1963,6.466053248388448e-10,0.0
1964,6.083968329129164e-10,0.0
1965,1.6416130677043839e-09,0.0
1966,1.1078149508847446e-09,0.0
1967,9.860671168482327e-10,0.0
1968,8.982831700699023e-10,0.0
1969,4.5417578031781147e-10,0.0
1970,9.197450023812337e-10,0.0
1971,1.541519245584766e-09,1.0276794970565106e-09
1972,1.0260293725750103e-09,0.0
1973,5.513203782392395e-10,0.0
1974,2.8127858930915295e-09,0.0
1975,1.1422960355389478e-09,0.0
1976,1.7140580066410394e-09,5.713526873840635e-10
1977,0.0,5.876781838942691e-10
1978,1.7821774056514528e-09,1.7821774056514528e-09
1979,5.851973350345929e-10,5.851973350345929e-10
1980,2.2740603289328476e-09,1.1370301367108482e-09
1981,1.897664858585557e-09,2.5302198114474095e-09
1982,1.2415004579935385e-09,1.2415004579935385e-09
1983,6.315316047889041e-10,6.315316047889041e-10
1984,1.739702604197646e-09,0.0
1985,3.609334831011779e-09,0.0
1986,5.994485463567401e-10,1.7983456945813714e-09
1987,1.2221633705067347e-09,1.8332451112712533e-09
1988,5.996553809062277e-10,5.996553809062277e-10
1989,2.1952488715726304e-09,5.488122178931576e-10
1990,0.0,2.179460389939436e-09
1991,1.7584396161396398e-09,3.5168792322792797e-09
1992,1.65298330578878e-09,1.65298330578878e-09
1993,5.539207426075166e-10,1.661762283333701e-09
1994,2.1099705871385765e-09,2.1099706426497278e-09
1995,0.0,5.422450821690461e-10
1996,1.067618438099771e-09,5.871901187504136e-09
1997,1.438468344439059e-09,2.3974471297094624e-09
1998,2.86087753487152e-09,9.536258449571733e-10
1999,1.8280804647829996e-09,3.656160929565999e-09
2000,0.0,8.836062992401139e-10
2001,4.3812117822561447e-10,2.190605918883648e-09
2002,0.0,3.066854992184176e-09
2003,0.0,4.1669229178253886e-10
2004,4.404791253964646e-10,8.809582507929292e-10
2005,4.5037495954858286e-10,1.3511248786457486e-09
2006,2.4707340062768424e-09,2.8825228870488218e-09
2007,1.5977917877663117e-09,1.9972397347078896e-09
2008,0.0,8.514879357157668e-10
2009,0.0,4.291373478793048e-09
2010,2.3618964561933353e-09,3.3066552274085836e-09
2011,0.0,3.4415747474092484e-09
2012,2.3829769546512836e-09,2.723402198201441e-09
2013,2.2313000336282585e-09,5.578250084070646e-09
2014,4.330890313042346e-09,3.2481677347817595e-09
2015,1.7732603163622684e-09,7.093041487493679e-09
2016,3.5212781579474495e-09,3.7284121345848575e-09
2017,1.0062445321423752e-09,4.52810025586281e-09
2018,1.290733298020541e-09,7.228106557732872e-09
2019,2.55098775436835e-10,8.163160925001023e-09
