year,ancien_ADJ or_NOUN,ancien_ADJ corps_NOUN
1800,1.2576657937302116e-08,1.0061326349841693e-07
1801,0.0,1.262026736448263e-07
1802,0.0,9.84649659585557e-08
1803,0.0,3.1205427575287104e-08
1804,0.0,8.651478111687538e-08
1805,0.0,6.538618890772341e-08
1806,2.881669125542885e-09,5.76333825108577e-08
1807,2.2775640928784924e-08,1.8789904254745693e-07
1808,0.0,7.478044494746428e-08
1809,0.0,1.0391540117282716e-07
1810,4.680253518074551e-09,4.914266327205041e-08
1811,0.0,1.8050953087822563e-07
1812,2.6672082320544632e-09,8.801787032552966e-08
1813,0.0,7.189353823378042e-08
1814,0.0,3.3354777428939997e-07
1815,0.0,2.9939181445115537e-07
1816,2.3176038865813098e-09,3.1055893146003655e-07
1817,0.0,1.5257359819997873e-07
1818,4.768470951432846e-09,1.835861285215401e-07
1819,2.070210003424222e-09,1.5733596225864233e-07
1820,1.1866481131050932e-08,6.407899544313977e-08
1821,9.86148829262845e-10,8.283650032581136e-08
1822,1.0025615893027862e-09,1.3334069137727056e-07
1823,1.9765373782121287e-09,1.5120511287491922e-07
1824,2.5263338088166165e-09,5.5579342905787144e-08
1825,3.522177216552791e-09,8.012953145453139e-08
1826,6.1655889282974385e-09,1.418085417981274e-07
1827,4.6086365279585095e-09,1.5208500769858802e-07
1828,9.172301251858528e-10,1.0639869424400317e-07
1829,1.714635211591542e-09,8.230248932372675e-08
1830,0.0,1.2837307394875097e-07
1831,1.5591206103948707e-09,1.1537492694557727e-07
1832,1.3529969367098715e-09,8.117981586952538e-08
1833,8.108540172635514e-09,6.602667923516492e-08
1834,1.9602515166639023e-08,1.1668163590883296e-07
1835,7.563087933704082e-10,1.6941316971497145e-07
1836,3.36037508930076e-09,1.4785649682380608e-07
1837,4.174734336004349e-09,1.0575994080497253e-07
1838,3.1560809521380406e-09,1.104628322146084e-07
1839,1.3982950353153e-09,6.921560213868361e-08
1840,1.2739377330817092e-09,8.662776307399866e-08
1841,6.420548537278137e-09,1.0979138176381298e-07
1842,1.341653010911159e-09,9.592818939196945e-08
1843,0.0,9.037574177916952e-08
1844,8.232841963717874e-09,1.1910178110419167e-07
1845,3.348136878855712e-09,9.709596904272644e-08
1846,5.854501328173001e-10,1.0947917505887972e-07
1847,0.0,1.5802145814092228e-07
1848,8.045221711050488e-10,7.88431737674955e-08
1849,5.865590679832167e-09,1.5082946291933297e-07
1850,6.788996032014438e-10,1.0455053622848709e-07
1851,1.9348316282474798e-09,2.0057754412938777e-07
1852,1.6927418133860783e-08,1.0612188816594426e-07
1853,2.388772735173461e-09,7.1663180278847e-08
1854,2.5978321716024766e-09,7.32588661955802e-08
1855,1.0613874223963649e-09,9.870903028286193e-08
1856,0.0,7.506924060152187e-08
1857,4.881509085841174e-10,1.4937417169846867e-07
1858,4.893676019968041e-10,9.249047661086252e-08
1859,5.092173349652285e-10,8.911303517322722e-08
1860,3.661747127736703e-09,1.0390207591526313e-07
1861,9.431927461278633e-10,1.315753888064819e-07
1862,1.3553959066214816e-09,1.3328059422779148e-07
1863,9.989241656072068e-10,1.2086982614789576e-07
1864,0.0,1.0356612201167792e-07
1865,4.706844358715045e-10,1.1814179434743721e-07
1866,1.9462452205409875e-09,1.0704348740731007e-07
1867,5.338092634588065e-09,9.220341645743702e-08
1868,4.93987406535723e-10,1.1905096464204235e-07
1869,9.767038289254515e-10,1.0743742029362124e-07
1870,2.2936195165357276e-09,9.346499751927695e-08
1871,4.248470908407853e-09,3.7067908920107584e-07
1872,1.8142017887967654e-09,2.424983094329036e-07
1873,0.0,1.8017873770759252e-07
1874,1.1949218281515073e-09,1.654966723663165e-07
1875,1.7164581422868253e-09,1.441824828418703e-07
1876,1.813804439976252e-09,1.686838195791296e-07
1877,6.184815992682502e-09,1.1751150452710135e-07
1878,5.435179861734696e-09,1.304443166816327e-07
1879,6.10932526790009e-10,1.7350483716427334e-07
1880,6.417846254436199e-10,2.4451993962948393e-07
1881,1.3945015142624584e-09,2.1545047751425628e-07
1882,2.6621540527571597e-09,1.3177662228081033e-07
1883,1.8958017378167824e-09,1.5292799676602797e-07
1884,6.601696966868076e-10,1.2147122152583734e-07
1885,1.2891271383708158e-09,1.3535835213795977e-07
