year,en_ADP être_NOUN,en_ADP lettres_NOUN
1800,9.118077182179718e-08,2.700837223201802e-06
1801,9.048493865293494e-08,2.2835541610977117e-06
1802,4.0281122437590966e-08,3.817755327872874e-06
1803,3.90067853572873e-08,2.76168028356949e-06
1804,7.168367943677367e-08,3.853615692106516e-06
1805,4.5486043376286034e-08,3.0134502917444905e-06
1806,7.780506905419315e-08,7.56438138882487e-06
1807,2.562259560079383e-08,7.347991363815254e-06
1808,8.157866204783204e-08,3.82513281493857e-06
1809,6.551188391767937e-08,2.959329979734804e-06
1810,1.2168659679900884e-07,3.5803938849277017e-06
1811,5.766276700569506e-08,3.963688488539674e-06
1812,3.467370746079723e-08,4.953005515062614e-06
1813,3.163315653864629e-08,2.4386289503297576e-06
1814,1.2586708564299443e-08,2.9264097687331514e-06
1815,5.664169577812572e-08,3.1638432522740345e-06
1816,8.343373814057031e-08,2.7139141636212116e-06
1817,1.074242625964672e-07,2.0504021964740105e-06
1818,7.033494853203592e-08,2.257871040134418e-06
1819,1.521604389154163e-07,3.156035190077233e-06
1820,1.1747816586193949e-07,2.564346614164492e-06
1821,9.467028405651945e-08,2.882513057578251e-06
1822,5.81485721795616e-08,3.2162176637484663e-06
1823,4.5460360809101985e-08,2.598158452160604e-06
1824,7.915846111927749e-08,3.2269703353904333e-06
1825,6.60408261410339e-08,3.4851944104019594e-06
1826,5.549030035467695e-08,2.801819846354192e-06
1827,5.438191053031005e-08,2.46838580597597e-06
1828,4.861319524707142e-08,2.726925117713108e-06
1829,6.515613648616636e-08,2.6113894633361667e-06
1830,7.618889985572252e-08,2.6676551745374866e-06
1831,6.392394169552063e-08,2.82044912292001e-06
1832,5.953186388296672e-08,2.792585637845235e-06
1833,4.865124125785769e-08,2.5078555019319992e-06
1834,5.414027981487379e-08,3.108398726858752e-06
1835,7.865611451052246e-08,2.8187627947318106e-06
1836,7.325617551456887e-08,2.696364862053713e-06
1837,4.1051556820548285e-08,3.0823456609319067e-06
1838,5.302215910774066e-08,3.130201003287425e-06
