year,certain_ADJ axe_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,0.0
1820,0.0
1821,4.930744257336528e-09
1822,7.017931125119503e-09
1823,9.882686891060644e-10
1824,5.894778887238772e-09
1825,1.7610886082763955e-09
1826,4.403992281964975e-09
1827,8.295545583791863e-09
1828,9.172301251858528e-10
1829,8.57317605795771e-10
1830,2.922314124020886e-08
1831,0.0
1832,4.058990921151917e-09
1833,6.950177322551099e-09
1834,2.14694217959277e-08
1835,2.0420337421001022e-08
1836,1.3441500135158435e-09
1837,2.0177884252348122e-08
1838,1.8936486156917454e-08
1839,4.194885327990505e-09
1840,3.885510224677091e-08
1841,3.2102742686390684e-09
1842,1.609983613093391e-08
1843,4.8436671562512856e-08
1844,1.6465683927435748e-08
1845,1.0044410636567136e-08
1846,1.3465353276842507e-08
1847,9.707802561820245e-09
1848,5.470750608083108e-08
1849,2.6814127807028854e-08
1850,3.59816780814981e-08
1851,1.3930787190474803e-07
1852,3.320378283433456e-08
1853,1.970737528722566e-08
1854,1.4028294081924741e-08
1855,4.7231740296638236e-08
1856,4.038207634948776e-08
1857,1.3668225662399891e-08
1858,2.6915218498402282e-08
1859,1.3748867822016564e-08
1860,5.950338888283113e-09
1861,3.159695793897299e-08
1862,1.0843167252971853e-08
1863,1.048870412745373e-08
1864,2.5412058235474433e-08
1865,1.5061901947888146e-08
1866,3.941146431429843e-08
1867,2.2808213984149006e-08
1868,1.2349684830326169e-08
1869,1.7580669364747337e-08
1870,2.2936195165357276e-08
1871,8.496941816815706e-09
1872,5.442605477412599e-09
1873,1.7958013742713774e-08
1874,5.377148326601855e-08
1875,2.460256709468922e-08
1876,9.673623679873344e-09
1877,2.288381928394756e-08
1878,2.536417298415472e-08
1879,1.4051448005147904e-08
1880,1.7328185109022343e-08
1881,1.045876096839038e-08
1882,2.3959387362992857e-08
1883,2.274962085380139e-08
1884,2.6406787867472303e-08
1885,5.0920522909336796e-08
1886,2.1296431285122708e-08
1887,1.8933882017790893e-08
1888,1.9655905347804037e-08
1889,1.8168895721260014e-08
1890,5.309053108248918e-08
1891,3.4420789774003424e-08
1892,3.322311670217459e-08
1893,5.542574843531156e-09
1894,1.071261657159539e-08
1895,2.888934957923084e-08
1896,2.240870955461105e-08
1897,1.2818770045441852e-08
1898,1.4145887128336199e-08
1899,8.844125432005967e-09
1900,8.824790675987515e-09
1901,1.2295225282343836e-08
1902,7.856454153909453e-09
1903,1.9980815224585058e-08
1904,1.666133897515465e-08
1905,7.2250627702885595e-09
1906,1.0288369267641428e-08
1907,1.0799970695529737e-08
1908,1.5716445034286153e-08
1909,2.7504918342913243e-09
1910,1.1222716089775986e-08
