year,en_ADP as_NOUN,en_ADP masse_NOUN
1800,3.4585810571030606e-07,1.1114621884189546e-05
1801,4.2861285987072506e-07,1.1086785889347084e-05
1802,3.3343818017783633e-07,9.298225450038444e-06
1803,3.003522337508002e-07,1.2989259630558081e-05
1804,2.4718509372689823e-07,5.952217179583386e-06
1805,2.7860201168294907e-07,5.788098860648461e-06
1806,2.651135728726217e-07,8.149359928211197e-06
1807,2.5622595423158145e-07,1.0929460586339701e-05
1808,2.8099317894714204e-07,1.1192139027116355e-05
1809,2.1460790433636134e-07,1.3120449693815317e-05
1810,2.808152181899004e-07,6.1475129768950865e-06
1811,2.557218179433107e-07,7.601456673000939e-06
1812,1.9737341272474396e-07,6.0332249631755985e-06
1813,2.50189524653166e-07,6.415779807866784e-06
1814,4.0277466961669006e-07,1.1608091881498694e-05
1815,2.022917642285904e-07,1.097230506275082e-05
1816,2.757948678322464e-07,1.1365529644535854e-05
1817,3.720927379546879e-07,1.151930609921692e-05
1818,1.4305412698867315e-07,1.0162803846469615e-05
1819,2.918996142575736e-07,7.996186468517408e-06
1820,4.378731439658168e-07,9.668809070717543e-06
1821,4.339054879842763e-07,7.43457621865673e-06
1822,3.8297854132451903e-07,7.3287251325382385e-06
1823,3.281052071146817e-07,8.810415238258429e-06
1824,3.680026168240147e-07,1.0262810064887162e-05
1825,2.8969908849596493e-07,7.971567356435116e-06
1826,2.8449789102324985e-07,8.239869202952832e-06
1827,2.6084881338261923e-07,9.590572517481633e-06
1828,2.2563861046265288e-07,9.543779015075415e-06
1829,2.777708928980438e-07,9.051559572981205e-06
1830,3.214545323260154e-07,9.544486601953395e-06
1831,2.2451337056139664e-07,1.106507897929987e-05
1832,3.2877825006938366e-07,9.389798833581153e-06
1833,2.9422415903646026e-07,1.0227185157418717e-05
1834,3.407103701391634e-07,1.0099029168486595e-05
1835,4.3790279136146637e-07,9.025033250509296e-06
1836,3.3536543780909867e-07,9.381495146953966e-06
1837,3.7920506068545023e-07,8.8782689999789e-06
1838,2.7521026901844436e-07,9.42910719459178e-06
1839,2.5868458308764275e-07,9.311246685683727e-06
1840,3.4014138294846674e-07,1.0869874131458346e-05
1841,3.820226459616549e-07,9.374000910611358e-06
1842,4.3268309024568907e-07,1.0157655196962878e-05
1843,3.3964738710423603e-07,8.357097613043152e-06
1844,2.6729294777538826e-07,9.377206879435107e-06
1845,4.0456653921383534e-07,9.830129783949815e-06
1846,2.915541785775133e-07,9.581476660969201e-06
1847,3.537954720300718e-07,1.1753991202567704e-05
1848,2.5181543988894717e-07,1.1762113899749238e-05
1849,2.2875802829780412e-07,1.134991725848522e-05
1850,2.8038552457587684e-07,9.486942872172222e-06
1851,2.2637530627811486e-07,1.1823110980913043e-05
1852,2.793023943237216e-07,7.44220460546785e-06
1853,2.6037622324892595e-07,8.58226303535048e-06
1854,2.9407460516717165e-07,7.297830507013714e-06
1855,3.3539842902996497e-07,8.472525223623961e-06
1856,2.8422767495150936e-07,8.468328815069981e-06
1857,3.1192843735761144e-07,9.06447439774638e-06
1858,3.8366420923585665e-07,7.812264811946079e-06
1859,3.7071023051282737e-07,8.227933903981466e-06
1860,3.9272237825627165e-07,9.481178494752385e-06
1861,3.485097264110948e-07,1.0252033462165855e-05
1862,2.9186190375618537e-07,8.786128091742285e-06
1863,3.3064388560433144e-07,7.99339159129886e-06
1864,3.2700043783862043e-07,7.199763331300346e-06
1865,3.1959472512888e-07,8.293930477520917e-06
1866,4.5785417668309236e-07,7.931922482384834e-06
1867,3.9550414143718626e-07,8.617622370366007e-06
1868,2.711990786385954e-07,8.178949428838678e-06
1869,4.0728548655888375e-07,8.833797437546309e-06
1870,4.512696407665828e-07,8.201410309993662e-06
1871,3.8236238508737586e-07,1.1234019439143594e-05
1872,3.368367974543318e-07,8.491673725075088e-06
1873,3.5137846432498065e-07,8.477379196847323e-06
1874,3.5130700881680355e-07,8.413444447796792e-06
1875,4.7317029022719836e-07,8.140016689139884e-06
1876,3.301123994159383e-07,8.010969395400025e-06
1877,3.698519965844582e-07,7.4446629696467426e-06
1878,3.448319532139976e-07,7.438345619448228e-06
1879,3.335691514116945e-07,6.883376954647247e-06
1880,3.3244444619384694e-07,6.833722636656603e-06
1881,3.4653363067960186e-07,7.567262400698382e-06
1882,3.374280168610966e-07,6.841070444352226e-06
1883,3.7536872571353186e-07,6.484273853857303e-06
1884,3.096195948515401e-07,7.2486632234358694e-06
1885,4.447488609615746e-07,7.509165698138531e-06
1886,3.2331852700684394e-07,6.936828413017793e-06
1887,3.042478760040268e-07,7.146561074478086e-06
1888,2.5869708109027556e-07,6.99242991686333e-06
1889,2.982205120072301e-07,7.153533260861877e-06
1890,2.890484358530898e-07,7.0603850872430485e-06
1891,2.3520871894611162e-07,6.807666977692861e-06
1892,3.265894872317432e-07,6.916049642313737e-06
1893,2.43873290228791e-07,8.05089803179726e-06
1894,2.2307449065728235e-07,8.445323146588635e-06
1895,2.3773527124681948e-07,7.94457082520239e-06
1896,3.036969786762711e-07,7.661419658688828e-06
1897,2.709421679236712e-07,7.744284630462062e-06
1898,2.5858681684809426e-07,7.3411497396591585e-06
1899,2.785899582136153e-07,6.9945976974850055e-06
1900,3.021192990226851e-07,7.136140538932523e-06
1901,2.749659515632885e-07,6.900415883137612e-06
1902,2.828323433234914e-07,6.128034328867216e-06
1903,2.6299072075630647e-07,6.788616701669525e-06
1904,3.004415365381874e-07,6.907468105055159e-06
1905,2.797131311016443e-07,6.8276840465841815e-06
1906,2.9218967750876956e-07,6.829933681729017e-06
1907,2.900563543795087e-07,6.984495485085063e-06
1908,3.0254155403142136e-07,6.727129402861465e-06
1909,3.2730850829665314e-07,6.749156909791054e-06
1910,3.8210678510175455e-07,6.642244898102945e-06
1911,2.4526925279655387e-07,6.668557034572586e-06
1912,2.5682447457597846e-07,6.973852123337565e-06
1913,3.1817937240496974e-07,6.668509740848094e-06
1914,2.7858453233164937e-07,6.973989002290182e-06
1915,1.9791680205827333e-07,8.691846232977696e-06
1916,2.593041019682829e-07,8.810845429252367e-06
1917,2.9719009653206285e-07,7.917758011899423e-06
1918,2.9634850040594074e-07,8.01404439698672e-06
1919,2.541366124209077e-07,7.5762177402793895e-06
1920,3.4377930724360795e-07,7.1852905421110336e-06
1921,3.218417599648582e-07,6.898772880958859e-06
