year,en_ADP eaux_NOUN,en_ADP mots_NOUN
1800,2.358123420975744e-07,3.0183978916298315e-07
1801,2.524053570596152e-07,2.428806240573067e-07
1802,2.5735161557349784e-07,2.394488944901241e-07
1803,1.1331471370112922e-06,2.1648764914061758e-07
1804,4.696516728852629e-07,1.2853624298259092e-07
1805,5.34461003454112e-07,2.2174446012712679e-07
1806,2.7087691023552907e-07,1.7578182109900808e-07
1807,3.074711401040986e-07,2.590729195617314e-07
1808,2.5153420679657756e-07,2.424699139247366e-07
1809,2.710836657371374e-07,7.454800510231507e-08
1810,3.1825722945910684e-07,1.4976811746336693e-07
1811,3.4096243783920954e-07,3.860898356577991e-07
1812,2.667208347517658e-07,3.920796185497011e-07
1813,2.0992914051554123e-07,1.4666281811237525e-07
1814,2.580275122454623e-07,2.6117419338334e-07
1815,2.5623624266835066e-07,1.1328339066807303e-07
1816,2.062667476820934e-07,1.8077309960062848e-07
1817,2.2107602470899934e-07,2.5221349952975203e-07
1818,1.9908365556098317e-07,1.9312307131258422e-07
1819,3.3226870055358404e-07,3.3640912455723537e-07
1820,2.1003671690777992e-07,1.507043041470979e-07
1821,2.031466594942799e-07,2.1793889404264633e-07
1822,1.5439448475262907e-07,3.8097341814591346e-07
1823,1.2649839309375466e-07,2.5003197290374146e-07
1824,1.9621192581809055e-07,3.292655073039441e-07
1825,1.787504968486786e-07,2.80013084719144e-07
1826,2.3164999207736514e-07,1.858484761640966e-07
1827,2.0185828181196186e-07,1.6683263659444947e-07
1828,1.751909479708047e-07,1.8252879385727283e-07
1829,2.1518671777798204e-07,2.4176357138472326e-07
1830,1.8890672803806297e-07,2.0978039727559405e-07
1831,2.7908258548592357e-07,2.6349139714554326e-07
1832,3.368962495642336e-07,2.597754242827932e-07
1833,2.536814502906992e-07,2.4209784932338607e-07
1834,1.7455573142477476e-07,2.4923198083115494e-07
1835,2.2008586597621616e-07,2.0571599179675104e-07
1836,1.854926970912274e-07,2.668137731864917e-07
1837,1.8507989274496595e-07,3.033640525451631e-07
1838,2.057764847407384e-07,2.802599796680738e-07
1839,2.551888466095775e-07,1.7898176640773755e-07
1840,1.0828470919932442e-07,1.9618640845209256e-07
1841,1.8491180320268086e-07,1.759230365827591e-07
1842,1.677066228111812e-07,2.2673935262673695e-07
1843,2.0615119794564762e-07,2.1442087327905313e-07
1844,1.9374621373913214e-07,1.7947595898348823e-07
1845,1.696389348992966e-07,1.8358950626407022e-07
1846,2.1603110056389596e-07,1.8792949951773608e-07
1847,1.526282265018608e-07,1.871448560564204e-07
1848,3.07327463255902e-07,1.7699488408240427e-07
1849,2.1618890544417013e-07,1.3993622882679801e-07
1850,1.5003680609027015e-07,2.0027538027989067e-07
1851,2.347595637886002e-07,1.689752893163643e-07
1852,2.8841716326333255e-07,2.584686598083863e-07
1853,2.3589130093704114e-07,2.2454464021492981e-07
1854,2.202961661978975e-07,2.3796143688858962e-07
1855,1.9529528572093113e-07,1.85212101655452e-07
1856,1.7602443536102186e-07,2.091584399011026e-07
1857,1.7768692828212806e-07,3.177862293313183e-07
1858,1.1842696068242731e-07,3.053653783169352e-07
1859,2.1896344959415615e-07,1.9757632663264246e-07
1860,2.2657060874675672e-07,1.8446051797127438e-07
1861,2.0090005414807877e-07,1.7967822163456049e-07
1862,2.177669320979625e-07,2.3222449563320424e-07
1863,2.062778469147375e-07,2.0427999403160868e-07
1864,2.1624223289773425e-07,2.617921479597385e-07
1865,1.8968582082834473e-07,2.452266001373715e-07
1866,1.965707678852624e-07,2.2673756672197953e-07
1867,2.406994568104892e-07,1.8489211051075927e-07
1868,2.7317504580626206e-07,2.0154685564932606e-07
1869,1.982708842662717e-07,2.388040876155628e-07
1870,2.339491849134845e-07,2.1789385407089412e-07
1871,1.561313054398994e-07,1.5082071058714064e-07
1872,2.2677521704927983e-07,2.1770421110289817e-07
1873,3.63949070603109e-07,2.0292554570033872e-07
1874,2.0014940327328645e-07,1.9955195040832763e-07
1875,1.8080025182554138e-07,2.2256740805914887e-07
1876,2.0919211096703805e-07,1.9528628136811221e-07
1877,2.739873469215226e-07,2.3007515381756605e-07
1878,3.7261177632252895e-07,2.222384694050561e-07
1879,2.736977664508089e-07,1.6434085614580596e-07
1880,2.182067788680797e-07,2.2590818993251105e-07
1881,3.221298540134754e-07,2.1196422950175986e-07
1882,2.555667919512672e-07,2.1363786739669877e-07
1883,2.622525638873441e-07,1.9905918335894057e-07
1884,3.9082045955041167e-07,2.5350515198141466e-07
1885,3.5322082769795315e-07,2.5460260966170267e-07
1886,3.0331280659323667e-07,2.5426647276560743e-07
1887,3.597437401858805e-07,2.226363262636255e-07
1888,3.322482216017164e-07,2.954726343595837e-07
1889,4.0096875753015127e-07,3.076182213401779e-07
1890,3.742554722241387e-07,2.418568669781962e-07
1891,3.2189812004812524e-07,2.396706682006311e-07
1892,4.0557275227115497e-07,2.2315904324443636e-07
1893,3.9044360389262067e-07,2.7035449168266723e-07
1894,3.8124313794796194e-07,2.463901904725674e-07
1895,3.334312401737094e-07,2.443557605147362e-07
1896,3.6915402534809516e-07,2.5711047468846004e-07
1897,4.07287282677693e-07,2.79682243142787e-07
1898,3.825047872885179e-07,2.5236261835814844e-07
1899,4.151211463465643e-07,2.7029858706839605e-07
1900,4.324147226952846e-07,3.114631983436311e-07
1901,4.7057182750442905e-07,2.8223132009230767e-07
1902,4.4094348128354e-07,2.970721748596361e-07
1903,5.346217943902332e-07,3.0241232273908736e-07
1904,5.213386184976798e-07,3.611748038423457e-07
1905,4.391805981107666e-07,3.354493260943059e-07
1906,5.267645146744826e-07,2.577236504208713e-07
1907,4.386845383619331e-07,3.3274196553634283e-07
1908,3.934022714258134e-07,3.212048531597844e-07
1909,3.850688519158041e-07,3.3886057959620075e-07
1910,3.7141846476185236e-07,3.6340224029984824e-07
1911,3.963678709695273e-07,3.5327285052844104e-07
1912,3.1725375282398716e-07,3.474684096005376e-07
1913,3.855273434938411e-07,3.452246196689046e-07
1914,6.375300076744139e-07,3.247920776772162e-07
1915,3.4399825743491874e-07,2.3443716123949798e-07
1916,3.8016619030578624e-07,3.08747683863686e-07
1917,5.658675235054034e-07,2.9390018174701993e-07
1918,5.099950879383641e-07,3.331049107657691e-07
1919,5.672034761872169e-07,3.5818530208509003e-07
1920,5.550446107172036e-07,5.027962046710854e-07
1921,5.141895541571628e-07,4.134719953086119e-07
1922,3.5782986773646996e-07,4.29395846879288e-07
1923,3.184784369558713e-07,5.605220430027202e-07
1924,3.5709799539596077e-07,4.6280932464171087e-07
1925,4.685223924383308e-07,3.27745698136539e-07
1926,5.04920076971338e-07,4.1240712889134556e-07
1927,4.4819885358649003e-07,5.19553895017566e-07
1928,4.490434277748534e-07,4.124800812022045e-07
1929,5.926696364788597e-07,3.9994057754455525e-07
1930,4.516549390043423e-07,3.917844222378619e-07
1931,4.7218176835173153e-07,3.912037191966533e-07
1932,4.679722247491469e-07,4.230381209779921e-07
1933,4.347380988534155e-07,3.659141345480066e-07
1934,3.9898663040105475e-07,3.4387134029145727e-07
1935,3.8896924436926383e-07,4.0213434182589936e-07
1936,3.297922255285357e-07,4.0011557400632114e-07
1937,5.099403077579723e-07,3.1477794681933347e-07
1938,5.108294457434326e-07,3.6432251349083344e-07
1939,4.7411555925691573e-07,4.129393751384214e-07
1940,5.629437884735466e-07,2.890792467624692e-07
1941,3.423743151209635e-07,3.984528493816697e-07
1942,3.1859223770247524e-07,3.671396107129965e-07
1943,3.367752867688978e-07,4.296788223001613e-07
1944,3.630900380358071e-07,3.9522188721718976e-07
1945,4.095587566865788e-07,5.119484454141343e-07
1946,3.3828283996228947e-07,5.0672817497599e-07
1947,3.564340396167154e-07,4.923319796290571e-07
1948,5.196762407067013e-07,4.0117266664196904e-07
1949,5.438622689979411e-07,4.3194835797066844e-07
1950,4.7008297099360163e-07,4.53066391514767e-07
1951,5.458637639677022e-07,4.09397820533286e-07
1952,6.516689001756504e-07,3.9332119605717253e-07
1953,7.175369067802251e-07,5.020603492944531e-07
1954,7.163268911369869e-07,4.0849199933745695e-07
1955,4.814816754183937e-07,4.2329092408976976e-07
1956,8.729862583933823e-07,3.9419560060593994e-07
1957,6.458412817877957e-07,4.12596253385189e-07
1958,6.047010234766503e-07,4.3677445127343617e-07
1959,5.844063851734305e-07,4.975980028021354e-07
1960,6.637078948656949e-07,4.5677498716756304e-07
1961,7.205240937224744e-07,4.6483184590329074e-07
1962,6.836629276030237e-07,5.225771930739143e-07
1963,5.72892338901454e-07,5.224571069106787e-07
1964,5.883197442546617e-07,5.414731552022545e-07
1965,5.198441286324851e-07,5.340714483992315e-07
1966,5.971122352121938e-07,5.228886381658526e-07
1967,7.913188326824638e-07,5.102897500108838e-07
1968,6.777546541769652e-07,5.852314988175067e-07
1969,5.250271744028367e-07,5.204854702789419e-07
1970,5.509272362758111e-07,6.125501927911614e-07
1971,6.433273935790851e-07,6.289398255532319e-07
1972,7.284808272167709e-07,5.956100324056024e-07
1973,6.505580549820422e-07,5.772324103148208e-07
1974,5.63682276411015e-07,5.411800017007806e-07
1975,5.87711319610662e-07,5.517290118106644e-07
1976,5.667818649968126e-07,6.541988257779963e-07
1977,5.782753529359752e-07,6.482090175730093e-07
1978,5.500987743101149e-07,6.190096302205461e-07
1979,6.636137994675551e-07,7.519785469867202e-07
1980,6.861976715732965e-07,7.811396907086987e-07
1981,6.490014068383232e-07,7.527403713680769e-07
1982,6.275784931730755e-07,7.970433193449367e-07
1983,6.384784345669914e-07,8.083604416952994e-07
1984,7.463324180889686e-07,8.054822706604625e-07
1985,6.719378427000322e-07,7.976630134187701e-07
1986,5.940534943960074e-07,9.812972208145254e-07
1987,6.99077462140707e-07,1.0492272357609522e-06
1988,6.02053999987362e-07,1.0080207455409607e-06
1989,7.617513873015014e-07,8.698673741314167e-07
1990,6.631008142576889e-07,9.73673906834449e-07
1991,7.725411350634204e-07,9.167331755932651e-07
1992,6.650502832883376e-07,9.091408159633829e-07
1993,6.586117771156808e-07,1.0757141160055994e-06
1994,4.821282986178232e-07,1.11617451548085e-06
1995,5.341113797907582e-07,1.2916277292163159e-06
1996,7.377243234074626e-07,1.264060268901801e-06
1997,7.37934247041494e-07,1.3133216505423206e-06
1998,5.55010232661246e-07,1.2821499653092872e-06
1999,5.242020931217617e-07,1.4711477867024314e-06
2000,6.794932208009641e-07,1.4455798655887975e-06
2001,7.084419569869382e-07,1.3945397170367357e-06
2002,5.450239475290886e-07,1.4979396438796755e-06
2003,6.746248262246013e-07,1.7351066796678083e-06
2004,5.347416616174883e-07,1.5742723387113244e-06
2005,6.38631713734128e-07,1.604235611019078e-06
2006,5.793871101777981e-07,1.6800990980669894e-06
2007,7.118162305141951e-07,1.6664968640611733e-06
2008,7.625074589512337e-07,1.6067577623957163e-06
2009,5.407130330148391e-07,1.5825630783616873e-06
2010,5.777198657241911e-07,1.7761461288401392e-06
2011,6.412800903077276e-07,1.7204049340691085e-06
2012,6.423824953083468e-07,1.6200838439672793e-06
2013,5.645189153913321e-07,1.7864345824847305e-06
2014,4.993516751206073e-07,1.508232594815695e-06
2015,5.153537759872151e-07,1.4201598812491056e-06
2016,5.056141048065399e-07,1.2448754125315986e-06
2017,6.065138782318513e-07,1.512133965597684e-06
2018,6.172287043693103e-07,1.4306488713700105e-06
2019,6.140227624129579e-07,1.4058492965318692e-06
