year,ton_DET aîné_NOUN
1800,2.829747991484055e-08
1801,1.1905912700171939e-08
1802,2.2378401354217203e-09
1803,1.950339223455444e-09
1804,0.0
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,0.0
1808,6.798221985349073e-09
1809,1.3554183553310395e-08
1810,9.360507036149102e-09
1811,7.521229861140455e-09
1812,2.9339290108509886e-08
1813,8.627225156487839e-09
1814,0.0
1815,0.0
1816,6.952811659743929e-09
1817,3.113746815941454e-09
1818,5.960588467246453e-09
1819,2.070210003424222e-09
1820,4.746592452420373e-09
1821,9.861488514673056e-09
1822,5.012807946513931e-09
1823,4.941343334508019e-09
1824,7.57900142644985e-09
1825,2.201360693732113e-08
1826,3.5231937367541377e-09
1827,6.452091305675367e-09
1828,7.337841001486822e-09
1829,9.430493719264632e-09
1830,1.878630406793036e-08
1831,0.0
1832,4.058990921151917e-09
1833,1.1583628500844156e-09
1834,1.3068342852307069e-08
1835,2.949604294144592e-08
1836,3.36037508930076e-09
1837,4.87052354003481e-09
1838,4.418513555037862e-09
1839,6.9914749545318955e-09
1840,5.095750932326837e-09
1841,5.1364388298225094e-09
1842,1.341653010911159e-09
1843,5.31621990873532e-09
1844,1.097712254427563e-09
1845,4.464182357111213e-09
1846,6.439951683034906e-09
1847,2.0494249852731627e-08
1848,3.2180886289090438e-09
1849,1.6758829879393033e-09
1850,3.394498016007219e-09
1851,9.674158363282004e-09
1852,6.510545436100301e-09
1853,2.388772735173461e-09
1854,6.234797400583858e-09
1855,6.368324534378189e-09
1856,2.5885946719483854e-09
1857,8.298565445929995e-09
1858,1.0766087576996597e-08
1859,1.171199848215565e-08
1860,1.0527522853465143e-08
1861,3.772770984511453e-09
1862,5.873382225018986e-09
1863,1.6482248899052365e-08
1864,1.3904711160250827e-08
1865,8.943004170536284e-09
1866,1.2650593461671633e-08
1867,1.261730986357179e-08
1868,7.409810987013543e-09
1869,1.12320943657096e-08
1870,7.454262984651905e-09
1871,9.559059321873065e-09
1872,2.4189357183956872e-09
1873,5.387403856360606e-09
1874,1.2546679251101978e-08
1875,8.582290766945277e-09
1876,3.627608879952504e-09
1877,7.421779191219002e-09
1878,1.2078177513696886e-08
1879,1.221865053580018e-09
1880,7.059631101924424e-09
1881,1.1156012114099667e-08
1882,5.989846840748214e-09
1883,8.21514056781325e-09
1884,9.242375753615306e-09
1885,8.379326565943757e-09
1886,1.0325542199041138e-08
1887,5.876032105334161e-09
1888,1.0779045211961602e-08
1889,1.2530273707511697e-08
1890,1.0487018642368895e-08
1891,8.92390783491237e-09
1892,2.570090096298827e-08
1893,8.621783287310336e-09
1894,6.301539290376468e-09
1895,1.1435367541778874e-08
1896,1.0024948871034667e-08
1897,5.826713334045053e-09
1898,8.487532454637403e-09
1899,7.738609753005221e-09
1900,6.2292638824956725e-09
1901,3.912117296778206e-09
1902,1.5712908307818907e-08
1903,1.7820727116202306e-08
1904,3.7622376325430196e-09
1905,5.676835002077496e-09
1906,7.201858220895474e-09
1907,4.114274698707732e-09
1908,7.858222517143076e-09
1909,4.950885035270858e-09
1910,2.1911017000775246e-08
1911,1.4897047151407605e-08
1912,6.772247651554153e-09
1913,1.3787773589513108e-08
1914,8.705766774141921e-09
1915,2.3561523843085297e-09
1916,1.4283700444650549e-08
1917,9.869782324756216e-09
1918,4.594550517822427e-09
1919,4.603924241841639e-09
1920,9.086678076641874e-09
1921,1.817459427400081e-08
1922,1.6969252114584776e-08
1923,2.5478275489376756e-08
1924,1.804827398643738e-08
1925,1.979671959695395e-08
1926,1.2260752413340015e-08
1927,6.689535148041159e-09
1928,7.998228745975666e-09
1929,1.7824650200282122e-08
1930,1.2604324362008867e-08
1931,6.843213995466613e-09
1932,9.863582839386709e-09
1933,9.176529758292418e-09
1934,4.7926320689839486e-09
1935,2.0346083040578833e-08
1936,1.6974599503782883e-08
1937,1.3850230295986421e-08
1938,7.779128452511941e-09
1939,4.588215141154706e-09
1940,1.7750480196809804e-08
1941,1.4757512545315876e-08
1942,2.1239483061208375e-08
1943,2.322588166236983e-08
1944,9.639558484764166e-09
1945,1.089252066321933e-08
1946,1.6705325123211878e-08
1947,1.549713246618012e-08
