year,ton_DET or_NOUN,ton_DET nord_NOUN
1800,8.489243885634323e-08,0.0
1801,5.000483582762172e-08,0.0
1802,8.727576528144709e-08,0.0
1803,1.677291692203653e-07,0.0
1804,1.038177401824214e-07,0.0
1805,1.5635827521620627e-07,0.0
1806,5.187004248341509e-08,0.0
1807,1.2526602510831708e-07,0.0
1808,4.5321478125970316e-08,0.0
1809,5.1957703028904234e-08,0.0
1810,2.574139346123161e-08,0.0
1811,1.0279014617253779e-07,0.0
1812,5.3344165529267684e-08,0.0
1813,8.339650747757332e-08,0.0
1814,6.293354370967563e-08,0.0
1815,4.8550024445148665e-08,0.0
1816,4.4034472068688046e-08,0.0
1817,3.580808893843823e-08,0.0
1818,7.629553699928238e-08,0.0
1819,6.003609098748086e-08,0.0
1820,6.76389415588119e-08,1.1866481131050932e-09
1821,1.4003314019461754e-07,0.0
1822,7.21844344298006e-08,0.0
1823,6.917880635004536e-08,0.0
1824,7.242156652154108e-08,0.0
1825,7.220463604795668e-08,0.0
1826,5.196710661792281e-08,0.0
1827,4.7929820112813104e-08,0.0
1828,1.0915038473058303e-07,0.0
1829,5.572564276690173e-08,0.0
1830,4.696576283436116e-08,1.0436835840010872e-09
1831,1.1225668572478753e-07,0.0
1832,7.441482807735156e-08,0.0
1833,1.1699465041203894e-07,0.0
1834,1.0267983929779234e-07,0.0
1835,6.958040899007756e-08,7.563087933704082e-10
1836,1.1694105372939134e-07,0.0
1837,7.862416850912268e-08,0.0
1838,4.1660269900489766e-08,0.0
1839,9.50840624014404e-08,0.0
1840,5.6690229399691816e-08,0.0
1841,7.255219980351058e-08,2.5682194149112547e-09
1842,9.056157512787877e-08,0.0
1843,1.1636614738463891e-07,0.0
1844,4.8299337418455934e-08,0.0
1845,7.644912036752771e-08,0.0
1846,8.196302081486806e-08,0.0
1847,5.662884650092792e-08,0.0
1848,4.263967567919025e-08,0.0
1849,5.614208120618969e-08,0.0
1850,3.937617609750532e-08,0.0
1851,7.22337163416853e-08,0.0
1852,5.9245962802378926e-08,0.0
1853,5.4344578614973216e-08,0.0
1854,5.6632741163298306e-08,0.0
1855,8.331890910540096e-08,5.306937111981824e-10
1856,4.245295315286057e-08,5.177189232874468e-10
1857,1.1081025430570435e-07,0.0
1858,9.542668333306636e-08,4.893676019968041e-10
1859,6.517981754328162e-08,0.0
1860,8.833965159382728e-08,4.577183909670879e-10
1861,8.064297785104202e-08,0.0
1862,9.713670667821361e-08,2.710791813242963e-09
1863,7.541877550254483e-08,9.989241656072068e-10
1864,1.0212770851225628e-07,0.0
1865,6.636650229374652e-08,0.0
1866,8.855415245534459e-08,0.0
1867,6.551295683721037e-08,4.85281148598915e-10
1868,6.4218362849644e-08,0.0
1869,7.422949188651273e-08,4.883519144627257e-10
1870,4.185855440042019e-08,0.0
1871,8.072094370703553e-08,0.0
1872,5.3821318624081016e-08,0.0
1873,4.968383748860106e-08,5.986004469882289e-10
1874,7.82673765797881e-08,0.0
1875,6.808617553089036e-08,0.0
1876,6.227395310531847e-08,0.0
1877,4.51491583008945e-08,0.0
1878,3.2611077338540184e-08,0.0
1879,5.803859082220697e-08,0.0
1880,6.610381309002378e-08,0.0
1881,4.183504487276224e-08,0.0
1882,6.389169482368118e-08,6.655385131892899e-10
1883,6.256145379524014e-08,0.0
1884,6.931781992847164e-08,6.601696966868076e-10
1885,4.383032448096458e-08,0.0
1886,6.711602551501272e-08,0.0
1887,4.635536360320103e-08,1.3057849246322917e-09
1888,5.516334833366443e-08,0.0
1889,4.9494580878217675e-08,0.0
1890,3.8015443237782165e-08,0.0
1891,6.756673087693343e-08,1.2748440081367107e-09
1892,4.387958751905785e-08,0.0
1893,5.234654043562159e-08,0.0
1894,2.6466464575491955e-08,0.0
1895,6.921406359161608e-08,0.0
1896,3.597187570036908e-08,1.179405795248556e-09
1897,2.855089586972781e-08,0.0
1898,2.82917743676947e-08,2.8291774478717002e-09
1899,4.09040801230276e-08,0.0
1900,6.333085078580325e-08,0.0
1901,4.3592162823902214e-08,0.0
1902,3.338993082024899e-08,1.9641135939885146e-09
1903,3.186129982069019e-08,0.0
1904,2.1498500757388683e-08,0.0
1905,2.993240255655394e-08,1.5482277682110634e-09
1906,4.012463905578301e-08,0.0
1907,2.159994205719329e-08,1.028568674676933e-09
1908,3.5362001771233054e-08,4.911389073214423e-10
1909,4.510806661528477e-08,5.500983557560346e-10
1910,6.626746884563772e-08,2.137660271017694e-09
1911,4.894744243255644e-08,5.320374141248863e-10
1912,4.7405731506966475e-08,1.5628263128064646e-09
1913,6.045408240673567e-08,1.060597942803554e-09
1914,4.620753313311354e-08,2.0090231700464756e-09
1915,6.479418912519463e-08,1.1780761921542648e-09
1916,4.065361070004769e-08,1.0987462051303964e-09
1917,4.386569774084137e-08,0.0
1918,4.364822903113463e-08,1.1486376294556067e-09
1919,2.117805197876521e-08,0.0
1920,3.7103934591442567e-08,7.572231730534895e-10
1921,2.8019165876358443e-08,0.0
1922,4.057864688711277e-08,0.0
1923,3.6094223609950404e-08,0.0
1924,2.9650736532715882e-08,0.0
1925,5.939016034517408e-08,0.0
1926,4.904300876518164e-08,0.0
1927,2.787306230267461e-08,0.0
1928,2.742249938236796e-08,0.0
1929,6.684243802901335e-08,0.0
1930,3.676261295382233e-08,2.100720708497761e-09
1931,3.307553342324354e-08,0.0
1932,3.6166470818166374e-08,0.0
1933,2.1794258397989097e-08,1.1470662197865522e-09
1934,3.5944742293736454e-08,1.1981580172459871e-09
1935,2.393656917121234e-08,0.0
1936,3.273672799508631e-08,0.0
1937,5.9178256517355976e-08,0.0
1938,2.2040865133021725e-08,1.2965214457594243e-09
1939,2.2941076593951948e-08,0.0
1940,1.7750480196809804e-08,0.0
