year,certain_ADJ arc_NOUN,certain_ADJ parc_NOUN
1800,6.288328968651058e-09,1.2576657937302116e-08
1801,0.0,0.0
1802,8.951360541686881e-09,0.0
1803,0.0,0.0
1804,1.2359254952798437e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,6.7770917766551975e-09,0.0
1810,3.2761775514700275e-08,2.3401267590372754e-09
1811,5.0141535368197765e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,4.3136125782439194e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,2.1577788444915313e-08,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,2.384235475716423e-09,0.0
1819,2.4842520929269085e-08,0.0
1820,0.0,0.0
1821,1.1833785507064931e-08,0.0
1822,1.303330066093622e-08,0.0
1823,9.882686669016039e-09,0.0
1824,5.894778887238772e-09,0.0
1825,8.805443485471187e-09,0.0
1826,1.9377566218281572e-08,0.0
1827,1.013900075008678e-08,0.0
1828,4.586150570418113e-09,0.0
1829,1.1145129263923081e-08,0.0
1830,2.1917355041978226e-08,2.0873671680021744e-09
1831,2.6505050598757407e-08,3.1182412207897414e-09
1832,1.3529969367098715e-09,0.0
1833,2.4325620628928846e-08,0.0
1834,6.534171426153534e-09,0.0
1835,1.5882484660778573e-08,0.0
1836,1.6129799718100912e-08,0.0
1837,1.461157062010443e-08,0.0
1838,2.3354999711955315e-08,0.0
1839,8.38977065598101e-09,0.0
1840,3.248541347034006e-08,0.0
1841,2.118781061710706e-08,0.0
1842,7.379091560011375e-09,0.0
1843,1.8311423488626133e-08,0.0
1844,1.1525978393933656e-08,0.0
1845,1.5066614622583074e-08,0.0
1846,1.4636253098387897e-08,0.0
1847,1.3483059113639229e-08,0.0
1848,1.287235473768078e-08,0.0
1849,1.508294644736452e-08,0.0
1850,3.055048125588655e-08,0.0
1851,7.094382858952031e-09,0.0
1852,4.557382027314816e-09,0.0
1853,1.851298847554972e-08,1.7915795513800958e-09
1854,4.2084881357595805e-08,0.0
1855,1.6451505047143655e-08,0.0
1856,9.836659486950339e-09,0.0
1857,5.857811125054013e-09,0.0
1858,4.7468656561022726e-08,0.0
1859,7.129042689513199e-09,0.0
1860,9.612086238064421e-09,0.0
1861,3.206855225812433e-08,0.0
1862,5.873382225018986e-09,6.776979422085105e-09
1863,1.6981710260211003e-08,0.0
1864,1.1986819536957682e-08,2.8768367688059016e-09
1865,1.1767110841276462e-08,0.0
1866,8.271541673821048e-09,4.865612912574591e-10
1867,1.552899675516528e-08,0.0
1868,2.321740844024589e-08,4.93987406535723e-10
1869,3.271957993433716e-08,0.0
1870,1.204150201772336e-08,0.0
1871,1.0621176826930423e-08,3.18635318130589e-09
1872,7.861540751719076e-09,1.2094678591978436e-09
1873,2.3944018323618366e-08,5.986004469882289e-10
1874,4.779687312606029e-09,0.0
1875,2.0597497041308088e-08,0.0
1876,2.2370254981751714e-08,6.04601479992084e-10
1877,2.3502300550148902e-08,6.184815992682502e-10
1878,8.4547240319921e-09,1.8117265465633636e-09
1879,8.55305515301552e-09,6.10932526790009e-10
1880,9.626769603698904e-09,6.417846254436199e-10
1881,4.183504653809678e-09,4.8807553554297556e-09
1882,3.0614771162618126e-08,1.3310770263785798e-09
1883,1.8958017378167824e-08,0.0
1884,1.386356363042296e-08,6.601696966868076e-10
1885,9.023890079618013e-09,6.445635691854079e-10
1886,3.613939725255477e-08,3.2267319927115068e-09
1887,2.415702127223085e-08,0.0
1888,1.5851536971922542e-08,0.0
1889,1.7542383545787743e-08,0.0
1890,1.3764211992395303e-08,0.0
1891,3.824531802365527e-09,0.0
1892,1.002961980134387e-08,6.268512375839919e-10
1893,1.7243566574620672e-08,0.0
1894,5.041231432301174e-09,0.0
1895,6.6204757231957956e-09,6.018614495673091e-10
1896,7.076434549446731e-09,0.0
1897,5.2440420894583895e-09,0.0
1898,9.619203211741478e-09,5.092519295146758e-09
1899,2.1004797901014172e-08,1.1055156790007459e-09
1900,8.824790675987515e-09,0.0
1901,1.3412973842719111e-08,0.0
1902,2.9461702411026636e-08,1.4730852093691738e-09
1903,4.860198465905796e-09,0.0
1904,8.599400302955473e-09,0.0
1905,2.580379465655369e-08,0.0
1906,6.6874399351490865e-09,0.0
1907,6.685696440911215e-09,1.5428529565042481e-09
1908,1.7680999775393502e-08,4.911389073214423e-10
1909,8.801573692096554e-09,1.1001967115120692e-09
1910,1.6566866989364826e-08,5.344150677544235e-10
1911,1.276889793899727e-08,0.0
1912,1.0418842677495377e-08,1.0418842455450772e-09
1913,1.6969567084856862e-08,0.0
1914,6.696743604095445e-09,0.0
1915,8.246533234057551e-09,1.1780761921542648e-09
1916,1.4283700444650549e-08,2.197492410260793e-09
1917,6.57985488317081e-09,1.0966424435210342e-09
1918,3.2161853624756986e-08,0.0
1919,2.3940405213807026e-08,9.207848705727883e-09
1920,1.817335615328375e-08,7.572231730534895e-10
1921,9.087297137000405e-09,0.0
1922,1.0329110011753073e-08,0.0
1923,1.5923921736771263e-08,0.0
1924,1.675911143195208e-08,0.0
1925,1.3197813508725176e-08,0.0
1926,2.0063049888108253e-08,0.0
1927,1.7838759802657478e-08,0.0
1928,1.3711249025050165e-08,0.0
1929,2.1166771446701205e-08,0.0
1930,1.470504518152893e-08,5.2518016602221e-09
1931,1.596749932275543e-08,1.1405356659111021e-09
1932,1.753525857850491e-08,1.0959536611565568e-09
1933,8.02946331646126e-09,0.0
1934,4.7926320689839486e-09,1.1981580172459871e-09
1935,1.0771455727365264e-08,0.0
1936,1.091224355320719e-08,3.6374143697059935e-09
1937,8.813782592653752e-09,0.0
1938,1.2965214679638848e-08,0.0
1939,0.0,0.0
1940,1.2678914806940611e-08,2.5357829169792012e-09
1941,5.9030051957620344e-09,0.0
1942,1.517105907566929e-08,0.0
1943,2.0322646676618206e-08,0.0
1944,6.4263723231761105e-09,0.0
1945,8.714016175304096e-09,0.0
1946,1.1136883415474585e-08,5.568441707737293e-09
1947,1.907339353124371e-08,9.536696765621855e-09
1948,4.348755133776194e-09,2.174377566888097e-09
1949,1.1780409536754632e-08,4.908504269707237e-09
1950,6.381216888229346e-09,2.1270722960764488e-09
1951,9.595261474260042e-09,0.0
1952,1.0544804140977249e-08,2.1089607837865287e-09
1953,1.0773827385790469e-09,2.1547654771580937e-09
1954,4.886268278880834e-09,2.9317608341017376e-09
1955,1.407841132561316e-08,2.815682353940474e-09
1956,1.744228317335228e-09,0.0
1957,1.0602045463770082e-08,0.0
1958,9.926692356998501e-09,2.4816730892496253e-09
1959,3.8753737996444215e-09,3.100299128533379e-09
1960,2.076250060767393e-09,0.0
1961,5.55852741612739e-09,6.948159270159238e-10
1962,5.0735651235811474e-09,1.9025869768540815e-09
1963,3.2330267352165265e-09,6.466053248388448e-10
1964,3.6503808864551957e-09,3.6503808864551957e-09
1965,1.6416130677043839e-09,1.0944086747954884e-09
1966,3.8773522170743036e-09,3.3234448526542337e-09
1967,7.888536934785861e-09,4.437302081328198e-09
1968,8.533690198930799e-09,4.4914158503495116e-10
1969,5.450109252791435e-09,1.3625273131978588e-09
1970,0.0,2.2993624781975086e-09
1971,2.0553589941130213e-09,1.541519245584766e-09
1972,1.0260293725750103e-09,0.0
1973,0.0,0.0
1974,3.937900228123681e-09,1.1251143350321513e-09
1975,3.998036124386317e-09,0.0
1976,5.713526873840635e-10,2.285410749536254e-09
1977,2.3507127355770763e-09,0.0
1978,5.346532105932056e-09,5.940591352171509e-10
1979,5.851973128301324e-09,1.7555920051037788e-09
1980,2.2740602734216964e-09,1.7055452605774235e-09
1981,1.2651099057237047e-09,0.0
1982,2.483000915987077e-09,0.0
1983,0.0,0.0
1984,1.1598016991243298e-09,1.1598016991243298e-09
1985,1.2031116103372597e-09,1.8046674155058895e-09
1986,1.1988970927134801e-09,5.994485463567401e-10
1987,1.8332451112712533e-09,0.0
1988,3.597932174415064e-09,1.1993107618124554e-09
1989,1.6464366536794728e-09,5.488122178931576e-10
1990,1.089730194969718e-09,0.0
1991,5.861465202094962e-10,1.1722930404189924e-09
1992,1.65298330578878e-09,0.0
1993,2.2156829704300662e-09,5.539207426075166e-10
1994,5.274926606624319e-10,5.274926606624319e-10
1995,1.626735190995987e-09,0.0
1996,2.135236876199542e-09,5.338092190498855e-10
1997,1.917957792585412e-09,9.58978896292706e-10
1998,2.3840645013706308e-09,0.0
1999,2.7421207526856506e-09,9.140402323914998e-10
2000,4.4180314962005696e-10,2.2090156370779823e-09
2001,4.3812117822561447e-10,4.3812117822561447e-10
2002,8.76244299341522e-10,1.752488598683044e-09
2003,8.333845835650777e-10,0.0
2004,0.0,8.809582507929292e-10
2005,4.5037495954858286e-10,4.5037495954858286e-10
2006,2.0589450144825605e-09,4.1178899179428186e-10
2007,0.0,7.988958938831558e-10
2008,0.0,0.0
2009,4.76819250749827e-10,9.53638501499654e-10
2010,3.3066551718974324e-09,9.447586046817946e-10
2011,7.64794394481072e-10,2.2943831279320648e-09
2012,1.0212758416727752e-09,4.085103366691101e-09
2013,1.6734750252211938e-09,1.3945624655065103e-09
2014,1.5158115873603606e-09,1.2992671383216248e-09
2015,1.10828768384863e-09,1.7732603163622684e-09
2016,4.1426800878596737e-10,1.2428040818690533e-09
2017,2.515611330355938e-10,1.7609279590047322e-09
2018,2.5814667070633845e-10,1.8070267504555204e-09
2019,0.0,3.3162841361900064e-09
