year,rien_PRON punir_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,4.6352077731626196e-09
1817,0.0
1818,0.0
1819,8.280840013696888e-09
1820,2.3732962262101864e-09
1821,0.0
1822,0.0
1823,7.906149512848515e-09
1824,8.421112696055388e-10
1825,0.0
1826,2.642395191543301e-09
1827,4.608636583469661e-09
1828,1.559291185060374e-08
1829,0.0
1830,1.0436835840010872e-09
1831,0.0
1832,0.0
1833,2.3167257001688313e-09
1834,9.334530925997342e-10
1835,0.0
1836,4.704525213838906e-09
1837,6.957890930081589e-10
1838,3.787297142565649e-09
1839,9.788065469251706e-09
1840,0.0
1841,0.0
1842,6.708265054555795e-10
1843,5.906911071384968e-10
1844,0.0
1845,0.0
1846,0.0
1847,5.3932236454556914e-09
1848,8.045221711050488e-10
1849,1.005529792763582e-08
1850,6.788996032014438e-10
1851,6.449438760824933e-10
1852,0.0
1853,5.971931837933653e-10
1854,1.558699391779328e-09
1855,0.0
1856,2.5885946719483854e-09
1857,4.881509085841174e-10
1858,5.3830437884982985e-09
1859,4.582956236731661e-09
1860,3.204028820036342e-09
1861,0.0
1862,5.873382225018986e-09
1863,3.995696662428827e-09
1864,1.9178911792039344e-09
1865,1.882737743486018e-09
1866,4.865612912574591e-10
1867,3.88224918879132e-09
1868,4.93987406535723e-10
1869,0.0
1870,0.0
1871,0.0
1872,4.23313739617015e-09
1873,0.0
1874,5.974609140757536e-10
1875,0.0
1876,6.04601479992084e-10
1877,1.2369631985365004e-09
1878,6.039088673581716e-10
1879,0.0
1880,0.0
1881,0.0
1882,6.655385131892899e-10
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,6.554386478008212e-10
1891,6.374220040683554e-10
1892,0.0
1893,0.0
1894,0.0
1895,6.018614495673091e-10
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,5.400220270956879e-10
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,1.289162443462999e-09
1925,0.0
1926,2.229227691330493e-09
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,1.1405356659111021e-09
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,2.424942913137329e-09
1937,0.0
1938,5.186085783037697e-09
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,1.1920870957027319e-09
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,1.0544803918932644e-09
1953,0.0
1954,0.0
1955,0.0
1956,8.72114158667614e-10
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,6.341956404476434e-10
1963,0.0
1964,6.083968329129164e-10
1965,0.0
1966,5.539074754423723e-10
1967,4.930335584241163e-10
1968,0.0
1969,0.0
1970,4.5987250119061684e-10
1971,1.0276794970565106e-09
1972,1.0260293725750103e-09
1973,1.102640756478479e-09
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,2.483000915987077e-09
1983,1.2630632095778083e-09
1984,0.0
1985,0.0
1986,5.994485463567401e-10
1987,0.0
1988,0.0
1989,5.488122178931576e-10
1990,1.089730194969718e-09
1991,0.0
1992,0.0
1993,0.0
1994,5.274926606624319e-10
1995,5.422450821690461e-10
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,4.4180314962005696e-10
2001,1.7524847129024579e-09
2002,0.0
2003,0.0
2004,4.404791253964646e-10
2005,0.0
2006,0.0
2007,7.988958938831558e-10
2008,0.0
2009,4.76819250749827e-10
2010,0.0
2011,0.0
2012,0.0
2013,8.367375126105969e-10
2014,2.1654451842767486e-10
2015,8.866301581811342e-10
2016,8.285360175719347e-10
2017,2.515611330355938e-10
2018,5.162933414126769e-10
2019,0.0
