year,en_ADP airs_NOUN,en_ADP serres_NOUN
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,4.7623651688866175e-09
1802,0.0,3.8043282302169246e-08
1803,7.801356671777171e-09,2.9255089017965474e-08
1804,2.4718509905596875e-08,2.7190360185613827e-08
1805,3.1271653710973624e-08,1.1371510844071508e-08
1806,4.3225035994964855e-08,0.0
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,2.259030518203531e-09,2.9367397402779716e-08
1810,9.360507036149102e-09,1.8721014072298203e-08
1811,1.2535384286138651e-08,5.0141535368197765e-09
1812,2.9339290108509886e-08,1.600324850414836e-08
1813,4.3136125782439194e-08,2.8757416448144113e-09
1814,0.0,0.0
1815,3.506390555685357e-08,0.0
1816,1.228330006597389e-07,4.6352077731626196e-09
1817,6.227493631882908e-09,3.42512151974006e-08
1818,5.960588467246453e-09,7.152706427149269e-09
1819,0.0,3.622867339458935e-08
1820,2.0173018810965004e-08,8.306536791735653e-09
1821,1.676452932031225e-08,9.86148829262845e-10
1822,1.0025615893027862e-09,8.02049271442229e-09
1823,1.2847492847356534e-08,1.7788837070042973e-08
1824,1.7684335773537896e-08,1.6000115010683658e-08
1825,4.4027217427355936e-09,3.3460683113162304e-08
1826,7.0463874735082754e-09,9.688782665051576e-09
1827,5.530363722527909e-09,3.87125478340522e-08
1828,1.0089530988466322e-08,4.586150570418113e-09
1829,1.7146351893870815e-08,3.5150023336427694e-08
1830,1.982998831806526e-08,6.262101504006523e-09
1831,0.0,2.0268567268999504e-08
1832,2.976593194148336e-08,3.111892965534935e-08
1833,2.085053074640797e-08,3.59092489077284e-08
1834,1.8669061851994684e-09,6.534171426153534e-09
1835,6.050470346963266e-09,1.739510224751939e-08
1836,1.1425274948351216e-08,1.008112526790228e-08
1837,2.5048407792382932e-08,2.2961039292113128e-08
1838,2.1461350030449466e-08,3.787297231383491e-08
1839,5.2436064379435265e-08,3.355908262392404e-08
1840,7.0066574764382494e-09,8.280594876453051e-09
1841,1.733548060656176e-08,2.6966304744746594e-08
1842,6.708265054555795e-09,1.6770663080478698e-08
1843,1.3585895075607368e-08,2.7762482091020502e-08
1844,1.0977122322231025e-08,1.97588213013411e-08
1845,5.580227835366713e-09,2.4553003186156275e-08
1846,9.952652035849496e-09,2.2832555623963913e-08
1847,9.168480197274675e-09,2.1033573105455616e-08
1848,2.735375304041554e-08,2.011305433313737e-08
1849,6.703531951757213e-09,2.0948537127196687e-08
1850,2.0366988096043315e-09,8.146795238417326e-09
1851,3.8696632564949596e-09,5.095056665460618e-08
1852,5.859490670445666e-09,3.7761164861649377e-08
1853,1.1943863675867306e-09,1.911018188138769e-08
1854,7.27393034694046e-09,3.7408785236170417e-08
1855,1.2736649068756378e-08,2.653468555990912e-08
1856,1.0872097000458325e-08,1.7602443391773193e-08
1857,7.322263684272912e-09,3.905207179855097e-08
1858,2.4468379322684086e-08,1.5170396494568195e-08
1859,1.3748867822016564e-08,2.49516496353408e-08
1860,1.373155189554609e-08,1.6935580049448618e-08
1861,1.2733101684148096e-08,2.971057178058345e-08
