year,en_ADP avant_NOUN,en_ADP savant_NOUN
1800,1.041032841442302e-05,1.5720821977538435e-08
1801,1.1229656720956882e-05,1.1905912700171939e-08
1802,9.947199345106128e-06,2.2378401354217203e-08
1803,1.2339796398919134e-05,3.900678446910888e-09
1804,9.205173199688943e-06,7.4155526164076946e-09
1805,2.066203546746692e-05,1.9900143755080535e-08
1806,1.3160582838622759e-05,2.881669125542885e-09
1807,9.383564076870243e-06,4.270432762965015e-08
1808,1.0514583635767849e-05,3.852325747288887e-08
1809,1.2700269564902555e-05,9.036122072814123e-09
1810,8.92992341050558e-06,4.680253518074551e-09
1811,1.0331663816032233e-05,1.2535383842049441e-08
1812,8.977822830047444e-06,3.7340914360584065e-08
1813,9.01545013221039e-06,2.8757416448144113e-09
1814,1.64382418859077e-05,2.2026739543434815e-08
1815,1.224000055799479e-05,1.3486118000116676e-08
1816,1.3052745202912774e-05,1.1588019432906549e-08
1817,1.8469188660219515e-05,4.670620334934483e-09
1818,1.8365765470207407e-05,4.768470951432846e-09
1819,1.1753617457088694e-05,9.315945015409e-09
1820,1.809401021546364e-05,1.4239777357261119e-08
1821,1.3352454715231943e-05,2.070912508145284e-08
1822,1.3516535148028197e-05,5.012807946513931e-09
1823,1.6216501450116994e-05,1.9765373782121287e-09
1824,1.6078429950994177e-05,3.3684450784221553e-09
1825,1.6686314154412685e-05,7.924898959288385e-09
1826,1.3742217134904422e-05,4.403992281964975e-09
1827,1.2845191349697416e-05,4.608636583469661e-09
1828,1.6876117058473028e-05,6.420610709767516e-09
1829,1.6374766858007206e-05,1.714635211591542e-09
1830,1.4603220563458308e-05,4.174734336004349e-09
1831,1.8343054534852854e-05,3.1182412207897414e-09
1832,1.6231903373409295e-05,9.470978667991403e-09
1833,1.5401592406760756e-05,2.3167257001688313e-09
1834,1.568014533859241e-05,1.6802156110884425e-08
1835,1.6600221727003373e-05,7.563087933704082e-09
1836,1.522989214208792e-05,4.032449929525228e-09
1837,1.8617924183672585e-05,4.174734336004349e-09
1838,1.7508043754332903e-05,1.009945904684173e-08
1839,1.433252418792108e-05,7.690622361167243e-09
1840,1.6555457534650486e-05,1.0191501864653674e-08
1841,1.518267112032845e-05,1.2841097518645483e-08
1842,1.494534370749534e-05,6.037438549100216e-09
1843,1.3697536473955552e-05,1.3585895075607368e-08
1844,1.5673135521865333e-05,1.4819115712327857e-08
1845,1.6433214000244334e-05,1.0044410636567136e-08
1846,1.3776227433481836e-05,4.6836010625384006e-09
1847,1.3590383900918823e-05,2.1572894581822766e-09
1848,1.4300381167231535e-05,1.126331028444838e-08
1849,1.4485494830296375e-05,8.379414939696517e-10
1850,1.5471443077785807e-05,5.431196825611551e-09
1851,1.6362225892407878e-05,2.579775504329973e-09
1852,1.3578393748048256e-05,2.0833745395520964e-08
1853,1.6232308553298935e-05,1.0152283902442605e-08
1854,1.5177575221514417e-05,8.832629738719788e-09
1855,1.5770625054756238e-05,2.5473298137512757e-08
1856,1.4646786155481095e-05,1.7084724746041502e-08
1857,1.734009657639035e-05,1.757343248698362e-08
1858,1.6379622422846296e-05,8.31924928945682e-09
1859,1.845098063313344e-05,1.782260738991681e-08
1860,1.7937069173967757e-05,2.70053845952134e-08
1861,1.4772285169328825e-05,7.545541969022906e-09
1862,1.5566721515369863e-05,2.5752521892741242e-08
1863,1.4433954731885024e-05,1.4983863039219614e-08
1864,1.4101295107593614e-05,1.582260222843246e-08
1865,1.4014158068675897e-05,1.4591217123438582e-08
1866,1.6229738434958563e-05,1.3623716377253459e-08
1867,1.7130910009655054e-05,1.067618526917613e-08
1868,2.0349811734377e-05,3.2109181424822e-08
1869,1.8499746886391222e-05,1.3673853160867111e-08
1870,1.947282908076886e-05,2.0642576092910758e-08
1871,3.052738861697435e-05,2.1242353653860846e-08
1872,2.1671244553544966e-05,7.861541084785983e-09
1873,2.154363068029852e-05,1.4965010730616513e-08
1874,2.6054075647152786e-05,1.0754296120296658e-08
1875,1.9570483800634975e-05,2.3458261722009155e-08
1876,1.9711216737050563e-05,2.0556450763820067e-08
1877,2.1308546877207846e-05,1.979141184271782e-08
1878,1.7734991331508354e-05,1.7513357875031943e-08
1879,1.6830580705118336e-05,1.7106110861142554e-08
1880,1.64104322948333e-05,1.2835692508872398e-08
1881,1.651229160870571e-05,9.064259565150223e-09
1882,1.6583889134835772e-05,2.0631693686823382e-08
1883,1.7343424985938327e-05,1.579834751908038e-08
1884,1.6974283425952308e-05,3.498899303622238e-08
1885,1.845514356091371e-05,1.2891271217174705e-08
1886,1.8483365579413658e-05,9.680195700578764e-09
1887,2.1175913616389153e-05,1.2404957061562527e-08
1888,2.0149839087935106e-05,1.2047168373996442e-08
1889,1.7802385457343917e-05,2.2554493106508033e-08
1890,1.8049469986181066e-05,1.5730528268864674e-08
1891,2.0224763431997417e-05,1.5935549768641977e-08
1892,1.7641474073570862e-05,2.6954603882245465e-08
1893,1.80946589694031e-05,1.7243566574620672e-08
1894,1.8995990501480264e-05,1.1342770278588432e-08
