year,mon_DET sentier_NOUN
1800,2.5153315874604232e-08
1801,2.3811825400343878e-08
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,8.540865792383556e-09
1808,1.8128591960930862e-08
1809,4.518061036407062e-09
1810,2.8081521108447305e-08
1811,0.0
1812,0.0
1813,0.0
1814,6.293354282149721e-09
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,1.556873407970727e-09
1818,3.5763532135746345e-09
1819,1.035105001712111e-09
1820,9.493184904840746e-09
1821,1.3806083387635226e-08
1822,2.0051231786055723e-09
1823,6.917880934764753e-09
1824,2.5263338976344585e-08
1825,2.641632912414593e-09
1826,2.642395191543301e-09
1827,7.373818444733615e-09
1828,1.559291185060374e-08
1829,6.858540846366168e-09
1830,5.218417697960831e-09
1831,2.0268567268999504e-08
1832,3.788391311765338e-08
1833,2.548398292390175e-08
1834,6.067445212920575e-08
1835,2.647080776796429e-08
1836,3.763619921270944e-08
1837,2.0873672568200163e-08
1838,2.209256599883247e-08
1839,4.264799935427277e-08
1840,4.395085184683012e-08
1841,7.640452714952062e-08
1842,2.2808101629578914e-08
1843,4.6073907356003474e-08
1844,3.183365582248854e-08
1845,1.2276501593078137e-08
1846,2.6345256642912318e-08
1847,3.343798660182529e-08
1848,4.827132860096839e-09
1849,5.865590679832167e-09
1850,2.2403686017469226e-08
1851,3.224719336003545e-08
1852,3.6459056218518526e-08
1853,2.5679307569248522e-08
1854,1.610655964157104e-08
1855,2.812676669350367e-08
1856,1.7602443058706285e-08
1857,2.7336451435822084e-08
1858,6.410715402971334e-08
1859,3.0043821652725455e-08
1860,3.753290944707999e-08
1861,4.621644578151063e-08
1862,4.743885639868495e-08
1863,4.345320059329083e-08
1864,2.685047595374357e-08
1865,3.577201823645737e-08
1866,2.9193677975047905e-08
1867,2.038180824115443e-08
1868,2.8157281839469306e-08
1869,2.539430010717325e-08
1870,1.6055336615750093e-08
1871,3.3987767711352035e-08
1872,1.5118348239973045e-08
1873,1.795801263249075e-08
1874,2.0911132381229436e-08
1875,2.5174718754072956e-08
1876,1.9951848173604958e-08
1877,2.1028374708187414e-08
1878,3.5026715750063886e-08
1879,3.848874996492668e-08
1880,2.2462462556660512e-08
1881,7.669758161910067e-09
1882,2.5956001792337702e-08
1883,2.0853818227806187e-08
1884,1.1222884843675729e-08
1885,7.090199094506033e-09
1886,1.742435251639307e-08
1887,2.546280519766242e-08
1888,9.510921827882157e-09
1889,7.518164091280255e-09
1890,9.831579994568074e-09
1891,1.466070642663908e-08
1892,1.56712811616444e-08
1893,1.970693297437265e-08
1894,1.5123694296903523e-08
1895,1.444467478961542e-08
1896,7.666137724626765e-09
1897,2.9716239247079557e-08
1898,1.5843393486036916e-08
1899,1.3818945987509323e-08
1900,1.297763252416928e-08
1901,6.147612641171918e-09
1902,1.1784681341886483e-08
1903,7.560307935250421e-09
1904,1.7736262236667244e-08
1905,2.2191263493454016e-08
1906,1.491813489407079e-08
1907,1.7485667580530162e-08
1908,1.8663278034125597e-08
1909,1.3202360760189435e-08
1910,1.4963622119168463e-08
1911,2.3409645777405785e-08
1912,1.1981668546212632e-08
1913,1.378777320093505e-08
1914,1.808120764223986e-08
1915,2.0027295377644805e-08
1916,1.2086208478478966e-08
