year,en_ADP ail_NOUN,en_ADP taille_NOUN
1800,1.2576658381391326e-08,1.7009929678124536e-06
1801,3.809892001882531e-08,2.5073852292223364e-06
1802,5.370816325012129e-08,2.714500112688256e-06
1803,5.070882025393075e-08,2.552994150306631e-06
1804,7.909923027682453e-08,1.945346646436974e-06
1805,2.5585899399160894e-08,2.0497149115783486e-06
1806,6.627838811112952e-08,3.3629078330932316e-06
1807,1.2241906865995134e-07,2.809944668058506e-06
1808,1.0877154954513912e-07,4.328201505643392e-06
1809,9.93973401364201e-08,3.829056723247959e-06
1810,2.9251585464962204e-07,4.720035498451125e-06
1811,1.253538335355131e-07,3.4973721199094143e-06
1812,1.8137015445063298e-07,3.2886678376087275e-06
1813,1.2078114730584844e-07,1.872107858957861e-06
1814,1.0698702368472368e-07,1.441178170580315e-06
1815,5.664169577812572e-08,2.2440900409037567e-06
1816,4.6352077731626196e-08,1.6037818397762749e-06
1817,3.892183608744659e-08,1.1365175911492997e-06
1818,5.602953323524673e-08,1.080058673608164e-06
1819,1.2214239364372048e-07,1.4605331841721636e-06
1820,2.966620371580575e-08,1.2875131787382088e-06
1821,4.43766958735381e-08,1.283965723075653e-06
1822,3.107940926838637e-08,1.040658929696292e-06
1823,3.755420863171821e-08,1.2373123610132097e-06
1824,3.3684449896043134e-08,1.051797003270849e-06
1825,3.258013947515792e-08,1.3067277606637617e-06
1826,2.4662355713189754e-08,1.042865321210229e-06
1827,4.147772969531616e-08,9.991523910457545e-07
1828,4.3109815550668174e-08,9.951947106401349e-07
1829,1.0545006362550069e-07,9.850579503201118e-07
1830,6.053364676184003e-08,1.0562077576992124e-06
1831,7.483779085326603e-08,1.789870510471303e-06
1832,7.035583848846727e-08,8.956839749885148e-07
1833,3.938433579264711e-08,7.610444043848474e-07
1834,7.000897994657862e-08,1.135078914415999e-06
1835,5.596685070941021e-08,8.689988177934538e-07
1836,6.653542283796554e-08,8.642884505860593e-07
1837,7.792837530828933e-08,8.182479849239144e-07
1838,6.754013526233393e-08,7.827080699129851e-07
1839,1.2095251933352813e-07,1.0179587590641859e-06
1840,1.031889566571742e-07,9.15324271488771e-07
1841,1.3097919682181214e-07,1.1524884673264069e-06
1842,1.2745704225380905e-07,9.847732673762266e-07
1843,1.3763102491015644e-07,7.165083186766452e-07
1844,1.4764229661068384e-07,8.50726974643834e-07
1845,1.5345627124574435e-07,8.130392190608404e-07
1846,1.042101231973902e-07,9.162294580811192e-07
1847,1.6341467112823693e-07,1.057611169308359e-06
1848,8.447483018647617e-08,9.517497563393817e-07
1849,1.2233945301254323e-07,8.463209155706863e-07
1850,1.1677072819793466e-07,1.150055892296109e-06
1851,1.2253933023842478e-07,9.222697237021293e-07
1852,1.608104709394098e-07,1.1666896924111825e-06
1853,1.5228425720437144e-07,1.1806508837253205e-06
1854,1.6158516574771298e-07,1.3867228432218326e-06
1855,1.363882802252192e-07,1.524152370535603e-06
1856,1.1545131700652078e-07,1.324325021201389e-06
1857,1.4693341654492542e-07,1.3214245484505227e-06
1858,9.983099408250595e-08,1.2885049258670733e-06
1859,1.2221216127983325e-07,9.104805993587206e-07
1860,9.428998692939672e-08,9.93248955083459e-07
1861,9.903523690013571e-08,1.3067935107358153e-06
1862,1.3825037833981035e-07,1.1466649016966812e-06
1863,1.0788380760962113e-07,1.4739125662188712e-06
1864,8.822299402133638e-08,1.074977966197821e-06
1865,1.148470044065597e-07,1.0176197395850295e-06
1866,1.19694079148136e-07,1.1633680223610554e-06
1867,9.56003880503431e-08,1.4475936680469204e-06
1868,5.433861460790723e-08,2.4496836577014847e-06
1869,7.325278816860958e-08,1.1964622110838263e-06
1870,3.870482885304227e-07,1.4226175437670463e-06
1871,1.125844788507635e-07,9.09172758412069e-07
1872,2.382651729249119e-07,1.3509756424667785e-06
1873,8.021246022948958e-08,1.4929094653837183e-06
1874,3.017177579445196e-07,1.0700525177043119e-06
1875,6.293679777336081e-08,1.3039360364786035e-06
1876,7.859819173283711e-08,1.3343555043121569e-06
1877,6.370360772223194e-08,1.0198761692947755e-06
1878,5.374788863976576e-08,1.3177291950938752e-06
1879,1.1974277769333241e-07,1.3562702099179091e-06
1880,6.494860691486082e-07,1.5544023757030345e-06
1881,9.273434842249628e-08,1.4851441640928442e-06
1882,6.256061846343641e-08,1.0854933547577161e-06
1883,6.843844287951484e-07,1.256916531744423e-06
1884,4.152467445450725e-07,1.26620547646894e-06
1885,6.961286658224708e-08,1.1621480595636058e-06
1886,1.109995773074246e-07,1.3707157169307038e-06
1887,8.357023439931055e-08,1.0296114574259718e-06
1888,4.749120452451905e-07,1.0861473427326018e-06
1889,1.0525430044205919e-07,1.3676793555461586e-06
1890,4.719158097632459e-08,1.5973040010663908e-06
1891,4.46195412839856e-08,1.5482980249004186e-06
1892,7.522214851007902e-08,1.2718812136824909e-06
1893,7.205347452021726e-08,1.1688674712573288e-06
1894,6.49058538026992e-08,1.1355373636945387e-06
1895,1.233816031565027e-07,9.467280577268866e-07
1896,7.489227105139662e-08,9.59446589732238e-07
1897,6.292850474043377e-08,8.431254423513224e-07
1898,6.224190274295438e-08,1.1096033780688686e-06
1899,7.793885892226626e-08,1.0264712901886242e-06
1900,7.527026879561305e-08,1.59209596972687e-06
1901,6.594711637886164e-08,9.361137838226341e-07
1902,8.494790937341179e-08,1.0851727836325153e-06
1903,1.0638433689535987e-07,8.575549870215582e-07
1904,6.449549871945237e-08,9.496962567467904e-07
1905,6.96702494029644e-08,7.854675150298362e-07
1906,6.584556022648513e-08,7.731709308345103e-07
1907,8.999975875667587e-08,9.874259099262872e-07
1908,5.009616987905474e-08,7.602830169872732e-07
1909,6.27112152207232e-08,9.15913755505926e-07
1910,6.787071482605711e-08,7.711609422145216e-07
1911,5.267170366529683e-08,6.357847173177333e-07
1912,5.1052326865974607e-08,6.235677030286269e-07
1913,5.356019550095681e-08,6.342375948875656e-07
1914,6.161004267868364e-08,7.527139853635845e-07
1915,2.7095753085681906e-08,5.807915810507325e-07
1916,3.4061131248819265e-08,5.175094424103577e-07
1917,5.812204850741409e-08,7.007545299586582e-07
1918,4.709414280767987e-08,5.272246585974472e-07
1919,5.616787668305534e-08,5.883815374918555e-07
1920,8.556621677868748e-08,7.481364692196735e-07
1921,5.225195764957391e-08,6.815472892718333e-07
1922,9.812654039320634e-08,8.351823117536128e-07
1923,7.218844588763318e-08,6.401416552392902e-07
1924,7.219309572370491e-08,9.385102819337021e-07
1925,9.568414460758845e-08,8.985511268377877e-07
1926,7.690835668316964e-08,6.498198930060539e-07
1927,6.355058124185575e-08,7.358488236519634e-07
1928,9.255093735838216e-08,8.946590455138903e-07
1929,5.904415290025611e-08,5.536782214932146e-07
1930,4.0964054592862453e-08,1.2163172513623977e-06
1931,4.904303452235581e-08,7.960939019113766e-07
