year,ait_VERB enseigné_VERB,ait_VERB renseigné_VERB
1800,9.432493186523061e-08,0.0
1801,1.0953439755212457e-07,0.0
1802,1.1636768704192946e-07,0.0
1803,9.751695984050457e-08,0.0
1804,3.707776485839531e-08,0.0
1805,5.685755510853596e-08,0.0
1806,1.123850950079941e-07,0.0
1807,2.2775640928784924e-08,0.0
1808,3.172503681980743e-08,0.0
1809,7.00299480627109e-08,0.0
1810,1.2168659679900884e-07,0.0
1811,1.2284675676710322e-07,0.0
1812,1.1202274663446588e-07,0.0
1813,5.7514832008109806e-08,0.0
1814,9.44003133440674e-08,0.0
1815,8.361393355471591e-08,0.0
1816,7.879853569647821e-08,0.0
1817,1.214361304846534e-07,0.0
1818,1.096748292184202e-07,0.0
1819,1.1386155307491208e-07,0.0
1820,1.5545090548130247e-07,0.0
1821,1.6665914870372944e-07,0.0
1822,1.4035862250239006e-07,0.0
1823,1.393458859411112e-07,0.0
1824,1.0947446327236321e-07,0.0
1825,6.516027895031584e-08,0.0
1826,7.222546827279075e-08,0.0
1827,1.2074627875335864e-07,0.0
1828,1.3024667566696735e-07,0.0
1829,1.2688300898844318e-07,0.0
1830,1.1793624565825667e-07,0.0
1831,1.3096612860863388e-07,0.0
1832,1.0688675899928057e-07,0.0
1833,6.02348677603004e-08,0.0
1834,8.401077877806529e-08,0.0
1835,1.1344631900556124e-07,0.0
1836,1.276942498407152e-07,0.0
1837,8.349469027280065e-08,0.0
1838,1.249808008196851e-07,0.0
1839,8.599514700335931e-08,0.0
1840,9.93671420701503e-08,0.0
1841,1.2263247128885268e-07,0.0
1842,8.385331540239349e-08,6.708265054555795e-10
1843,1.7011903707953024e-07,0.0
1844,1.2678576410962705e-07,0.0
1845,1.2164896645572298e-07,0.0
1846,9.659927258098833e-08,0.0
1847,9.33027664018482e-08,0.0
1848,7.642960753173611e-08,0.0
1849,6.619738002200393e-08,0.0
1850,9.436704573317911e-08,0.0
1851,9.158203084780325e-08,0.0
1852,1.0481978307552708e-07,0.0
1853,7.226037723739864e-08,0.0
1854,6.858277146193359e-08,1.0391328908454511e-09
1855,1.2205956068100932e-07,0.0
1856,8.387046790403474e-08,0.0
1857,8.737901424638039e-08,0.0
1858,6.606462932268187e-08,0.0
1859,9.013146495817637e-08,5.092173349652285e-10
1860,8.055843636611826e-08,9.154367819341758e-10
1861,7.969978810251632e-08,4.715963730639317e-10
1862,7.680576885604751e-08,0.0
1863,1.0988166110337261e-07,1.9978483312144135e-09
1864,8.87024640405798e-08,0.0
1865,7.625087761198301e-08,4.23615986733239e-09
1866,9.925850008585257e-08,0.0
1867,8.783588612004678e-08,9.7056229719783e-10
1868,8.24958945599974e-08,0.0
1869,8.008971263961939e-08,1.4650557433881772e-09
1870,7.683625113941162e-08,5.734048791339319e-10
1871,6.266494523288202e-08,0.0
1872,9.796689681706994e-08,0.0
1873,5.7465641134513135e-08,5.986004469882289e-10
1874,5.377148326601855e-08,0.0
1875,5.149374260327022e-08,4.005069165202713e-09
1876,5.622793608495158e-08,6.650616057868319e-09
1877,7.112538469300489e-08,0.0
1878,5.918306911212312e-08,2.4156354694326865e-09
1879,1.0935692529301377e-07,6.109325489944695e-09
1880,6.225310755780811e-08,6.417846254436199e-09
1881,4.5321300490286376e-08,2.091752326904839e-09
1882,7.853354588860384e-08,1.3310770263785798e-09
1883,3.6652167523243406e-08,1.2638677882037541e-09
1884,3.895001299270007e-08,3.300848483434038e-09
1885,6.445635847285303e-08,6.445635691854079e-10
1886,2.774989482645651e-08,6.453463874400711e-10
1887,5.419007464979586e-08,6.528924623161458e-10
1888,4.9456794215529953e-08,3.1703073499755874e-09
1889,3.57112810434046e-08,6.265136742733546e-10
1890,4.129263331265065e-08,6.554386478008212e-10
1891,5.16311828846483e-08,1.2748440081367107e-09
1892,6.769993632360638e-08,2.5074049503359674e-09
1893,4.187723234849727e-08,4.310891643655168e-09
1894,4.222031435574536e-08,3.150769645188234e-09
1895,6.319545065025522e-08,0.0
1896,5.189385632320409e-08,4.717623180994224e-09
1897,2.3889525024856084e-08,9.905413378419325e-09
1898,2.6028432742464247e-08,9.05336783318944e-09
1899,3.758753308602536e-08,3.8693048765026106e-09
1900,3.5818267463127995e-08,4.15284251431558e-09
1901,5.02986488015722e-08,6.706486921359556e-09
1902,3.977329754434322e-08,9.820567692386817e-10
1903,3.94216073118514e-08,2.7001101354784396e-09
1904,3.654745128756076e-08,2.6873125946735854e-09
1905,5.005936287716395e-08,0.0
1906,3.600929332492342e-08,2.572092316910357e-09
1907,3.394276504309346e-08,2.057137349353866e-09
1908,3.437972395659017e-08,4.4202499438483756e-09
1909,2.9705311987981986e-08,6.0510818578052294e-09
1910,3.580580809625644e-08,5.34415089958884e-09
1911,4.62872549178428e-08,3.7242617878519013e-09
1912,2.81308754068732e-08,5.209421227725386e-10
1913,5.515109435805243e-08,3.71209285532359e-09
1914,3.8171439342704616e-08,3.3483718020477227e-09
1915,5.0657277483878715e-08,5.890381071793627e-09
1916,3.84561182897869e-08,0.0
1917,2.9609346086090227e-08,1.0966424435210342e-09
1918,2.756730310693456e-08,4.594550517822427e-09
1919,3.775218004875569e-08,2.762354567309444e-09
1920,4.164727585020955e-08,7.572231730534895e-09
1921,3.332008802203745e-08,7.572747429129834e-10
1922,3.9103056792555435e-08,0.0
1923,7.537322943562685e-08,0.0
1924,3.0939897754933554e-08,0.0
1925,5.27912540349007e-08,7.698724324711748e-09
1926,4.0126099776216506e-08,0.0
1927,3.9022285847067906e-08,1.0034302277972529e-08
1928,3.085031252680892e-08,2.2852082448565625e-09
1929,2.1166771446701205e-08,3.342121912552898e-09
1930,3.361153133596417e-08,3.1510811737689437e-09
1931,3.877821086462063e-08,6.843213995466613e-09
1932,4.055028668403793e-08,2.1919073223131136e-09
1933,4.7029715233293246e-08,5.735331320977366e-09
1934,3.714289675826876e-08,1.1981580172459871e-09
1935,2.154291145473053e-08,4.787313656606784e-09
1936,3.6374142808881516e-08,1.2124714565686645e-09
1937,3.651424407280501e-08,1.2591118148108649e-09
1938,2.852347158466273e-08,1.2965214457594243e-09
1939,3.976452944698394e-08,0.0
1940,6.593035806190528e-08,0.0
1941,3.836953510472085e-08,5.9030051957620344e-09
1942,9.102635090130207e-08,9.102635090130207e-09
1943,2.6129116648121453e-08,5.806470415592457e-09
1944,8.996921252446555e-08,0.0
1945,5.8819608739213436e-08,0.0
1946,4.872386583087973e-08,0.0
1947,4.7683485604466114e-08,0.0
1948,2.174377655705939e-08,5.435944139264848e-09
1949,3.6322930441201606e-08,0.0
1950,3.616023036556726e-08,5.317680518146517e-09
1951,3.731490494374157e-08,5.330700769690111e-09
1952,5.061505703451985e-08,7.381362632230548e-09
1953,2.1547654327491728e-08,3.232148326759443e-09
1954,3.9090146231046674e-08,5.863521668203475e-09
1955,1.3139850985055546e-08,9.385607846468247e-10
1956,3.1396108823855684e-08,2.616342476002842e-09
1957,4.4175187952077977e-08,8.835037701437898e-10
1958,4.715178647529683e-08,8.272243445794913e-10
1959,3.1778064624177205e-08,0.0
1960,4.15249985508126e-08,3.460416619915918e-09
1961,4.238377115939329e-08,4.86371165564492e-09
1962,3.55149545328004e-08,1.9025869768540815e-09
