year,devraient_VERB amener_VERB,devraient_VERB ramener_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,3.900678446910888e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,2.881669125542885e-09
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,6.7770917766551975e-09
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,0.0,1.0788894222457657e-08
1816,1.1588019432906549e-08,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,1.035105001712111e-09,4.140420006848444e-09
1820,1.0679833017945839e-08,1.1866481131050932e-09
1821,0.0,0.0
1822,1.0025615893027862e-09,0.0
1823,9.882686891060644e-10,9.882686891060644e-10
1824,2.5263338088166165e-09,0.0
1825,6.163809906922779e-09,0.0
1826,1.7615968683770689e-09,0.0
1827,0.0,1.8434546111834038e-09
1828,9.172301251858528e-10,8.255071293206129e-09
1829,4.286587973467704e-09,2.3147574523818548e-08
1830,3.1310507520032616e-09,6.262101504006523e-09
1831,4.677361609140007e-09,0.0
1832,4.058990921151917e-09,4.058990921151917e-09
1833,6.950177322551099e-09,0.0
1834,1.8669061851994684e-09,1.4001796166951408e-08
1835,1.5126175867408165e-09,7.563087933704082e-10
1836,6.720750067579218e-10,0.0
1837,1.0436836284100082e-08,0.0
1838,3.787297142565649e-09,2.5248647617104325e-09
1839,4.894032734625853e-09,1.3982950353153e-09
1840,8.280594876453051e-09,6.369688665408546e-10
1841,3.852329122366882e-09,0.0
1842,5.366612043644636e-09,0.0
1843,1.1813822142769936e-09,0.0
1844,6.037417232818143e-09,0.0
1845,2.7901139176833567e-09,0.0
1846,5.854501328173001e-09,0.0
1847,7.011190739092399e-09,0.0
1848,5.63165514222419e-09,1.528592186161859e-08
1849,5.02764896381791e-09,1.6758829879393033e-09
1850,9.504594444820214e-09,0.0
1851,1.2898877521649865e-08,0.0
1852,1.6927417689771573e-08,0.0
1853,6.569124799682413e-09,0.0
1854,6.234797567117312e-09,0.0
1855,7.960405667972736e-09,0.0
1856,2.0708756931497874e-09,0.0
1857,5.369659827891837e-09,0.0
1858,2.936205500958522e-09,0.0
1859,8.656694916453489e-09,5.092173349652285e-10
1860,6.865775947773045e-09,0.0
1861,3.3011746669586728e-09,0.0
1862,2.710791813242963e-09,0.0
1863,7.991393324857654e-09,4.994620828036034e-10
1864,3.3563094525845827e-09,0.0
1865,1.4120533631256649e-09,0.0
1866,9.731225603104576e-09,0.0
1867,6.308654931785895e-09,0.0
1868,3.951899252285784e-09,0.0
1869,4.395167341186834e-09,4.883519366671862e-09
1870,1.3761717099214366e-08,0.0
1871,8.496941816815706e-09,0.0
1872,6.652073114565837e-09,3.628403577593531e-09
1873,1.0176207432266438e-08,0.0
1874,4.182226565063729e-09,1.1949218281515073e-09
1875,4.005069165202713e-09,5.149374260327022e-09
1876,1.1487427897804992e-08,6.04601479992084e-10
1877,9.27722432209066e-09,0.0
1878,9.662541877730746e-09,0.0
1879,1.4662380642960215e-08,0.0
1880,5.134277003548959e-09,0.0
1881,2.2312024228199334e-08,6.972507571312292e-10
1882,1.5307385581309063e-08,0.0
1883,1.2006744043446815e-08,0.0
1884,9.902545450302114e-09,0.0
1885,7.090199094506033e-09,6.445635691854079e-10
1886,4.5174246565693466e-09,2.5813855497602844e-09
1887,4.570247291724172e-09,0.0
1888,6.340614699951175e-09,0.0
1889,9.397704836544563e-09,0.0
1890,1.2453334363726754e-08,0.0
1891,1.0198752065093686e-08,5.736798147637501e-09
1892,6.8953633913793055e-09,6.268512375839919e-10
1893,9.23762488724833e-09,6.158416554491453e-10
1894,2.520615716150587e-09,0.0
1895,8.426059849853118e-09,0.0
1896,8.845543852942228e-09,1.179405795248556e-09
1897,1.2236098356765979e-08,0.0
1898,1.810673566637888e-08,0.0
1899,6.633094074004475e-09,1.1055156790007459e-09
1900,1.86877908703309e-08,5.191053142894475e-10
1901,8.38310842965484e-09,0.0
1902,4.910283735171106e-09,4.910283846193408e-10
1903,5.400220270956879e-09,5.400220270956879e-10
1904,1.2361637935498493e-08,0.0
1905,1.3417973399043603e-08,5.160759042333041e-10
1906,9.259531807970234e-09,5.144184522798412e-10
1907,4.6285588695127444e-09,5.142843373384665e-10
1908,1.3260750719723546e-08,0.0
1909,8.251475058784763e-09,1.6502950117569526e-09
1910,1.2825961626106164e-08,1.6032452032632705e-09
1911,1.702519725199636e-08,5.320374141248863e-10
1912,9.376957876838787e-09,5.209421227725386e-10
1913,1.7499866444836698e-08,4.242391771214216e-09
1914,6.027069510139427e-09,6.696743715117748e-10
1915,1.8849219074468238e-08,2.3561523843085297e-09
1916,1.9777431248257926e-08,1.0987462051303964e-09
1917,3.289927441585405e-09,4.386569774084137e-09
1918,9.189101035644853e-09,2.2972752589112133e-09
1919,7.366278698128781e-09,1.6574126959767455e-08
1920,9.843901693784574e-09,7.572231730534895e-10
1921,9.087297137000405e-09,9.844571380313027e-09
1922,4.426761179843197e-09,7.377935484775833e-10
1923,5.307974060286824e-09,0.0
1924,1.1602462102189293e-08,0.0
1925,9.898360353588487e-09,2.1996355847875293e-09
1926,1.4489979882625903e-08,0.0
1927,5.574612327308159e-09,1.1149224876660924e-09
1928,1.1426041446327417e-08,0.0
1929,1.1140406375176326e-09,5.570202965543558e-09
1930,1.1553964007759987e-08,2.100720708497761e-09
1931,9.124285327288817e-09,1.1405356659111021e-09
1932,3.287861094491973e-09,0.0
1933,1.261772819560747e-08,0.0
1934,1.677421224144382e-08,3.5944740517379614e-09
1935,3.590485242455088e-09,0.0
1936,1.33371855781661e-08,1.2124714565686645e-09
1937,8.813782592653752e-09,2.5182236296217297e-09
1938,7.779128452511941e-09,0.0
1939,1.988226472349197e-08,3.058810094103137e-09
1940,1.7750480196809804e-08,0.0
1941,5.9030051957620344e-09,0.0
1942,6.068423541449874e-09,3.034211770724937e-09
1943,2.322588166236983e-08,0.0
1944,6.4263723231761105e-09,0.0
1945,8.714016175304096e-09,6.535512131478072e-09
1946,8.352662561605939e-09,0.0
1947,1.4305045148432782e-08,2.3841741914054637e-09
1948,1.195907639583993e-08,1.0871887834440486e-09
1949,2.6505922789965553e-08,0.0
1950,7.444753258312176e-09,0.0
1951,1.7058242818279723e-08,0.0
1952,2.003512733494972e-08,2.1089607837865287e-09
1953,1.723812381726475e-08,0.0
1954,1.6613311615287785e-08,9.772536113672459e-10
1955,2.5341140741375057e-08,1.8771215692936494e-09
1956,2.1802854632824165e-08,1.744228317335228e-09
1957,1.767007518083119e-08,1.7670075402875796e-09
1958,1.9026160202884057e-08,1.6544486891589827e-09
1959,1.705164542897819e-08,7.750747821333448e-10
1960,1.591791587429725e-08,1.3841666701708277e-09
1961,1.945484662257968e-08,1.3896318540318475e-09
1962,1.3952304200870458e-08,2.5367825617905737e-09
1963,2.0691370394843034e-08,6.466053470433053e-09
1964,1.2167936880302932e-08,1.2167936658258327e-09
1965,1.586892572902343e-08,3.2832261354087677e-09
1966,2.99110034518435e-08,1.6617224263271169e-09
1967,1.429797347185513e-08,4.437302081328198e-09
1968,2.649935382237345e-08,1.3474247273492779e-09
1969,1.8167030546578644e-08,2.2708788183223305e-09
1970,2.483311511980446e-08,4.1388523719376735e-09
1971,3.237190426830239e-08,3.5968783507200897e-09
1972,2.1033601527165047e-08,3.0780880067027283e-09
1973,3.087394162548662e-08,3.3079223804577396e-09
1974,2.6440186928766707e-08,2.812785782069227e-09
1975,2.8557401776652114e-08,2.2845920710778955e-09
1976,2.4568166168137395e-08,3.4281160132820787e-09
1977,2.8208553715103335e-08,2.938390863960194e-09
1978,2.613860239364385e-08,1.7821774056514528e-09
1979,3.5111838769807946e-08,3.5111840102075575e-09
1980,3.581644847372445e-08,3.411090521154847e-09
1981,2.7199863694704618e-08,1.2651099057237047e-09
1982,1.738100685599875e-08,4.966001831974154e-09
1983,3.8523428003145455e-08,1.89459470334441e-09
1984,2.7835241667162336e-08,3.479405208395292e-09
1985,3.308556983938615e-08,5.414002135495366e-09
1986,2.2779044428489215e-08,5.395036861699509e-09
1987,3.666490044906823e-08,1.2221633705067347e-09
1988,2.2187249371086182e-08,5.996553809062277e-10
1989,2.8538234886354985e-08,8.232182935330457e-09
1990,3.2691904294779306e-08,2.724325431913144e-09
1991,2.4618154625954958e-08,3.5168792322792797e-09
1992,2.644773289262048e-08,5.509944056569793e-09
1993,1.4955860550003308e-08,4.985286850001103e-09
1994,2.5319646823618314e-08,6.857404422078162e-09
1995,3.145021310047014e-08,1.0302656505700725e-08
1996,2.989331449043675e-08,5.3380921904988554e-09
1997,1.3425704992187093e-08,4.794894259418925e-09
1998,2.5747898035888284e-08,7.152193948201102e-09
1999,2.696418732739403e-08,6.398281460207045e-09
2000,3.092621980727017e-08,3.5344251969604557e-09
2001,1.796296800193886e-08,5.257454027685071e-09
2002,1.8839251936242363e-08,7.448076377869484e-09
2003,2.7501691590714472e-08,5.8336921959778465e-09
2004,2.422635247967264e-08,6.166707589017051e-09
2005,1.9816498664226856e-08,1.8014998381943315e-09
2006,2.182481573242967e-08,1.1118302722934459e-08
2007,1.7176262190332636e-08,6.7906151812735516e-09
2008,2.554463840453991e-08,6.3861596011349775e-09
2009,2.2887324035991696e-08,2.384096253749135e-09
2010,2.0784689525044087e-08,2.3618964561933353e-09
2011,2.0267052036615496e-08,4.206369030868018e-09
2012,1.838296448397614e-08,4.425528388196653e-09
2013,1.2551062411603198e-08,3.904775169871755e-09
2014,1.0394137106572998e-08,4.114345752981308e-09
2015,1.0196246513771712e-08,2.438232948875907e-09
2016,8.078226088059637e-09,4.1426800878596737e-10
2017,1.0062445099379147e-08,1.7609279590047322e-09
2018,1.3423626654684995e-08,3.0977600484760615e-09
2019,1.1734544003161318e-08,1.7856913725466939e-09
