year,grand_ADJ est_NOUN,grand_ADJ reste_NOUN
1800,3.458580977167003e-08,5.345079756580162e-08
1801,4.7623651688866175e-09,0.0
1802,5.818384352096473e-08,1.1189200677108602e-08
1803,1.950339223455444e-09,0.0
1804,0.0,2.4718509461507665e-09
1805,5.685755422035754e-09,1.1371510844071508e-08
1806,1.152667650217154e-08,2.5935023018064385e-08
1807,1.1387820464392462e-08,0.0
1808,2.039466551195801e-08,0.0
1809,2.484933525614963e-08,0.0
1810,9.360507036149102e-09,9.360507036149102e-09
1811,1.0028307073639553e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,2.3005932492381476e-08,2.8757416448144113e-09
1814,3.1466771410748606e-09,0.0
1815,5.394447111228828e-09,0.0
1816,6.952811659743929e-09,6.952811659743929e-09
1817,4.670620334934483e-09,4.670620334934483e-09
1818,9.536941680821087e-09,0.0
1819,2.070209959015301e-08,0.0
1820,1.6613073583471305e-08,2.3732962262101864e-09
1821,9.86148829262845e-10,1.97229765852569e-09
1822,1.0025615893027862e-08,3.0076847679083585e-09
1823,3.9530747564242574e-09,0.0
1824,0.0,1.6842225392110777e-09
1825,4.4027217427355936e-09,7.044354433105582e-09
1826,1.233117841170639e-08,4.403992281964975e-09
1827,1.8434546111834038e-08,1.8434546111834038e-09
1828,2.7516904310687096e-09,2.7516904310687096e-09
1829,1.714635211591542e-09,1.714635211591542e-09
1830,1.0436835840010872e-09,0.0
1831,1.2472964439069756e-08,3.1182412207897414e-09
1832,9.470978667991403e-09,1.6235963684607668e-08
1833,4.6334514003376626e-09,1.1583628500844156e-09
1834,4.667265462998671e-09,5.600718555598405e-09
1835,5.294161553592858e-09,4.5378527602224494e-09
1836,1.344150035720304e-08,9.409050427677812e-09
1837,5.5663127440652715e-09,6.957890930081589e-10
1838,8.837027110075724e-09,7.574594285131298e-09
1839,4.894032734625853e-09,6.9914751765765e-10
1840,7.0066574764382494e-09,2.5478754661634184e-09
1841,7.0626033910059505e-09,1.8619591202195807e-08
1842,6.037438549100216e-09,0.0
1843,4.13483786099178e-09,5.906911071384968e-10
1844,3.2931368743049916e-09,4.390849017710252e-09
1845,1.2276501593078137e-08,5.580227835366713e-09
1846,1.3465353276842507e-08,5.269050973311096e-09
1847,3.235934187273415e-09,1.6179670936367074e-09
1848,5.63165514222419e-09,0.0
1849,4.1897072478036534e-09,2.513824481908955e-09
1850,4.752297222410107e-09,4.752297222410107e-09
1851,4.514607132577453e-09,1.2898877521649865e-09
1852,1.9531636308300904e-09,6.510545436100301e-10
1853,5.971931837933653e-09,2.9859659189668264e-09
1854,1.5067427139303646e-08,3.63696517347023e-09
1855,4.776243400783642e-09,3.714855978387277e-09
1856,1.5531567809645708e-08,2.5885946719483854e-09
1857,3.90520732418409e-09,4.881509085841174e-10
1858,3.9149408159744326e-09,1.468102750479261e-09
1859,4.073738679721828e-09,6.619825576592575e-09
1860,1.0985241660765865e-08,2.6089947979812678e-08
1861,1.2733101795170398e-08,7.545541969022906e-09
1862,4.517986262886353e-09,4.517986262886353e-10
1863,5.494082966350788e-09,4.994620828036034e-10
1864,2.876836879828204e-09,4.315255264231155e-09
1865,5.1775286835642476e-09,3.765475542483188e-09
1866,4.865613079108044e-09,1.2650593461671633e-08
1867,4.367530337390235e-09,4.367530337390235e-09
1868,3.4579118457500613e-09,1.975949626142892e-09
1869,1.0255390314739543e-08,1.953407657850903e-09
1870,1.0894693147633916e-08,0.0
1871,0.0,1.0621177271019633e-09
1872,7.861540973763681e-09,4.23313739617015e-09
1873,1.5563611455160498e-08,2.9930022904522957e-09
1874,5.377148226681783e-09,1.911874991655793e-08
1875,1.3731665304828056e-08,2.2886108563824337e-09
1876,4.836811839936672e-09,3.02300739996042e-09
1877,1.1751150275074451e-08,6.184815992682502e-10
1878,4.831270938865373e-09,0.0
1879,5.498392630087778e-09,4.887460214320072e-09
1880,7.701415505323439e-09,3.2089231272180996e-09
1881,1.2550513794895579e-08,5.5780060570498335e-09
1882,4.6587693702804245e-09,1.3310770263785798e-09
1883,1.4534479342298567e-08,2.5277355764075082e-09
1884,6.601696966868076e-09,4.621187876807653e-09
1885,1.0313017162477678e-08,5.156508553483263e-09
1886,1.2906927970846027e-08,5.162771099520569e-09
1887,7.181816974455302e-09,1.3057849246322917e-09
1888,4.057993407968752e-08,5.706553229956057e-09
1889,1.6915869149869422e-08,3.7590820456401275e-09
1890,1.2453333919637544e-08,1.6385966361553983e-08
1891,9.561329838980726e-09,6.374220040683554e-10
1892,3.761107425503951e-09,2.5074049503359674e-09
1893,1.847524977449666e-08,3.0792082772457263e-09
1894,1.3863386216783624e-08,0.0
1895,2.1065150956900425e-08,4.213030146971164e-09
1896,1.1794057841463257e-08,1.179405795248556e-09
1897,1.3401441290028515e-08,1.7480140668268973e-09
1898,1.4711722617910539e-08,5.092519295146758e-09
1899,4.9748205555033564e-09,6.633094074004475e-09
1900,1.1939422339679595e-08,5.191053142894475e-10
1901,7.824234371511807e-09,4.470991132876634e-09
1902,1.3748794491785787e-08,1.4730852093691738e-09
1903,1.5660639007819555e-08,5.940242076007962e-09
1904,1.5048950530172078e-08,4.299700151477737e-09
1905,8.773290538499623e-09,4.1286072338664326e-09
1906,8.7451136887573e-09,3.600929110447737e-09
1907,7.199980778249682e-09,3.5999902503469627e-09
1908,9.331639239107403e-09,1.964555629285769e-09
1909,3.8506885458033935e-09,1.3202360760189435e-08
1910,3.2064905175488434e-09,1.2291546447329438e-08
1911,4.25629931299909e-09,1.0640748615564632e-08
1912,7.814131786076928e-09,5.209421227725386e-09
1913,5.302989658506618e-09,9.545381596254288e-09
1914,7.366418253162976e-09,8.036092458141297e-09
1915,1.767114232720246e-08,1.1780761921542648e-09
1916,5.493730803607377e-09,2.197492410260793e-09
1917,2.1932848870420685e-09,2.1932848870420685e-09
1918,2.412139021856774e-08,9.189101035644853e-09
1919,9.207848372660976e-10,1.841569702287771e-08
1920,1.0601124422748853e-08,1.2115570768855832e-08
1921,6.058197943303867e-09,5.300923255902035e-09
1922,1.6231458122017983e-08,1.4755870969551665e-09
1923,9.554353308516284e-09,7.431163684401554e-09
1924,1.5469949543600592e-08,0.0
1925,1.2097995494286806e-08,7.698724324711748e-09
1926,4.458455493683289e-09,1.8948435376309192e-08
1927,1.1149225098705529e-08,0.0
1928,1.0283437101854531e-08,2.2852082892654835e-08
1929,1.0026365737658693e-08,2.8965056131369238e-08
1930,8.402882945013346e-09,5.2518016602221e-09
1931,1.2545892325022123e-08,5.7026783295555106e-09
1932,1.0959536500543265e-08,2.191907300108653e-08
1933,2.1794258620033702e-08,8.029463538505865e-09
1934,9.585264137967897e-09,1.0783422155213884e-08
1935,1.3165112555668657e-08,1.6755597798123745e-08
1936,1.2124715009775855e-08,1.9399542861009422e-08
1937,1.2591118370153254e-08,5.0364472592434595e-09
1938,1.6854778683850213e-08,9.075650453382877e-09
1939,7.647025235257843e-09,1.8352860564618823e-08
1940,2.02862628917444e-08,5.0715658339584024e-09
1941,0.0,0.0
1942,1.5171058853624686e-08,3.034211770724937e-09
1943,1.4516176261025748e-08,1.1612940831184915e-08
1944,6.4263723231761105e-09,9.639558484764166e-09
1945,1.742803190651898e-08,0.0
1946,1.9489545977080525e-08,9.744772988540262e-09
1947,2.7418002979118228e-08,3.5762612871081956e-09
1948,9.784698828951832e-09,2.2830963786191205e-08
1949,7.362756271334092e-08,5.69386465754107e-08
1950,3.084254718288548e-08,7.444753036267571e-09
1951,1.2793682224732095e-08,9.595261474260042e-09
1952,3.0579930365703945e-08,3.1634410646574906e-09
1953,2.3702420026694426e-08,5.386913581872932e-09
1954,1.2704296947774196e-08,1.9545072227344917e-09
1955,1.9709777365761738e-08,1.6894095011821264e-08
