year,peut_VERB accompagner_VERB,peut_VERB raccompagner_VERB
1800,9.118077315406481e-08,0.0
1801,6.429193177837078e-08,0.0
1802,2.0140561218795483e-08,2.2378401354217203e-09
1803,5.655983770225248e-08,0.0
1804,1.0134588990240445e-07,0.0
1805,4.264316544322355e-08,0.0
1806,5.187004603612877e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,1.3596443970698147e-08,2.2660739951163578e-09
1809,3.162642769893864e-08,0.0
1810,3.2761775514700275e-08,0.0
1811,4.011322829455821e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,3.4613449884091096e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,3.244645441213834e-08,0.0
1817,4.3592454090912724e-08,0.0
1818,3.337929754820834e-08,0.0
1819,2.070209959015301e-08,0.0
1820,7.475883023744245e-08,0.0
1821,8.875339574387908e-08,0.0
1822,4.8122956286533736e-08,0.0
1823,2.668325471688604e-08,0.0
1824,6.231623217445303e-08,0.0
1825,4.490776106536032e-08,0.0
1826,4.051672775062798e-08,0.0
1827,4.7929820112813104e-08,0.0
1828,1.0456423638061096e-07,0.0
1829,4.886710414098161e-08,0.0
1830,5.9489963177838945e-08,0.0
1831,3.274153215215847e-08,0.0
1832,2.841293600397421e-08,0.0
1833,4.865124125785769e-08,1.1583628500844156e-09
1834,4.573920264761e-08,0.0
1835,5.067268915581735e-08,0.0
1836,4.099657502365517e-08,0.0
1837,7.862416850912268e-08,0.0
1838,6.690891751759409e-08,0.0
1839,5.8029243632518046e-08,0.0
1840,5.223144583510475e-08,0.0
1841,4.8796167106957e-08,0.0
1842,4.159124245006751e-08,0.0
1843,3.603215859016018e-08,0.0
1844,5.598332464273881e-08,0.0
1845,5.133809821700197e-08,5.580227946389016e-10
1846,4.156695965207291e-08,0.0
1847,4.0449176452739266e-08,0.0
1848,3.861706332486392e-08,0.0
1849,3.4355601030711114e-08,0.0
1850,4.1412874907109654e-08,0.0
1851,3.0957306051959677e-08,0.0
1852,7.812654700956045e-08,0.0
1853,7.10659904257227e-08,0.0
1854,5.247621004400571e-08,0.0
1855,2.9718847827098216e-08,0.0
1856,5.228961086345407e-08,0.0
1857,4.8326938895115745e-08,0.0
1858,4.257498176230001e-08,0.0
1859,4.786642904264227e-08,0.0
1860,3.753290656050012e-08,0.0
1861,5.564837124438782e-08,0.0
1862,4.743885639868495e-08,0.0
1863,4.2454278315062766e-08,0.0
1864,7.527722800659831e-08,0.0
1865,4.9421867487353666e-08,0.0
1866,7.103794530394225e-08,0.0
1867,4.804283548764943e-08,0.0
1868,6.520633633044781e-08,0.0
1869,4.981189505315342e-08,0.0
1870,5.045962936378601e-08,0.0
1871,5.098165090089424e-08,0.0
1872,4.8378716144270584e-08,0.0
1873,6.105724281724179e-08,0.0
1874,6.512323835750067e-08,0.0
1875,6.007603303714859e-08,0.0
1876,1.0943286810061181e-07,0.0
1877,4.762308236649915e-08,6.184815992682502e-10
1878,5.5559617351264023e-08,0.0
1879,6.231511662235789e-08,0.0
1880,6.931274043608937e-08,0.0
1881,5.2293806618308736e-08,0.0
1882,6.189507928411331e-08,0.0
1883,8.404720830412771e-08,0.0
1884,7.591951600716129e-08,0.0
1885,5.349877696403382e-08,6.445635691854079e-10
1886,6.905206362262106e-08,0.0
1887,6.071899605331055e-08,0.0
1888,6.467426771905593e-08,0.0
1889,7.768769449967294e-08,0.0
1890,5.571228456346944e-08,0.0
1891,4.52569608455633e-08,0.0
1892,5.390920776449093e-08,0.0
1893,7.143763269823467e-08,0.0
1894,6.805662167153059e-08,0.0
1895,6.620476256102847e-08,6.018614495673091e-10
1896,6.191880430606034e-08,0.0
1897,8.390467343133423e-08,0.0
1898,5.149102833001962e-08,0.0
1899,5.969784666604028e-08,0.0
1900,5.813979697677496e-08,5.191053142894475e-10
1901,7.2653605798223e-08,5.588738916095792e-10
1902,6.874397229239548e-08,0.0
1903,6.480264147512571e-08,0.0
1904,6.772027916213119e-08,0.0
1905,6.605771574186292e-08,5.160759042333041e-10
1906,5.761486576716379e-08,0.0
1907,5.554270998686661e-08,0.0
1908,7.95645007656276e-08,0.0
1909,8.086446001698278e-08,0.0
1910,6.787071527014632e-08,0.0
1911,6.437652899649038e-08,0.0
1912,7.918320221733666e-08,0.0
1913,7.795394907361697e-08,0.0
1914,5.826166926681253e-08,0.0
1915,7.186265094105693e-08,0.0
1916,4.9443578120644815e-08,0.0
1917,5.9218692172180454e-08,0.0
1918,6.432370724951397e-08,0.0
1919,5.893022958503025e-08,0.0
1920,6.890731185649202e-08,0.0
1921,6.966927657003907e-08,1.5145494858259667e-09
1922,9.296199010577766e-08,0.0
1923,6.263409346729532e-08,0.0
1924,6.83256118350073e-08,0.0
1925,7.91868828287079e-08,0.0
1926,5.795991953050361e-08,0.0
1927,6.13207333799437e-08,0.0
1928,7.998228568339982e-08,0.0
1929,4.567566591617833e-08,0.0
