year,peuvent_VERB accompagner_VERB,peuvent_VERB raccompagner_VERB
1800,6.288328791015374e-08,0.0
1801,5.000483582762172e-08,0.0
1802,4.2518962573012686e-08,0.0
1803,8.776526527753958e-08,0.0
1804,6.921182915675672e-08,0.0
1805,4.264316544322355e-08,0.0
1806,8.35684019762084e-08,0.0
1807,3.4163463169534225e-08,0.0
1808,2.945896149242344e-08,0.0
1809,4.743964154840796e-08,0.0
1810,6.31834211617388e-08,0.0
1811,4.763445815569867e-08,0.0
1812,1.2535878113340004e-07,0.0
1813,8.052076339026826e-08,0.0
1814,4.090680150170556e-08,0.0
1815,1.348611817775236e-07,0.0
1816,1.274682119856152e-07,0.0
1817,1.1520863552050287e-07,0.0
1818,2.1100484559610777e-07,0.0
1819,6.728182455617571e-08,0.0
1820,1.59010852485153e-07,0.0
1821,1.1735171057125626e-07,0.0
1822,4.8122956286533736e-08,0.0
1823,4.743689885344793e-08,0.0
1824,6.400046004273463e-08,0.0
1825,6.163810439829831e-08,0.0
1826,7.222546827279075e-08,0.0
1827,9.125100319806734e-08,9.217273055917019e-10
1828,7.429564163885516e-08,0.0
1829,1.1059397309054475e-07,0.0
1830,9.080046936560393e-08,0.0
1831,8.886987501455224e-08,0.0
1832,8.794479811058409e-08,0.0
1833,6.602667923516492e-08,0.0
1834,9.70791234067292e-08,0.0
1835,3.857174846189082e-08,0.0
1836,5.981467410265395e-08,0.0
1837,6.053365098068753e-08,0.0
1838,1.1109405306797271e-07,0.0
1839,1.1046530801195331e-07,0.0
1840,9.363442643461894e-08,0.0
1841,9.887644836226173e-08,0.0
1842,5.634942823462552e-08,6.708265054555795e-10
1843,5.965980420796768e-08,0.0
1844,6.696044607679141e-08,0.0
1845,7.086889297625021e-08,0.0
1846,8.313391930414582e-08,0.0
1847,5.123562374365065e-08,5.393223645455691e-10
1848,4.907585093860689e-08,0.0
1849,6.116972883773997e-08,0.0
1850,6.85688590351674e-08,0.0
1851,8.513259075471069e-08,0.0
1852,7.291811243703705e-08,0.0
