year,peuvent_VERB aller_VERB,peuvent_VERB râler_VERB
1800,8.080502880147833e-07,0.0
1801,8.405574476455513e-07,0.0
1802,6.937304419807333e-07,0.0
1803,6.377609338414914e-07,0.0
1804,6.130190399744606e-07,0.0
1805,6.993479360062338e-07,0.0
1806,5.70570477975707e-07,0.0
1807,3.9003285223770945e-07,0.0
1808,6.480971705968841e-07,0.0
1809,5.670166842719482e-07,0.0
1810,6.856571417301893e-07,0.0
1811,4.813587111129891e-07,0.0
1812,5.921202159697714e-07,0.0
1813,5.032547960581724e-07,0.0
1814,4.405347908686963e-07,0.0
1815,4.612252268998418e-07,0.0
1816,7.393156238322263e-07,0.0
1817,5.729294230150117e-07,0.0
1818,7.212312311821734e-07,0.0
1819,5.18587626174849e-07,0.0
1820,6.004439683238161e-07,0.0
1821,6.705811870233447e-07,0.0
1822,7.539263151556952e-07,0.0
1823,4.318734170283278e-07,0.0
1824,5.187405349715846e-07,0.0
1825,4.772550141751708e-07,0.0
1826,5.610685889223532e-07,0.0
1827,5.161672902431746e-07,0.0
1828,6.026202186149021e-07,0.0
1829,6.181259664117533e-07,0.0
1830,6.481275249825558e-07,0.0
1831,6.330029691525851e-07,0.0
1832,5.425517883850262e-07,0.0
1833,7.390354994640802e-07,0.0
1834,4.695268955856591e-07,0.0
1835,5.823577566843596e-07,0.0
1836,5.101049396216695e-07,0.0
1837,5.454986649056082e-07,0.0
1838,5.744067266277852e-07,0.0
1839,6.236396075109951e-07,0.0
1840,5.598956249741605e-07,0.0
1841,4.0963098513202567e-07,0.0
1842,5.79594086502766e-07,0.0
1843,6.810668651269225e-07,0.0
1844,4.978124934496009e-07,0.0
1845,5.117069008520048e-07,0.0
1846,4.7011644710437395e-07,0.0
1847,4.600419742928352e-07,0.0
1848,6.178730131978227e-07,0.0
1849,5.580690185524873e-07,0.0
1850,5.431196541394456e-07,0.0
1851,6.133416263764957e-07,0.0
1852,5.573027124228247e-07,0.0
1853,6.449686225096229e-07,0.0
1854,6.136079946372774e-07,0.0
1855,5.996839149702282e-07,0.0
1856,5.285910447128117e-07,0.0
1857,5.535631544262287e-07,0.0
1858,5.613046596408822e-07,0.0
1859,6.288834129009047e-07,0.0
1860,5.753520326834405e-07,0.0
1861,6.022285674589511e-07,0.0
1862,6.298072889876494e-07,0.0
1863,5.818733370688278e-07,0.0
1864,6.669466756648035e-07,0.0
1865,6.180086415952246e-07,0.0
1866,5.77061712192517e-07,0.0
1867,7.114221602932957e-07,0.0
1868,6.713289053550398e-07,0.0
1869,5.059325758338673e-07,0.0
1870,5.097569442114036e-07,0.0
1871,6.085934387556335e-07,0.0
1872,5.158380531611328e-07,0.0
1873,5.632830379909137e-07,0.0
1874,5.723675826629915e-07,0.0
1875,6.32800890798535e-07,0.0
1876,6.983146931816009e-07,0.0
1877,5.424083724392403e-07,0.0
1878,5.471414397106855e-07,0.0
1879,6.671382948297833e-07,0.0
1880,6.347249836835545e-07,0.0
1881,5.773236466666276e-07,0.0
1882,5.31765294908837e-07,0.0
1883,6.161355372569233e-07,0.0
1884,5.327569283508637e-07,0.0
1885,5.362769002204004e-07,0.0
1886,5.698408358512097e-07,0.0
1887,5.75198271235422e-07,0.0
1888,5.795321840196266e-07,0.0
1889,5.601032171398401e-07,0.0
1890,5.761305601481581e-07,0.0
1891,5.902527959733561e-07,0.0
1892,5.792105639557121e-07,0.0
1893,5.474832391882956e-07,0.0
1894,5.242880547484674e-07,0.0
1895,6.566308456967818e-07,0.0
1896,6.233159410840017e-07,0.0
1897,6.304504154286406e-07,0.0
1898,6.591983492398867e-07,0.0
1899,6.45621184958145e-07,5.527578395003729e-10
1900,5.762069008596882e-07,0.0
1901,6.326452535176941e-07,0.0
1902,5.725390792576945e-07,0.0
1903,5.330017529558972e-07,1.6200660812870638e-09
1904,5.836843115503143e-07,0.0
1905,5.656191888192552e-07,0.0
1906,5.977542514301604e-07,0.0
1907,5.441128223537817e-07,0.0
1908,6.237464162950346e-07,0.0
1909,5.22593438745389e-07,0.0
1910,6.097675964156224e-07,0.0
1911,6.139711672403791e-07,0.0
1912,5.709525794372894e-07,0.0
1913,6.374193617375568e-07,0.0
1914,5.852954245710862e-07,0.0
1915,5.525177471099596e-07,0.0
1916,7.064938358780637e-07,0.0
1917,5.022622531214438e-07,0.0
1918,5.915483711760317e-07,0.0
1919,5.764113097939116e-07,0.0
1920,5.754895937570836e-07,0.0
1921,5.225195991442888e-07,0.0
1922,5.850702677889785e-07,0.0
1923,4.936416075906891e-07,0.0
1924,5.221107812758419e-07,0.0
1925,5.213136091697379e-07,0.0
1926,4.915447107123327e-07,0.0
1927,6.187819963088259e-07,0.0
1928,5.587334044321324e-07,0.0
1929,5.302833301357168e-07,0.0
