year,pouvait_VERB abattre_VERB,pouvait_VERB rabattre_VERB
1800,1.2576657937302116e-08,0.0
1801,2.6193008650921e-08,0.0
1802,3.5805442166747525e-08,0.0
1803,1.755305234496518e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,2.842877711017877e-09,0.0
1806,2.0171682990621775e-08,0.0
1807,5.97860605466849e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,4.518061036407062e-09,0.0
1810,1.8721014072298203e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,4.888760685162197e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,3.236668177919455e-08,0.0
1816,3.9399267848239106e-08,0.0
1817,3.580808893843823e-08,0.0
1818,3.337929754820834e-08,0.0
1819,5.3825459644940565e-08,0.0
1820,3.085285271708926e-08,0.0
1821,3.8459806006585495e-08,0.0
1822,5.714601059025881e-08,0.0
1823,3.4589405117912975e-08,1.9765373782121287e-09
1824,6.06320114115988e-08,5.052667617633233e-09
1825,5.899646993157148e-08,0.0
1826,6.077509340229881e-08,8.807984341885344e-10
1827,2.8573547083965423e-08,9.217273055917019e-10
1828,3.8523666034961934e-08,0.0
1829,3.772197487705853e-08,0.0
1830,4.383471008395645e-08,2.0873671680021744e-09
1831,1.7150327380477393e-08,0.0
1832,2.4353944638733083e-08,0.0
1833,2.89590715851773e-08,0.0
1834,4.1071935186209885e-08,0.0
1835,4.159698363537245e-08,0.0
1836,4.166864897570122e-08,0.0
1837,6.053365098068753e-08,6.957890930081589e-10
1838,6.880256364638626e-08,0.0
1839,6.082583325905944e-08,0.0
1840,4.0129037870428874e-08,0.0
1841,3.980740004294603e-08,0.0
1842,4.427455024824667e-08,0.0
1843,3.18973185642335e-08,0.0
1844,7.464443285698508e-08,5.488561272137815e-10
1845,6.02664584903323e-08,0.0
1846,3.688335681317767e-08,0.0
1847,7.981971350545791e-08,5.393223645455691e-10
1848,7.160247150750365e-08,8.045221711050488e-10
1849,4.357295679824347e-08,0.0
1850,5.4311968256115506e-08,1.3577992064028876e-09
1851,5.095056465620473e-08,0.0
1852,4.231854688896419e-08,0.0
1853,3.2845626662947325e-08,0.0
1854,4.364358119346434e-08,0.0
1855,6.42139355022664e-08,0.0
1856,5.021873406008126e-08,1.5531567143511893e-09
1857,4.6862489000432106e-08,0.0
1858,5.236233491245912e-08,5.872411001917044e-09
1859,4.582955881460293e-08,1.5276520048956854e-09
1860,5.5841642421228244e-08,0.0
1861,4.102888340185018e-08,2.357981809808507e-09
1862,4.156547461775517e-08,2.710791813242963e-09
1863,3.7459656709870615e-08,4.994620828036034e-10
1864,2.3973639073915365e-08,1.4384183844029508e-09
1865,4.1890913848874334e-08,6.589582213223366e-09
1866,4.4277076227672296e-08,0.0
1867,3.88224918879132e-08,5.338092634588065e-09
1868,1.975949714960734e-08,9.87974813071446e-10
1869,2.5882650689368347e-08,2.441759683335931e-09
1870,3.956493799250893e-08,0.0
1871,2.6552942955504477e-08,4.248470908407853e-09
1872,3.38650991693612e-08,3.0236697590169115e-09
1873,2.095101514498765e-08,5.986004469882289e-10
1874,2.6885741633009275e-08,0.0
1875,3.4901315615343265e-08,0.0
1876,1.5115036333668286e-08,0.0
1877,3.463496867084359e-08,8.658742167710898e-09
1878,4.5293166550663955e-08,4.831270938865373e-09
1879,5.009646741882534e-08,1.221865053580018e-09
1880,2.4387816210946767e-08,1.2835692508872398e-09
1881,3.346803723047742e-08,4.183504653809678e-09
1882,2.5290463057103807e-08,0.0
1883,2.464542170343975e-08,0.0
1884,2.706695667598069e-08,7.922036360241691e-09
1885,2.2559724754955823e-08,1.2891271383708158e-09
1886,1.871504551331782e-08,0.0
1887,2.2198344495905076e-08,3.264462256069578e-09
1888,1.5851536971922542e-08,1.9021844099853524e-09
1889,1.0024218788373673e-08,6.265136742733546e-10
1890,9.831579994568074e-09,5.243509182406569e-09
1891,1.8485238229004608e-08,0.0
1892,2.005923960268774e-08,6.268512375839919e-10
1893,2.2170299374124625e-08,6.158416554491453e-10
1894,1.449354058991048e-08,0.0
1895,2.6481902892783182e-08,1.2037228991346183e-09
1896,2.4767521367152767e-08,5.89702897624278e-10
1897,2.2141511735185304e-08,1.1653427112179315e-09
1898,1.640922953072277e-08,1.6975064687230201e-09
1899,2.3768587098516036e-08,0.0
1900,1.2977633190303095e-08,5.191053142894475e-10
1901,1.3412973842719111e-08,5.588738916095792e-10
1902,9.329538919189417e-09,9.820567692386817e-10
1903,1.674068350610014e-08,5.400220270956879e-10
1904,2.2573425795258117e-08,0.0
1905,2.5287718585786934e-08,3.096455536422127e-09
1906,2.211999294843281e-08,0.0
1907,1.0285686968813934e-08,5.142843373384665e-10
1908,1.080505640516094e-08,1.4734167219643268e-09
1909,2.3104130164597336e-08,1.6502950117569526e-09
1910,1.8170112525695004e-08,0.0
1911,7.980561100850991e-09,0.0
1912,2.031674206648404e-08,0.0
1913,2.4924052155483878e-08,1.060597942803554e-09
1914,1.2723813114234872e-08,0.0
1915,7.068456930880984e-09,7.068456930880984e-09
1916,1.648119329900055e-08,0.0
1917,8.773139548168274e-09,7.676496771580332e-09
1918,6.89182577673364e-09,0.0
1919,2.4861190439651182e-08,0.0
1920,1.2115570768855832e-08,7.572231730534895e-10
1921,1.817459427400081e-08,0.0
1922,2.6560567079059183e-08,4.426761179843197e-09
1923,2.0170300985000722e-08,0.0
1924,1.675911143195208e-08,0.0
1925,1.9796720707176974e-08,2.1996355847875293e-09
1926,1.7833821530643945e-08,5.57306911730393e-09
1927,3.1217830098739796e-08,0.0
1928,2.170947865920425e-08,0.0
1929,1.5596569369336066e-08,0.0
1930,1.2604324695075775e-08,0.0
1931,1.3686427990933225e-08,2.2810713318222042e-09
1932,1.53433514782364e-08,0.0
1933,1.1470662641954732e-08,2.2941324395731044e-09
1934,5.990790086229936e-09,0.0
1935,1.555876849579363e-08,1.196828414151696e-09
1936,1.091224355320719e-08,1.2124714565686645e-09
1937,8.813782592653752e-09,2.5182236296217297e-09
1938,1.0372171566075394e-08,0.0
1939,2.5999884911698246e-08,1.5294050470515685e-09
1940,1.2678914806940611e-08,2.5357829169792012e-09
1941,1.1806010391524069e-08,0.0
1942,1.2136847082899749e-08,0.0
1943,1.4516175816936538e-08,2.9032352077962287e-09
1944,2.2492303131116387e-08,0.0
1945,2.6142048525912287e-08,8.714016175304096e-09
1946,3.062643116891195e-08,1.3921104269343232e-09
1947,2.1457568166738383e-08,0.0
1948,1.3046265401328583e-08,0.0
1949,9.817008539414473e-09,0.0
1950,7.444753258312176e-09,3.190608444114673e-09
1951,1.5992101864981123e-08,0.0
1952,2.6362009464264702e-08,2.1089607837865287e-09
1953,3.44762476345295e-08,0.0
1954,1.4658803948464083e-08,1.9545072227344917e-09
1955,1.783265446420046e-08,5.631364707880948e-09
1956,1.3953826538681824e-08,8.72114158667614e-10
1957,1.3252556385623393e-08,8.835037701437898e-10
1958,1.5717262158432277e-08,0.0
1959,1.2401196514133517e-08,2.325224457422337e-09
1960,1.4533750203327145e-08,2.076250060767393e-09
1961,1.181187059273725e-08,5.55852741612739e-09
1962,1.77574772664002e-08,0.0
1963,1.4871922360271128e-08,1.2932106496776896e-09
1964,1.520992043424485e-08,0.0
1965,1.7510538796727815e-08,0.0
1966,1.8278946356531378e-08,1.1078149508847446e-09
1967,1.873527466500491e-08,1.4791006197611978e-09
1968,1.4372530721118437e-08,1.3474247273492779e-09
1969,1.090021850558287e-08,1.3625273131978588e-09
1970,2.115413444414571e-08,4.5987250119061684e-10
1971,1.0790635052160269e-08,0.0
1972,1.2312352026810913e-08,1.5390440033513642e-09
1973,8.821126051827832e-09,1.102640756478479e-09
1974,1.2938814464291681e-08,1.6876715580593782e-09
1975,1.2565256390928425e-08,1.1422960355389478e-09
1976,1.9997344224975677e-08,0.0
1977,9.990529292736028e-09,0.0
1978,1.0693064211864112e-08,1.1881182704343018e-09
1979,1.7555919384903973e-08,5.851973350345929e-10
1980,1.3644362084619388e-08,2.2740602734216964e-09
1981,1.138598904049104e-08,2.5302198114474095e-09
1982,1.1173503899897241e-08,0.0
1983,1.2630632539867293e-08,6.315316047889041e-10
1984,1.1018116197192285e-08,1.739702604197646e-09
1985,6.617113967877231e-09,1.2031116103372597e-09
1986,1.498621315931814e-08,5.994485463567401e-10
1987,9.166225112267057e-09,0.0
1988,9.594486094499644e-09,5.996553809062277e-10
1989,1.2073869015694072e-08,0.0
1990,6.538381391862913e-09,5.44865097484859e-10
1991,9.96449056600568e-09,5.861465202094962e-10
1992,8.815910668147353e-09,1.1019888335184191e-09
1993,1.0524494165053966e-08,1.1078414852150331e-09
1994,9.494868002946077e-09,5.274926606624319e-10
1995,9.21816667442954e-09,1.626735190995987e-09
1996,5.3380921904988554e-09,5.338092190498855e-10
1997,1.2946214766884623e-08,9.58978896292706e-10
1998,1.0013071261028017e-08,1.43043876743576e-09
1999,1.553868322901053e-08,4.570201161957499e-10
2000,6.627047355323157e-09,0.0
2001,1.2267393323384113e-08,8.762423564512289e-10
2002,7.009954394732176e-09,0.0
2003,1.0417307017007715e-08,0.0
2004,1.189293641346012e-08,8.809582507929292e-10
2005,1.4411998705554652e-08,1.3511248786457486e-09
2006,8.64756888319107e-09,0.0
2007,1.3581230362547103e-08,1.997239706952314e-09
2008,9.79211112195344e-09,1.2772318758180745e-09
2009,1.5258216023994464e-08,2.384096253749135e-09
2010,2.5508482437430757e-08,3.7790344187271785e-09
2011,2.332622983658439e-08,4.5887662558641296e-09
2012,2.4510619311968185e-08,3.063827413996023e-09
2013,3.486406185970736e-08,6.136075203500013e-09
2014,3.3564401036301206e-08,1.7323561474213989e-09
2015,3.1697027225163765e-08,3.989835573037226e-09
2016,3.1070101158547914e-08,2.0713399884186856e-09
2017,2.8677968444412727e-08,3.018733707449428e-09
2018,3.898014711012365e-08,4.3884935685412074e-09
2019,2.2958889900337454e-08,2.04079020349468e-09
