year,tout_DET ail_NOUN,tout_DET rail_NOUN
1800,4.087413785214267e-08,0.0
1801,2.8574191901498125e-08,0.0
1802,8.951360541686881e-09,0.0
1803,1.3652374342143503e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,8.528632911009026e-09,0.0
1806,8.645007376628655e-09,0.0
1807,5.693910232196231e-09,0.0
1808,1.1330369531492579e-08,0.0
1809,2.259030518203531e-09,0.0
1810,1.4040760554223652e-08,0.0
1811,7.521229861140455e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,2.300593315851529e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,2.4275012222574333e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,4.670620334934483e-09,0.0
1818,1.7881765401739358e-08,0.0
1819,5.175524897538253e-09,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,6.015369535816717e-09,0.0
1823,3.9530747564242574e-09,0.0
1824,8.421112696055388e-10,0.0
1825,5.283265824829186e-09,0.0
1826,1.7615968683770689e-09,0.0
1827,3.6869092223668076e-09,0.0
1828,0.0,0.0
1829,2.571952872898464e-09,0.0
1830,2.0873671680021744e-09,0.0
1831,0.0,0.0
1832,1.3529969367098715e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,9.334530925997342e-10,0.0
1835,1.5126175867408165e-09,0.0
1836,6.720750067579218e-10,0.0
1837,1.3915781860163179e-09,0.0
1838,2.5248647617104325e-09,6.312161904276081e-10
1839,1.3982950353153e-09,0.0
1840,3.1848443882154243e-09,6.369688665408546e-10
1841,1.926164561183441e-09,0.0
1842,6.708265054555795e-10,6.708265054555795e-10
1843,5.906911071384968e-10,2.3627644285539873e-09
1844,0.0,0.0
1845,1.674068439427856e-09,7.254296274794569e-09
1846,1.1709002656346001e-09,4.0981511517657054e-09
1847,5.393223645455691e-10,1.0786447290911383e-09
1848,1.6090443422100975e-09,0.0
1849,0.0,0.0
1850,6.788996032014438e-10,0.0
1851,1.2898877521649865e-09,6.449438760824933e-10
1852,1.9531636308300904e-09,6.510545436100301e-10
1853,2.9859659189668264e-09,1.1943863675867306e-08
1854,1.558699391779328e-09,1.0391328908454511e-09
1855,4.776243400783642e-09,5.306937111981824e-09
1856,1.5531567143511893e-09,2.0708756931497874e-09
1857,5.369659827891837e-09,3.905207268672939e-09
1858,9.787352039936081e-10,7.829881631948865e-09
1859,1.5276520048956854e-09,0.0
1860,9.154367819341758e-10,6.408057418028079e-09
1861,2.8295783494058924e-09,0.0
1862,1.3553959066214816e-09,4.517986262886353e-10
1863,2.4973103585068657e-09,2.4973103585068657e-09
1864,1.9178911792039344e-09,5.2742009648554244e-09
1865,9.41368871743009e-10,7.530950973944073e-09
1866,2.919367858567057e-09,3.4059290943133647e-09
1867,4.85281148598915e-10,9.7056229719783e-10
1868,9.87974813071446e-10,9.87974813071446e-10
1869,4.395167341186834e-09,4.883519144627257e-10
1870,2.2936195165357276e-09,5.734048791339319e-10
1871,4.248470908407853e-09,3.18635318130589e-09
1872,6.047339295989218e-10,1.8142017887967654e-09
1873,1.7958012854535355e-09,7.183205474881049e-09
1874,5.974609140757536e-10,1.792382742227261e-09
1875,0.0,0.0
1876,6.04601479992084e-10,1.1487428341894201e-08
1877,2.4739263970730008e-09,4.329371194877751e-09
1878,3.0195443923020093e-09,0.0
1879,6.10932526790009e-10,1.221865053580018e-09
1880,6.417846254436199e-10,0.0
1881,2.091752326904839e-09,0.0
1882,0.0,1.3310770263785798e-09
1883,6.319338941018771e-10,0.0
1884,6.601696966868076e-10,1.3203393933736152e-09
1885,2.5782542767416317e-09,0.0
1886,1.2906927748801422e-09,2.5813855497602844e-09
1887,3.9173548849191775e-09,3.264462256069578e-09
1888,6.340614699951175e-10,6.340614699951175e-10
1889,6.265136742733546e-10,3.759082101151279e-09
1890,1.9663159989136147e-09,1.9663159434024635e-09
