year,voudrait_VERB accompagner_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,1.97229765852569e-09
1822,0.0
1823,3.9530747564242574e-09
1824,4.210556348027694e-09
1825,0.0
1826,0.0
1827,0.0
1828,2.7516904310687096e-09
1829,0.0
1830,3.1310507520032616e-09
1831,0.0
1832,0.0
1833,8.108539617524002e-09
1834,0.0
1835,2.2689263801112247e-09
1836,0.0
1837,0.0
1838,0.0
1839,1.3982950353153e-09
1840,0.0
1841,0.0
1842,6.708265054555795e-10
1843,0.0
1844,1.097712254427563e-09
1845,1.674068439427856e-09
1846,8.781752214304106e-09
1847,2.1572894581822766e-09
1848,0.0
1849,5.02764896381791e-09
1850,6.788996032014438e-10
1851,6.449438760824933e-10
1852,0.0
1853,5.971931837933653e-10
1854,2.5978321716024766e-09
1855,2.1227748447927297e-09
1856,3.6240324075009767e-09
1857,0.0
1858,2.4468380654951716e-09
1859,0.0
1860,1.373155145145688e-09
1861,0.0
1862,9.035972525772706e-10
1863,0.0
1864,9.589455896019672e-10
1865,0.0
1866,0.0
1867,4.85281148598915e-10
1868,2.4699371437009177e-09
1869,0.0
1870,0.0
1871,0.0
1872,6.047339295989218e-10
1873,0.0
1874,5.974609140757536e-10
1875,1.716458086775674e-09
1876,3.02300739996042e-09
1877,6.184815992682502e-10
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,6.601696966868076e-10
1885,0.0
1886,1.2906927748801422e-09
1887,6.528924623161458e-10
1888,0.0
1889,6.265136742733546e-10
1890,0.0
1891,0.0
1892,6.268512375839919e-10
1893,0.0
1894,5.041231432301174e-09
1895,0.0
1896,6.486732040400511e-09
1897,0.0
1898,0.0
1899,3.3165470370022376e-09
1900,5.191053142894475e-10
1901,2.235495566438317e-09
1902,4.910283846193408e-10
1903,1.6200660812870638e-09
1904,5.374625189347171e-10
1905,5.160759042333041e-10
1906,1.0288369045596824e-09
1907,0.0
1908,4.911389073214423e-10
1909,5.500983557560346e-10
1910,0.0
1911,0.0
1912,0.0
1913,1.590896969716482e-09
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,1.1486376294556067e-09
1919,2.762354567309444e-09
1920,7.572231730534895e-10
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,3.3447675740205796e-09
1928,0.0
1929,2.2280812750352652e-09
1930,0.0
1931,0.0
1932,4.383814644626227e-09
1933,0.0
1934,0.0
1935,0.0
1936,3.6374143697059935e-09
1937,1.2591118148108649e-09
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,2.174377566888097e-09
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,2.1547654771580937e-09
1954,1.9545072227344917e-09
1955,2.815682353940474e-09
1956,0.0
1957,1.7670075402875796e-09
1958,8.272243445794913e-10
1959,0.0
1960,1.3841666701708277e-09
1961,2.08444772553662e-09
1962,0.0
1963,0.0
1964,6.083968329129164e-10
1965,0.0
1966,0.0
1967,4.437302081328198e-09
1968,2.6948494546985557e-09
1969,1.8167031212712459e-09
1970,4.5987250119061684e-10
1971,1.0276794970565106e-09
1972,5.130146862875051e-10
1973,2.7566018356850464e-09
1974,1.6876715580593782e-09
1975,3.4268881066168433e-09
1976,2.856763492431469e-09
1977,0.0
1978,1.7821774056514528e-09
1979,1.7555920051037788e-09
1980,0.0
1981,6.325549528618524e-10
1982,0.0
1983,3.78918940668882e-09
1984,1.739702604197646e-09
1985,1.8046674155058895e-09
1986,1.1988970927134801e-09
1987,0.0
1988,0.0
1989,5.488122178931576e-10
1990,1.6345953479657283e-09
1991,5.861465202094962e-10
1992,2.2039776670368383e-09
1993,0.0
1994,5.274926606624319e-10
1995,1.626735190995987e-09
1996,2.135236876199542e-09
1997,3.3564262480467733e-09
1998,0.0
1999,2.7421207526856506e-09
2000,2.2090156370779823e-09
2001,1.7524847129024579e-09
2002,4.38122149670761e-10
2003,0.0
2004,4.404791253964646e-10
2005,2.251874686720612e-09
2006,4.1178899179428186e-10
2007,1.1983438685803094e-09
2008,8.514879357157668e-10
2009,1.430457752249481e-09
2010,9.447586046817946e-10
2011,1.529588788962144e-09
2012,1.7021263287730903e-09
2013,1.3945624655065103e-09
2014,8.661780737106994e-10
2015,1.5516027351836215e-09
2016,3.72841224560716e-09
2017,1.0062445321423752e-09
2018,1.5488800242380307e-09
2019,1.7856913725466939e-09
