year,voulaient_VERB enseigner_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,4.680253518074551e-09
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,9.341240669868967e-09
1818,8.344824387052086e-09
1819,0.0
1820,1.1866481131050932e-08
1821,9.86148829262845e-10
1822,1.1028177482330648e-08
1823,7.906149512848515e-09
1824,0.0
1825,8.805443041381977e-10
1826,3.5231937367541377e-09
1827,1.1060727445055818e-08
1828,8.255071293206129e-09
1829,1.628903412154159e-08
1830,4.174734336004349e-09
1831,3.1182412207897414e-09
1832,1.3529969367098715e-09
1833,9.266902800675325e-09
1834,4.667265685043276e-09
1835,6.050470346963266e-09
1836,7.392825018825988e-09
1837,5.5663127440652715e-09
1838,1.8936485712828244e-09
1839,6.292327547896548e-09
1840,9.554533164646273e-09
1841,7.0626033910059505e-09
1842,0.0
1843,5.906910960362666e-09
1844,5.488561272137815e-10
1845,3.348136878855712e-09
1846,1.1709002656346001e-09
1847,1.0786447290911383e-09
1848,2.413566457803995e-09
1849,1.5920887719289567e-08
1850,2.0366988096043315e-08
1851,2.579775504329973e-09
1852,7.161600201754936e-09
1853,1.1346670270029335e-08
1854,0.0
1855,1.0083180512765466e-08
1856,1.2425253714809514e-08
1857,1.4644527812635033e-09
1858,1.0766087576996597e-08
1859,5.092173349652285e-09
1860,5.950338888283113e-09
1861,2.357981809808507e-09
1862,3.6143890103090826e-09
1863,3.995696662428827e-09
1864,5.753673537611803e-09
1865,1.882737743486018e-09
1866,4.865612912574591e-10
1867,1.94112459439566e-09
1868,1.333765986544222e-08
1869,4.883519144627257e-10
1870,3.4404292748035914e-09
1871,1.0621177271019633e-09
1872,1.1489944995446422e-08
1873,1.7958012854535355e-09
1874,8.364453130127458e-09
1875,8.010138330405425e-09
1876,4.232210137899983e-09
1877,2.4739263970730008e-09
1878,1.8117265465633636e-09
1879,1.710611030603104e-08
1880,7.701415505323439e-09
1881,5.5780060570498335e-09
1882,3.9932310791357395e-09
1883,1.2638677659992936e-08
1884,1.9805090900604227e-09
1885,3.86738152613475e-09
1886,4.5174246565693466e-09
1887,1.3057849246322917e-09
1888,5.07249175996094e-09
1889,6.265136853755848e-09
1890,7.209825181320184e-09
1891,6.374220040683554e-10
1892,3.0715710863660206e-08
1893,6.158416554491453e-10
1894,1.8904617871129403e-09
1895,1.0833506536300774e-08
1896,1.179405795248556e-09
1897,1.7480140668268973e-09
1898,5.6583548957434e-10
1899,5.527578395003729e-09
1900,2.07642125715779e-09
1901,6.706486921359556e-09
1902,5.4013122863239005e-09
1903,1.0260418292773466e-08
1904,3.7622376325430196e-09
1905,5.160758931310738e-09
1906,5.144184522798412e-10
1907,1.5428529565042481e-09
1908,4.911389073214423e-10
1909,2.7504918342913243e-09
