year,faudrait_VERB armer_VERB,faudrait_VERB charmer_VERB
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,1.035105001712111e-09,0.0
1820,0.0,0.0
1821,9.86148829262845e-10,0.0
1822,0.0,0.0
1823,3.9530747564242574e-09,0.0
1824,8.421112696055388e-10,0.0
1825,1.7610886082763955e-09,0.0
1826,7.0463874735082754e-09,0.0
1827,3.6869092223668076e-09,0.0
1828,4.586150570418113e-09,0.0
1829,0.0,0.0
1830,3.1310507520032616e-09,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,1.1583628500844156e-09,0.0
1834,1.3068342852307069e-08,0.0
1835,1.285724948729694e-08,0.0
1836,7.392825018825988e-09,0.0
1837,2.0873671680021744e-09,0.0
1838,1.199310784016916e-08,0.0
1839,0.0,0.0
1840,4.458782232319436e-09,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,7.678984559333912e-09,0.0
1844,1.756339607084101e-08,0.0
1845,1.674068439427856e-09,0.0
1846,3.5127007969038004e-09,0.0
1847,1.5640349459999925e-08,0.0
1848,2.413566457803995e-09,0.0
1849,3.100383594301093e-08,0.0
1850,7.467895635215882e-09,0.0
1851,1.9348316282474798e-09,0.0
1852,2.6042181744401205e-09,7.812654523320361e-09
1853,5.971931837933653e-10,0.0
1854,1.558699391779328e-09,0.0
1855,5.306937111981824e-10,0.0
1856,1.0354378465748937e-09,0.0
1857,6.8341128311999455e-09,0.0
1858,1.0276719919488642e-08,0.0
1859,1.5276520048956854e-09,0.0
1860,1.373155145145688e-09,0.0
1861,2.357981809808507e-09,0.0
