year,fut_VERB aux_ADP,fut_VERB chaud_ADJ
1800,4.338947121595993e-07,1.5720821977538435e-08
1801,3.0955374086261145e-07,4.7623651688866175e-09
1802,4.1400042505301826e-07,2.2378401354217203e-09
1803,4.797834662895184e-07,1.3652374342143503e-08
1804,4.474050285807607e-07,4.449331569844617e-08
1805,3.752598445316835e-07,2.842877711017877e-09
1806,5.475171178659366e-07,2.881669125542885e-09
1807,4.384311012017861e-07,1.7081731584767113e-08
1808,5.91445314057637e-07,0.0
1809,4.3373387370593264e-07,2.710836710662079e-08
1810,3.6739990605383355e-07,4.212228077449254e-08
1811,4.2369597963443084e-07,1.0028307073639553e-08
1812,4.827646762350923e-07,4.800974906515876e-08
1813,3.134558426154399e-07,1.7254450312975678e-08
1814,5.506685170075798e-07,5.664018942752591e-08
1815,6.122697300270374e-07,5.394447111228828e-09
1816,3.5922860774917353e-07,4.4034472068688046e-08
1817,3.752064969830826e-07,1.2454987086130132e-07
1818,5.555268671741942e-07,2.384235475716423e-09
1819,4.657972567656543e-07,3.1053151161586356e-09
1820,5.434848162622075e-07,3.559944161679596e-08
1821,6.202876079441921e-07,3.94459531705138e-09
1822,4.802270154868893e-07,3.5089655625597516e-08
1823,5.395946800490492e-07,6.324919610278812e-08
1824,6.08846448812983e-07,2.2737005167527968e-08
1825,5.239238589638262e-07,4.402721387464226e-08
1826,4.597767713221401e-07,5.284790383086602e-09
1827,5.290714852890233e-07,3.133872894522938e-08
1828,4.1367079006704444e-07,2.0179061976932644e-08
1829,5.598283792096481e-07,3.429270423183084e-09
1830,4.26866591851649e-07,1.878630406793036e-08
1831,3.866619238124258e-07,3.1182412207897414e-09
1832,4.1401705175303505e-07,1.3529969367098715e-09
1833,4.4365296503201535e-07,4.6334514003376626e-09
1834,5.414028123595926e-07,4.29388435918554e-08
1835,5.68744212614547e-07,4.0084366048631637e-08
1836,5.880656317458488e-07,3.696412420595152e-08
1837,5.712428219339927e-07,1.1828414692161004e-08
1838,6.488902499768301e-07,7.574594285131298e-09
1839,5.138734309184656e-07,5.5931801412612e-09
1840,5.095751021144679e-07,1.0191501864653674e-08
1841,4.7383647938659124e-07,1.1556987367100646e-08
1842,4.7024937543937995e-07,4.092041550052272e-08
1843,4.512880025231425e-07,1.0041748765843295e-08
1844,5.290972922011861e-07,1.3721403568922597e-08
1845,4.2019115653602057e-07,1.3392547515422848e-08
1846,3.9869155443739146e-07,1.2294452567118697e-08
1847,4.492555376600649e-07,1.240441438454809e-08
1848,4.2156960944339517e-07,8.84974404868899e-09
1849,3.2344541978091e-07,5.02764896381791e-09
1850,3.41486497745791e-07,1.9009188889640427e-08
1851,4.0373487308897893e-07,1.7413483988093503e-08
1852,4.0821120705913927e-07,1.6276363368206148e-08
1853,5.494177344189666e-07,1.6124216628554677e-08
1854,4.577380252612784e-07,1.1430461910322265e-08
1855,4.4525202724798874e-07,9.021793090369101e-09
1856,4.763014089803619e-07,8.28350277259915e-09
1857,4.6520781893377716e-07,2.9777204701986193e-08
1858,5.07963591189764e-07,1.6002320535335457e-07
1859,4.801919430974522e-07,3.5645213447565993e-09
1860,4.5817611749043863e-07,1.2358396972445007e-08
1861,3.9944211494002957e-07,1.650587222457034e-08
1862,3.560173240657605e-07,3.6143890103090826e-09
1863,4.784846510119678e-07,5.9935452156878455e-09
1864,3.989213723798457e-07,1.2466292886870178e-08
1865,3.803130255164433e-07,1.6003271596787272e-08
1866,3.848699918762577e-07,6.811858188626729e-09
1867,3.275647770806245e-07,1.747012134956094e-08
1868,4.361908736427722e-07,4.93987406535723e-10
1869,4.5172552631811413e-07,2.3440891894210836e-08
1870,4.0826427039064583e-07,3.268407766654491e-08
1871,2.931444953446771e-07,2.0180236148803488e-08
1872,3.9065812984517834e-07,2.660829245826335e-08
1873,3.896888927101827e-07,5.387403856360606e-09
1874,3.8356989762178273e-07,4.779687312606029e-09
1875,4.7374246037179546e-07,1.0870901512305409e-08
1876,3.603424829634605e-07,1.813804439976252e-09
1877,4.391219476929109e-07,1.0514186854493346e-08
1878,3.726117654423433e-07,6.039088784604019e-09
1879,4.3437302110760356e-07,1.1607718342077078e-08
1880,4.216524871480942e-07,7.701415505323439e-09
1881,3.067903264764027e-07,4.8807553554297556e-09
1882,3.753637258796516e-07,7.986462158271479e-09
1883,3.6715360351990967e-07,7.58320695126713e-09
1884,3.6903486488881754e-07,3.9610181801208455e-09
1885,3.519317033351399e-07,9.023890079618013e-09
1886,3.7623695448019134e-07,3.2267319927115068e-09
1887,3.3623962281126296e-07,4.570247291724172e-09
1888,3.9502029380855674e-07,1.2047167707862627e-08
1889,4.072338981586654e-07,9.397704836544563e-09
1890,3.041235459022573e-07,5.243509182406569e-09
1891,3.1616130513612006e-07,1.5935549768641977e-08
1892,3.6921537116541003e-07,8.775916882086676e-09
1893,3.0976835319052043e-07,6.774258043407144e-09
1894,3.257895855313109e-07,1.3233232287745977e-08
1895,3.2319960041604645e-07,1.1435367319734269e-08
1896,3.2079836387310934e-07,2.181900704556483e-08
1897,2.936663747732382e-07,6.992056267307589e-09
1898,2.885761034576717e-07,1.0185038590293516e-08
1899,2.6255997909174766e-07,6.633094074004475e-09
1900,3.5247251162218163e-07,4.671947717582725e-09
1901,3.6382689927449974e-07,2.235495566438317e-09
1902,3.181863803547458e-07,4.419255628107521e-09
1903,2.9107187060617434e-07,4.860198465905796e-09
1904,2.810928947383218e-07,5.912087708281888e-09
1905,2.9932402867416386e-07,4.1286072338664326e-09
