year,maint_DET essai_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,5.851017448321727e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,3.1053151161586356e-09
1820,2.3732962262101864e-09
1821,9.86148829262845e-10
1822,1.0025615893027862e-09
1823,0.0
1824,1.2631669044083083e-08
1825,0.0
1826,0.0
1827,9.217273055917019e-10
1828,0.0
1829,1.1145129263923081e-08
1830,2.0873671680021744e-09
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,3.025235173481633e-09
1836,1.3441500135158435e-09
1837,1.3915781860163179e-09
1838,0.0
1839,0.0
1840,2.165694112932215e-08
1841,1.7977535904378783e-08
1842,6.708265054555795e-10
1843,5.906911071384968e-10
1844,3.2931368743049916e-09
1845,1.1160455892778032e-09
1846,0.0
1847,3.235934187273415e-09
1848,3.218088684420195e-09
1849,3.3517659758786067e-09
1850,0.0
1851,0.0
1852,6.510545436100301e-10
1853,0.0
1854,1.558699391779328e-09
1855,4.2455496895854594e-09
1856,7.765783571755946e-09
1857,0.0
1858,4.893676019968041e-10
1859,0.0
1860,4.57718396518203e-09
1861,5.187560159214399e-09
1862,4.517986262886353e-10
1863,1.9978483312144135e-09
1864,3.835782358407869e-09
1865,1.4120533631256649e-09
1866,5.352174259343201e-09
1867,9.7056229719783e-10
1868,9.87974857480367e-09
1869,2.9301114867763545e-09
1870,4.013834153937523e-09
1871,0.0
1872,0.0
1873,2.9930022904522957e-09
1874,7.766991494406739e-09
1875,5.721527140956084e-10
1876,9.069021977836655e-09
1877,1.2369631985365004e-09
1878,3.6234530931267273e-09
1879,2.443730107160036e-09
1880,1.0268554007097919e-08
1881,4.183504653809678e-09
1882,7.320923423037584e-09
1883,1.8326083761621703e-08
1884,6.601696966868076e-10
1885,1.2891271383708158e-09
1886,1.5488312854472497e-08
1887,5.223139698529167e-09
1888,2.53624587998047e-09
1889,0.0
1890,0.0
1891,6.374220040683554e-10
1892,2.5074049503359674e-09
1893,3.079208221734575e-09
1894,6.301539290376468e-10
1895,1.8055843487019274e-09
1896,1.7691086373616827e-09
1897,2.9133566670225264e-09
1898,9.05336783318944e-09
1899,7.185851913504848e-09
1900,9.863001082521805e-09
1901,5.588738916095792e-10
1902,4.910283735171106e-09
1903,0.0
1904,2.6873125946735854e-09
1905,0.0
1906,1.0288369045596824e-09
1907,1.5428529565042481e-09
1908,9.822778146428846e-10
1909,4.400786846048277e-09
1910,0.0
1911,5.320374141248863e-10
1912,1.5628263128064646e-09
1913,5.302989602995467e-09
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,1.1486376294556067e-09
1919,9.207848372660976e-10
1920,0.0
1921,8.330022005509363e-09
1922,0.0
1923,5.307974060286824e-09
1924,9.02413699321869e-09
1925,1.0998178368026856e-08
1926,0.0
1927,7.804457524684949e-09
1928,1.1426041224282812e-09
1929,0.0
1930,0.0
1931,1.1405356659111021e-09
1932,2.1919073223131136e-09
1933,4.588264879146209e-09
1934,0.0
1935,0.0
1936,0.0
1937,3.777335333410292e-09
1938,0.0
1939,4.588215141154706e-09
1940,0.0
1941,0.0
1942,0.0
1943,2.9032352077962287e-09
1944,0.0
1945,0.0
1946,0.0
1947,1.1920870957027319e-09
1948,2.174377566888097e-09
1949,0.0
1950,3.190608444114673e-09
1951,1.0661401761424827e-09
1952,2.1089607837865287e-09
1953,0.0
1954,4.886268278880834e-09
1955,0.0
1956,3.488456634670456e-09
1957,3.534015080575159e-09
1958,2.4816730892496253e-09
1959,3.100299128533379e-09
1960,1.3841666701708277e-09
1961,3.47407969059077e-09
1962,2.5367825617905737e-09
1963,1.2932106496776896e-09
1964,1.8251904432275978e-09
1965,0.0
1966,3.8773522170743036e-09
1967,2.465167847631733e-09
1968,3.5931326802796093e-09
1969,9.083515606356229e-10
1970,1.8394900047624674e-09
1971,2.569198631618974e-09
1972,2.0520587451500205e-09
1973,0.0
1974,5.625571675160757e-10
1975,0.0
1976,5.713526873840635e-10
1977,5.876781838942691e-10
1978,5.940591352171509e-10
1979,1.1703946700691858e-09
1980,0.0
1981,1.2651099057237047e-09
1982,1.2415004579935385e-09
1983,0.0
1984,1.739702604197646e-09
1985,1.8046674155058895e-09
1986,1.1988970927134801e-09
1987,1.2221633705067347e-09
1988,0.0
1989,1.6464366536794728e-09
1990,5.44865097484859e-10
1991,5.861465202094962e-10
1992,2.7549720282848966e-09
1993,2.2156829704300662e-09
1994,1.5824779264761446e-09
1995,1.0844901643380922e-09
1996,5.338092190498855e-10
1997,2.3974471297094624e-09
1998,0.0
1999,4.570201161957499e-10
2000,4.4180314962005696e-10
2001,1.3143635069212678e-09
2002,0.0
2003,2.5001538617175356e-09
2004,1.7619165015858584e-09
2005,0.0
2006,1.2353669198716943e-09
2007,2.3966877371606188e-09
2008,4.257439678578834e-10
2009,4.76819250749827e-10
2010,4.723793023408973e-10
2011,0.0
2012,0.0
2013,2.789125042035323e-10
2014,1.2992671383216248e-09
2015,0.0
2016,2.0713400439298368e-10
2017,0.0
2018,0.0
2019,0.0
