year,tout_ADV en_ADP,tout_ADV dans_ADP
1800,1.9028483393412898e-05,9.014319971356599e-06
1801,1.7718379126563377e-05,8.04839712031935e-06
1802,1.6410081343565253e-05,6.514352833164594e-06
1803,1.532966666673019e-05,7.604372612490806e-06
1804,1.6971728655335028e-05,6.550405203142873e-06
1805,1.5405554449898773e-05,6.74330607353113e-06
1806,1.660705879658053e-05,6.261866928980453e-06
1807,1.612515382021229e-05,5.659746562969303e-06
1808,1.8196573478235223e-05,5.175713042149255e-06
1809,1.8557934936325182e-05,5.0828188165041865e-06
1810,1.790431053905195e-05,5.284006050487733e-06
1811,1.7657341459198506e-05,3.6402753735842452e-06
1812,1.713681263026956e-05,3.8221093916490645e-06
1813,2.0173327584416256e-05,4.379754471983688e-06
1814,2.2306795017357217e-05,4.650788639537495e-06
1815,2.2511027054861188e-05,3.5927017592030097e-06
1816,1.8183920815317833e-05,4.445164393018786e-06
1817,2.1058269794593798e-05,4.289186080086438e-06
1818,2.0964582290616818e-05,4.3154659863375855e-06
1819,1.9405113221182546e-05,4.168367865986511e-06
1820,2.275041720167792e-05,3.748621423937948e-06
1821,2.3038409153741668e-05,3.978124453851706e-06
1822,2.265789225930348e-05,3.6613550378206128e-06
1823,2.3819251964596333e-05,3.005325055482899e-06
1824,2.506038845240255e-05,3.144443383007456e-06
1825,2.5388734684383962e-05,3.3478294199085212e-06
1826,2.320287239854224e-05,2.965648405961474e-06
1827,2.605907366159954e-05,3.0675084019549104e-06
1828,2.774988047349325e-05,3.090148254614178e-06
1829,2.849552242878417e-05,3.198652024138937e-06
1830,3.097444073318911e-05,3.1654922736379376e-06
1831,3.152853741994477e-05,3.1478646178584313e-06
1832,3.399810702831019e-05,3.2850766160663625e-06
1833,3.543547904882871e-05,3.02216858472093e-06
1834,3.198663762304932e-05,3.058925869936502e-06
1835,3.4127676372008864e-05,3.3769188405585737e-06
1836,3.579673216336232e-05,3.1379182416912954e-06
1837,3.608571023505647e-05,2.6516522098063433e-06
1838,3.499778108562168e-05,2.6965555264268914e-06
1839,3.782248290917778e-05,2.4637958517814695e-06
1840,3.8571648474317044e-05,2.6542493003489653e-06
1841,4.11499390793324e-05,3.0568231466077123e-06
1842,4.428394004207803e-05,2.6390314360469347e-06
1843,4.4460728076956e-05,2.9883062211411016e-06
1844,4.503090167418122e-05,2.9484550623237737e-06
