year,excellent_ADJ photographe_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,9.86148829262845e-10
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,1.9526036343364694e-09
1858,0.0
1859,5.092173349652285e-10
1860,8.238931314963338e-09
1861,1.8863854922557266e-09
1862,2.710791813242963e-09
1863,4.994620828036034e-10
1864,0.0
1865,2.8241067262513297e-09
1866,4.865612801552288e-09
1867,8.249779526181555e-09
1868,4.44588676984381e-09
1869,3.906815315701806e-09
1870,0.0
1871,0.0
1872,1.2094678591978436e-09
1873,5.986004469882289e-10
1874,7.766991494406739e-09
1875,5.721527140956084e-10
1876,1.209202959984168e-09
1877,1.8554447978047506e-09
1878,1.2078177347163432e-09
1879,0.0
1880,3.8507077526617195e-09
1881,1.3945015142624584e-09
1882,1.0648616211028639e-08
1883,6.319338941018771e-10
1884,0.0
1885,4.511945039809007e-09
1886,6.453463874400711e-10
1887,5.223139698529167e-09
1888,6.340614699951175e-10
1889,1.8795409673089125e-09
1890,2.6217545912032847e-09
1891,3.824531802365527e-09
1892,6.8953633913793055e-09
1893,1.2316833108982905e-09
1894,8.82215478448245e-09
1895,2.4074457982692365e-09
1896,5.307326134129653e-09
1897,2.330685422435863e-09
1898,1.3014216371232123e-08
1899,2.7637891975018647e-09
1900,5.710158568206225e-09
1901,8.941982265753268e-09
1902,5.892340837476695e-09
1903,5.400220270956879e-09
1904,1.1824175416563776e-08
1905,5.676835002077496e-09
1906,5.144184522798412e-10
1907,4.114274698707732e-09
1908,4.4202501658929805e-09
1909,1.1001967337165297e-08
1910,3.206490406526541e-09
1911,7.448523575703803e-09
1912,7.2931894967709354e-09
1913,2.121195885607108e-09
1914,7.366418142140674e-09
1915,2.3561523843085297e-09
1916,0.0
1917,1.864292187292449e-08
1918,1.033773866510046e-08
1919,9.207848372660976e-10
1920,1.0601124422748853e-08
1921,9.844571879913389e-09
1922,4.426761346376651e-09
1923,1.0615948120573648e-08
1924,2.578324886925998e-09
1925,3.299453377181294e-09
1926,4.458455382660986e-09
1927,7.804457524684949e-09
1928,2.2852082448565625e-09
1929,1.1140406375176326e-09
1930,8.402882945013346e-09
1931,1.0264820993199919e-08
1932,6.575722188983946e-09
1933,2.2941324395731044e-09
1934,3.5944740517379614e-09
1935,1.0771455727365264e-08
1936,3.6374143697059935e-09
1937,8.813782592653752e-09
1938,0.0
1939,1.3764645423464117e-08
1940,7.607348750937604e-09
1941,5.9030051957620344e-09
1942,9.102635090130207e-09
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,8.714016175304096e-09
1946,4.1763312808029696e-09
1947,1.0728784083369192e-08
1948,7.61032148410834e-09
1949,6.8719057111366055e-09
1950,1.4889506294579746e-08
1951,1.3859822733941485e-08
1952,1.2653764258629963e-08
1953,9.696444758233724e-09
1954,7.818028890937967e-09
1955,1.8771215692936494e-09
1956,1.744228361744149e-08
1957,1.678657179926546e-08
1958,1.4890037869363937e-08
1959,1.4726420971555854e-08
1960,1.314958364417862e-08
1961,7.642975030641708e-09
1962,6.341956293454132e-09
1963,5.1728425987107585e-09
1964,1.3384730435106462e-08
1965,4.3776345326485e-09
1966,1.3847686664014702e-08
1967,9.860671390526932e-09
1968,1.0779397818794223e-08
1969,6.358460841182634e-09
1970,3.219107425067591e-09
1971,7.193756590417877e-09
1972,7.182205663536223e-09
1973,7.1671650836435674e-09
1974,1.518904385600095e-08
1975,6.8537762132336866e-09
1976,6.284879672247001e-09
1977,1.2928919823629315e-08
1978,1.128712323605896e-08
1979,1.1118749476679568e-08
1980,6.822181042309694e-09
1981,1.2651099057237047e-08
1982,1.1794254239916313e-08
1983,6.315316047889041e-09
1984,6.378909400694965e-09
1985,9.02333674446254e-09
1986,4.196139935519483e-09
1987,6.721898704320495e-09
1988,1.9788627514394364e-08
1989,1.5366742545097622e-08
1990,1.1442167213715493e-08
1991,1.1136783939491579e-08
1992,1.5978838474595136e-08
1993,9.416652901883538e-09
1994,1.2659824077942972e-08
1995,1.1387147003105724e-08
1996,5.3380921904988554e-09
1997,1.1507747088579379e-08
1998,9.536258560594035e-09
1999,1.0968483010742602e-08
2000,7.95245647111642e-09
2001,8.762423314712109e-09
2002,1.3581786972860499e-08
2003,1.3334153559085848e-08
2004,8.369103465799554e-09
2005,1.1259373877692269e-08
2006,1.153009171472874e-08
2007,1.3581229835191166e-08
2008,1.021785517307805e-08
2009,9.059565542202108e-09
2010,7.0856894796023084e-09
2011,1.4531093439629217e-08
2012,9.531907513293802e-09
2013,7.530637446961919e-09
2014,8.878325075123428e-09
2015,8.64464447247748e-09
2016,9.735297901158901e-09
2017,7.798395401659164e-09
2018,1.1100307006906007e-08
2019,8.673358031785483e-09
