year,petit_ADJ os_NOUN,petit_ADJ gosse_NOUN
1800,2.8611895874774973e-07,0.0
1801,1.1667795019043581e-07,0.0
1802,1.4098392853156838e-07,0.0
1803,2.6719646939454833e-07,0.0
1804,7.168367943677367e-08,0.0
1805,7.846342668926809e-07,0.0
1806,4.3225035994964855e-08,0.0
1807,1.0818429352354997e-07,0.0
1808,6.345007363961486e-08,0.0
1809,5.873479480555943e-08,0.0
1810,2.8081521108447305e-08,0.0
1811,7.019815129183371e-08,0.0
1812,2.1871107946935808e-07,0.0
1813,6.039057609541487e-08,0.0
1814,3.1466770522570187e-08,0.0
1815,5.3944472000466703e-08,0.0
1816,7.648093003354006e-08,0.0
1817,9.652615062805125e-08,0.0
1818,1.0371424252753059e-07,0.0
1819,1.687221100610259e-07,0.0
1820,1.1866481131050932e-07,0.0
1821,8.08642042215979e-08,0.0
1822,4.8122956286533736e-08,0.0
1823,1.4922856905741355e-07,0.0
1824,6.400046004273463e-08,0.0
1825,1.3208164939548794e-07,0.0
1826,7.398706969308222e-08,0.0
1827,8.664236617050847e-08,0.0
1828,1.733564923833697e-07,0.0
1829,1.3031227297233272e-07,0.0
1830,1.1167414015744725e-07,0.0
1831,5.145098169734297e-08,0.0
1832,6.900284277300273e-08,0.0
1833,1.4711207541040494e-07,0.0
1834,1.1201436822538824e-07,0.0
1835,2.8739733437532777e-07,0.0
1836,1.6197008356755305e-07,0.0
1837,1.4959464933461675e-07,0.0
1838,5.1759727170974656e-08,0.0
1839,1.265457020283023e-07,0.0
1840,5.541629305438889e-08,0.0
1841,8.731945788653661e-08,0.0
1842,6.708265232191479e-08,0.0
1843,5.493427224223524e-08,5.906911071384968e-10
1844,4.281077892187568e-08,0.0
1845,8.258737693722651e-08,0.0
1846,1.100646243035186e-07,0.0
1847,5.986478157637976e-08,0.0
1848,6.516629724728773e-08,0.0
1849,8.882179969305071e-08,0.0
1850,6.245876704724651e-08,0.0
1851,4.063146263888484e-08,0.0
1852,7.096494414327026e-08,0.0
1853,1.248133685294306e-07,0.0
1854,5.923057599943604e-08,0.0
1855,8.17268315245201e-08,0.0
1856,4.193523395201737e-08,0.0
1857,7.712784499958047e-08,0.0
1858,5.5787907626836386e-08,0.0
1859,6.26337319786785e-08,0.0
1860,5.813023662426531e-08,0.0
1861,4.0557289082698844e-08,0.0
1862,3.7047488632424574e-08,0.0
1863,3.745965726498213e-08,0.0
1864,4.986517010419078e-08,0.0
1865,4.1420231466915425e-08,0.0
1866,5.060237384668653e-08,0.0
1867,6.26012663929032e-08,0.0
1868,6.372437555413057e-08,0.0
1869,7.227608511684025e-08,0.0
1870,4.0711747306687585e-08,0.0
1871,5.629224109071629e-08,0.0
1872,5.684499082558858e-08,0.0
1873,3.112722185560912e-08,0.0
1874,9.43988254231698e-08,0.0
1875,6.122033846533981e-08,0.0
1876,5.078652520751348e-08,1.813804439976252e-09
1877,6.98884221606022e-08,6.184815992682502e-10
1878,5.193616092746822e-08,1.8117265465633636e-09
1879,6.781351347129316e-08,0.0
1880,4.2999571236990164e-08,1.9253538763308597e-09
1881,3.6257038260600893e-08,1.3945015142624584e-09
1882,3.8601232432711186e-08,0.0
1883,4.676310894069502e-08,6.319338941018771e-10
1884,5.0833065756705764e-08,6.601696966868076e-10
1885,5.8655285073427876e-08,1.2891271383708158e-09
1886,5.162771138378375e-08,4.5174246565693466e-09
1887,3.7867764035581786e-08,3.264462256069578e-09
1888,3.7409627395845746e-08,6.340614699951175e-10
1889,3.0072656975743683e-08,3.007265636512102e-08
1890,4.9813338010018526e-08,4.1948072571074135e-08
1891,4.971891465199718e-08,2.549687905251119e-09
1892,4.5133290882404253e-08,3.1342561879199593e-09
1893,6.897426629848269e-08,6.774258265451749e-09
1894,4.159015887239548e-08,8.822155450616265e-09
1895,5.055636220774318e-08,2.4074457982692365e-09
1896,3.5382172747233653e-08,1.2973464191823325e-08
1897,3.3212266714599536e-08,6.992056378329892e-09
1898,5.318853624203257e-08,5.658355006765703e-09
1899,5.969784488968344e-08,6.633094074004475e-09
1900,4.5162162898293445e-08,8.305684917608858e-09
1901,3.297355988252093e-08,8.941982265753268e-09
1902,3.879124294003944e-08,1.423982337600549e-08
1903,5.1842113490963015e-08,7.020286574288548e-09
1904,3.171028772896989e-08,4.837162670412454e-09
1905,4.4382527542019545e-08,5.676835002077496e-09
1906,4.6812079546043606e-08,3.0865106026567446e-09
1907,3.034277540336916e-08,1.337139288182243e-08
1908,5.5007558508179955e-08,6.875944480455587e-09
1909,3.850688601314545e-08,8.251475058784763e-09
1910,5.0235017590161135e-08,5.878565856320961e-09
1911,3.5646505192055145e-08,1.0108711201439746e-08
1912,3.386123859083767e-08,1.0418842677495377e-08
1913,4.1363318104004065e-08,1.060597942803554e-09
1914,4.3528835647066444e-08,1.2723813391790628e-08
1915,4.7123048574349014e-08,8.246533234057551e-09
1916,2.7468654906215306e-08,2.197492321442951e-08
1917,1.5352993543160665e-08,1.0966424213165737e-08
1918,1.9526840588923733e-08,1.2635013924011673e-08
1919,2.8544329566670967e-08,1.749491218561161e-08
1920,3.7861158652674476e-08,9.086677632552664e-09
1921,1.5902768879527684e-08,1.3630945261411398e-08
1922,4.131643893678927e-08,2.2871599725249325e-08
1923,3.290944050604594e-08,2.3355084977083607e-08
1924,2.062659898438568e-08,2.191576142784868e-08
1925,2.859526304632709e-08,1.5397448649423495e-08
1926,3.566764306128789e-08,1.3375366592072169e-08
1927,1.7838759802657478e-08,1.783875902550136e-08
1928,2.5137290915466792e-08,9.14083297942625e-09
1929,4.233354289340241e-08,1.6710609784809094e-08
1930,2.6259009189288918e-08,2.100720719599991e-08
1931,2.9653927313688655e-08,1.4826963656844327e-08
1932,3.2878610278785914e-08,1.753525857850491e-08
1933,2.7529589274877253e-08,1.835305929454023e-08
1934,1.3179738189705859e-08,1.3179738189705859e-08
1935,3.4708024010399185e-08,1.555876849579363e-08
1936,2.0612014317578087e-08,2.3036958118893835e-08
1937,1.888667711114067e-08,1.7627564963262898e-08
1938,1.9447821131279852e-08,1.8151300906765755e-08
1939,1.2235240376412548e-08,7.647025235257843e-09
1940,1.77504799747652e-08,2.7893612752905028e-08
1941,2.066051862925633e-08,1.4757512989405086e-08
1942,3.6410540360520827e-08,1.8205270180260413e-08
1943,4.645176332473966e-08,8.709705845433291e-09
1944,1.6065930807940276e-08,1.6065930807940276e-08
1945,1.742803235060819e-08,1.089252066321933e-08
1946,2.3665876369705074e-08,1.9489545977080525e-08
1947,2.861009051891017e-08,2.9802176726434482e-08
1948,3.58772298536536e-08,7.610321262063735e-09
1949,1.7670615193310368e-08,1.1780409980843842e-08
1950,4.1477910883713776e-08,1.4889506516624351e-08
1951,5.437314998246734e-08,2.3455083209000804e-08
1952,6.432330224015459e-08,9.490323193972472e-09
1953,3.986316121640243e-08,1.723812381726475e-08
1954,2.5408594339637602e-08,1.4658803948464083e-08
1955,3.0972504561077585e-08,1.595553289490681e-08
1956,1.831439710997529e-08,9.593255967388359e-09
1957,3.003912851795576e-08,7.068030161150318e-09
1958,3.22617488279775e-08,1.5717262602521487e-08
1959,3.022791617013354e-08,1.3951345856355601e-08
