year,ait_VERB osé_VERB,ait_VERB causé_VERB
1800,6.539862056342827e-07,8.489244152087849e-08
1801,8.667504403092607e-07,6.429193177837078e-08
1802,5.773627549388038e-07,8.280008501060365e-08
1803,3.666637837795861e-07,1.170203560718619e-07
1804,6.723434466948675e-07,1.557266102736321e-07
1805,8.01691498963919e-07,1.051864728651708e-07
1806,4.927654231323686e-07,3.458002950651462e-08
1807,5.181458391234628e-07,1.4234775846944103e-07
1808,5.982435595797142e-07,1.5182695278781466e-07
1809,4.743964154840796e-07,1.0391540428145163e-07
1810,5.756712084803439e-07,1.942305232205399e-07
1811,6.142337838355161e-07,1.4541045345595194e-07
1812,5.601137331723294e-07,1.2535878113340004e-07
1813,5.722725973100751e-07,6.326631307729258e-08
1814,4.7200157382576435e-07,4.090680150170556e-08
1815,5.960864086773654e-07,5.3944472000466703e-08
1816,4.936496225127485e-07,1.0892738089296472e-07
1817,6.834674195488333e-07,1.8371106591530406e-07
1818,6.055958010620088e-07,1.5259107044585107e-07
1819,8.632775916339597e-07,1.2317750019974483e-07
1820,7.748812436148e-07,1.1035827185423841e-07
1821,8.352680538337154e-07,9.960103142248045e-08
1822,6.125651452748571e-07,1.082766516447009e-07
1823,6.344685061776545e-07,1.096978223813494e-07
1824,5.389512125475449e-07,8.673745810483524e-08
1825,5.987701001686219e-07,1.1623184548170684e-07
1826,5.223134849074995e-07,8.367585024871005e-08
1827,4.1662073613224493e-07,1.1521591147811705e-07
1828,4.7512520495729405e-07,9.539193257523948e-08
1829,5.88119860367442e-07,1.1659519572049248e-07
1830,5.729822873945523e-07,1.4194097275321838e-07
1831,5.940249252489593e-07,5.14509785887185e-08
1832,5.790826662632753e-07,7.712082350508354e-08
1833,5.189465355215361e-07,1.042526562855528e-07
1834,4.4805747734244505e-07,8.774458848392896e-08
1835,4.273144611488533e-07,1.6563163285354676e-07
1836,4.113099123514985e-07,8.400937900887584e-08
1837,3.743345189377578e-07,1.1202204319715747e-07
1838,3.780984911827545e-07,9.02639172295494e-08
1839,4.4395866893864877e-07,7.620707975775076e-08
1840,4.732678746677266e-07,1.356743695168916e-07
1841,4.6356359462151886e-07,1.001605554051821e-07
1842,5.104989782012126e-07,1.2410289684794407e-07
1843,4.737342749194795e-07,7.974330173965427e-08
1844,4.319497861615673e-07,8.232841963717874e-08
1845,3.8726781781406316e-07,1.205329169806646e-07
1846,4.812400220544077e-07,9.367202125076801e-08
1847,4.7460366658924613e-07,1.2188685616365547e-07
1848,3.7410279674077174e-07,8.367030801537112e-08
1849,4.1310516962766997e-07,1.5753299464904558e-07
1850,3.5981679502583575e-07,9.029364633761361e-08
1851,4.5920003799437836e-07,1.0319102017319892e-07
1852,3.444078515713045e-07,1.3151301914149371e-07
1853,4.437145264546416e-07,1.2779933911133412e-07
1854,3.7668567642867856e-07,1.0339372380485656e-07
1855,3.7466975300048944e-07,7.695058457102277e-08
1856,4.374724937861174e-07,7.76578374939163e-08
1857,4.2420313661750697e-07,8.737901424638039e-08
1858,4.237923292293999e-07,1.0423529772651818e-07
1859,4.4760204787053226e-07,7.689181558134806e-08
1860,4.137774283208273e-07,8.971280607283916e-08
1861,4.2160715452155273e-07,9.950683477200073e-08
1862,3.9216121194840525e-07,1.301180105883759e-07
1863,3.626094837727578e-07,1.0738434497170601e-07
1864,4.094697771961364e-07,1.2706028940101532e-07
1865,3.610149690302933e-07,9.931441269372954e-08
1866,3.4497196566007915e-07,1.1482846673516178e-07
1867,3.275647770806245e-07,1.4170208828545583e-07
1868,3.734544691269548e-07,8.743577240011291e-08
1869,4.0533208789383934e-07,1.3429678347165463e-07
1870,3.744333980648662e-07,1.2729587695048394e-07
1871,3.494367319945013e-07,1.2320565190293564e-07
1872,3.573977664927952e-07,7.982487915114689e-08
1873,2.993002112816612e-07,1.0894527946447852e-07
1874,3.2621366585772194e-07,1.0814042639140098e-07
1875,3.547346807408758e-07,1.0127102711976477e-07
1876,2.883949150600529e-07,9.431783354330037e-08
1877,3.717074434916867e-07,1.3915835950228939e-07
1878,3.291303301011794e-07,1.2984040154151444e-07
1879,4.0688107105779636e-07,9.347267848625052e-08
1880,3.3308623414995964e-07,1.257897821460574e-07
1881,3.444418723574927e-07,1.1225737495124122e-07
1882,3.3143817290692823e-07,1.024929332515967e-07
1883,2.5846097173598537e-07,9.352621788139004e-08
1884,2.48883964104607e-07,1.4457715735716192e-07
1885,2.894090300742391e-07,1.1988882420155278e-07
1886,2.7362688115317724e-07,1.0454611754084908e-07
1887,2.6899169824901037e-07,1.37107420528082e-07
1888,2.7581674544308044e-07,1.4266383630001656e-07
1889,2.3243657665261708e-07,1.384595265108146e-07
1890,2.1367300462316052e-07,1.4419650540276052e-07
1891,3.002257642492623e-07,1.3194635073432437e-07
1892,2.8772473115168395e-07,1.629813226600163e-07
1893,2.290930893877885e-07,1.2008912619876355e-07
1894,2.886104937260825e-07,1.2981170982584445e-07
1895,2.485687673470238e-07,1.4143743953809462e-07
1896,2.2821501488579088e-07,1.0437741337909756e-07
1897,2.20832447439534e-07,1.35179760718529e-07
1898,2.3595339371240698e-07,1.1146958911467664e-07
1899,2.067314284204258e-07,1.276870591482293e-07
1900,2.1958155116408307e-07,1.2666170334796334e-07
1901,2.358447801498187e-07,1.0618603596412868e-07
1902,1.915010727771005e-07,1.3012251542932063e-07
1903,2.538103558435978e-07,1.382456389364961e-07
1904,2.0531068400941876e-07,1.1931668097986403e-07
1905,2.3068592724939663e-07,1.6101567723580956e-07
1906,2.0010877221920964e-07,1.378641485416665e-07
1907,2.293708121214877e-07,1.2034253416004503e-07
1908,2.2494161555641767e-07,1.3850117852598487e-07
1909,2.2829081558484177e-07,1.1992143811312417e-07
1910,2.1269720207328646e-07,1.1169274927169681e-07
1911,2.2930812804133893e-07,1.0161914332229571e-07
1912,2.464056194639852e-07,1.2606798804881691e-07
1913,2.0257421340375004e-07,1.1825667201037504e-07
1914,1.767940318586625e-07,1.1920203490944914e-07
1915,1.9438256515513785e-07,9.306801729280778e-08
1916,2.5271162940043723e-07,8.46034566848175e-08
1917,2.631941811159777e-07,1.0527767813073297e-07
1918,2.0905204678456357e-07,1.389851576050205e-07
1919,1.8507775223497447e-07,1.2983066710603453e-07
1920,2.059647101759765e-07,1.0298235508798825e-07
1921,2.4838612944222405e-07,1.1964941393216577e-07
1922,2.1322233578757732e-07,1.3206503979290574e-07
1923,2.1656533988334559e-07,1.1996021953564195e-07
1924,2.1013347861753573e-07,1.1731378180002139e-07
1925,1.6497267552040284e-07,1.0008341888578798e-07
1926,1.9059896771977947e-07,8.136681373116517e-08
1927,2.542023196383525e-07,1.0926240179287561e-07
1928,1.7024801479692542e-07,1.0968999220040132e-07
1929,2.395187266301946e-07,1.0137770090068443e-07
1930,1.8171233762132033e-07,8.40288265635536e-08
1931,1.710803445575948e-07,1.0150767337790967e-07
1932,1.6110519140966062e-07,8.000461804158476e-08
