year,serait_VERB assez_ADV,serait_VERB cassé_ADJ
1800,7.168695219661458e-07,0.0
1801,6.333945634651172e-07,0.0
1802,5.102275508761522e-07,0.0
1803,6.163072043818829e-07,0.0
1804,1.035705508911633e-06,7.4155526164076946e-09
1805,5.5151826927613e-07,0.0
1806,7.953406679916952e-07,0.0
1807,9.451890718992217e-07,0.0
1808,6.322346166598436e-07,6.798221985349073e-09
1809,7.161126518440142e-07,9.036122072814123e-09
1810,7.160787731663731e-07,0.0
1811,6.718966005792026e-07,1.0028307073639553e-08
1812,9.28188455873169e-07,2.6672082320544632e-09
1813,1.0525214975132258e-06,8.627225156487839e-09
1814,1.1170703828611295e-06,0.0
1815,7.066725515869621e-07,2.697223555614414e-09
1816,8.436078360318788e-07,9.270415546325239e-09
1817,1.158313807536615e-06,0.0
1818,1.124167056332226e-06,1.1921177378582115e-09
1819,1.2183186299807858e-06,0.0
1820,1.254287099072826e-06,0.0
1821,1.5443090433109319e-06,7.88919063410276e-09
1822,1.524896219962102e-06,0.0
1823,8.884535418474115e-07,0.0
1824,1.1739031151591917e-06,1.6842225392110777e-09
1825,1.117410761253268e-06,8.805443041381977e-10
1826,1.0772164387162775e-06,0.0
1827,1.155846007350192e-06,1.013900075008678e-08
1828,1.3263147593534086e-06,1.8344602503717056e-09
1829,1.3331289210327668e-06,1.7146351893870815e-08
1830,1.4455017662839964e-06,0.0
1831,1.4297136203822447e-06,0.0
1832,1.4450007483901572e-06,4.058990921151917e-09
1833,1.439845050299482e-06,0.0
1834,1.3843109627487138e-06,1.8669061851994684e-09
1835,1.5163991520239506e-06,3.025235173481633e-09
1836,1.2722380233753938e-06,0.0
1837,1.4771602536711725e-06,1.3915781860163179e-09
1838,1.2952556289747008e-06,1.8936485712828244e-09
1839,1.2864314840044244e-06,6.9914751765765e-10
1840,1.370120003230113e-06,3.821813088222825e-09
1841,1.5422157275679638e-06,0.0
1842,1.5596716593790916e-06,0.0
1843,1.4855880863251514e-06,1.7720733769266417e-09
1844,1.501670340076089e-06,5.488561272137815e-10
1845,1.4620196679970832e-06,2.2320911785556063e-09
1846,1.392200374539243e-06,5.854501328173001e-10
1847,1.3305083257364458e-06,3.235934187273415e-09
1848,1.2767766293109162e-06,1.6090443422100975e-09
1849,1.3557893225879525e-06,0.0
1850,1.4216158206181717e-06,2.7155984128057753e-09
1851,1.3027865861658938e-06,0.0
1852,1.4818001545791049e-06,0.0
1853,1.5873395113885636e-06,1.1943863675867306e-09
1854,1.4298468613560544e-06,1.558699391779328e-09
1855,1.4105838772593415e-06,3.714855978387277e-09
1856,1.3336439224076457e-06,2.5885946719483854e-09
1857,1.3995286280987784e-06,4.881509085841174e-10
1858,1.2767600310326088e-06,1.9574704079872163e-09
