year,étant_VERB assez_ADV,etant_VERB assez_ADV
1800,4.27606380526413e-07,0.0
1801,4.809988922716002e-07,2.3811825844433088e-09
1802,4.856112809648039e-07,0.0
1803,3.8616715869466134e-07,0.0
1804,3.361717233474337e-07,9.887403784603066e-09
1805,3.9231713344634045e-07,2.842877711017877e-09
1806,3.5156364219801617e-07,1.729001475325731e-08
1807,5.636970854538959e-07,0.0
1808,5.076005891169189e-07,0.0
1809,4.4954705913369253e-07,4.518061036407062e-09
1810,4.282431973479106e-07,1.4040760110134443e-08
1811,4.211889006455749e-07,5.0141535368197765e-09
1812,4.40089365838503e-07,0.0
1813,3.278345559465379e-07,8.627225156487839e-09
1814,4.751482549636421e-07,3.1466771410748606e-09
1815,4.126752060074068e-07,2.697223555614414e-09
1816,3.314173682156252e-07,0.0
1817,3.876614869113837e-07,6.227493631882908e-09
1818,3.7551708942373807e-07,1.1921177378582115e-09
1819,4.1818242380031734e-07,7.24573512300708e-09
1820,3.097151477504667e-07,9.493184904840746e-09
1821,3.638889154444769e-07,3.94459531705138e-09
1822,4.5917320790067606e-07,1.0025615893027862e-08
1823,6.147031399450498e-07,7.906149512848515e-09
1824,4.513716476139962e-07,1.6842225392110777e-09
1825,4.3146670236637874e-07,1.7610886082763955e-09
1826,4.914855367132986e-07,8.807984341885344e-10
1827,4.092469225724926e-07,9.217273055917019e-10
1828,3.8890556197657133e-07,9.172301251858528e-10
1829,4.312307453346875e-07,4.286588028978855e-09
1830,5.354096970222599e-07,2.0873671680021744e-09
1831,3.741889429420553e-07,3.1182412207897414e-09
1832,4.275470359971223e-07,0.0
1833,4.645035005523823e-07,2.3167257001688313e-09
1834,3.351096609094384e-07,4.667265685043276e-09
1835,3.4714574326244474e-07,1.5126175867408165e-09
1836,3.676250344142318e-07,7.392825018825988e-09
1837,4.3765135160356294e-07,3.4789454650407947e-09
1838,4.2607092609614483e-07,3.1560809521380406e-09
1839,4.887041313850204e-07,6.9914751765765e-10
1840,3.465110580691544e-07,2.547875410652267e-09
1841,4.147674417254166e-07,1.2841097074556274e-09
1842,3.407798772059323e-07,6.708265054555795e-10
1843,3.9162819120974746e-07,2.3627644840651385e-09
1844,3.2327625376638025e-07,5.488561272137815e-10
1845,3.576926133064262e-07,1.1160455892778032e-09
1846,3.5829549460686394e-07,2.3418005312692003e-09
1847,3.0094187764007074e-07,0.0
1848,3.000867820901476e-07,8.045221711050488e-10
1849,3.737219174126949e-07,8.379414939696517e-10
1850,4.0598195027996553e-07,2.0366988096043315e-09
1851,4.088944081104273e-07,6.449438760824933e-10
1852,3.463610198650713e-07,6.510545436100301e-10
1853,4.502836645770003e-07,1.2541056637616066e-08
1854,4.177314281150757e-07,1.558699391779328e-09
1855,4.3304606833771686e-07,1.0613874223963649e-09
1856,4.286712567136419e-07,1.5531567698623405e-09
1857,4.002837385996827e-07,1.0739320099872884e-08
1858,4.330903209393e-07,0.0
1859,4.0126326439349214e-07,7.129042467468594e-09
1860,3.5061228231825226e-07,9.154367819341758e-10
1861,4.786703016179672e-07,1.886385547766878e-09
1862,4.215281137476268e-07,3.614389121331385e-09
1863,3.8708310512447497e-07,1.9978483867255648e-09
1864,4.1810028506006347e-07,5.2742009648554244e-09
1865,3.883146462158038e-07,4.7068443587150455e-09
1866,3.853565431199968e-07,2.432806400776144e-09
1867,3.9065133705662447e-07,4.85281148598915e-10
1868,4.4261270204515313e-07,1.4819622196071691e-09
1869,4.434235449934931e-07,9.767038289254515e-10
1870,3.985163914421719e-07,5.734048791339319e-10
1871,3.547473284015723e-07,0.0
1872,4.577835852614953e-07,6.047339295989218e-10
1873,5.21380968621088e-07,2.3944017879529156e-09
1874,4.988798423255503e-07,5.974609140757536e-10
1875,4.3426391016510024e-07,2.2886108008712824e-09
1876,4.830765760743816e-07,6.04601479992084e-10
1877,5.436453420770704e-07,1.1132668453761596e-08
1878,3.9254075545613887e-07,9.662541822219595e-09
1879,4.3070744482065493e-07,1.832797580370027e-09
1880,4.3256284243398113e-07,5.134277003548959e-09
1881,4.3438723196231876e-07,9.064259787194828e-09
1882,5.137957259648829e-07,7.320923423037584e-09
1883,4.834294031752506e-07,3.1596695260205365e-09
1884,4.5683742655455717e-07,5.281357573494461e-09
1885,4.685977046392509e-07,1.2891271383708158e-09
1886,4.2915533526866056e-07,4.517424601058195e-09
1887,5.190495357965119e-07,1.9586773869484375e-09
1888,5.180282300898398e-07,1.9021844099853524e-09
1889,4.5296937400962634e-07,6.265136742733546e-10
1890,4.653614382732485e-07,6.554386366985909e-09
1891,6.202116082931752e-07,1.912266012205066e-09
1892,5.666735205522855e-07,0.0
1893,5.277763079902797e-07,1.2316833108982905e-09
1894,5.696591642845306e-07,1.0082462864602348e-08
1895,5.507032483365037e-07,1.2037228991346183e-09
1896,5.277840955386637e-07,0.0
1897,5.197428549763572e-07,5.826713556089658e-10
1898,6.823976264058729e-07,3.3950129374460403e-09
1899,6.047170586498396e-07,4.9748205555033564e-09
1900,5.80878861455858e-07,2.595526460424935e-09
1901,5.460198053697241e-07,5.58873880507349e-09
1902,6.270432209021237e-07,1.9641135939885146e-09
1903,6.221054036359419e-07,2.7001101354784396e-09
1904,6.041078677299083e-07,5.912087708281888e-09
1905,5.723281901737209e-07,1.5482277126999122e-09
1906,6.137012178442092e-07,5.144184522798412e-10
1907,6.186840550981287e-07,8.228549397415463e-09
1908,5.441818871076975e-07,1.4734167219643268e-09
1909,6.722202101627772e-07,0.0
1910,5.467065875564003e-07,2.137660271017694e-09
1911,6.352526611408393e-07,2.6601870706244313e-09
1912,5.245886995908222e-07,1.0418842455450772e-09
1913,6.034802026988473e-07,1.5908969142053309e-09
1914,5.564994012274838e-07,2.0090231700464756e-09
1915,5.112850658406387e-07,4.712304657594757e-09
1916,4.4279471467234544e-07,0.0
1917,5.559977012126183e-07,6.5798546611262054e-09
1918,5.318192393133359e-07,5.743188147278033e-09
1919,4.99065379244712e-07,9.207848372660976e-10
1920,5.338423534340109e-07,3.786115865267448e-09
1921,5.671988105859782e-07,9.087297248022708e-09
1922,5.216200520408165e-07,3.688967686876765e-09
1923,4.713481018825405e-07,4.246379248229459e-09
1924,5.71098951240856e-07,6.445812328337297e-09
1925,5.38910740033316e-07,5.499088961968823e-09
1926,5.03805438256677e-07,4.458455493683289e-09
1927,5.563463219004916e-07,7.804457524684949e-09
1928,5.964393494650722e-07,2.2852082448565625e-09
1929,6.383452841873805e-07,1.1140406375176326e-09
1930,6.501730354102619e-07,9.453243299262226e-09
1931,5.965001719232532e-07,1.1405356659111021e-09
1932,5.523606319002283e-07,3.2878609834696704e-09
1933,5.804155307487235e-07,1.1470662197865522e-09
