year,seraient_VERB égaux_ADJ,seraient_VERB légaux_ADJ
1800,4.4018303668735825e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,6.046051481689574e-08,0.0
1804,7.4155526164076946e-09,0.0
1805,7.391481915419718e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,8.54086508184082e-08,0.0
1808,6.345007363961486e-08,0.0
1809,4.51806094758922e-08,0.0
1810,1.3806747745093162e-07,2.3401267590372754e-09
1811,4.512738271955641e-08,0.0
1812,1.0135391192989118e-07,0.0
1813,2.8757416004054903e-08,0.0
1814,5.349351184236184e-08,0.0
1815,1.2676950689183286e-07,0.0
1816,1.2515060632267705e-07,0.0
1817,5.7604317760251433e-08,0.0
1818,3.337929754820834e-08,0.0
1819,6.728182455617571e-08,0.0
1820,5.93324074316115e-08,0.0
1821,5.9168929311681495e-08,0.0
1822,6.015369535816717e-08,0.0
1823,5.731958552246397e-08,3.9530747564242574e-09
1824,5.4737231636181605e-08,0.0
1825,3.610231757988913e-08,0.0
1826,5.19671061738336e-08,0.0
1827,4.424290978022327e-08,0.0
1828,3.485474309172787e-08,1.8344602503717056e-09
1829,5.401101077495696e-08,8.57317605795771e-10
1830,6.575206867864836e-08,4.174734336004349e-09
1831,6.236482619215167e-08,0.0
1832,8.794479811058409e-08,0.0
1833,5.79181431703546e-08,0.0
1834,8.121041616959701e-08,0.0
1835,4.310960122211327e-08,0.0
1836,5.1749776019960336e-08,0.0
1837,7.792837664055696e-08,0.0
1838,9.846972659488529e-08,0.0
1839,5.5232654005976656e-08,0.0
1840,5.5416290223320175e-08,0.0
1841,6.805781538332667e-08,0.0
1842,6.708265232191479e-08,0.0
1843,5.729703644874462e-08,0.0
1844,3.732221642849254e-08,0.0
1845,8.147132746216812e-08,0.0
1846,3.1614305839866574e-08,0.0
1847,5.8786138623645456e-08,0.0
1848,1.0861049304367043e-07,0.0
1849,6.787325901314034e-08,0.0
1850,8.078905011643656e-08,0.0
1851,6.384944128967618e-08,0.0
1852,7.356916142953196e-08,0.0
1853,7.703791737867505e-08,0.0
1854,5.5593609715742787e-08,0.0
1855,4.776243400783642e-08,5.306937111981824e-10
1856,5.694908011832922e-08,0.0
1857,4.9791392342513063e-08,0.0
1858,7.38945047373818e-08,9.787352039936081e-10
1859,4.7357211485632433e-08,0.0
1860,4.668727626722102e-08,0.0
1861,4.527325359049428e-08,0.0
1862,3.7047488632424574e-08,0.0
1863,4.5950510951797696e-08,0.0
1864,5.4659899717535154e-08,0.0
1865,4.989254875908955e-08,0.0
1866,5.692767146570077e-08,0.0
1867,5.28956434209249e-08,0.0
1868,5.680855252876427e-08,0.0
1869,6.397409890723793e-08,0.0
1870,6.422134646300037e-08,0.0
1871,3.611200227737754e-08,0.0
1872,4.8378716144270584e-08,0.0
1873,6.045864608950069e-08,0.0
1874,2.8080663128093875e-08,5.974609140757536e-10
1875,5.721527074342703e-08,0.0
1876,6.227395488167531e-08,0.0
1877,3.030559980743419e-08,0.0
1878,5.012443438090486e-08,0.0
1879,5.9260454321474754e-08,0.0
1880,6.931274043608937e-08,0.0
1881,3.416528571165145e-08,0.0
1882,3.527354053289855e-08,0.0
1883,2.0853818227806187e-08,0.0
1884,3.8289840631478e-08,0.0
1885,3.158361394639542e-08,0.0
1886,3.549405036551434e-08,0.0
1887,5.092561039532484e-08,0.0
1888,4.2482117379449846e-08,0.0
1889,1.50363277384713e-08,0.0
1890,3.080561583601593e-08,0.0
1891,2.8683990294098294e-08,0.0
1892,3.13425623232888e-08,0.0
1893,4.002970754868329e-08,0.0
1894,4.348062176973144e-08,0.0
1895,5.236194766666813e-08,6.018614495673091e-10
1896,3.951009475144929e-08,0.0
1897,2.6220211779559577e-08,0.0
1898,5.771521927044887e-08,0.0
1899,2.9296165493519766e-08,0.0
1900,3.1665425836990835e-08,0.0
1901,4.806315345717849e-08,2.235495566438317e-09
1902,3.437198614619774e-08,9.820567692386817e-10
1903,3.9961630449170116e-08,5.400220270956879e-10
1904,4.1384613069794796e-08,5.374625189347171e-10
1905,4.438252787508645e-08,0.0
1906,3.0865106026567446e-08,2.572092316910357e-09
1907,3.3428481316377656e-08,0.0
1908,2.89771957540097e-08,0.0
1909,3.135560788791736e-08,3.850688656825696e-09
1910,4.9700602744451317e-08,1.6032452032632705e-09
1911,3.830669470517023e-08,1.0640748282497725e-09
1912,4.8968558985507116e-08,1.0418842455450772e-09
1913,3.553003224965323e-08,0.0
1914,5.558297289098846e-08,0.0
1915,2.3561524287174507e-08,0.0
1916,3.4061130804730055e-08,0.0
1917,3.180263163926611e-08,0.0
1918,3.331049214239101e-08,0.0
1919,3.038589824200244e-08,9.207848372660976e-10
1920,4.0132828615924154e-08,0.0
1921,2.9533714140939082e-08,0.0
1922,3.024953443286904e-08,0.0
1923,4.0340601970001444e-08,0.0
1924,3.0939897754933554e-08,0.0
1925,2.639562701745035e-08,1.0998177923937646e-09
1926,2.229227646921572e-08,0.0
1927,1.5608915049369898e-08,0.0
1928,3.6563331917705e-08,0.0
1929,2.785101571589621e-08,0.0
1930,2.7309368988426286e-08,0.0
1931,3.193499864551086e-08,0.0
1932,2.301502632917618e-08,0.0
1933,3.211785326584504e-08,1.1470662197865522e-09
1934,3.9539216345474415e-08,0.0
1935,2.393656828303392e-08,0.0
1936,3.516167268458048e-08,0.0
1937,3.777335422228134e-08,0.0
1938,3.1116513810047763e-08,0.0
1939,4.129393715857077e-08,0.0
1940,2.7893612752905028e-08,0.0
1941,1.4757512545315876e-08,0.0
1942,3.6410540360520827e-08,0.0
1943,2.6129116648121453e-08,0.0
1944,4.177142187700156e-08,0.0
1945,3.921307367704685e-08,0.0
1946,4.1763314584386535e-08,0.0
1947,4.7683485604466114e-08,1.1920870957027319e-09
1948,4.022598432129598e-08,1.0871887834440486e-09
1949,2.3560819073509265e-08,1.9634016634739737e-09
1950,4.1477910883713776e-08,2.1270722960764488e-09
1951,3.944718685033877e-08,0.0
1952,6.959570697517847e-08,1.0544803918932644e-09
1953,4.417269394707546e-08,1.0773827385790469e-09
1954,3.0294863506696856e-08,0.0
1955,4.6928040120519654e-08,9.385607846468247e-10
1956,2.616342520411763e-08,0.0
1957,1.9437083054185678e-08,1.7670075402875796e-09
1958,3.722509589465517e-08,0.0
1959,2.5577467255288866e-08,0.0
1960,3.8064584373387333e-08,0.0
1961,4.029932298976746e-08,0.0
1962,2.473363025501385e-08,0.0
1963,1.4871922360271128e-08,0.0
1964,3.285342842218597e-08,1.2167936658258327e-09
1965,3.0643441562006046e-08,1.0944086747954884e-09
1966,2.880318916709257e-08,0.0
1967,2.662381248796919e-08,0.0
1968,3.2787337289619245e-08,0.0
1969,3.40631842732364e-08,0.0
1970,2.851209579546321e-08,0.0
1971,3.853797991837382e-08,0.0
1972,2.7702792948502974e-08,0.0
1973,3.748978727458052e-08,5.513203782392395e-10
1974,3.3753430273009144e-08,5.625571675160757e-10
1975,3.4268879289811593e-08,0.0
1976,3.5423866506789636e-08,5.713526873840635e-10
1977,2.6445517775641747e-08,0.0
1978,2.673266052966028e-08,0.0
1979,2.5163485517509798e-08,2.3407893401383717e-09
1980,1.8760998088396263e-08,0.0
1981,2.277197808098208e-08,0.0
1982,2.110550845202397e-08,0.0
1983,2.3366668600033336e-08,0.0
1984,1.9136727757995686e-08,5.799008495621649e-10
1985,2.285912081845254e-08,3.0077789148208467e-09
1986,2.6375735373562748e-08,0.0
1987,1.649920555735207e-08,1.8332451112712533e-09
1988,3.1781734577407406e-08,2.99827696004229e-09
1989,3.128229764115531e-08,5.488122178931576e-10
1990,2.2884334427430986e-08,5.44865097484859e-10
1991,2.3445860364290638e-08,1.7584396161396398e-09
1992,2.5345743281945943e-08,1.1019888335184191e-09
1993,2.2710750613441633e-08,0.0
1994,1.8462243289718572e-08,5.274926606624319e-10
1995,2.4943274112843028e-08,0.0
1996,2.4021414191111035e-08,0.0
1997,2.4453962410575514e-08,0.0
1998,3.242328006081152e-08,0.0
1999,2.376504681933511e-08,9.140402323914998e-10
2000,2.1206551181762734e-08,0.0
2001,2.4096664219541708e-08,8.762423564512289e-10
2002,2.234422957769766e-08,4.38122149670761e-10
2003,3.1251921939201566e-08,0.0
2004,2.8190664025373735e-08,0.0
2005,2.522099862289906e-08,4.5037495954858286e-10
2006,2.5530917824312382e-08,4.1178899179428186e-10
2007,2.0371844655642235e-08,0.0
2008,3.533675041467177e-08,4.257439678578834e-10
2009,2.4794601927169424e-08,0.0
2010,2.5036102968556406e-08,0.0
2011,2.4473420623394304e-08,3.059177577924288e-09
2012,2.008509092377153e-08,3.404252713057332e-10
