year,grand_ADJ atout_NOUN,grand_ADJ matou_NOUN
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,1.1866481131050932e-09,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,2.0873671680021744e-09
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,6.312161904276081e-10
1839,6.9914751765765e-10,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,4.706844358715045e-10,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,2.4699371437009177e-09
1869,0.0,4.883519144627257e-10
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,1.2835692508872398e-09,0.0
1881,0.0,2.7890030285249168e-09
1882,0.0,0.0
1883,1.2638677882037541e-09,0.0
1884,0.0,6.601696966868076e-10
1885,3.86738152613475e-09,0.0
1886,0.0,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,6.268512375839919e-10,0.0
1893,0.0,6.158416554491453e-10
1894,4.411077725308132e-09,0.0
1895,0.0,0.0
1896,2.358811590497112e-09,0.0
1897,1.7480140668268973e-09,0.0
1898,5.6583548957434e-10,0.0
1899,4.9748205555033564e-09,0.0
1900,5.191053142894475e-10,0.0
1901,0.0,2.235495566438317e-09
1902,6.38336894454028e-09,4.419255628107521e-09
1903,4.320176216765503e-09,0.0
1904,2.6873125946735854e-09,0.0
1905,2.580379465655369e-09,0.0
1906,5.144184522798412e-10,1.0288369045596824e-09
1907,0.0,1.028568674676933e-09
1908,0.0,9.822778146428846e-10
1909,5.500983557560346e-10,0.0
1910,3.206490406526541e-09,0.0
1911,4.25629931299909e-09,0.0
1912,2.6047106693738442e-09,5.209421227725386e-10
1913,4.772690687104841e-09,5.30298971401777e-10
1914,2.5447626228469744e-08,0.0
1915,5.301343009023185e-08,0.0
1916,9.888715624128963e-09,0.0
1917,6.57985488317081e-09,2.1932848870420685e-09
1918,2.8715941624568586e-08,4.594550517822427e-09
1919,9.207848705727883e-09,0.0
1920,5.300562211374427e-09,0.0
1921,7.572747762196741e-09,0.0
1922,3.6889677978990676e-09,0.0
1923,7.431163684401554e-09,3.1847844361720945e-09
1924,9.02413699321869e-09,2.578324886925998e-09
1925,9.898360353588487e-09,1.0998177923937646e-09
1926,1.0031524944054127e-08,0.0
1927,2.2298449753321847e-09,5.574612327308159e-09
1928,4.570416489713125e-09,1.1426041224282812e-09
1929,6.684243825105796e-09,4.4561625500705304e-09
1930,1.1553964007759987e-08,3.1510811737689437e-09
1931,1.1405356659111021e-08,0.0
1932,1.3151444377967891e-08,0.0
1933,6.882397318719313e-09,0.0
1934,1.3179738189705859e-08,2.3963160344919743e-09
1935,1.196828414151696e-08,0.0
1936,1.4549657478823974e-08,3.6374143697059935e-09
1937,1.7627565185307503e-08,0.0
1938,1.5558256905023882e-08,1.2965214457594243e-09
1939,2.7529290846928234e-08,0.0
1940,1.0143131667916805e-08,2.5357829169792012e-09
1941,5.9030051957620344e-09,0.0
1942,0.0,0.0
1943,5.806470415592457e-09,0.0
1944,6.4263723231761105e-09,0.0
1945,1.3071024262956144e-08,0.0
1946,1.5313215584455975e-08,1.3921104269343232e-09
1947,1.3112957830685446e-08,0.0
1948,1.7395020535104777e-08,2.174377566888097e-09
1949,2.4542520904446974e-08,3.9268033269479474e-09
1950,1.4889506516624351e-08,0.0
1951,7.462981344019681e-09,0.0
1952,1.5817205323287453e-08,3.1634410646574906e-09
1953,1.4005975934594517e-08,0.0
1954,1.07497895029951e-08,0.0
1955,1.783265446420046e-08,9.385607846468247e-10
1956,2.3547082506070183e-08,0.0
1957,3.003912851795576e-08,1.7670075402875796e-09
1958,2.0680609225109947e-08,1.6544486891589827e-09
1959,2.7902691712711203e-08,0.0
1960,2.0070416439921246e-08,6.2287499602575735e-09
1961,1.667558180429296e-08,0.0
1962,3.99543260698465e-08,6.341956404476434e-10
1963,2.7157422977097667e-08,3.2330267352165265e-09
1964,3.224503331011874e-08,1.8251904432275978e-09
1965,2.4624196015565758e-08,1.0944086747954884e-09
1966,2.547974453648294e-08,2.769537488234164e-09
1967,1.5777073869571723e-08,1.9721342336964653e-09
1968,1.976222918642634e-08,4.4914158503495116e-10
1969,2.2254612375149918e-08,3.6334062425424918e-09
1970,2.1614008360870685e-08,4.5987250119061684e-10
1971,1.798439086542203e-08,0.0
1972,1.539044092169206e-08,2.565073486948677e-09
1973,2.811733956775697e-08,5.513203782392395e-10
1974,2.6440186928766707e-08,1.6876715580593782e-09
1975,2.6843956391076063e-08,1.7134440533084216e-09
1976,4.913633233627479e-08,0.0
1977,4.113747209544272e-08,5.876781838942691e-10
1978,3.445542873237173e-08,5.940591352171509e-10
1979,2.3407892513205297e-08,5.851973350345929e-10
1980,3.581644847372445e-08,0.0
1981,4.8074177527723805e-08,0.0
1982,3.9107263205551135e-08,6.207502289967692e-10
1983,3.536576898000021e-08,6.315316047889041e-10
1984,4.291266364475632e-08,4.639206796497319e-09
1985,5.2936911743017845e-08,6.015558051686298e-10
1986,4.3160294893596074e-08,5.395036861699509e-09
1987,4.522004459772688e-08,7.944062296871834e-09
1988,5.217001941559829e-08,5.996553809062277e-10
1989,4.116091645300912e-08,2.7440609784434855e-09
1990,4.4678937882736136e-08,1.6345953479657283e-09
1991,4.9822453718206816e-08,1.1722930404189924e-09
1992,4.1324582866764104e-08,1.1019888335184191e-09
1993,4.3205819366676224e-08,0.0
1994,4.747434090290881e-08,5.274926606624319e-10
1995,3.958389171998533e-08,1.0844901643380922e-09
1996,5.017806614660003e-08,5.338092190498855e-10
1997,4.7469455921600456e-08,4.79489448146353e-10
1998,4.4343600791307836e-08,9.536258449571733e-10
1999,4.067479153491149e-08,4.570201161957499e-10
2000,5.522539225921719e-08,0.0
2001,4.906957329353645e-08,1.3143635069212678e-09
2002,5.126029023472256e-08,8.76244299341522e-10
2003,5.792022861328405e-08,4.1669229178253886e-10
2004,6.210755998381501e-08,2.2023955992267474e-09
2005,5.6747243348809207e-08,9.007499190971657e-10
2006,5.68268809786332e-08,1.2353669198716943e-09
2007,6.031663701833168e-08,3.595031605740928e-09
2008,6.513882766512324e-08,2.1287198670449925e-09
2009,6.580105349485166e-08,0.0
2010,6.235406857513226e-08,2.3618964561933353e-09
2011,1.1204237893025493e-07,6.883149605840799e-09
2012,8.17020620047515e-08,4.085103366691101e-09
2013,7.558529091511446e-08,3.904775169871755e-09
2014,7.059351503357902e-08,4.7639794331644225e-09
2015,8.134831830375333e-08,2.881548111233201e-09
2016,7.726098516513957e-08,4.556948152156792e-09
2017,7.446209338013432e-08,6.037467414898856e-09
2018,8.131620177209697e-08,4.130346731301415e-09
2019,8.341729795802166e-08,4.3366790158927415e-09
