year,quand_CONJ il_PRON,quand_CONJ mille_DET
1800,9.834003049036255e-05,3.144164484325529e-08
1801,0.00010191699402639642,4.286128540975653e-08
1802,9.477924595557852e-05,2.9091921760482364e-08
1803,9.13753447093768e-05,4.485780102925219e-08
1804,0.00010536758691159775,8.651478111687538e-08
1805,9.455411509406986e-05,3.4114532532214525e-08
1806,8.400929709750926e-05,7.204172902675055e-08
1807,8.596096267865505e-05,5.693910232196231e-09
1808,9.253512962459354e-05,3.172503681980743e-08
1809,8.331078697665362e-05,6.551188480585779e-08
1810,9.353720997751225e-05,4.9142661495693574e-08
1811,8.552892177249305e-05,8.022645658911642e-08
1812,8.319822336488869e-05,8.801787387824334e-08
1813,9.184831196762389e-05,4.3136123117903935e-08
1814,8.149893710651668e-05,7.552025138579666e-08
1815,8.165844337781891e-05,3.50639068891212e-08
1816,9.092887103179237e-05,3.476405829871965e-08
1817,9.903427690005628e-05,1.058673948506339e-07
1818,9.96824983303668e-05,4.053200397535761e-08
1819,0.0001014837625916698,4.0369094733705424e-08
1820,0.00010171354279009392,4.2719330295426516e-08
1821,0.00010798428138514282,4.6348993976153e-08
1822,0.00010296006712451344,3.60922172149003e-08
1823,0.00010001279406424146,4.842516698744248e-08
1824,0.00010774476777442032,2.6105448469593284e-08
1825,0.00010946222027996555,4.490775928900348e-08
1826,0.00010359863063058583,3.699353356978463e-08
1827,9.576285901857773e-05,1.1060727445055818e-08
1828,9.40509426072822e-05,1.0089530988466322e-08
1829,9.95148529909784e-05,2.6576846057224657e-08
1830,9.774096906767227e-05,3.131050729798801e-08
1831,9.524356210022233e-05,7.639691013139327e-08
1832,9.754567054187646e-05,4.0589908989474566e-08
1833,9.382854750583647e-05,2.0850531967653296e-08
1834,0.00010122458843397908,4.293884403594461e-08
1835,0.00010848493366211187,5.3697924329298985e-08
1836,0.00011196769810339902,6.183089923395002e-08
1837,0.00010037383890448837,4.592207847320395e-08
1838,0.00010289139845554018,2.0830134506155673e-08
1839,9.442616374144563e-05,3.5656523511562455e-08
1840,0.00010309086519555422,5.032053884690413e-08
1841,9.833070362219587e-05,2.632424944692957e-08
1842,9.669695555203361e-05,3.957876248961156e-08
1843,9.982738629332744e-05,4.7255289958858526e-08
1844,0.0001066482373062172,2.360081419183757e-08
1845,0.00010322249818273121,2.8459162582095132e-08
1846,0.00010066639515571296,4.3908759961297505e-08
1847,9.348559706268134e-05,2.534815202182017e-08
1848,9.268578378396342e-05,2.9767320053331048e-08
1849,8.987676483229734e-05,3.016589467108588e-08
1850,9.654699169914238e-05,1.9009188889640427e-08
1851,9.561873321217718e-05,1.5478653248024443e-08
1852,9.855598455033032e-05,2.278690880430645e-08
1853,0.00010398864833405241,2.269334142823709e-08
1854,0.00010748478871391853,1.9743524592996664e-08
1855,0.00010697299057937926,2.2819829581521844e-08
1856,0.0001085356307157781,2.485050742961903e-08
1857,0.00010584332449070644,2.587199809944707e-08
1858,0.00010597891559882555,2.2510910357986802e-08
1859,0.0001092373013307224,2.800695364513217e-08
