year,tout_DET air_NOUN,tout_DET pair_NOUN
1800,8.803660733747165e-08,5.659496205012715e-08
1801,1.0239084957675004e-07,0.0
1802,8.056224487518193e-08,3.1329761895904085e-08
1803,4.6808139586573816e-08,1.9503391568420625e-08
1804,1.5819846055364906e-07,7.4155526164076946e-09
1805,1.0802935435094696e-07,8.528632911009026e-09
1806,4.610670600868616e-08,2.881669214360727e-08
1807,3.4163460504998966e-08,0.0
1808,8.837688625362716e-08,0.0
1809,7.680704072754452e-08,4.518061036407062e-09
1810,1.7316938283329364e-07,1.4040760554223652e-08
1811,2.0056613259100686e-08,7.521229861140455e-09
1812,9.601949368942542e-08,1.600324983641599e-08
1813,5.176335093892703e-08,5.751483289628823e-09
1814,1.6048053197437184e-07,9.440031423224582e-09
1815,5.933891955578474e-08,1.3486117556027466e-08
1816,8.806894591373293e-08,6.257530493769536e-08
1817,6.538868291272593e-08,4.0478709273372715e-08
1818,9.656153565629211e-08,2.3842354535119625e-08
1819,5.693077387292078e-08,7.970308413263183e-08
1820,8.899861114741725e-08,2.4919611263385377e-08
1821,8.185035138552621e-08,1.1833785840131839e-08
1822,5.213320264374488e-08,2.4061478143266868e-08
1823,5.040170203418626e-08,2.2730179738417178e-08
1824,6.147412268120434e-08,2.4421226818560626e-08
1825,1.0126259830656181e-07,4.402721520690989e-09
1826,5.549030035467695e-08,1.3211976290783412e-08
1827,7.189472972513045e-08,3.502563750146237e-08
1828,4.769596717579816e-08,2.935136311776887e-08
1829,1.243110556714555e-07,2.829148049166008e-08
1830,3.965997530386289e-08,3.652892499594884e-08
1831,3.897801348351493e-08,8.575163601420854e-08
1832,4.19429042608499e-08,1.2447571995366502e-07
1833,3.243415958031903e-08,2.6642345329896955e-08
1834,2.42697808516823e-08,3.3604310667456616e-08
1835,5.7479468296151026e-08,4.159698363537245e-08
1836,3.8980349170714135e-08,6.720749901045764e-09
1837,6.192522938874845e-08,4.313892443263967e-08
1838,3.913540558286854e-08,2.398621568033832e-08
1839,4.6842884238174065e-08,5.453350704343052e-08
1840,2.7389661649834807e-08,1.0191501642609069e-08
1841,3.5955071808757566e-08,1.7977535904378783e-08
1842,3.6224630406422875e-08,2.817471322913434e-08
1843,6.852016487535195e-08,2.3036952789823317e-08
1844,4.9945909186277504e-08,2.689394951183033e-08
1845,3.0691253649628436e-08,1.5624637861311186e-08
1846,3.0443406462410394e-08,1.3465353276842507e-08
1847,1.9954927488186058e-08,1.240441438454809e-08
1848,2.735375348450475e-08,2.6549231146866248e-08
1849,2.0110596077316245e-08,1.5920888385423382e-08
1850,2.308258650884909e-08,6.1100964288129944e-09
1851,2.5152811833351052e-08,7.094382636907426e-09
1852,3.971432893656868e-08,5.208436570924846e-09
1853,4.001194353620008e-08,2.9859659189668264e-09
1854,4.1565314301550416e-08,6.234797567117312e-09
1855,5.890700194299825e-08,9.021793090369101e-09
1856,4.607698289582629e-08,1.3978410817738762e-08
1857,6.053071155420753e-08,7.81041464836818e-09
1858,3.6213203102875013e-08,2.4468380099840203e-09
1859,4.8884864156661934e-08,6.110608019582742e-09
1860,3.890606170564581e-08,1.4189269981201846e-08
1861,2.405141441563785e-08,3.3011745559363703e-09
1862,2.6656119089807362e-08,1.0843167086438399e-08
1863,3.4962344408473456e-08,2.996772541230541e-08
1864,4.7947280257254477e-08,4.1714132370529455e-08
1865,3.765475320438583e-08,9.413688717430091e-09
1866,4.427707916976331e-08,5.352174314854352e-09
1867,2.426405742994575e-08,1.2132028714972876e-08
1868,1.877152078222366e-08,7.409810987013543e-09
1869,3.7114745499167157e-08,5.518376444690887e-08
1870,2.9243648835830527e-08,2.1789384518910992e-08
1871,1.0621176826930423e-08,1.0621177271019633e-09
1872,4.354084193192165e-08,1.5723082169571967e-08
1873,3.3521626696675355e-08,9.577607318345116e-09
1874,3.10679680870507e-08,6.5720701658555924e-09
1875,1.4875970122396609e-08,1.0870901234749653e-08
1876,4.0508298493335815e-08,2.9625472297567512e-08
1877,2.4120783148617875e-08,1.9791411065561704e-08
1878,1.811726657585666e-08,1.7513356931342372e-08
1879,4.887460258728993e-08,4.276527798552365e-09
1880,2.5671384795700192e-08,5.134277225593564e-09
1881,2.9284531355422416e-08,4.880755410940907e-09
1882,2.5956001570293097e-08,2.5290463723237622e-08
1883,2.654122283063387e-08,1.8326082984465586e-08
1884,3.4328825115892414e-08,9.902545450302114e-09
1885,4.447488510805897e-08,9.668453759825724e-09
1886,1.4842967244188543e-08,2.1296431174100405e-08
1887,2.285123695822122e-08,5.6801643166792815e-08
