year,achetant_VERB en_ADP,achetant_VERB sans_ADP
1800,1.5720821977538435e-08,0.0
1801,7.143547975374531e-09,0.0
1802,0.0,0.0
1803,5.851017448321727e-09,1.950339267864365e-08
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,2.881669125542885e-09
1807,1.9928686256776018e-08,0.0
1808,2.2660739062985158e-08,0.0
1809,2.710836710662079e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,0.0,0.0
1812,1.600324850414836e-08,0.0
1813,4.601186631703058e-08,0.0
1814,0.0,2.2026739543434815e-08
1815,1.3486118000116676e-08,0.0
1816,1.1588019432906549e-08,2.3176038865813098e-09
1817,0.0,4.670620334934483e-09
1818,1.5497530370112145e-08,4.768470951432846e-09
1819,3.1053151161586356e-09,6.210630232317271e-09
1820,1.1866481131050932e-09,1.1866481131050932e-09
1821,8.875339574387908e-09,3.94459531705138e-09
1822,4.010246357211145e-09,3.0076847679083585e-09
1823,9.882686891060644e-10,4.941343334508019e-09
1824,1.8526447931321854e-08,0.0
1825,1.4088708866211164e-08,4.4027217427355936e-09
1826,1.4092774947016551e-08,7.0463874735082754e-09
1827,2.7651818612639545e-09,1.2904182611350734e-08
1828,6.420610709767516e-09,0.0
1829,2.914879893012312e-08,0.0
1830,5.218417697960831e-09,0.0
1831,9.354723218280014e-09,4.677361609140007e-09
1832,8.117981842303834e-09,0.0
1833,5.791814139399776e-09,8.108539617524002e-09
1834,1.4001796166951408e-08,7.467624740797874e-09
1835,7.563087933704082e-10,6.806779140333674e-09
1836,1.4113575197427508e-08,0.0
1837,2.7831563720326358e-09,6.957891152126194e-09
1838,6.312161904276081e-09,6.312161904276081e-10
1839,2.9364196407755117e-08,2.0974426639952526e-09
1840,2.3567848783656586e-08,3.1848443882154243e-09
1841,1.0272878103734229e-08,9.630822361827995e-09
1842,2.4820581145945653e-08,0.0
1843,1.5357969118667825e-08,2.3627644285539873e-09
1844,2.030767731753258e-08,0.0
1845,1.8414752389617206e-08,7.812318791877715e-09
1846,3.5127008857216424e-08,5.269050973311096e-09
1847,2.8584085320915165e-08,4.853901280910122e-09
1848,2.735375304041554e-08,2.413566457803995e-09
1849,1.256912263158938e-08,1.9272654583346593e-08
1850,1.1541293254424545e-08,1.3577992064028876e-08
1851,3.9341575330809064e-08,1.0319102017319892e-08
1852,3.320378283433456e-08,1.9531636308300904e-09
1853,1.3735443005202796e-08,2.9859659189668264e-09
1854,9.352196350675968e-09,1.1950028522278444e-08
1855,4.2455496895854594e-09,1.0613874223963649e-09
1856,3.572260709461261e-08,5.177189232874468e-10
1857,2.147863942258965e-08,1.122747050885664e-08
1858,1.4191660291373864e-08,4.404308473482388e-09
1859,1.323965115318515e-08,1.4258085379026397e-08
1860,8.238931314963338e-09,1.6477862629926676e-08
1861,2.0750240636857598e-08,5.187560159214399e-09
1862,1.626475137905814e-08,4.517986429419807e-09
1863,1.897955925755923e-08,8.990317823531768e-09
1864,2.4932585773740357e-08,7.671564716815737e-09
1865,1.929806248135435e-08,9.41368871743009e-10
1866,2.578774882522339e-08,4.865612801552288e-09
1867,2.7661025470138156e-08,4.367530337390235e-09
1868,2.5687345583946808e-08,3.457911734727759e-09
1869,2.539429955206174e-08,4.395167341186834e-09
1870,1.9495766778732104e-08,5.160643912205387e-09
1871,1.805600113868877e-08,1.0621177271019633e-09
1872,2.4189358072135292e-08,3.0236697590169115e-09
1873,1.616221290134945e-08,4.788803575905831e-09
1874,2.0911132381229436e-08,4.779687312606029e-09
1875,1.94531928343622e-08,8.010138330405425e-09
1876,1.269663130187837e-08,3.627608879952504e-09
1877,3.7727378554563984e-08,4.9478527941460015e-09
1878,9.662541877730746e-09,6.6429977074733415e-09
1879,1.588424503040642e-08,2.443730107160036e-09
1880,1.5402831232691483e-08,5.776061406947974e-09
1881,1.1853263259808955e-08,1.045876096839038e-08
1882,2.462492565413754e-08,7.320923423037584e-09
1883,1.9589950994713945e-08,1.3902545781263598e-08
1884,2.442627788923346e-08,3.9610181801208455e-09
1885,8.379326621454908e-09,1.933690763067375e-09
1886,2.0005737511041843e-08,8.38950331427668e-09
1887,1.0446279397058333e-08,2.6115698492645834e-09
1888,1.1413106904001324e-08,3.1703073499755874e-09
1889,2.0048437021635834e-08,6.265136742733546e-10
1890,2.4906668727453507e-08,3.9326319978272295e-09
1891,1.9760081571007504e-08,3.824531802365527e-09
1892,1.3163876211308434e-08,2.5074049503359674e-09
1893,2.894455702895371e-08,1.2316833108982905e-09
1894,2.6466464575491955e-08,2.520615716150587e-09
1895,2.166701307260155e-08,9.027921521465032e-09
1896,2.1229303870384797e-08,5.89702897624278e-10
1897,1.981082675683865e-08,1.7480140668268973e-09
1898,2.2067583316243145e-08,7.355861253444118e-09
1899,1.1607914629507832e-08,5.527578395003729e-09
1900,3.114631752509922e-08,4.15284251431558e-09
1901,3.576792906301307e-08,6.706486921359556e-09
1902,2.356936334990678e-08,9.820567692386817e-10
1903,3.4021385708626894e-08,1.0800440541913758e-09
1904,4.192207647690793e-08,6.987012746151322e-09
1905,3.4577084306874895e-08,4.64468330463319e-09
1906,1.6975809202790515e-08,3.600929110447737e-09
1907,2.982849167665336e-08,1.5428529565042481e-09
1908,2.603036119985802e-08,3.437972351250096e-09
1909,2.585462333115629e-08,2.2003934230241384e-09
1910,2.6720753498743477e-08,5.878565634276356e-09
1911,2.4473720827700163e-08,9.576673676292558e-09
1912,2.8651816363911564e-08,6.251305251225858e-09
1913,2.9166443482608884e-08,4.242391771214216e-09
1914,2.5447626228469744e-08,1.3393487430235496e-09
1915,1.6493066468115103e-08,0.0
1916,2.8567400889301098e-08,0.0
1917,2.52227767560953e-08,2.1932848870420685e-09
1918,3.216185273657857e-08,0.0
1919,3.4069038756801007e-08,5.524709134618888e-09
1920,3.256059599721084e-08,6.057785384427916e-09
1921,2.4232791773215467e-08,7.572747762196741e-09
1922,1.992042591991705e-08,1.623145884366295e-08
1923,3.078624999375279e-08,1.1677542488541803e-08
1924,1.933743654092268e-08,3.867487219366694e-09
1925,1.9796720707176974e-08,5.499089184013428e-09
1926,3.3438414370756675e-08,2.229227691330493e-09
1927,4.9056588125040435e-08,2.2298449753321847e-09
1928,2.6279895593006586e-08,2.2852082448565625e-09
1929,2.33948540540041e-08,2.2280812750352652e-09
