year,auraient_VERB eu_VERB,auraient_VERB su_VERB
1800,7.48311151710368e-07,1.2576657937302116e-08
1801,5.357661052585172e-07,2.1430643926123594e-08
1802,7.541520972154103e-07,4.0281122437590966e-08
1803,8.327948535225005e-07,5.070882025393075e-08
1804,1.1815448033303255e-06,1.0628959046243835e-07
1805,8.69920597779128e-07,8.528632911009026e-09
1806,8.78909077073331e-07,7.204172902675055e-08
1807,1.412089773111802e-06,1.4234775136401367e-08
1808,1.0355958011132316e-06,4.758755522971114e-08
1809,1.04819014268287e-06,4.292158095609011e-08
1810,1.4742798839506577e-06,8.424456154898508e-08
1811,1.3262435913929949e-06,4.763445815569867e-08
1812,1.0028702490672003e-06,2.6672083208723052e-08
1813,1.1761783298425144e-06,2.8757416004054903e-08
1814,1.0037899755843682e-06,5.349351184236184e-08
1815,1.2245394600540749e-06,5.3944472000466703e-08
1816,1.0753682317954372e-06,4.6352077731626196e-08
1817,1.2813068224204471e-06,4.3592454090912724e-08
1818,1.3494773156708106e-06,5.2453181353939726e-08
1819,1.538166088721482e-06,6.107119787657211e-08
1820,1.7253863688893034e-06,5.102586797534059e-08
1821,1.5640320043530664e-06,3.747365440176509e-08
1822,1.4025836208020337e-06,5.1130641054442094e-08
1823,1.6434908047813224e-06,4.5460360809101985e-08
1824,1.5065370462252758e-06,6.568468080558887e-08
1825,1.463464627704525e-06,4.402721387464226e-08
1826,1.4039926554687554e-06,9.248383747717526e-08
1827,1.944844598256168e-06,5.991227425283796e-08
1828,2.1995178940414917e-06,6.053718948351161e-08
1829,1.9949779925809707e-06,6.515613648616636e-08
1830,1.8441888869347167e-06,3.861629238599562e-08
1831,1.8023433767666575e-06,7.327867024287116e-08
1832,1.692599198577227e-06,5.547287429408243e-08
1833,1.813996277633123e-06,5.6759780875381693e-08
1834,1.6923504517762922e-06,6.16079063320285e-08
1835,1.8121158973372076e-06,5.445423312266939e-08
1836,1.6143242191901663e-06,4.166864897570122e-08
1837,1.6128391280290089e-06,5.775049416456568e-08
1838,1.8463073274688213e-06,6.501526428337456e-08
1839,1.6800514686110546e-06,6.85164565084051e-08
1840,1.8351073549638386e-06,5.477932418784803e-08
1841,1.968540118468809e-06,8.988767774553708e-08
1842,1.7421364191250177e-06,7.513256861102491e-08
1843,1.9073415842285613e-06,6.14318764746713e-08
1844,1.7267013845412293e-06,6.092302839988406e-08
1845,1.829198708946933e-06,7.92392356174787e-08
1846,1.8236771666124696e-06,4.5665110803838616e-08
1847,1.9458750557532767e-06,5.770749211819748e-08
1848,1.955793322849786e-06,1.3274615184855065e-07
1849,2.066363776975777e-06,3.5193544078993e-08
1850,2.0027537175337784e-06,5.838536765168101e-08
1851,1.917418103403179e-06,7.352360142931502e-08
1852,1.759149427016382e-06,6.901178295493082e-08
1853,1.6834875395943527e-06,6.389966955566706e-08
1854,1.7436649386581848e-06,8.676759932768618e-08
1855,1.777823968041048e-06,9.605555817415734e-08
1856,1.7705987147564883e-06,6.523258377910679e-08
1857,1.7182911733470974e-06,6.785297301803439e-08
1858,1.7034885786415543e-06,6.068158597827278e-08
1859,1.709951789052866e-06,7.179964711667708e-08
1860,1.7178170992337982e-06,6.820003761731641e-08
1861,1.7519805624033324e-06,4.715963797252698e-08
1862,1.661715373302286e-06,9.216692120617154e-08
1863,1.6871829302544938e-06,6.642845562510047e-08
1864,1.559724978505983e-06,8.007195617665275e-08
1865,1.7796578504203353e-06,7.248540612181387e-08
1866,1.8786131477099843e-06,5.692767146570077e-08
1867,1.621809587959433e-06,8.298307818677131e-08
1868,1.5975552969393902e-06,9.731552097491658e-08
1869,1.7595319832253153e-06,6.202069613436834e-08
1870,1.6949848031799775e-06,5.734048613703635e-08
1871,2.039266064457479e-06,1.5931766483845422e-07
1872,1.8535095023253234e-06,8.768641635015229e-08
1873,1.7119972426371532e-06,7.781805777540285e-08
1874,1.5808815305717872e-06,6.811054475974743e-08
1875,1.695288460723532e-06,5.664312041631092e-08
1876,1.7557626961206552e-06,6.469235813710839e-08
1877,1.4967254173825495e-06,8.906135207098487e-08
1878,1.7012113175951527e-06,8.152769481739597e-08
1879,1.6800644289105549e-06,9.347267848625052e-08
1880,1.5434919760082266e-06,5.0700986520269e-08
1881,1.551382979414484e-06,5.5780059682319916e-08
1882,1.6139308627316495e-06,7.720246486542237e-08
1883,1.6815761227917392e-06,6.951272979449641e-08
1884,1.543476741971972e-06,7.459917839014452e-08
1885,1.6081861531347386e-06,4.7697703564608673e-08
1886,1.5669010053898091e-06,5.743582676132064e-08
1887,1.5924047147564124e-06,7.834709236931303e-08
1888,1.575008695908764e-06,8.496423475889969e-08
1889,1.632068119761243e-06,6.828999232766364e-08
1890,1.5750190414109966e-06,6.095579152542996e-08
1891,1.5553097227893886e-06,7.266611135037238e-08
1892,1.5896947616056423e-06,6.581937839200691e-08
1893,1.6492239183207857e-06,5.1114856347567184e-08
1894,1.5564802424705704e-06,7.120739553556632e-08
1895,1.6316463415932958e-06,5.416752912879019e-08
1896,1.722522142699745e-06,5.307326134129653e-08
1897,1.5644725408492377e-06,6.5259193604561e-08
1898,1.5639692492186441e-06,6.676858532728147e-08
1899,1.525611651231884e-06,4.532614283903058e-08
1900,1.508000991634617e-06,5.2429637520390315e-08
1901,1.604526914888993e-06,5.86817598957623e-08
1902,1.2639070519071538e-06,5.057592389334786e-08
1903,1.3921768413638347e-06,5.616229259430838e-08
1904,1.3108710845699534e-06,5.750849041419315e-08
1905,1.4522375977321644e-06,5.522012003211785e-08
1906,1.4748377452633576e-06,4.218231453023691e-08
1907,1.5119959471121547e-06,6.325697654574469e-08
1908,1.4518066109303618e-06,4.0273391732625896e-08
1909,1.4011004623171175e-06,4.620826032919467e-08
1910,1.5353745084212278e-06,4.80973554317643e-08
1911,1.3694642575501348e-06,5.7992078694724114e-08
1912,1.2862061566920602e-06,6.772247473918469e-08
1913,1.4238527228371822e-06,4.454511426388308e-08
1914,1.4418088767342851e-06,4.218948390644073e-08
1915,1.6987859225991997e-06,5.772573175022444e-08
1916,1.42946885262063e-06,9.668966782783173e-08
1917,1.511173309154401e-06,8.005489604556715e-08
1918,1.5230934877763502e-06,6.432370724951397e-08
1919,1.5524432228630758e-06,5.340552178267899e-08
1920,1.4288801821749075e-06,7.117898093156327e-08
1921,1.3691527556147776e-06,8.102839643697735e-08
1922,1.29335205656389e-06,6.418803621954794e-08
1923,1.3386710406848579e-06,3.8217415010421973e-08
1924,1.3497531199391233e-06,6.574728672603669e-08
1925,1.2229974117872189e-06,4.2892892793133797e-08
1926,1.1547399481059983e-06,6.13037585139864e-08
1927,1.1662089036690304e-06,4.5711821883287485e-08
1928,1.1186094752702047e-06,4.4561559775502246e-08
1929,1.2755765510519268e-06,3.4535258208734376e-08
1930,1.1207345096408972e-06,6.722306267192835e-08
1931,1.1473788390503614e-06,4.5621426636444085e-08
1932,1.3151443454262335e-06,3.9454331357546835e-08
1933,1.1550956742212293e-06,4.588265056781893e-08
1934,1.1658077028187108e-06,3.9539216345474415e-08
1935,9.7421832379041e-07,4.188899538348778e-08
1936,1.064549906004686e-06,5.2136272188363364e-08
1937,1.1332006124575855e-06,4.0291578073947676e-08
1938,1.1616832580330083e-06,5.4453899167583586e-08
1939,1.1852889656438492e-06,5.352917753498332e-08
1940,1.1791390761572984e-06,3.0429394115571995e-08
1941,1.1422315537856775e-06,3.836953510472085e-08
1942,9.224003747476672e-07,2.1239483061208375e-08
1943,1.080003471543023e-06,5.516146828199453e-08
1944,1.1310414720355766e-06,5.1410978585408884e-08
1945,1.2591752920343424e-06,7.62476446425353e-08
1946,1.1944307516387198e-06,4.454753366189834e-08
1947,1.051420781550405e-06,4.172304812755101e-08
1948,1.0665321497072e-06,5.3272248834446145e-08
1949,1.0798709126902395e-06,5.3993545634511975e-08
1950,1.009295829135226e-06,2.5524867552917385e-08
1951,9.840473467193078e-07,3.6248767543156646e-08
1952,1.0323362857889151e-06,4.112473561690422e-08
1953,1.007352807391726e-06,4.0940545176226806e-08
1954,9.752991445566295e-07,4.788542540268281e-08
1955,9.920587444867124e-07,4.129667274810345e-08
1956,8.773468493927794e-07,3.488456457034772e-08
1957,1.0752240768852062e-06,1.9437083054185678e-08
1958,9.463446417612431e-07,4.3015667472445784e-08
1959,1.0068221172332414e-06,3.100299039715537e-08
1960,9.22547087611747e-07,4.221708493901133e-08
1961,9.887230589811224e-07,5.072156383789661e-08
1962,1.05276478734595e-06,3.55149545328004e-08
1963,9.899526958179194e-07,3.814971449855875e-08
1964,9.825608913160977e-07,3.4070222199034106e-08
1965,9.368138194076892e-07,5.417322768153099e-08
1966,9.516130603515194e-07,3.212663202134536e-08
1967,9.855740472630714e-07,4.5852122099176995e-08
1968,1.0734484021668322e-06,4.5363300671397155e-08
1969,1.119997477871948e-06,3.905911682977603e-08
1970,1.0351729997637449e-06,2.8971967935831344e-08
1971,9.55741938923893e-07,4.72732573086887e-08
1972,9.311216331298056e-07,3.5911028817281476e-08
1973,8.887284366210224e-07,4.9618833486420044e-08
1974,9.130303055826516e-07,3.4878542720662153e-08
1975,9.69238158177177e-07,4.283610266497817e-08
1976,9.878688160824822e-07,2.971033907783749e-08
1977,8.685883585712872e-07,4.348818549715361e-08
1978,9.409896506440418e-07,4.81187889533885e-08
1979,9.187598379867268e-07,3.5697038214266286e-08
1980,9.437350172447623e-07,3.240536017301565e-08
1981,8.912699058782891e-07,3.542307780435294e-08
1982,9.373328566653072e-07,4.034876610603533e-08
1983,9.201415309689764e-07,4.16810870262907e-08
1984,9.31320755626075e-07,4.1752862500743504e-08
1985,8.927088401833316e-07,6.015557829641693e-08
1986,9.399353189110116e-07,4.6756987615026446e-08
1987,8.903460297915444e-07,3.483165755824302e-08
1988,9.162734500023362e-07,4.077656612366809e-08
1989,8.94015101948753e-07,3.6221607047082216e-08
1990,9.115593115893716e-07,4.4678937882736136e-08
1991,8.927011663217854e-07,3.165191131415668e-08
1992,9.322825462731998e-07,5.3997453619558655e-08
1993,9.200623480865033e-07,4.043621260052532e-08
1994,8.534831295037293e-07,4.483687732204089e-08
1995,8.816904824016092e-07,4.446409818115171e-08
1996,8.850556696415879e-07,3.683283722466513e-08
1997,9.388403441334958e-07,3.931813452595634e-08
1998,9.798505971048144e-07,3.57609692969163e-08
1999,9.419184721082274e-07,4.8901153348879234e-08
2000,9.061382684194541e-07,3.7111465900352414e-08
2001,9.152351481134247e-07,5.432702465668626e-08
2002,8.442613648185215e-07,4.6002824660718034e-08
2003,8.892213259059645e-07,5.250322843153299e-08
2004,8.906487778403971e-07,4.360743233178255e-08
2005,8.273387948065647e-07,4.1884870682906694e-08
2006,8.709337180334842e-07,5.1061835648624765e-08
2007,8.464302254651557e-07,5.1928232380760164e-08
2008,8.75329590144247e-07,5.9178411504490214e-08
2009,8.620892231192556e-07,6.103286409597786e-08
2010,8.76263584359549e-07,5.857503282413745e-08
2011,8.431858304902562e-07,7.609704510969095e-08
2012,9.324248253506084e-07,7.217015962623918e-08
2013,9.505338312010281e-07,7.614311670067764e-08
2014,1.0716788665376953e-06,8.012147389990787e-08
2015,9.664269100539968e-07,6.915715289323998e-08
2016,1.0338058018533047e-06,8.326787082069131e-08
2017,8.726655664759164e-07,6.993399637167386e-08
2018,9.60047486842086e-07,8.67372804691513e-08
2019,9.920790944306646e-07,6.862156709530609e-08
