year,entraînant_VERB en_ADP
1800,6.288328968651058e-09
1801,2.8574191901498125e-08
1802,2.2378401354217203e-09
1803,5.851017448321727e-09
1804,2.4718509461507665e-09
1805,5.685755422035754e-09
1806,0.0
1807,5.693910232196231e-09
1808,1.3596443970698147e-08
1809,0.0
1810,2.3401267590372754e-09
1811,3.760615285841595e-08
1812,3.200649700829672e-08
1813,2.0130190847567064e-08
1814,0.0
1815,0.0
1816,9.270415546325239e-09
1817,0.0
1818,2.384235386898581e-08
1819,1.035105001712111e-09
1820,1.0679833017945839e-08
1821,9.86148829262845e-10
1822,2.105379337535851e-08
1823,3.9530747564242574e-09
1824,1.0105335235266466e-08
1825,2.641632912414593e-09
1826,8.807984341885344e-10
1827,3.6869092223668076e-09
1828,9.172301251858528e-10
1829,0.0
1830,3.1310507520032616e-09
1831,4.053713453799901e-08
1832,4.058990921151917e-09
1833,1.1583628278799551e-08
1834,2.42697808516823e-08
1835,2.2689263801112247e-09
1836,2.688300027031687e-09
1837,1.87863058442872e-08
1838,6.943378316748294e-09
1839,2.3771015378315496e-08
1840,1.7198159341091923e-08
1841,8.346713542550788e-09
1842,1.2745703159566801e-08
1843,8.269675610961258e-09
1844,1.0428266250528395e-08
1845,1.1160455892778032e-09
1846,2.6930706553685013e-08
1847,1.4561703842730367e-08
1848,1.528592186161859e-08
1849,1.75967720394965e-08
1850,2.1724787302446202e-08
1851,1.483370937194195e-08
1852,3.6459056218518526e-08
1853,1.970737528722566e-08
1854,2.4939190268469247e-08
1855,2.0166361025530932e-08
1856,2.5885945831305435e-08
1857,1.8549734193129552e-08
1858,1.1255455234504552e-08
1859,2.2405561850291633e-08
1860,1.4189270203246451e-08
1861,1.9335450573976232e-08
1862,2.1234535907410645e-08
1863,2.0477944673302773e-08
1864,1.821996598039277e-08
1865,1.7415324293779122e-08
1866,1.897589108068587e-08
1867,1.747012134956094e-08
1868,1.7289560005906424e-08
1869,1.4162205630441349e-08
1870,1.6628741050794815e-08
1871,1.911811864374613e-08
1872,8.4662747923403e-09
1873,1.3767810003173508e-08
1874,2.2106053876314036e-08
1875,1.4875970677508121e-08
1876,3.627608791134662e-08
1877,2.4739264858908427e-08
1878,1.5701630218245555e-08
1879,2.871382953628654e-08
1880,1.8611753915820373e-08
1881,3.346803723047742e-08
1882,2.861815673327328e-08
1883,1.0742875922176154e-08
1884,1.7824582698722224e-08
1885,1.8692343672910283e-08
1886,2.452316216761119e-08
1887,1.9586773092328258e-08
1888,3.360525724360741e-08
1889,3.069916942877171e-08
1890,3.1461055982617836e-08
1891,2.1672347472190268e-08
1892,2.1312942521944933e-08
1893,1.9091091374434654e-08
1894,1.071261657159539e-08
1895,2.046328972937772e-08
1896,2.358811634906033e-08
1897,3.3212266714599536e-08
1898,3.7910979244770715e-08
1899,3.537650172802387e-08
1900,2.7512582434496835e-08
1901,1.7325090695408107e-08
1902,7.021706238674597e-08
1903,2.3220946943069976e-08
1904,3.654745128756076e-08
1905,2.0126959654476195e-08
1906,2.82930141537463e-08
1907,2.7257069490360664e-08
1908,1.4734167663732478e-08
1909,2.1453836041018803e-08
1910,2.7255168788542505e-08
1911,1.8621308939259507e-08
1912,1.7712032729377825e-08
1913,2.5454351515463713e-08
1914,3.281404303834279e-08
1915,2.8273827723523937e-08
1916,3.29623865980011e-08
1917,5.04455535121906e-08
1918,2.6418664589300533e-08
1919,3.4069039145379065e-08
1920,3.104614876292544e-08
1921,3.1048266180278006e-08
1922,3.172512208493572e-08
1923,2.7601466001669905e-08
1924,3.609654797287476e-08
1925,3.079489729884699e-08
1926,4.458455293843144e-08
1927,1.5608915049369898e-08
1928,2.742249805010033e-08
