year,mangeant_VERB en_ADP,mangeant_VERB sans_ADP
1800,3.144164484325529e-09,0.0
1801,2.3811825844433088e-09,4.7623651688866175e-09
1802,1.7902721083373763e-08,0.0
1803,1.950339223455444e-09,1.1702034896643454e-08
1804,2.4718509905596875e-08,2.4718509461507665e-09
1805,5.685755422035754e-09,0.0
1806,0.0,5.76333825108577e-09
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,1.1330369531492579e-08,0.0
1809,2.9367397402779716e-08,2.259030518203531e-09
1810,1.4040760554223652e-08,2.3401267590372754e-09
1811,2.5070767684098882e-09,5.0141535368197765e-09
1812,0.0,2.1337665856435706e-08
1813,2.5881675469463516e-08,2.0130190847567064e-08
1814,3.1466771410748606e-09,1.2586708564299443e-08
1815,2.697223555614414e-09,2.697223555614414e-09
1816,0.0,2.3176038865813098e-09
1817,7.784366928831332e-09,4.670620223912181e-09
1818,4.768470951432846e-09,1.5497530370112145e-08
1819,1.5526575580793178e-08,1.7596784473994376e-08
1820,4.746592452420373e-09,4.746592452420373e-09
1821,6.903041693817613e-09,1.8736827200882544e-08
1822,4.010246357211145e-09,2.0051231786055723e-09
1823,4.249555374258307e-08,7.906149512848515e-09
1824,7.57900142644985e-09,0.0
1825,1.4969252504215547e-08,7.044354433105582e-09
1826,1.673517004974201e-07,6.1655889282974385e-09
1827,7.373818444733615e-09,2.7651818612639545e-09
1828,5.503380862137419e-09,8.255071293206129e-09
1829,1.0287811491593857e-08,1.714635211591542e-09
1830,2.2961039292113128e-08,4.174734336004349e-09
1831,7.795603274018958e-09,4.5214498811674275e-08
1832,8.117981842303834e-09,1.0823975493678972e-08
1833,5.791814139399776e-09,2.7800709290204395e-08
1834,7.467624740797874e-09,2.8003592777992026e-09
1835,3.327758690829796e-08,3.781543966852041e-09
1836,1.2769425516978572e-08,1.0753200108126748e-08
1837,9.74104708006962e-09,3.478945576063097e-09
1838,1.0730675015224733e-08,2.019891809368346e-08
1839,1.4682098203877558e-08,1.0487212875887053e-08
1840,3.821813088222825e-09,6.3696887764308485e-09
1841,8.988767952189392e-09,5.778493683550323e-09
1842,4.024959032733477e-09,1.0733224087289273e-08
1843,1.3585895297651973e-08,1.7720733769266417e-09
1844,1.536797183954164e-08,0.0
1845,1.2834524554250493e-08,6.696273757711424e-09
1846,1.8734404472198207e-08,7.610851504580296e-09
1847,2.6966118227278457e-09,1.0786447290911383e-09
1848,8.04522137798358e-09,4.02261068899179e-09
1849,4.1897072478036534e-09,1.6758829879393033e-09
1850,2.7155984128057753e-09,6.788996032014438e-09
1851,1.096404567135778e-08,1.1608989325395669e-08
1852,1.2370036550635177e-08,2.6042181744401205e-09
1853,7.166318205520383e-09,1.7915795513800958e-09
1854,7.79349651480743e-09,5.195664343204953e-09
1855,3.02495415382964e-08,5.306937111981824e-10
1856,1.2942972915652717e-08,3.6240324075009767e-09
1857,2.0990488514005534e-08,6.345961978126979e-09
1858,1.9085335978274998e-08,1.9574704079872163e-09
1859,5.092173349652285e-09,8.656694916453489e-09
1860,1.327383358784573e-08,2.746310290291376e-09
1861,2.357981898626349e-08,4.715963730639317e-10
1862,4.066187830886747e-09,1.1294965851504912e-08
1863,2.4973104473247076e-08,3.995696662428827e-09
1864,1.3904711160250827e-08,3.835782358407869e-09
1865,8.001635798393636e-09,8.943004337069738e-09
1866,1.1190909532388105e-08,8.75810357570117e-09
1867,5.338092634588065e-09,4.367530337390235e-09
1868,1.432563490055827e-08,3.951899252285784e-09
1869,1.3673853160867111e-08,3.906815315701806e-09
1870,8.601073631098188e-09,9.747882501187632e-09
1871,4.248470908407853e-09,0.0
1872,1.4513614310374123e-08,8.4662747923403e-09
1873,6.584604861359367e-09,6.584604861359367e-09
1874,3.5847653734322193e-09,5.974609140757536e-10
1875,4.005069165202713e-09,3.432916173551348e-09
1876,1.5115036333668286e-08,7.255217759905008e-09
1877,1.7317484335421796e-08,1.8554447978047506e-09
1878,8.4547240319921e-09,8.4547240319921e-09
1879,2.2604503158163425e-08,9.163987790827832e-09
1880,9.626769603698904e-09,6.417846254436199e-09
1881,1.1853263259808955e-08,7.669758161910067e-09
1882,3.9932310791357395e-09,2.6621540527571597e-09
1883,1.0742875922176154e-08,1.0110942305630033e-08
1884,5.281357573494461e-09,1.1222884843675729e-08
1885,1.9981470700258797e-08,6.445635691854079e-10
1886,7.744156427236248e-09,5.162771044009418e-09
1887,7.834709769838355e-09,8.48760173255414e-09
1888,5.07249175996094e-09,6.340614699951175e-10
1889,1.3783300722991498e-08,2.5060546970934183e-09
1890,7.865263995654459e-09,2.6217545912032847e-09
1891,1.0836173736095134e-08,5.736798147637501e-09
1892,5.829716442917743e-08,1.0656471260972467e-08
1893,1.0469308087124318e-08,6.15841644346915e-09
1894,5.671385361338821e-09,3.150769645188234e-09
1895,9.629783193076946e-09,8.426059849853118e-09
1896,1.0614652268259306e-08,7.076434549446731e-09
1897,1.1653426668090106e-08,4.078699600285063e-09
1898,1.2448380992680086e-08,1.6975064687230201e-09
1899,8.844125432005967e-09,7.185851913504848e-09
1900,6.748368974740515e-09,6.748368974740515e-09
1901,4.470991132876634e-09,5.58873880507349e-09
1902,1.1293653123800595e-08,3.437198747846537e-09
1903,1.5120615870500842e-08,6.48026410310365e-09
1904,5.374625189347171e-09,3.2247751136083025e-09
1905,1.2901897328276846e-08,7.2250627702885595e-09
1906,8.230695236477459e-09,9.259531807970234e-09
1907,1.5942815068115124e-08,1.5428529565042481e-09
1908,7.858222517143076e-09,0.0
1909,1.265226234892225e-08,6.60118004702781e-09
1910,1.60324518105881e-08,5.344150788566537e-09
1911,1.1704822888702893e-08,9.044636151145369e-09
1912,9.897900277167082e-09,4.167536982180309e-09
1913,1.856046338843953e-08,7.42418571064718e-09
1914,8.705766885164223e-09,2.6786975415582504e-09
1915,1.4136913861761968e-08,4.712304768617059e-09
1916,6.592477230782379e-09,1.0987462051303964e-09
1917,6.57985488317081e-09,3.289927441585405e-09
1918,1.6080926812378493e-08,4.594550517822427e-09
1919,1.1970203106503874e-08,9.207848372660976e-10
1920,8.329454459499175e-09,3.786115865267448e-09
1921,5.300923255902035e-09,3.0290989716519334e-09
1922,1.1804696775641332e-08,3.6889677978990676e-09
1923,7.431163684401554e-09,2.1231896241147297e-09
1924,5.156649773851996e-09,6.445812328337297e-09
1925,1.4297631523163545e-08,7.698724324711748e-09
1926,1.2260752413340015e-08,3.343841648018042e-09
1927,1.7838759802657478e-08,8.919379901328739e-09
1928,3.4278122562625413e-09,1.0283437212876834e-08
1929,3.342121912552898e-09,3.342121912552898e-09
1930,6.302162347537887e-09,4.201441416995522e-09
1931,1.4826963656844327e-08,4.5621426636444085e-09
1932,2.301502677326539e-08,1.3151444377967891e-08
1933,1.0323596200123575e-08,1.0323596200123575e-08
1934,1.3179738189705859e-08,4.7926320689839486e-09
1935,1.196828414151696e-08,5.98414207075848e-09
1936,8.487299751891442e-09,9.699771652549316e-09
1937,3.777335333410292e-09,1.2591118148108649e-09
1938,1.5558256905023882e-08,6.482607339819424e-09
1939,1.070583532936098e-08,6.117620188206274e-09
1940,5.0715658339584024e-09,2.5357829169792012e-09
1941,1.1806010391524069e-08,5.9030051957620344e-09
1942,3.6410540360520827e-08,9.102635090130207e-09
1943,2.9032352522051497e-08,2.9032352077962287e-09
1944,9.639558484764166e-09,6.4263723231761105e-09
1945,6.535512131478072e-09,6.535512131478072e-09
1946,6.960552134671616e-09,8.352662561605939e-09
1947,1.0728784083369192e-08,4.7683483828109274e-09
1948,1.3046265179283978e-08,2.174377566888097e-09
1949,1.7670615193310368e-08,1.1780409536754632e-08
1950,1.8080114960739024e-08,8.508289184305795e-09
1951,1.5992101864981123e-08,2.1322803522849654e-09
1952,1.370824520563474e-08,3.1634410646574906e-09
1953,8.619061908632375e-09,1.0773827385790469e-09
1954,1.2704297169818801e-08,1.9545072227344917e-09
1955,2.815682353940474e-09,3.754243138587299e-09
1956,1.5698054411927842e-08,8.72114158667614e-10
1957,1.7670075402875796e-09,5.301022731885041e-09
1958,3.3088974338291166e-09,6.617794590102477e-09
1959,1.705164542897819e-08,6.200598368089061e-09
1960,1.314958364417862e-08,7.612916519406099e-09
1961,1.181187059273725e-08,5.55852741612739e-09
1962,1.0147130247162295e-08,3.170978146727066e-09
1963,9.052474325699222e-09,3.2330267352165265e-09
1964,1.3384730601639916e-08,6.6923653285755336e-09
