year,profond_ADJ homme_NOUN,profond_ADJ somme_NOUN
1800,6.288328968651058e-09,2.829747991484055e-08
1801,0.0,4.286128785224719e-08
1802,0.0,4.923248297927785e-08
1803,1.950339223455444e-09,1.950339223455444e-09
1804,0.0,0.0
1805,0.0,8.528632911009026e-09
1806,0.0,8.645007376628655e-09
1807,2.8469551160981155e-09,1.4234775136401367e-08
1808,0.0,1.8128591960930862e-08
1809,0.0,3.388545621874073e-08
1810,2.3401267590372754e-09,5.148278958699848e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,1.8670457180292033e-08
1813,0.0,5.751483289628823e-09
1814,0.0,1.8880061958270744e-08
1815,0.0,8.091670444798638e-09
1816,4.6352077731626196e-09,4.6352077731626196e-09
1817,0.0,1.8682481339737933e-08
1818,1.1921177378582115e-09,2.1458118837358597e-08
1819,0.0,2.070210003424222e-09
1820,0.0,1.3053129244156025e-08
1821,0.0,2.6626018723163725e-08
1822,4.010246357211145e-09,1.4035862250239006e-08
1823,1.9765373782121287e-09,6.917880934764753e-09
1824,5.894778887238772e-09,3.2000230021367315e-08
1825,1.1447076175841175e-08,2.8177417732422327e-08
1826,3.5231937367541377e-09,1.9377566218281572e-08
1827,0.0,1.474763688946723e-08
1828,9.172301251858528e-10,2.2013523448549677e-08
1829,1.714635211591542e-09,3.429270423183084e-09
1830,5.218417697960831e-09,4.0703660886265425e-08
1831,0.0,2.3386808933878456e-08
1832,0.0,1.2176972319366541e-08
1833,0.0,1.6217079235048004e-08
1834,9.334530925997342e-10,2.8003592333902816e-08
1835,6.050470346963266e-09,1.5126175867408165e-08
1836,4.032449929525228e-09,2.419469957715137e-08
1837,0.0,2.2265250976261086e-08
1838,0.0,2.5879863585487328e-08
1839,6.9914751765765e-10,9.088918062616358e-09
1840,1.2739377330817092e-09,1.46502836528839e-08
1841,0.0,1.926164472365599e-08
1842,1.8112315203211438e-08,6.708265054555795e-09
1843,5.906910960362666e-09,4.7255288571079745e-09
1844,4.9397050894128824e-09,4.390849017710252e-09
1845,1.1160455892778032e-09,2.2320911785556063e-09
1846,1.7563503984519002e-09,2.9272506640865004e-09
1847,0.0,3.775256551818984e-09
1848,4.02261068899179e-09,5.63165514222419e-09
1849,6.703531951757213e-09,1.1731181359664333e-08
1850,6.788996032014438e-10,4.752297222410107e-09
1851,3.8696632564949596e-09,2.1283147688677673e-08
1852,1.3021090872200602e-09,2.6042181744401205e-09
1853,2.388772735173461e-09,9.555090940693844e-09
1854,1.558699391779328e-09,1.454786069388092e-08
1855,0.0,4.776243400783642e-09
1856,5.177189232874468e-10,1.5531567143511893e-08
1857,1.4644527812635033e-09,1.1715622250108026e-08
1858,4.893676019968041e-10,1.565976326389773e-08
1859,4.073738679721828e-09,1.782260738991681e-08
1860,5.034902272882391e-09,5.492620580582752e-09
1861,1.4147891747029462e-09,1.226150558863992e-08
1862,2.2589932147099034e-09,6.325180823552046e-09
1863,9.989241656072068e-10,6.493007020935693e-09
1864,0.0,4.315255264231155e-09
1865,1.4120533631256649e-09,6.118897832863013e-09
1866,1.9462451650298362e-09,9.731225603104576e-09
1867,4.85281148598915e-10,3.396968040192405e-09
1868,1.4819622196071691e-09,8.89177353968762e-09
1869,0.0,1.12320943657096e-08
1870,3.4404292748035914e-09,1.0894693147633916e-08
1871,6.37270636261178e-09,9.559059321873065e-09
1872,2.4189357183956872e-09,1.5118347462816928e-08
1873,0.0,8.380406590902112e-09
1874,1.0156835372754358e-08,6.572069999322139e-09
1875,1.716458086775674e-09,1.6592428764283795e-08
1876,6.04601479992084e-10,4.232210137899983e-09
1877,3.0924081073635534e-09,7.421779191219002e-09
1878,0.0,1.872117572077059e-08
1879,6.10932526790009e-10,4.887460214320072e-09
1880,5.134277003548959e-09,1.9253538763308597e-09
1881,9.761510710859511e-09,1.3945015142624584e-09
1882,0.0,3.9932310791357395e-09
1883,4.423537092179686e-09,1.0742875922176154e-08
1884,6.601696966868076e-10,1.386356363042296e-08
1885,1.2891271383708158e-09,5.156508553483263e-09
1886,0.0,4.5174246565693466e-09
1887,0.0,5.223139698529167e-09
1888,6.340614699951175e-10,4.4384300679212174e-09
1889,3.132568426877924e-09,5.6386229019267375e-09
1890,5.243509182406569e-09,1.9663159989136147e-09
1891,6.374220040683554e-10,1.9122659011827636e-09
1892,1.2537024751679837e-09,8.775916882086676e-09
1893,0.0,2.463366621796581e-09
1894,6.301539290376468e-10,1.8904617871129403e-09
1895,0.0,5.416753268150387e-09
1896,5.89702897624278e-10,1.179405795248556e-09
1897,0.0,1.7480140668268973e-09
1898,5.6583546736987955e-09,2.8291773368493978e-09
1899,3.8693048765026106e-09,1.6582735185011188e-09
1900,5.191053142894475e-10,0.0
1901,5.588738916095792e-10,7.265360757457984e-09
1902,0.0,4.910283846193408e-10
1903,0.0,2.7001101354784396e-09
1904,2.1498500757388683e-09,3.7622376325430196e-09
1905,0.0,1.5482277682110634e-09
1906,0.0,1.0288369045596824e-09
1907,3.599990305858114e-09,1.5428529565042481e-09
1908,0.0,1.4734167219643268e-09
1909,0.0,1.0451868703853506e-08
1910,0.0,3.206490406526541e-09
1911,0.0,6.384448969498635e-09
1912,1.5628263128064646e-09,5.209421227725386e-10
1913,0.0,2.121195885607108e-09
