year,devront_VERB ôter_VERB,devront_VERB voter_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,1.5733386149463513e-08
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,1.035105001712111e-09
1820,0.0,7.119888678630559e-09
1821,0.0,1.2819934447350079e-08
1822,0.0,0.0
1823,0.0,7.906149512848515e-09
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,1.0436835840010872e-09
1831,0.0,9.354723218280014e-09
1832,0.0,0.0
1833,0.0,4.6334514003376626e-09
1834,0.0,7.467624740797874e-09
1835,0.0,7.563087933704082e-10
1836,0.0,1.344150035720304e-08
1837,0.0,6.957891152126194e-09
1838,0.0,0.0
1839,0.0,4.894032734625853e-09
1840,0.0,6.369688665408546e-10
1841,6.420548537278137e-10,6.420548537278137e-10
1842,6.708265054555795e-10,6.708265054555795e-10
1843,0.0,4.134837805480629e-09
1844,1.6465684371524958e-09,3.2931368743049916e-09
1845,0.0,4.464182357111213e-09
1846,1.1709002656346001e-09,5.854501328173001e-09
1847,2.6966118227278457e-09,3.235934187273415e-09
1848,0.0,8.84974404868899e-09
1849,0.0,1.3407063903514427e-08
1850,0.0,1.425689166723032e-08
1851,0.0,3.2247193804124663e-09
1852,0.0,6.510545436100301e-09
1853,0.0,1.7915795513800958e-09
1854,0.0,4.1565315633818045e-09
1855,0.0,1.0613874223963649e-09
1856,2.5885946719483854e-09,2.5885946719483854e-09
1857,0.0,4.881508974818871e-09
1858,1.468102750479261e-09,1.9574704079872163e-09
1859,0.0,2.036869339860914e-09
1860,0.0,9.154367819341758e-10
1861,9.431927461278633e-10,3.772770984511453e-09
1862,4.517986262886353e-10,5.873382225018986e-09
1863,0.0,1.9978483312144135e-09
1864,0.0,1.0068928801842958e-08
1865,0.0,4.706844247692743e-09
1866,0.0,6.3252967308358166e-09
1867,0.0,4.367530337390235e-09
1868,0.0,9.87974813071446e-10
1869,9.767038289254515e-10,2.441759683335931e-09
1870,0.0,1.6055336615750093e-08
1871,0.0,2.3366590440332402e-08
1872,6.047339295989218e-10,1.0885210954825197e-08
1873,0.0,7.781805422268917e-09
1874,0.0,2.6288279997288555e-08
1875,0.0,6.293679799540541e-09
1876,0.0,6.04601479992084e-09
1877,0.0,8.040260901509555e-09
1878,1.0266450800600069e-08,5.435179861734696e-09
1879,5.498392852132383e-09,7.94212251520321e-09
1880,1.2835692508872398e-09,5.776061406947974e-09
1881,2.091752326904839e-09,3.4862537301449947e-09
1882,7.986462158271479e-09,9.983077475794744e-09
1883,1.2638677882037541e-09,6.319338941018771e-10
1884,0.0,3.9610181801208455e-09
1885,0.0,1.160214413431504e-08
1886,1.936039106809062e-09,2.5813855497602844e-09
1887,0.0,9.140494583448344e-09
1888,1.268122939990235e-09,8.876860135842435e-09
1889,6.265136742733546e-10,6.891650361495749e-09
1890,0.0,1.3108772956016423e-09
1891,0.0,7.649063604731055e-09
1892,0.0,8.149066310636499e-09
1893,0.0,3.695050043717174e-09
1894,0.0,6.301539290376468e-10
1895,0.0,6.6204757231957956e-09
1896,0.0,1.179405795248556e-09
1897,1.1653427112179315e-09,4.078699600285063e-09
1898,5.6583548957434e-10,1.0185038590293516e-08
1899,5.527578395003729e-10,5.527578395003729e-10
1900,2.595526460424935e-09,1.8168686111152965e-08
1901,5.588738916095792e-10,1.5648469187112823e-08
1902,0.0,3.437198747846537e-09
1903,1.6200660812870638e-09,1.1880484152015924e-08
1904,2.1498500757388683e-09,4.837162670412454e-09
1905,5.160759042333041e-10,4.1286072338664326e-09
1906,0.0,1.0288369267641428e-08
1907,0.0,3.0857059130084963e-09
1908,0.0,7.367083831866239e-09
1909,0.0,2.2554033307642385e-08
1910,0.0,1.068830179917768e-08
1911,0.0,6.916486494645824e-09
1912,0.0,9.376957876838787e-09
1913,0.0,4.772690687104841e-09
1914,1.3393487430235496e-09,7.366418142140674e-09
1915,2.3561523843085297e-09,9.424609537234119e-09
1916,1.0987462051303964e-09,9.888715624128963e-09
1917,0.0,2.1932848870420685e-09
1918,0.0,1.033773866510046e-08
1919,0.0,1.2890987832747669e-08
1920,0.0,7.572231730534895e-09
1921,0.0,6.815472630705699e-09
1922,0.0,8.115729421831475e-09
1923,0.0,8.492758496458919e-09
1924,0.0,0.0
1925,1.0998177923937646e-09,6.598906754362588e-09
1926,0.0,1.1146138456652466e-09
1927,0.0,1.1149224654616319e-08
1928,0.0,9.14083297942625e-09
1929,2.2280812750352652e-09,1.0026365515614089e-08
1930,0.0,3.1510811737689437e-09
1931,0.0,2.2810713318222042e-09
1932,0.0,6.575722188983946e-09
1933,0.0,9.176529758292418e-09
1934,0.0,2.3963160344919743e-09
1935,0.0,4.787313656606784e-09
1936,0.0,2.424942913137329e-09
1937,1.2591118148108649e-09,2.5182236296217297e-09
1938,0.0,5.186085783037697e-09
1939,0.0,1.5294050470515685e-09
1940,0.0,0.0
1941,0.0,1.1806010391524069e-08
1942,0.0,3.034211770724937e-09
1943,0.0,0.0
1944,0.0,6.4263723231761105e-09
1945,0.0,6.535512131478072e-09
1946,0.0,8.352662561605939e-09
1947,0.0,5.960435700558264e-09
1948,1.0871887834440486e-09,7.610321262063735e-09
1949,0.0,1.668891336237266e-08
1950,0.0,5.317680518146517e-09
1951,0.0,5.330700769690111e-09
1952,0.0,5.272402070488624e-09
1953,0.0,9.69644453618912e-09
1954,0.0,9.772536113672459e-10
1955,0.0,7.508486277174597e-09
1956,0.0,4.360570571293465e-09
1957,0.0,1.7670075402875796e-09
1958,8.272243445794913e-10,3.3088973783179654e-09
1959,7.750747821333448e-10,1.7826719656000023e-08
1960,0.0,7.612916519406099e-09
1961,0.0,1.3896318540318475e-09
1962,0.0,6.341956404476434e-10
1963,0.0,1.2932106496776896e-09
1964,0.0,4.258777774879263e-09
1965,5.472043373977442e-10,4.924839203113152e-09
1966,0.0,4.985167390003653e-09
1967,4.930335584241163e-10,2.465167847631733e-09
1968,4.4914158503495116e-10,3.5931326802796093e-09
1969,0.0,1.8167031212712459e-09
1970,4.5987250119061684e-10,4.1388523719376735e-09
1971,5.138397485282553e-10,2.569198631618974e-09
1972,2.0520587451500205e-09,3.0780880067027283e-09
1973,0.0,6.615844760915479e-09
1974,0.0,5.06301445213353e-09
1975,2.2845920710778955e-09,4.569184142155791e-09
1976,0.0,6.8562320265641574e-09
1977,0.0,5.289103821581875e-09
1978,0.0,8.316828115084718e-09
1979,0.0,7.022368020415115e-09
1980,5.685150683554241e-10,3.97960553399912e-09
1981,0.0,7.590659656386833e-09
1982,0.0,3.1037510339615437e-09
1983,0.0,1.136756910824488e-08
1984,0.0,3.479405208395292e-09
1985,6.015558051686298e-10,2.4062232206745193e-09
1986,0.0,2.997242676272549e-09
1987,0.0,3.6664902225425067e-09
1988,5.996553809062277e-10,5.99655392008458e-09
1989,5.488122178931576e-10,4.939309850016116e-09
1990,1.089730194969718e-09,8.172976073694826e-09
1991,0.0,5.861465202094962e-10
1992,0.0,2.7549720282848966e-09
1993,0.0,3.323524566667402e-09
1994,0.0,2.637463358823311e-09
1995,5.422450821690461e-10,7.591431483433553e-09
1996,1.6014276571496566e-09,4.804283193493575e-09
1997,4.79489448146353e-10,3.835915585170824e-09
1998,4.768129224785866e-10,4.291316191284977e-09
1999,4.570201161957499e-10,4.113180906983871e-09
2000,4.4180314962005696e-10,4.859834756842929e-09
2001,0.0,2.6287270138425356e-09
2002,0.0,4.381221607729913e-09
2003,8.333845835650777e-10,2.5001538617175356e-09
2004,4.404791253964646e-10,5.726228824443069e-09
2005,0.0,8.557123898356167e-09
2006,0.0,4.117890028965121e-09
2007,0.0,1.997239706952314e-09
2008,0.0,4.6831836186811415e-09
2009,0.0,3.337734755248789e-09
2010,4.723793023408973e-10,4.2514138876015295e-09
2011,0.0,6.118355155848576e-09
2012,6.808505426114664e-10,5.7872298064864935e-09
2013,5.578250084070646e-10,5.020424964641279e-09
2014,0.0,4.330890313042346e-09
2015,4.433150790905671e-10,4.43315073539452e-09
2016,4.1426800878596737e-10,3.935546111222266e-09
2017,0.0,2.0124890642847504e-09
2018,7.744400121190154e-10,3.872199894061623e-09
2019,0.0,2.2958890344426663e-09
