year,pourriez_VERB aller_VERB
1800,3.144164484325529e-09
1801,2.3811825400343878e-08
1802,0.0
1803,0.0
1804,4.943701892301533e-09
1805,1.1371510844071508e-08
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,4.5321479902327155e-09
1809,4.518061036407062e-09
1810,2.106114038724627e-08
1811,7.521229861140455e-09
1812,8.00162425207418e-09
1813,0.0
1814,1.2586708564299443e-08
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,8.280840013696888e-09
1820,1.898636980968149e-08
1821,1.3806083387635226e-08
1822,4.010246357211145e-09
1823,3.9530747564242574e-09
1824,2.5263338088166165e-09
1825,2.3774695989686734e-08
1826,1.0569580766173203e-08
1827,2.2121454890111636e-08
1828,2.659967357487858e-08
1829,1.1145129263923081e-08
1830,1.5655253093882493e-08
1831,0.0
1832,6.764984572527055e-09
1833,9.266902800675325e-09
1834,5.600718555598405e-09
1835,3.403389570166837e-08
1836,1.2097349788575684e-08
1837,7.653680356156656e-09
1838,1.64116205070286e-08
1839,2.6567605004856887e-08
1840,1.0191501864653674e-08
1841,7.0626033910059505e-09
1842,2.4820581145945653e-08
1843,1.6539351221922516e-08
1844,4.9397050894128824e-09
1845,8.37034175305007e-09
1846,1.7563503984519002e-09
1847,4.314578916364553e-09
1848,0.0
1849,1.3407063903514427e-08
1850,4.073397619208663e-09
1851,1.5478653025979838e-08
1852,1.1067927019325907e-08
1853,3.5831591027601917e-09
1854,8.313063126763609e-09
1855,6.368324534378189e-09
1856,1.1907535402144731e-08
1857,1.3668225662399891e-08
1858,2.397901255335455e-08
1859,3.055304009791371e-09
1860,1.876645328025006e-08
1861,2.452301117727984e-08
1862,2.1234535907410645e-08
1863,1.048870412745373e-08
1864,5.274200631788517e-09
1865,5.6482134525026595e-09
1866,4.379051787850585e-09
1867,4.367530337390235e-09
1868,3.457911734727759e-09
1869,1.660396442559886e-08
1870,5.734048791339319e-09
1871,8.496941816815706e-09
1872,1.269941218851045e-08
1873,7.183205141814142e-09
1874,4.779687312606029e-09
1875,1.7736734747586524e-08
1876,1.1487427897804992e-08
1877,5.566334504436554e-09
1878,7.850815109122777e-09
1879,4.27652757650776e-09
1880,1.9895322722618403e-08
1881,1.045876096839038e-08
1882,1.5972924316542958e-08
1883,3.159669414998234e-09
1884,7.922036360241691e-09
1885,3.86738152613475e-09
1886,7.744156427236248e-09
1887,3.264462256069578e-09
1888,8.242799331981132e-09
1889,4.385595886446936e-09
1890,1.3764211992395303e-08
1891,5.099376032546843e-09
1892,1.2537024751679837e-08
1893,1.1085149687062312e-08
1894,8.192000855444803e-09
1895,1.5046536461227333e-08
1896,8.255840455717589e-09
1897,7.574727511894253e-09
1898,1.867257104493092e-08
1899,7.738609753005221e-09
1900,1.1939421895590385e-08
1901,5.58873880507349e-09
1902,6.38336894454028e-09
1903,7.020286574288548e-09
1904,1.289910045443321e-08
1905,1.186974607492175e-08
1906,1.2860461140462576e-08
1907,1.0285686968813934e-08
1908,6.875944702500192e-09
1909,1.265226234892225e-08
1910,6.947395991829808e-09
1911,1.702519725199636e-08
1912,4.688478938419394e-09
1913,1.0605979205990934e-08
1914,1.0714789944188396e-08
1915,5.890381071793627e-09
1916,6.592477230782379e-09
1917,4.386569774084137e-09
1918,2.2972752589112133e-09
1919,1.012863304339362e-08
1920,1.665890891899835e-08
1921,1.060184651180407e-08
1922,1.1066902949607993e-08
1923,1.5923921736771263e-08
1924,7.734974438733389e-09
1925,1.0998178368026856e-08
1926,1.4489979882625903e-08
1927,1.3379070296082318e-08
1928,1.5996457491951332e-08
1929,1.5596569369336066e-08
1930,1.575540586884472e-08
1931,5.7026783295555106e-09
1932,1.2055489939655217e-08
1933,1.261772819560747e-08
1934,1.5576054224197833e-08
1935,8.377798899061872e-09
1936,8.487299751891442e-09
1937,8.813782592653752e-09
1938,2.3337385357535823e-08
1939,1.3764645423464117e-08
1940,1.2678914806940611e-08
1941,1.7709016475464523e-08
1942,1.8205270180260413e-08
1943,1.4516175816936538e-08
1944,1.6065930807940276e-08
1945,1.9606536838523425e-08
1946,3.480275978517966e-08
1947,2.0265479960812627e-08
1948,1.0871888278529696e-08
1949,1.570721330779179e-08
1950,2.0207187034770868e-08
1951,1.2793682557799002e-08
1952,1.7926167217297007e-08
1953,1.0773827163745864e-08
1954,1.172704333640695e-08
1955,1.220129064449793e-08
1956,1.0465369904011368e-08
1957,1.4136060322300636e-08
1958,1.9026160202884057e-08
1959,1.6276571201956358e-08
1960,1.868625076895114e-08
1961,1.528595028332802e-08
1962,2.0928455413127267e-08
1963,8.405868889838075e-09
1964,1.6426714211092985e-08
1965,9.849678406226303e-09
1966,1.495550172592175e-08
1967,8.381570104631919e-09
1968,1.9313088017725022e-08
1969,1.3625273354023193e-08
1970,8.7375777724219e-09
1971,1.1818314327172175e-08
1972,1.487742551375959e-08
1973,1.3783009400469837e-08
1974,1.406392957647995e-08
1975,1.599214449754527e-08
1976,1.1427053969725876e-08
1977,3.526069214387917e-09
1978,5.346532105932056e-09
1979,8.192762912528906e-09
1980,1.0233271119375331e-08
1981,8.223214109648325e-09
1982,1.4898005495922462e-08
1983,1.3893695083311286e-08
1984,1.2177918229383522e-08
1985,9.624892882698077e-09
1986,1.6185110141009318e-08
1987,7.944062296871834e-09
1988,2.1587593934668803e-08
1989,1.4269117443177493e-08
1990,1.0352437129768077e-08
1991,1.2895223555631219e-08
1992,1.1019888113139586e-08
1993,6.647049133334804e-09
1994,1.5297286992677073e-08
1995,1.7894087989134277e-08
1996,1.3345230698291743e-08
1997,1.3905194329311144e-08
1998,1.0013071261028017e-08
1999,7.769341614505265e-09
2000,1.0603275590881367e-08
2001,9.20054432640427e-09
2002,7.886198361006791e-09
2003,1.3334153337041244e-08
2004,1.0571499231559756e-08
2005,1.261049931144953e-08
2006,1.7706927479821388e-08
2007,2.8760252845927425e-08
2008,3.065356679599063e-08
2009,2.86091541568112e-08
2010,3.3538931631937885e-08
2011,4.244608931003313e-08
2012,6.97871840316111e-08
2013,6.833356280822045e-08
2014,6.626262205600142e-08
2015,6.405903008044334e-08
2016,7.042556404712741e-08
2017,7.068867802217937e-08
2018,7.74439996575893e-08
2019,6.556038556482235e-08
