year,pouvais_VERB emporter_VERB,pouvais_VERB remporter_VERB
1800,3.144164484325529e-09,0.0
1801,7.143547975374531e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,0.0
1804,9.887403784603066e-09,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,6.227493631882908e-09
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,6.903041693817613e-09,0.0
1822,0.0,0.0
1823,0.0,6.917880934764753e-09
1824,0.0,0.0
1825,8.805443041381977e-10,0.0
1826,0.0,0.0
1827,9.217273055917019e-10,9.217273055917019e-10
1828,2.7516904310687096e-09,0.0
1829,2.571952872898464e-09,0.0
1830,4.174734336004349e-09,0.0
1831,0.0,0.0
1832,1.6235963684607668e-08,0.0
1833,1.9692167896323554e-08,0.0
1834,9.334530925997342e-10,0.0
1835,9.832014313815307e-09,0.0
1836,6.72075017860152e-09,0.0
1837,2.7831563720326358e-09,0.0
1838,1.2624323808552163e-08,0.0
1839,2.0974426639952526e-09,5.5931801412612e-09
1840,1.2739377330817092e-09,0.0
1841,6.420548537278137e-10,0.0
1842,5.366612043644636e-09,6.037438549100216e-09
1843,5.31621990873532e-09,0.0
1844,1.6465684371524958e-09,0.0
1845,1.7298706467272496e-08,0.0
1846,8.196302303531411e-09,0.0
1847,9.168480197274675e-09,0.0
1848,1.6090443422100975e-09,0.0
1849,2.513824481908955e-09,0.0
1850,5.431196825611551e-09,0.0
1851,6.449438760824933e-10,0.0
1852,1.3021090872200602e-09,0.0
1853,5.971931837933653e-10,0.0
1854,7.27393034694046e-09,0.0
1855,1.0613874223963649e-09,0.0
1856,7.765783571755946e-09,1.0354378465748937e-09
1857,1.2203773103180993e-08,0.0
1858,7.829881631948865e-09,0.0
1859,7.638259802433822e-09,0.0
1860,5.034902272882391e-09,0.0
1861,4.715963730639317e-10,0.0
1862,8.132375661773494e-09,0.0
1863,0.0,1.4983863039219614e-09
1864,5.753673537611803e-09,0.0
1865,4.23615986733239e-09,0.0
1866,1.4596839292835284e-09,9.731225825149181e-10
1867,1.94112459439566e-09,0.0
1868,3.457911734727759e-09,0.0
1869,3.4184632902167778e-09,0.0
1870,4.013834153937523e-09,1.7202146374017957e-09
1871,5.3105884134652115e-09,0.0
1872,1.0280476914203973e-08,6.047339295989218e-10
1873,8.979006871356887e-09,0.0
1874,2.3898436563030145e-09,1.7923826867161097e-09
1875,8.58229043387837e-09,0.0
1876,9.673623679873344e-09,0.0
1877,3.0924081073635534e-09,0.0
1878,1.8117265465633636e-09,0.0
1879,7.94212251520321e-09,6.10932526790009e-10
1880,3.2089231272180996e-09,0.0
