year,pouvons_VERB accrocher_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,1.2891271383708158e-09
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,6.301539290376468e-10
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,3.0865106026567446e-09
1907,0.0
1908,0.0
1909,0.0
1910,5.344150677544235e-10
1911,0.0
1912,0.0
1913,1.060597942803554e-09
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,3.867487219366694e-09
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,1.0959536611565568e-09
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,2.9032352077962287e-09
1944,0.0
1945,0.0
1946,1.3921104269343232e-09
1947,1.1920870957027319e-09
1948,0.0
1949,2.945102384188658e-09
1950,0.0
1951,0.0
1952,0.0
1953,1.0773827385790469e-09
1954,2.9317608341017376e-09
1955,0.0
1956,0.0
1957,0.0
1958,8.272243445794913e-10
1959,0.0
1960,0.0
1961,6.948159270159238e-10
1962,1.9025869768540815e-09
1963,6.466053248388448e-10
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,1.7965663401398047e-09
1969,1.8167031212712459e-09
1970,0.0
1971,3.5968783507200897e-09
1972,0.0
1973,0.0
1974,5.625571675160757e-10
1975,0.0
1976,1.7140580066410394e-09
1977,0.0
1978,0.0
1979,5.851973350345929e-10
1980,0.0
1981,0.0
1982,0.0
1983,6.315316047889041e-10
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,1.7584396161396398e-09
1992,1.65298330578878e-09
1993,5.539207426075166e-10
1994,0.0
1995,1.626735190995987e-09
1996,5.338092190498855e-10
1997,4.79489448146353e-10
1998,0.0
1999,0.0
2000,4.4180314962005696e-10
2001,4.3812117822561447e-10
2002,4.38122149670761e-10
2003,8.333845835650777e-10
2004,8.809582507929292e-10
2005,0.0
2006,4.1178899179428186e-10
2007,7.988958938831558e-10
2008,4.257439678578834e-10
2009,0.0
2010,9.447586046817946e-10
2011,0.0
2012,6.808505426114664e-10
2013,0.0
2014,6.496335691608124e-10
2015,2.2165753954528356e-10
2016,1.4499380585064614e-09
2017,7.54683426862357e-10
2018,7.744400121190154e-10
2019,1.2754939326953263e-09
