year,pouvons_VERB appliquer_VERB
1800,5.345079756580162e-08
1801,4.286128785224719e-08
1802,4.0281122437590966e-08
1803,5.265916058760922e-08
1804,5.438072037122765e-08
1805,9.097208675257207e-08
1806,1.152667650217154e-08
1807,7.686778502602465e-08
1808,3.6257183921861724e-08
1809,5.1957702140725814e-08
1810,2.106114038724627e-08
1811,4.763445815569867e-08
1812,3.467370746079723e-08
1813,6.326631307729258e-08
1814,4.72001566720337e-08
1815,7.282503844407984e-08
1816,1.2515060632267705e-07
1817,3.89218364205135e-08
1818,4.887682791832049e-08
1819,4.5544620519422097e-08
1820,6.526564533260171e-08
1821,5.1279737789400315e-08
1822,1.2130995230563713e-07
1823,6.621399961659336e-08
1824,2.6105450245950124e-08
1825,2.201360693732113e-08
1826,7.134467239211517e-08
1827,4.055600300034712e-08
1828,6.970948618345574e-08
1829,4.715246859632316e-08
1830,2.817945699007396e-08
1831,5.3010101197514814e-08
1832,1.488296597074168e-08
1833,6.950177322551099e-09
1834,5.600718466780563e-08
1835,3.2521278114927554e-08
1836,6.98957975941994e-08
1837,1.3219993100221927e-08
1838,3.976661844262708e-08
1839,7.061390050466798e-08
1840,5.6053259811505995e-08
1841,7.126809009605495e-08
1842,3.4212153110502186e-08
1843,4.961805188941071e-08
1844,9.934296230085238e-08
1845,9.988607985178533e-08
1846,4.742146231251354e-08
1847,3.721324404182269e-08
1848,2.735375304041554e-08
1849,6.535943697372204e-08
1850,4.6844071732721204e-08
1851,5.93348374877678e-08
1852,3.971432604998881e-08
1853,4.359510086260343e-08
1854,6.702406807335137e-08
1855,4.0332722051061864e-08
1856,8.594134470740755e-08
1857,5.662550606189143e-08
1858,7.144767266709096e-08
1859,5.754155907311542e-08
1860,7.552353764594955e-08
1861,4.904602235455968e-08
1862,5.2860439581081664e-08
1863,1.0538649775071462e-07
1864,4.3632024215867204e-08
1865,7.76629320853317e-08
1866,5.6441109563820646e-08
1867,6.308654576514527e-08
1868,6.372437866275504e-08
1869,7.276443625414686e-08
1870,5.9060702994884196e-08
1871,6.585129597169725e-08
1872,5.624025689598966e-08
1873,6.883905001586754e-08
1874,1.1949218503559678e-07
1875,1.0584825105297568e-07
1876,5.622793608495158e-08
1877,8.411349483594677e-08
1878,6.824170384334138e-08
1879,7.392283407625655e-08
1880,7.765594034481182e-08
1881,7.94865897546515e-08
1882,7.853354588860384e-08
1883,6.256145468341856e-08
1884,4.7532218161450146e-08
1885,7.283568237426152e-08
1886,1.0583680420950259e-07
1887,7.834709236931303e-08
1888,6.974676125537371e-08
1889,6.57839365203472e-08
1890,5.89894781910516e-08
1891,8.095259573792646e-08
1892,6.143142172732041e-08
1893,7.082179109829667e-08
1894,7.939939195011902e-08
1895,7.52326840824935e-08
1896,6.899524152004233e-08
1897,5.4188436848789934e-08
1898,5.941272718246182e-08
1899,6.633094074004475e-08
1900,7.94231098666387e-08
1901,8.830207320897898e-08
1902,8.249276817196005e-08
1903,7.452303663058046e-08
