year,vos_DET oies_NOUN,vos_DET rois_NOUN
1800,0.0,2.358123332157902e-07
1801,0.0,3.047913796905277e-07
1802,2.2378401354217203e-09,2.193083332713286e-07
1803,3.900678446910888e-09,4.173725969280895e-07
1804,0.0,2.1752288859033797e-07
1805,0.0,3.29773825580304e-07
1806,2.305335300434308e-08,1.9595349964873776e-07
1807,2.8469551160981155e-09,1.7651122163897526e-07
1808,1.1330369531492579e-08,3.0818607221760885e-07
1809,0.0,1.2876474309031494e-07
1810,1.6380887757350138e-08,3.720801675655139e-07
1811,1.504245972228091e-08,2.25636902939641e-07
1812,1.0668832928217853e-08,1.8937177870270716e-07
1813,0.0,2.8469843416090157e-07
1814,1.2586708564299443e-08,7.080023669558955e-07
1815,0.0,4.747113455660923e-07
1816,0.0,2.920180843801745e-07
1817,6.227493631882908e-09,3.5341025617086075e-07
1818,0.0,3.2902449831340164e-07
1819,4.140420006848444e-09,4.1300689712642225e-07
1820,3.5599443393152796e-09,5.316183653292228e-07
1821,5.9168927535324656e-09,2.376618697397248e-07
1822,4.010246357211145e-09,3.2282483175549714e-07
1823,9.882686891060644e-10,2.8066830637385465e-07
1824,1.6842225392110777e-09,3.1916018183864026e-07
1825,5.283265824829186e-09,3.178764860223282e-07
1826,9.688783109140786e-09,2.7480909725596803e-07
1827,6.452091305675367e-09,1.806585534502858e-07
1828,0.0,1.9995616629131518e-07
1829,0.0,2.0404158362907765e-07
1830,3.1310507520032616e-09,3.266729526885115e-07
1831,0.0,2.22954251505314e-07
1832,0.0,2.733053883208214e-07
1833,2.3167257001688313e-09,2.1198039501513222e-07
1834,6.534171426153534e-09,2.4456470515410444e-07
1835,1.285724948729694e-08,1.4823652350060001e-07
1836,2.016224964762614e-09,1.4920065805057448e-07
1837,6.957891152126194e-09,1.8368832410686764e-07
1838,1.8936485712828244e-09,1.6222256249420752e-07
1839,9.788065469251706e-09,1.1885507467113143e-07
1840,0.0,1.554203974407642e-07
1841,1.2841097074556274e-09,1.0208671996636554e-07
1842,3.3541325272778977e-09,1.3215281668976786e-07
1843,5.906911071384968e-10,1.1577545444563242e-07
1844,2.195424508855126e-09,1.4654459135066134e-07
1845,3.348136878855712e-09,9.932805761225794e-08
1846,5.854501328173001e-10,1.1709002767368304e-07
1847,3.235934187273415e-09,1.7096519044912384e-07
1848,6.43617736884039e-09,1.1987380066358355e-07
1849,4.1897072478036534e-09,1.0306680309213334e-07
1850,0.0,1.0319273968661946e-07
1851,1.9993260380601896e-08,8.964719855342196e-08
1852,3.2552727180501506e-09,9.700712810811751e-08
1853,6.569124799682413e-09,1.1704986069283052e-07
1854,1.558699391779328e-09,1.2053941134126944e-07
1855,3.714855978387277e-09,1.3320411440531643e-07
1856,5.694908100650764e-09,1.320183207198511e-07
1857,2.4407544874094356e-09,1.1325101079151523e-07
1858,1.9574704079872163e-09,1.1793759385758662e-07
1859,4.073738679721828e-09,6.772590466219697e-08
1860,2.288591982591015e-09,1.1946450295674538e-07
1861,4.715963730639317e-10,1.306321941729749e-07
1862,1.3553959066214816e-09,1.287626085755278e-07
1863,9.989241656072068e-10,9.939295142480375e-08
1864,0.0,9.829192415544696e-08
1865,1.4120533631256649e-09,7.57801952300241e-08
1866,4.865612801552288e-09,8.02826131129919e-08
1867,4.367530337390235e-09,5.483677156803424e-08
1868,1.4819622196071691e-09,7.064019802438537e-08
1869,9.767038289254515e-10,1.1818116119055588e-07
1870,0.0,9.346499441065248e-08
1871,2.1242354542039266e-09,1.0196330046952085e-07
1872,1.8142017887967654e-09,6.470652968992852e-08
1873,5.986004469882289e-10,7.721945943783837e-08
1874,2.9873046258899194e-09,6.990292833464196e-08
1875,1.1443054281912168e-09,5.034944017268117e-08
1876,6.04601479992084e-10,1.3180312574689879e-07
1877,1.1132669008873108e-08,1.6327914087455042e-07
1878,6.039088673581716e-10,1.1353486362164489e-07
1879,4.887460214320072e-09,1.240193021612157e-07
1880,1.2835692508872398e-09,8.150664854156275e-08
1881,1.3945015142624584e-09,6.344981789974113e-08
1882,7.986462158271479e-09,3.926677250021271e-08
1883,3.159669414998234e-09,3.60202324078962e-08
1884,0.0,4.8192386081780114e-08
1885,3.86738152613475e-09,6.896830062608217e-08
1886,6.4534639854230136e-09,7.873225732479838e-08
1887,1.3057849246322917e-09,3.7867764035581786e-08
1888,0.0,7.101488797012223e-08
1889,1.2530273485467092e-09,8.583237409709454e-08
1890,3.2771931834929546e-09,4.2603510774785747e-08
1891,4.461953917456185e-09,3.824532157636895e-08
1892,1.2537024751679837e-09,4.011847787310785e-08
1893,1.847525021858587e-09,5.111485656961179e-08
1894,3.780923574225881e-09,4.9782160838063305e-08
1895,0.0,4.4537745935713247e-08
1896,0.0,4.7176233475276774e-08
1897,3.4960281336537946e-09,4.0204322093728706e-08
1898,5.6583548957434e-10,3.225262190653666e-08
1899,9.39688327150634e-09,2.8743407654019393e-08
1900,1.5573159428683425e-09,4.4643056584803276e-08
1901,2.794369402536745e-09,4.6386532115416657e-08
1902,4.910283735171106e-09,4.517460966413367e-08
1903,5.400220270956879e-10,3.7801541452608944e-08
1904,0.0,2.8485514391718425e-08
1905,1.0321518084666081e-09,4.541467968355306e-08
1906,5.144184633820714e-09,5.195626240350748e-08
1907,1.5428529565042481e-09,4.1657031379926934e-08
1908,9.822778146428846e-10,3.7817695419661845e-08
1909,0.0,2.4754425509421196e-08
1910,0.0,3.63402248293454e-08
1911,3.7242617878519013e-09,4.2030956270977526e-08
1912,1.0418842455450772e-09,5.157327020999247e-08
1913,6.363587878865928e-09,3.075734078539227e-08
1914,4.68772043404897e-09,3.884111371421639e-08
1915,3.534228465440492e-09,8.12872540389975e-08
1916,0.0,6.043104150421641e-08
1917,1.0966424435210342e-09,3.070598708632133e-08
1918,0.0,4.479686843694708e-08
1919,5.524709134618888e-09,4.880159754083735e-08
1920,3.786115865267448e-09,4.0132827283656525e-08
1921,2.2718242842501013e-09,3.332008802203745e-08
1922,0.0,3.9840850618588775e-08
1923,0.0,6.157249821114874e-08
1924,3.867487219366694e-09,4.254235985712285e-08
1925,0.0,2.9695080394631646e-08
1926,1.1146138456652466e-09,5.461607965884241e-08
1927,6.689535148041159e-09,5.3516280407173156e-08
1928,0.0,3.0850310528407476e-08
1929,1.1140406375176326e-09,2.8965055687280028e-08
1930,1.0503603542488804e-09,3.991369457168048e-08
1931,1.1405356659111021e-09,1.4826963656844327e-08
1932,1.4247397928102146e-08,4.055028501870339e-08
1933,0.0,1.2617728861741284e-08
1934,0.0,3.834105832822843e-08
1935,1.196828414151696e-09,1.3165112555668657e-08
1936,1.2124714565686645e-09,2.424942868728408e-08
