year,beaux_ADJ ans_NOUN,beaux_ADJ champs_NOUN
1800,3.4900224932243873e-07,1.980823611802407e-07
1801,2.1668761007731518e-07,1.381085894536227e-07
1802,9.175144555229053e-08,4.4756802708434407e-08
1803,1.8723255834629526e-07,4.4857802805609026e-08
1804,1.359518080334965e-07,1.8291696335381857e-07
1805,2.302730877090653e-07,1.0802935435094696e-07
1806,5.4751712497136396e-08,2.1324350996110297e-07
1807,1.3095993267597805e-07,1.0249038240317532e-07
1808,1.3369836437959748e-07,9.064295625194063e-08
1809,7.454800510231507e-08,1.4909601020463015e-07
1810,1.942305232205399e-07,1.4040760731859336e-07
1811,1.0028307428910921e-07,2.0056614857821842e-07
1812,1.6269970615212515e-07,8.268345652595599e-08
1813,2.1568062891219597e-07,1.581657897986588e-07
1814,8.181360300341112e-08,1.321604372606089e-07
1815,3.506390555685357e-08,7.552225866902518e-08
1816,3.7081662185300956e-08,5.7940098940889584e-08
1817,1.4634609613040084e-07,5.4490570278176165e-08
1818,9.775365583664097e-08,1.5497530370112145e-08
1819,1.4698491668241331e-07,6.107119787657211e-08
1820,8.42520151422832e-08,1.1866481131050932e-08
1821,1.0453177878844144e-07,5.9168929311681495e-08
1822,1.4938167680611514e-07,5.3135764233047666e-08
1823,1.2452186126665765e-07,8.894418357385803e-08
1824,1.717907025522436e-07,1.549484807128465e-07
1825,1.3912600138610287e-07,3.522177394188475e-08
1826,1.1802698907104059e-07,5.6371099788066203e-08
1827,5.7147094167930845e-08,1.3825909306319772e-08
1828,9.264024214417077e-08,3.760643352279658e-08
1829,4.9724420136953995e-08,8.487444347338169e-08
1830,5.635891398014792e-08,1.2211097555336892e-07
1831,9.978371906527173e-08,1.1693404644574912e-07
1832,1.461236678323985e-07,6.494385473843067e-08
1833,1.3437009727113036e-07,1.2973663388038403e-07
1834,5.2273371409228275e-08,1.0361329572106115e-07
1835,6.731148260996633e-08,9.832014313815307e-08
1836,5.779845224651581e-08,7.19120265557649e-08
