year,suis_VERB aux_ADP,suis_VERB chaud_ADJ
1800,5.973912209356058e-08,3.144164484325529e-09
1801,7.143547975374531e-08,7.143547975374531e-09
1802,6.265952379180817e-08,6.713520406265161e-09
1803,8.581492494386112e-08,3.900678446910888e-09
1804,1.1123329102247226e-07,0.0
1805,1.5920115004064428e-07,8.528632911009026e-09
1806,1.7290014397985942e-07,0.0
1807,4.555128185756985e-08,0.0
1808,1.1330369886763947e-07,6.798221985349073e-09
1809,1.1295152546608733e-07,4.518061036407062e-09
1810,9.594519667643908e-08,4.680253518074551e-09
1811,5.264861258069686e-08,5.0141535368197765e-09
1812,5.601137331723294e-08,5.3344164641089264e-09
1813,6.901780125190271e-08,2.8757416448144113e-09
1814,1.604805390797992e-07,0.0
1815,6.74305908887618e-08,1.8880564667256294e-08
1816,3.7081662185300956e-08,0.0
1817,7.005930058312515e-08,0.0
1818,1.3828565670337412e-07,0.0
1819,9.937008371707634e-08,1.035105001712111e-09
1820,2.183432457059098e-07,1.1866481131050932e-09
1821,2.0807740952477616e-07,0.0
1822,1.59407292699143e-07,2.0051231786055723e-09
1823,1.4922856905741355e-07,1.9765373782121287e-09
1824,7.073734309415158e-08,0.0
1825,8.629334047327575e-08,1.7610886082763955e-09
1826,7.574866600634778e-08,0.0
1827,8.848581956044654e-08,1.566936447261469e-08
1828,1.412534373912422e-07,6.420610709767516e-09
1829,1.1230860508248952e-07,0.0
1830,1.5133412034629146e-07,0.0
1831,2.104812892866903e-07,0.0
1832,1.2312271735481772e-07,0.0
1833,1.308950032807843e-07,3.4750886612755494e-09
1834,1.1948199585276598e-07,8.401078055442213e-09
1835,1.4369867074037757e-07,3.025235173481633e-09
1836,1.1828520030121581e-07,6.720750067579218e-10
1837,1.4611570975375798e-07,0.0
1838,1.4265485503983655e-07,2.5248647617104325e-09
1839,1.132618976384947e-07,6.9914751765765e-10
1840,9.745623685830651e-08,1.9109065441114126e-09
1841,1.2199042487281986e-07,6.420548537278137e-10
1842,1.1336967986608215e-07,1.341653010911159e-09
1843,1.0514301607145171e-07,1.0041748765843295e-08
1844,8.068185053389243e-08,2.7442805805577564e-09
1845,7.92392356174787e-08,2.2320911785556063e-09
1846,1.0830827790186959e-07,0.0
1847,1.0570718700364523e-07,0.0
1848,2.4537925469303445e-07,0.0
1849,3.2344541978091e-07,0.0
1850,1.9280749086192372e-07,0.0
1851,1.3479326810283965e-07,0.0
1852,7.291811243703705e-08,6.510545436100301e-10
1853,1.176470547648023e-07,0.0
1854,1.283329140733258e-07,4.676098175337984e-09
1855,1.1887539130839286e-07,6.8990182455763716e-09
1856,1.423726985194662e-07,5.177189232874468e-10
1857,1.2643108959764504e-07,9.763018171682347e-10
1858,1.7372549621086364e-07,9.787352039936081e-10
