year,trois_DET chaises_NOUN
1800,5.973912209356058e-08
1801,1.904946067554647e-08
1802,5.147032311469957e-08
1803,2.7304748684287006e-08
1804,8.651478111687538e-08
1805,7.960057502032214e-08
1806,3.7461699520235925e-08
1807,1.1387820464392462e-08
1808,3.3991110370834576e-08
1809,3.388545621874073e-08
1810,1.4040760554223652e-08
1811,1.504245972228091e-08
1812,3.467370746079723e-08
1813,1.00650957790549e-07
1814,2.5173417128598885e-08
1815,3.236668177919455e-08
1816,1.622322720606917e-08
1817,2.6466848268569265e-08
1818,2.741870730460505e-08
1819,1.9666995143552413e-08
1820,2.4919611263385377e-08
1821,6.607196922914227e-08
1822,5.514088741165324e-08
1823,4.644862983127496e-08
1824,1.2631669044083083e-08
1825,6.868245350233337e-08
1826,4.1397527184017235e-08
1827,5.899054755786892e-08
1828,4.1275356466030644e-08
1829,2.057562281665426e-08
1830,2.191735437584441e-08
1831,1.7150326492298973e-08
1832,5.953186388296672e-08
1833,7.181849892567982e-08
1834,4.573920264761e-08
1835,2.571449897459388e-08
1836,5.3765998930810355e-08
1837,5.357576071673975e-08
1838,3.029837714052519e-08
1839,4.334714676090812e-08
1840,5.477932346620307e-08
1841,5.008027903485868e-08
1842,3.7566283417334034e-08
1843,2.8943864638364403e-08
1844,7.08024421314235e-08
1845,8.42614422680299e-08
1846,7.786486833083472e-08
1847,4.638172157456211e-08
1848,3.218088551193432e-08
1849,6.033178578945808e-08
1850,3.1229381747266416e-08
1851,3.0957306496048886e-08
1852,6.11991257670752e-08
1853,3.5831592359869546e-08
1854,6.598493729192967e-08
1855,5.200798369742188e-08
1856,5.073645298336871e-08
1857,6.590037604503607e-08
1858,6.851146205910652e-08
1859,4.430190814197488e-08
1860,6.911547634214088e-08
1861,3.819930771697955e-08
1862,6.144461653367905e-08
1863,4.694943545047181e-08
1864,6.185199330488445e-08
1865,6.165966226490127e-08
1866,7.930949053047698e-08
1867,6.939520424964485e-08
1868,4.989272739397421e-08
1869,6.641586214328754e-08
1870,7.454263339923273e-08
1871,3.611200360964517e-08
1872,4.7169247618938925e-08
1873,6.464884627632728e-08
1874,6.990292789055275e-08
1875,6.293680021585146e-08
1876,4.836811973163435e-08
1877,9.029831105067387e-08
1878,7.428079129567777e-08
1879,1.0630226210395222e-07
1880,1.0140197126418116e-07
1881,8.227558595530482e-08
1882,8.851662158804174e-08
1883,8.088753489232658e-08
1884,1.0430680852380192e-07
1885,1.0764211477720664e-07
1886,7.873226071097861e-08
1887,1.011983292720231e-07
1888,7.545331626168661e-08
1889,8.645888871505747e-08
1890,6.554386655643896e-08
1891,5.4818293016012376e-08
1892,7.45953006031641e-08
1893,5.97366389687437e-08
1894,8.065969936410511e-08
1895,6.620475989649321e-08
1896,9.376275755812458e-08
1897,5.710179307172325e-08
1898,7.86511302752757e-08
1899,1.0281295814706937e-07
1900,8.098042991733223e-08
1901,1.212756330914999e-07
1902,6.67798580877843e-08
1903,8.586350563888345e-08
1904,6.55704281982139e-08
1905,7.379885236247219e-08
1906,9.259532429695128e-08
1907,9.565688818824469e-08
1908,9.086069940877906e-08
1909,1.2047154029914964e-07
1910,1.175713117973487e-07
1911,7.554930991915398e-08
1912,8.439262266790593e-08
1913,8.166603970849451e-08
1914,8.170027410159264e-08
1915,7.539687540969453e-08
1916,5.823354798373259e-08
1917,5.044555084765534e-08
1918,7.695872206170407e-08
1919,8.102906323692594e-08
1920,6.20922984140293e-08
1921,9.1630242060603e-08
1922,8.189508271527757e-08
1923,7.643482513586264e-08
1924,8.379555849202802e-08
1925,8.138651530487095e-08
1926,6.687682851946875e-08
1927,1.3044592739319683e-07
1928,8.68379101959249e-08
1929,1.1140406286358484e-07
1930,8.823026931281674e-08
