year,ses_DET oies_NOUN,ses_DET joies_NOUN
1800,1.8864987794131594e-08,1.226224086714467e-07
1801,5.714838380299625e-08,9.28661236798689e-08
1802,4.475680270843441e-09,9.175144555229053e-08
1803,0.0,9.55666195068261e-08
1804,7.4155526164076946e-09,1.3347995775347954e-07
1805,5.685755422035754e-09,7.107194477384837e-08
1806,1.729001475325731e-08,1.0085842205853623e-07
1807,2.562259604488304e-08,3.4163463169534225e-08
1808,6.798221985349073e-09,1.291662181657216e-07
1809,5.421673421324158e-08,8.584316191218022e-08
1810,4.680253518074551e-09,2.6443433043255027e-07
1811,2.757784400841956e-08,5.515568801683912e-08
1812,1.0668832928217853e-08,7.468182872116813e-08
1813,0.0,5.7514832008109806e-08
1814,9.440030979135372e-09,7.866692897096073e-08
1815,1.0788894222457657e-08,8.90083740046066e-08
1816,2.3176038865813098e-09,3.0128850880828395e-07
1817,1.556873407970727e-09,7.317305128484719e-08
1818,3.5763532135746345e-09,1.5616741677604296e-07
1819,0.0,1.3042323243617204e-07
1820,1.6613073583471305e-08,1.779972222948345e-07
1821,9.861488403650753e-09,1.479223215028469e-07
1822,2.0051231786055723e-09,1.674277854135653e-07
1823,3.261286707356703e-08,1.4428722172610264e-07
1824,1.9368560089105813e-08,1.911592528713868e-07
1825,7.044354433105582e-09,2.1573335118318937e-07
1826,3.5231937367541377e-09,2.1227242541499436e-07
1827,2.8573547083965423e-08,1.5485018423078145e-07
1828,1.3758452155343548e-08,1.6510142097914127e-07
1829,8.57317605795771e-10,2.186159830941392e-07
1830,7.305785310052215e-09,2.4630931827474e-07
1831,1.091384405071949e-08,4.069304679887864e-07
1832,1.7588959622116818e-08,5.330807706371843e-07
1833,8.108539617524002e-09,6.405746415527602e-07
1834,6.534171426153534e-09,7.402282995450093e-07
1835,2.0420337421001022e-08,6.15635350698085e-07
1836,1.68018754465038e-08,6.344388117085487e-07
1837,9.74104708006962e-09,5.733302037569388e-07
1838,8.2058102535143e-09,5.321152674042651e-07
1839,7.690622583211848e-09,5.2855551402331e-07
1840,8.280594876453051e-09,6.038464647195596e-07
1841,2.5682194149112547e-09,6.632426701180805e-07
1842,4.695785538189057e-09,8.143833838403225e-07
1843,7.088293507706567e-09,6.36765011441387e-07
1844,1.0977122322231025e-08,6.789350246449999e-07
1845,1.339254718235594e-08,7.516567173126987e-07
1846,1.5807152919933287e-08,6.387261208828932e-07
1847,7.011190739092399e-09,6.029624097791952e-07
1848,1.045878850192139e-08,5.382253416286176e-07
1849,1.5920887719289567e-08,7.29847032587827e-07
1850,8.146795238417326e-09,5.146059143257276e-07
1851,1.870337307252612e-08,6.397843290706362e-07
1852,1.3672145193766028e-08,6.98581500202522e-07
1853,1.2541057081705276e-08,7.214093935559163e-07
1854,2.0782657927931325e-08,6.931016196531914e-07
1855,1.3798036491152743e-08,9.005872350087429e-07
1856,2.174419400091665e-08,8.780512965600451e-07
1857,1.4644527368545823e-08,7.683495351074043e-07
1858,7.34051397444091e-09,7.785838795903999e-07
1859,2.6479302084325695e-08,9.262663218656542e-07
1860,2.380135608048839e-08,9.813482471088264e-07
1861,2.5466203590340797e-08,8.017138206639629e-07
1862,1.3553958982948089e-08,7.680576468160893e-07
1863,2.2975255475898848e-08,8.306054262163798e-07
1864,1.821996631345968e-08,9.03326749401856e-07
1865,2.7299698113214532e-08,8.269925313442172e-07
1866,7.784980660119345e-09,7.561162220781625e-07
1867,5.338092634588065e-09,7.550974707726255e-07
1868,1.1361710683388537e-08,7.82970051460552e-07
1869,1.9534076356464425e-08,7.520619620393632e-07
1870,7.454262984651905e-09,6.657230646744949e-07
1871,2.230447138096281e-08,5.523012243102698e-07
1872,3.205089793567595e-08,7.141907945040771e-07
1873,8.979006871356887e-09,6.159598546773282e-07
1874,3.226288780577846e-08,6.595968664591112e-07
1875,3.2612703648737806e-08,5.835957779254386e-07
1876,5.441413541973361e-09,6.584110012752831e-07
1877,2.22653372405901e-08,6.537350709656664e-07
1878,1.509772218355465e-08,6.081362122767331e-07
1879,7.94212251520321e-09,7.056270474592452e-07
1880,1.3477476912271413e-08,5.756808254542278e-07
1881,2.6495528548942104e-08,6.888837722485164e-07
1882,1.5972924316542958e-08,7.07467440186349e-07
1883,1.7062215640351042e-08,6.104481595770039e-07
1884,1.8484752395409032e-08,6.938383743104737e-07
1885,1.933690724209569e-08,6.284494689090536e-07
1886,3.033128009866104e-08,7.440843656780771e-07
1887,1.828098916689669e-08,6.528924387794177e-07
1888,2.9800888867725916e-08,7.171235436587153e-07
1889,1.50363277384713e-08,6.559598357824825e-07
1890,2.3595790488162294e-08,6.888660091242116e-07
1891,1.5298128430707436e-08,6.367845810650863e-07
1892,2.570090096298827e-08,6.136873587081482e-07
1893,1.539604177480669e-08,7.266931456584302e-07
1894,1.5753848003896564e-08,6.660727080998186e-07
1895,1.865770427045277e-08,7.264467516421291e-07
1896,1.1794058174530164e-08,7.21206669496155e-07
1897,1.5149455578900017e-08,7.283391871837352e-07
1898,1.4711722506888236e-08,7.282302703082166e-07
1899,3.8693048765026106e-08,6.38435290412076e-07
1900,2.855079306307573e-08,6.852190255202117e-07
1901,7.824234593556412e-09,7.483321358137118e-07
1902,2.160524809058373e-08,6.30971461745844e-07
1903,1.7820727560291516e-08,6.971684376466669e-07
1904,2.0961038238453966e-08,6.981638378533717e-07
1905,7.225062881310862e-09,5.919390471120778e-07
1906,3.806696469155213e-08,7.24815616415242e-07
1907,4.525702124169584e-08,7.313123422392209e-07
1908,2.1610112144188065e-08,7.426020260936639e-07
1909,2.2003934396774838e-08,8.55953047107505e-07
1910,2.672075316567657e-08,8.016226118456871e-07
1911,3.724261865567513e-08,6.964370031781186e-07
1912,1.8753916364300238e-08,7.881854102720354e-07
1913,2.227255713194154e-08,6.713585074535899e-07
1914,3.281404303834279e-08,6.656563078522026e-07
1915,7.068456930880984e-09,4.229293535384926e-07
1916,2.966614687238689e-08,5.779404990136072e-07
1917,1.315970976634162e-08,7.128175717463492e-07
1918,1.9526840588923733e-08,5.651297243502995e-07
1919,1.012863304339362e-08,7.97399687613165e-07
1920,1.2872793941909322e-08,6.557552687525003e-07
1921,1.7417319808643583e-08,7.035082134621007e-07
1922,2.7298360905092522e-08,6.87623561645978e-07
1923,2.7601466001669905e-08,6.857902357104706e-07
1924,2.7072411756812187e-08,6.368462370787142e-07
1925,1.8696901804560184e-08,7.500757073231057e-07
1926,1.7833821197577038e-08,7.757712356948332e-07
1927,7.246995892273844e-08,8.439963004036599e-07
1928,2.5137291359556002e-08,7.838264082238311e-07
1929,2.2280811862174232e-08,5.837572678579761e-07
1930,1.3654685049324655e-08,5.829500020482214e-07
1931,2.167017854048936e-08,5.782515950514266e-07
1932,7.6716757391182e-09,5.457849150403149e-07
1933,1.8353059516584835e-08,5.83856719416076e-07
1934,1.9170528275935794e-08,5.415674344533272e-07
1935,2.752705263731059e-08,6.199571007670102e-07
1936,2.9099314957647948e-08,5.298500234118819e-07
1937,2.5182236740306507e-08,5.464545269617815e-07
1938,1.1668692678767911e-08,5.484285683365897e-07
1939,2.141167065872196e-08,5.291741560498053e-07
1940,2.028626333583361e-08,4.539051547958195e-07
1941,1.1806010391524069e-08,5.283189388194387e-07
1942,6.068423541449874e-09,6.614581877784076e-07
1943,3.4838823381733164e-08,8.041961625515626e-07
1944,6.4263723231761105e-09,6.39424046156023e-07
1945,1.5249527862692958e-08,6.818717617207426e-07
1946,2.3665877257883494e-08,6.417629032640093e-07
1947,3.457052732969146e-08,6.782975541241854e-07
1948,1.522064252412747e-08,6.762314441743911e-07
1949,2.1597417965146803e-08,5.222648598035562e-07
1950,2.4461330738745346e-08,4.807183406896343e-07
1951,1.9190522948520083e-08,5.65054318002467e-07
1952,2.5307528517259925e-08,4.776796234118308e-07
1953,2.693456835345387e-08,5.289949420728135e-07
1954,1.3681550115052232e-08,5.843976442765353e-07
1955,1.220129064449793e-08,4.889901603633007e-07
1956,1.2209597999301991e-08,5.023377829260767e-07
1957,3.180613461495341e-08,5.451218152430215e-07
1958,2.1507833736222892e-08,4.285021999450578e-07
1959,1.5501495198577686e-08,4.1854038590471987e-07
1960,2.4914999841030294e-08,4.754612437096739e-07
1961,1.876002997391879e-08,5.065208279475542e-07
1962,1.2683912586908264e-08,4.5788924740719494e-07
1963,1.6165133231993423e-08,5.075852076430465e-07
1964,1.946869854219102e-08,5.013189641189797e-07
1965,2.0246559984116175e-08,4.831814433003956e-07
1966,5.095948907296588e-08,5.057175114231427e-07
1967,1.972134178185314e-08,4.890893148257192e-07
1968,1.886394726535734e-08,5.609778188642167e-07
1969,4.587175481129968e-08,4.282877723582601e-07
1970,1.7935028046034418e-08,4.235425725696018e-07
1971,3.596878228595557e-08,4.943138498525457e-07
1972,2.0007572487656944e-08,4.2169806935277165e-07
1973,2.5360738176161135e-08,3.748978594231289e-07
1974,1.0688586016271984e-08,3.425973273962768e-07
1975,1.4278700888326057e-08,3.5525407948711063e-07
1976,1.3712464053128315e-08,4.1823016494468845e-07
1977,1.116588582705802e-08,3.367396015363511e-07
1978,2.1386128423728223e-08,4.09900814624109e-07
1979,2.8089471748593553e-08,3.5872597559105657e-07
1980,2.6720207435548815e-08,3.7919955664378335e-07
1981,1.4548763582755697e-08,3.8838873273050467e-07
1982,3.2279010242497463e-08,3.6934639391361657e-07
1983,2.273513821648976e-08,3.9091805481561437e-07
1984,2.7835240168361253e-08,3.6707725081797093e-07
1985,1.9851341903631692e-08,3.3085568551527444e-07
1986,1.498621315931814e-08,3.5547298482541123e-07
