year,pouvions_VERB écrire_VERB,pouvions_VERB décrire_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,4.518061036407062e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,1.3905623319487859e-08,0.0
1817,0.0,0.0
1818,9.536941902865692e-09,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,9.86148829262845e-10,0.0
1822,8.02049271442229e-09,0.0
1823,9.882686891060644e-10,9.882686891060644e-10
1824,0.0,5.052667617633233e-09
1825,8.805443041381977e-10,0.0
1826,1.0569580766173203e-08,2.642395191543301e-09
1827,0.0,0.0
1828,3.668920500743411e-09,0.0
1829,8.57317605795771e-10,0.0
1830,1.0436835840010872e-09,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,2.8003592777992026e-09,0.0
1835,4.5378527602224494e-09,3.025235173481633e-09
1836,2.688300027031687e-09,0.0
1837,2.7831563720326358e-09,6.957890930081589e-10
1838,1.2624323808552163e-09,0.0
1839,1.3982950353153e-09,4.194885327990505e-09
1840,0.0,3.1848443882154243e-09
1841,1.926164561183441e-09,0.0
1842,2.0124795163667386e-09,6.708265054555795e-10
1843,5.906911071384968e-10,2.953455480181333e-09
1844,4.9397050894128824e-09,0.0
1845,0.0,0.0
1846,5.854501328173001e-10,0.0
1847,5.393223645455691e-10,0.0
1848,2.413566457803995e-09,8.045221711050488e-10
1849,8.379414939696517e-10,8.379414939696517e-10
1850,1.3577992064028876e-09,0.0
1851,6.449438760824933e-10,0.0
1852,0.0,0.0
1853,7.166318205520383e-09,5.971931837933653e-10
1854,1.0391328908454511e-09,1.0391328908454511e-09
1855,4.776243400783642e-09,0.0
1856,4.659470143053568e-09,5.177189232874468e-10
1857,0.0,2.9289055625270066e-09
1858,0.0,1.9574704079872163e-09
1859,4.582956236731661e-09,0.0
1860,1.373155145145688e-09,4.577183909670879e-10
1861,4.2443675241088386e-09,1.4147891747029462e-09
1862,4.066187830886747e-09,1.3553959066214816e-09
1863,0.0,0.0
1864,5.274200631788517e-09,0.0
1865,7.530950973944073e-09,0.0
1866,2.919367858567057e-09,4.865612912574591e-10
1867,2.426405742994575e-09,0.0
1868,7.409810987013543e-09,0.0
1869,7.325278605918584e-09,4.883519144627257e-10
1870,5.734048791339319e-10,1.1468097582678638e-09
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,5.986004469882289e-10
1874,5.974609140757536e-10,2.3898436563030145e-09
1875,1.716458086775674e-09,0.0
1876,2.418405919968336e-09,7.255217759905008e-09
1877,6.184815992682502e-10,0.0
1878,0.0,6.039088673581716e-10
1879,1.221865053580018e-09,1.832797580370027e-09
1880,0.0,0.0
1881,8.367009307619355e-09,6.972507571312292e-10
1882,8.652000893505374e-09,0.0
1883,2.5277355764075082e-09,1.2638677882037541e-09
1884,3.300848483434038e-09,0.0
1885,6.445635580831777e-09,0.0
1886,1.936039106809062e-09,0.0
1887,5.876032105334161e-09,0.0
1888,1.9021844099853524e-09,0.0
1889,4.385595886446936e-09,6.265136742733546e-10
1890,0.0,0.0
1891,7.0116419337296065e-09,1.2748440081367107e-09
1892,1.8805537127519756e-09,6.268512375839919e-10
1893,0.0,0.0
1894,1.8904617871129403e-09,0.0
1895,6.018614495673091e-10,0.0
1896,4.1279202278587945e-09,0.0
1897,1.1653427112179315e-09,2.330685422435863e-09
1898,2.26334195829736e-09,2.26334195829736e-09
1899,1.6582735185011188e-09,5.527578395003729e-10
1900,4.15284251431558e-09,0.0
1901,1.1177477832191585e-09,0.0
1902,2.455141867585553e-09,2.455141867585553e-09
1903,1.0800440541913758e-09,5.400220270956879e-10
